C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST14:04:57

cat='M'
-------

Number of objects : 110

 # |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1  |M 34                               NGC 1039                           NGC 1039                                                                                                                                                                                                          |Open Cluster                        |02 42 07.4 +42 43 19                   |143.6827 -15.6460                  | 0.7256 -5.7320   |     ~   |~              |48.4  48.4     |    1|  534.0     pc  |                         |paral   |2021A&A...651A.104P
2  |M 39                               NGC 7092                           NGC 7092                                                                                                                                                                                                          |Open Cluster                        |21 31 33.4 +48 14 49                   |092.2459 -02.3507                  |-7.3569 -19.5993  |     ~   |~              |120.4  120.4   |    1|  311.0     pc  |                         |paral   |2021A&A...651A.104P
3  |M 76                               NGC 651                            NGC 650                            NAME Barbell Nebula                NAME Cork Nebula                   NAME Little Dumbbell Nebula        M 76                                                                  |Planetary Nebula                    |01 42 19.6557728208 +51 34 31.534970052|130.9335270448223 -10.5039545075556|   2.586 -2.959   |17.48    |DOZ            |2.307 2.307    |    1|    1.436   kpc |  -0.287      +0.287     |        |2010ApJ...714.1096S
4  |M 52                               NGC 7654                           M 52                                                                                                                                                                                                              |Open Cluster                        |23 24 46.8 +61 35 24                   |112.8155 +00.4321                  |  -1.938 -1.131   |     ~   |~              |16.0  16.0     |    1| 1653.0     pc  |                         |paral   |2021A&A...651A.104P
5  |M 103                              NGC 581                            M 103                                                                                                                                                                                                             |Open Cluster                        |01 33 21.4 +60 39 32                   |128.0477 -01.7957                  |  -1.384 -0.497   |7.4      |~              | 7.4   7.4     |    1| 2061       pc  |-258        +258         |paral   |2019MNRAS.486.5726D
6  |M 82                               NGC 3034                           NAME UMa A                         NAME Cigar Galaxy                  M 82                                                                                                                                        |Interacting Galaxies                |09 55 52.430 +69 40 46.93              |141.409467 +40.566962              |            ~ ~   |8.41     |~              |    ~     ~    |    1|    3.37    Mpc |                         |T-F     |2011ApJS..192....6L
7  |M 81                               NGC 3031                           NAME M 81*                         NAME Bode's Galaxy                 M 81                                                                                                                                        |Seyfert 2 Galaxy                    |09 55 33.1726556496 +69 03 55.062505368|142.0918223605216 +40.9000561069047|   0.278 -0.072   |6.94     |~              |21.38 10.23    |    1|    3.39    Mpc |  -0.30       +0.30      |T-F     |2020ApJ...902..145K
8  |M 102                              NGC 5866                           M 102                                                                                                                                                                                                             |Seyfert Galaxy                      |15 06 29.561 +55 45 47.91              |092.034020 +52.489061              |            ~ ~   |9.89     |~              | 6.31  2.69    |    1|   15.420   Mpc |  +0.850      +0.850     |SBF     |2010ApJS..190..233M
9  |M 101                              NGC 5457                           NAME Pinwheel                      M 101                                                                                                                                                                          |Galaxy in Pair of Galaxies          |14 03 12.583 +54 20 55.50              |102.036992 +59.771413              |            ~ ~   |7.86     |~              |21.88 20.89    |    1|    6.70    Mpc |                         |T-F     |2011ApJS..192....6L
10 |M 40                               NAME Winnecke 4                    M 40                                                                                                                                                                                                              |Object of Unknown Nature            |12 22 12.0 +58 05 00                   |130.3543 +58.6216                  |            ~ ~   |     ~   |~              |    ~     ~    |    0|                |                         |        |                   
