C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:14:34

dec >=0&rah >=0.0&rah< 0.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4977

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 230                                                                                                   |Star                              |00 07 11.0169501816 +46 45 25.123241340|115.0928810186749 -15.4400799819976| -4.337 -17.907   |7.92     |K0              |    ~     ~          |    1|  269.462   pc  |  -1.5393     +1.5393  |paral   |2020yCat.1350....0G
2   |HIP 826                                                                                                  |Star                              |00 10 06.7204308048 +47 18 24.601722660|115.6999111930441 -14.9837805711899|  -2.371 -2.283   |8.59     |G5              |    ~     ~          |    1| 1449.485   pc  | -39.7091    +39.7091  |paral   |2020yCat.1350....0G
3   |BD+46 4                                                                                                  |Star                              |00 07 45.1936589160 +47 35 23.877345912|115.3431248509707 -14.6370650531833| -39.928 -8.854   |9.84     |F8              |    ~     ~          |    1|  171.833   pc  |  -0.4281     +0.4281  |paral   |2020yCat.1350....0G
4   |TYC 3246-541-1                                                                                           |Star                              |00 09 07.0127 +46 35 42.957            |115.4027594 -15.6568584            |  29.997 -8.682   |9.33     |A5              |    ~     ~          |    0|                |                       |        |                   
5   |BD+46 9                                                                                                  |Star                              |00 09 37.8519864072 +47 01 06.582672084|115.5667074148491 -15.2545048479793|   -1.575 3.750   |9.59     |K5              |    ~     ~          |    1|  713.470   pc  |  -8.5010     +8.5010  |paral   |2020yCat.1350....0G
6   |BD+46 10                                                                                                 |Star                              |00 10 01.4474294760 +46 57 40.033226520|115.6253501830039 -15.3222502673603| 26.774 -12.403   |9.71     |A5              |    ~     ~          |    1|  297.929   pc  |  -1.4379     +1.4379  |paral   |2020yCat.1350....0G
7   |HD 555                                                                                                   |Star                              |00 10 09.7569744912 +47 35 32.565701760|115.7573897828392 -14.7035618891326| 38.845 -13.823   |9.96     |K               |    ~     ~          |    1|  161.901   pc  |  -3.7536     +3.7536  |paral   |2020yCat.1350....0G
8   |HD 763                                                                                                   |Star                              |00 12 06.8258329728 +47 29 27.968782020|116.0766303405047 -14.8565369255024|-13.831 -23.772   |7.36     |K0              |    ~     ~          |    1|  204.910   pc  |  -0.9153     +0.9153  |paral   |2020yCat.1350....0G
9   |HD 225034                                                                                                |Double or Multiple Star           |00 02 51.35958 +47 15 08.1737          |114.43700432 -14.81657297          |    17.88 -4.03   |8.734    |A0              |    ~     ~          |    0|                |                       |        |                   
10  |BD+46 4245                                                                                               |Star                              |00 03 00.5146080288 +47 43 26.897778012|114.5573338202185 -14.3585740659660|   42.358 5.105   |9.36     |K0              |    ~     ~          |    1|  472.077   pc  |  -3.3874     +3.3874  |paral   |2020yCat.1350....0G
11  |HD 225290                                                                                                |High Proper Motion Star           |00 04 59.6656698864 +47 00 52.739745480|114.7599978107850 -15.1188436051329| -58.276 62.664   |8.97     |G5              |    ~     ~          |    1|   80.106   pc  |  -0.1052     +0.1052  |paral   |2020yCat.1350....0G
12  |HD 83                                                                                                    |Star                              |00 05 47.4719971296 +47 05 14.243651448|114.9120093397380 -15.0724095743677|   5.580 -1.683   |8.47     |A0              |    ~     ~          |    1|  426.076   pc  |  -4.8834     +4.8834  |paral   |2020yCat.1350....0G
13  |HD 136                                                                                                   |Star                              |00 06 18.9445093320 +47 43 38.131813668|115.1221134660184 -14.4590901922865|    5.007 3.557   |8.58     |K2              |    ~     ~          |    1|  435.237   pc  |  -4.2433     +4.2433  |paral   |2020yCat.1350....0G
14  |BD+46 4259                                                                                               |Star                              |00 06 37.6592441544 +47 39 05.289174216|115.1614248264449 -14.5430596669491|  -0.436 -4.188   |10.22    |A0              |    ~     ~          |    1|  528.821   pc  |  -6.6837     +6.6837  |paral   |2020yCat.1350....0G
15  |HD 247                                                                                                   |Star                              |00 07 21.2399336016 +47 42 21.773924604|115.2957138690738 -14.5110069437567|  -7.576 -7.434   |8.71     |G5              |    ~     ~          |    1|  402.917   pc  | -10.0327    +10.0327  |paral   |2020yCat.1350....0G
16  |HD 348                                                                                                   |Star                              |00 08 14.9218726608 +46 42 30.503547468|115.2705136822106 -15.5197937283607| -11.406 -1.239   |7.35     |K2              |    ~     ~          |    1|  882.768   pc  | -16.2870    +16.2870  |paral   |2020yCat.1350....0G
17  |HD 487                                                                                                   |Star                              |00 09 27.5851399488 +46 23 16.353896964|115.4267520278400 -15.8712411906722| 10.089 -14.610   |7.16     |B9              |    ~     ~          |    1|  145.992   pc  |  -3.8450     +3.8450  |paral   |2020yCat.1350....0G
18  |HD 556A                                                                                                  |Eclipsing Binary                  |00 10 03.2034509153 +46 23 25.111542225|115.5321018245117 -15.8859745175265|  8.101 -11.867   |7.82     |A3V             |    ~     ~          |    1|  154.607   pc  |  -1.2358     +1.2358  |paral   |2020yCat.1350....0G
19  |HD 556B                                                                                                  |Star                              |00 10 03.6812965728 +46 23 25.853413164|115.5335453979910 -15.8859995038286|  8.597 -14.868   |9.02     |~               |    ~     ~          |    1|  144.781   pc  |  -4.2740     +4.2740  |paral   |2020yCat.1350....0G
20  |BD+45 20                                                                                                 |Star                              |00 11 44.5671696840 +46 18 36.829048896|115.8176842984156 -16.0124663648334|   -1.454 2.573   |9.15     |K5              |    ~     ~          |    1|  899.038   pc  | -16.0846    +16.0846  |paral   |2020yCat.1350....0G
21  |BD+45 4399                                                                                               |Star                              |00 02 51.2945742360 +46 43 56.530518996|114.3324043455042 -15.3265687245974|   5.403 -5.426   |9.95     |K0              |    ~     ~          |    1|  687.853   pc  |  -7.3810     +7.3810  |paral   |2020yCat.1350....0G
22  |BD+45 4402                                                                                               |Star                              |00 03 58.5980060568 +46 26 51.299604564|114.4718887009648 -15.6430706106932|  -0.981 -2.023   |9.97     |K0              |    ~     ~          |    1| 1039.717   pc  | -13.7289    +13.7289  |paral   |2020yCat.1350....0G
23  |HD 225238                                                                                                |Star                              |00 04 43.5618076584 +46 35 23.619725052|114.6311781892232 -15.5276116946500|    8.136 4.257   |9.47     |A2              |    ~     ~          |    1|  515.490   pc  |  -5.2349     +5.2349  |paral   |2020yCat.1350....0G
24  |BD+45 3                                                                                                  |Star                              |00 08 13.6791553608 +46 03 56.135348532|115.1510196442527 -16.1523221148403|  -9.182 -5.977   |8.92     |K0              |    ~     ~          |    1|  535.389   pc  |  -4.6436     +4.6436  |paral   |2020yCat.1350....0G
25  |BD+45 7                                                                                                  |Star                              |00 08 32.9848228824 +46 06 17.157108816|115.2152800909431 -16.1233926907603|  -6.080 -6.895   |9.20     |K0              |    ~     ~          |    1|  540.599   pc  |  -4.3253     +4.3253  |paral   |2020yCat.1350....0G
26  |BD+45 12                                                                                                 |Star                              |00 09 31.0228732056 +45 59 12.189636528|115.3665459560874 -16.2683281448558|  -4.064 -5.422   |9.45     |A0              |    ~     ~          |    1|  582.751   pc  |  -7.6070     +7.6070  |paral   |2020yCat.1350....0G
27  |BD+45 14                                                                                                 |Star                              |00 09 52.9320063408 +46 02 08.340458784|115.4402049138189 -16.2307367015452|    3.497 3.376   |10.46    |K0              |    ~     ~          |    1|  741.510   pc  |  -9.2922     +9.2922  |paral   |2020yCat.1350....0G
28  |* 22 And                                                                                                 |Star                              |00 10 19.2465938 +46 04 20.180005      |115.5246881366 -16.2072760548      |      5.49 0.28   |5.04     |F5II            |    ~     ~          |    0|                |                       |        |                   
29  |BD+45 19                                                                                                 |Star                              |00 11 00.8744660472 +46 12 05.612069772|115.6701938915067 -16.0994458111617|  -2.648 -6.073   |9.72     |A2              |    ~     ~          |    1|  539.724   pc  |  -5.0686     +5.0686  |paral   |2020yCat.1350....0G
30  |HD 225065                                                                                                |Star                              |00 03 06.9933556728 +45 53 34.082881116|114.2091975128175 -16.1589477141574|  -7.105 -7.277   |9.15     |A5              |    ~     ~          |    1|  425.913   pc  |  -7.9635     +7.9635  |paral   |2020yCat.1350....0G
31  |HD 38B                                                                                                   |High Proper Motion Star           |00 05 41.0026267908 +45 48 37.359387405|114.6501340218375 -16.3243260935338|846.013 -148.909  |8.995    |M0.5V           |    ~     ~          |    1|   11.518   pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
32  |HD 38A                                                                                                   |Spectroscopic Binary              |00 05 41.0220797201 +45 48 43.550746689|114.6505214717521 -16.3226459980874|888.479 -162.831  |8.826    |K6V             |    ~     ~          |    1|   11.5207  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
33  |HD 38                                                                                                    |Double or Multiple Star           |00 05 41.01985 +45 48 43.5072          |114.65051253 -16.32265671          | 887.48 -152.02   |8.217    |K6V+M0.5V       |    ~     ~          |    0|                |                       |        |                   
