C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:15:54

dec >=0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4911

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 1072                                                                                                  |Star                              |00 15 07.5296885088 +47 15 28.858339908|116.5619227759979 -15.1641092364916|  -9.691 -3.932  |8.50     |A3                |    ~     ~    |    1|  133.905   pc  |  -1.2838     +1.2838  |paral   |2020yCat.1350....0G
2   |HD 1079                                                                                                  |Star                              |00 15 15.6982377288 +47 23 08.760921540|116.6047768957052 -15.0410614486897|   0.774 -4.063  |8.83     |A0                |    ~     ~    |    1|  734.376   pc  | -14.0759    +14.0759  |paral   |2020yCat.1350....0G
3   |HD 1080                                                                                                  |High Proper Motion Star           |00 15 19.7014402296 +46 53 57.625505700|116.5433481893177 -15.5239984589393|  54.924 25.249  |8.37     |G5                |    ~     ~    |    1|   66.949   pc  |  -0.0865     +0.0865  |paral   |2020yCat.1350....0G
4   |BD+46 42                                                                                                 |Star                              |00 16 30.2223930648 +46 48 37.494953676|116.7366551643529 -15.6406748669273|  -0.642 -2.942  |10.52    |M                 |    ~     ~    |    1| 1849.454   pc  | -55.0698    +55.0698  |paral   |2020yCat.1350....0G
5   |HD 1211                                                                                                  |Star                              |00 16 44.7993045144 +47 16 45.843440124|116.8471235896537 -15.1820692601714|  -0.815 -4.735  |8.330    |B9                |    ~     ~    |    1|  513.347   pc  |  -9.1707     +9.1707  |paral   |2020yCat.1350....0G
6   |HD 1222                                                                                                  |Star                              |00 16 49.7364680040 +47 14 38.505778656|116.8563589527432 -15.2190371617807|   0.928 -3.820  |9.210    |A                 |    ~     ~    |    1|  673.446   pc  | -12.2907    +12.2907  |paral   |2020yCat.1350....0G
7   |BD+46 48                                                                                                 |Star                              |00 17 28.0078776960 +47 04 58.720856844|116.9447332219916 -15.3934701472892|   1.419 -0.960  |9.33     |K5                |    ~     ~    |    1| 1065.530   pc  | -18.8469    +18.8469  |paral   |2020yCat.1350....0G
8   |BD+46 50                                                                                                 |Star                              |00 18 10.7598624216 +47 23 03.237523800|117.1110567316080 -15.1112730293996|  -4.894 -5.197  |9.39     |A2                |    ~     ~    |    1|  392.511   pc  |  -2.9272     +2.9272  |paral   |2020yCat.1350....0G
9   |BD+46 52                                                                                                 |Star                              |00 18 46.5941498400 +47 40 30.818638236|117.2542741346531 -14.8361374231571|   7.548 12.073  |9.46     |K0                |    ~     ~    |    1|  657.808   pc  | -25.4002    +25.4002  |paral   |2020yCat.1350....0G
10  |BD+46 53                                                                                                 |Spectroscopic Binary              |00 19 21.6104503248 +47 21 27.146124756|117.3127689153499 -15.1639212613898|  20.637 -8.265  |9.29     |A2                |    ~     ~    |    1|  227.899   pc  |  -1.1167     +1.1167  |paral   |2020yCat.1350....0G
11  |BD+46 60                                                                                                 |Star                              |00 20 57.4048335720 +47 01 44.899155948|117.5490367419037 -15.5237795828689|  -7.293 -6.240  |10.43    |A5                |    ~     ~    |    1|  652.146   pc  | -14.8002    +14.8002  |paral   |2020yCat.1350....0G
12  |BD+46 61                                                                                                 |Double or Multiple Star           |00 20 59.4519055776 +47 37 00.720625080|117.6294498271449 -14.9411664903184|   3.859 -3.680  |9.74     |A2                |0.0033  0.0    |    1|  379.535   pc  | -19.8929    +19.8929  |paral   |2020yCat.1350....0G
13  |HD 1864                                                                                                  |Double or Multiple Star           |00 23 13.2692 +47 16 05.572            |117.9748892 -15.3317691            |-10.359 -10.227  |8.97     |A3                |    ~     ~    |    0|                |                       |        |                   
14  |BD+46 67C                                                                                                |Star                              |00 23 12.5418411936 +47 15 42.996039516|117.9720332814568 -15.3377666298234|   10.894 0.282  |10.9     |~                 |    ~     ~    |    1| 1050.972   pc  | -18.4459    +18.4459  |paral   |2020yCat.1350....0G
15  |BD+46 69                                                                                                 |Star                              |00 23 22.9795567920 +46 58 34.209743700|117.9690028409574 -15.6250540235783|  -3.443 -0.633  |8.86     |K2                |    ~     ~    |    1|  649.308   pc  |  -9.0223     +9.0223  |paral   |2020yCat.1350....0G
16  |BD+45 39                                                                                                 |Star                              |00 15 06.1400500512 +46 33 01.583809776|116.4508096168701 -15.8635498006107|-31.223 -12.916  |9.98     |K2                |    ~     ~    |    1|  437.924   pc  |  -3.1260     +3.1260  |paral   |2020yCat.1350....0G
17  |BD+45 40                                                                                                 |High Proper Motion Star           |00 15 12.5962337496 +46 47 39.959152044|116.5067372258933 -15.6248538109633|-14.563 -69.614  |9.58     |G0                |    ~     ~    |    1|  126.613   pc  |  -0.2597     +0.2597  |paral   |2020yCat.1350....0G
