C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:31:24

dec >=0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4974

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 15489                                                                                                                                    |Star                              |02 30 42.4170168264 +40 42 06.112713528|142.5211108523189 -18.3636939003702|  -3.206 -0.831   |9.03     |A5               |    ~     ~    |    1|  600.024   pc  | -10.4048    +10.4048  |paral   |2020yCat.1350....0G
2   |BD+39 556                                                                                                                                   |Star                              |02 31 48.5400902352 +40 33 25.518714192|142.7837750690337 -18.4137612142391|  -5.403 -1.225   |9.69     |A0               |    ~     ~    |    1|  344.151   pc  |  -4.4533     +4.4533  |paral   |2020yCat.1350....0G
3   |HD 15683                                                                                                                                    |Star                              |02 32 22.3078069536 +40 16 20.897987268|143.0071594271230 -18.6319763374763| -9.866 -21.583   |6.83     |A0               |    ~     ~    |    1|  210.164   pc  |  -4.4478     +4.4478  |paral   |2020yCat.1350....0G
4   |BD+39 562                                                                                                                                   |Star                              |02 33 03.3534125160 +40 35 38.464021464|142.9968446961520 -18.2852171201049|   2.553 -3.301   |9.63     |K2               |    ~     ~    |    1| 1595.151   pc  | -68.1928    +68.1928  |paral   |2020yCat.1350....0G
5   |BD+39 563                                                                                                                                   |Double or Multiple Star           |02 33 09.3144 +40 17 56.860            |143.1402133 -18.5475420            |    11.40 -8.70   |9.86     |K0               |    ~     ~    |    0|                |                       |        |                   
6   |BD+39 565                                                                                                                                   |Star                              |02 34 00.7347466560 +40 30 20.468712636|143.2094532960459 -18.2926496360871|  -5.032 -0.801   |9.48     |M0               |    ~     ~    |    1| 1229.105   pc  | -35.9547    +35.9547  |paral   |2020yCat.1350....0G
7   |HD 15864A                                                                                                                                   |Star                              |02 34 19.3357716984 +40 17 34.567089108|143.3573958493257 -18.4630465730368|  6.348 -12.279   |8.58     |~                |    ~     ~    |    1|  211.730   pc  |  -1.3359     +1.3359  |paral   |2020yCat.1350....0G
8   |HD 15981                                                                                                                                    |Double or Multiple Star           |02 35 16.5230 +40 16 47.023            |143.5379337 -18.4007769            |    100.6 -33.5   |8.65     |F8               |    ~     ~    |    0|                |                       |        |                   
9   |HD 15980                                                                                                                                    |Star                              |02 35 13.9902232272 +40 35 48.141835296|143.3933182353734 -18.1149826476365| -3.475 -12.204   |7.87     |~                |    ~     ~    |    1|  271.924   pc  |  -3.0021     +3.0021  |paral   |2020yCat.1350....0G
10  |HD 15473                                                                                                                                    |High Proper Motion Star           |02 30 40.7780926824 +40 10 03.265739400|142.7381898023015 -18.8566359475656| 60.341 -37.032   |6.82     |K2               |    ~     ~    |    1|  187.628   pc  |  -1.1019     +1.1019  |paral   |2020yCat.1350....0G
11  |HD 15624                                                                                                                                    |Star                              |02 31 45.5674665048 +39 57 45.437535756|143.0246091864478 -18.9627919008285|  2.601 -24.201   |6.99     |K0               |    ~     ~    |    1|  166.179   pc  |  -0.5993     +0.5993  |paral   |2020yCat.1350....0G
12  |HD 15684                                                                                                                                    |Star                              |02 32 23.2272124344 +40 05 07.118934756|143.0891587845697 -18.8022885509182|   3.009 -9.854   |7.66     |B9               |    ~     ~    |    1|  330.022   pc  |  -4.8249     +4.8249  |paral   |2020yCat.1350....0G
13  |TYC 2836-22-1                                                                                                                               |Star                              |02 34 33.6647209104 +40 40 59.003215320|143.2337729134540 -18.0882444779381|  -1.077 -4.687   |10.95    |~                |    ~     ~    |    1|  360.620   pc  |  -4.5516     +4.5516  |paral   |2020yCat.1350....0G
14  |TYC 2836-56-1                                                                                                                               |Star                              |02 32 07.2133988160 +39 57 55.802798820|143.0903930608274 -18.9325334973456|   0.502 -2.608   |10.95    |~                |    ~     ~    |    1| 1136.622   pc  | -44.4417    +44.4417  |paral   |2020yCat.1350....0G
15  |TYC 2836-285-1                                                                                                                              |Star                              |02 34 34.3858343592 +40 36 16.400144016|143.2696071221252 -18.1590098962862|   2.250 -6.418   |10.86    |~                |    ~     ~    |    1|  480.561   pc  | -12.9095    +12.9095  |paral   |2020yCat.1350....0G
16  |TYC 2836-326-1                                                                                                                              |Star                              |02 35 28.1973277776 +40 33 53.709343992|143.4501793474583 -18.1255307151192|   5.165 -3.557   |10.63    |~                |    ~     ~    |    1| 1114.827   pc  | -28.8339    +28.8339  |paral   |2020yCat.1350....0G
17  |TYC 2836-406-1                                                                                                                              |Star                              |02 35 06.3452112456 +40 33 34.056315828|143.3861443942759 -18.1588703620847|  7.796 -11.479   |10.44    |~                |    ~     ~    |    1|  518.941   pc  |  -5.6014     +5.6014  |paral   |2020yCat.1350....0G
18  |TYC 2836-487-1                                                                                                                              |Star                              |02 31 54.8966051712 +39 52 29.688267720|143.0905537526143 -19.0313019162570|  -1.465 -4.203   |10.17    |~                |    ~     ~    |    1|  675.219   pc  |  -8.5257     +8.5257  |paral   |2020yCat.1350....0G
19  |TYC 2836-650-1                                                                                                                              |Star                              |02 32 28.8951115440 +40 30 06.286325436|142.9305610847756 -18.4135073185362|   0.744 -6.505   |10.35    |~                |    ~     ~    |    1| 1606.942   pc  | -58.8756    +58.8756  |paral   |2020yCat.1350....0G
20  |TYC 2836-675-1                                                                                                                              |Star                              |02 30 09.5021353248 +40 29 32.906546520|142.5068015185902 -18.5970060122569|   -1.826 0.822   |10.44    |~                |    ~     ~    |    1|  870.398   pc  | -16.4398    +16.4398  |paral   |2020yCat.1350....0G
