C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:59

dec >=0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4298

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 17201                                                                                                 |Star                                |02 46 47.8742312064 +39 06 45.876093264|146.1764667829818 -18.4962186320066|  49.098 -1.946  |8.43     |K0                   |    ~     ~    |    1|  282.725   pc  |  -2.3820     +2.3820  |paral   |2020yCat.1350....0G
2   |HD 17200                                                                                                 |High Proper Motion Star             |02 46 50.7388271976 +39 19 26.022130032|146.0844598836933 -18.3037382164828| 44.595 -52.667  |9.05     |K0                   |    ~     ~    |    1|   76.645   pc  |  -0.1187     +0.1187  |paral   |2020yCat.1350....0G
3   |BD+38 553                                                                                                |Double or Multiple Star             |02 47 05.4889 +39 26 52.709            |146.0699260 -18.1715961            |     -0.5 -12.0  |10.50    |A2                   |    ~     ~    |    0|                |                       |        |                   
4   |BD+38 556                                                                                                |Star                                |02 47 33.6539274768 +39 22 35.570662644|146.1890827844445 -18.1941061754449|   -2.596 0.472  |10.14    |K0                   |    ~     ~    |    1|  745.379   pc  | -10.6673    +10.6673  |paral   |2020yCat.1350....0G
5   |BD+38 558                                                                                                |Star                                |02 47 48.8755415424 +39 19 06.437905860|146.2628898075473 -18.2235120173579|  -5.589 -2.688  |9.88     |K0                   |    ~     ~    |    1|  603.610   pc  |  -6.3760     +6.3760  |paral   |2020yCat.1350....0G
6   |TYC 2845-1533-1                                                                                          |Star                                |02 47 03.2559034536 +39 06 55.432798668|146.2219391805558 -18.4713203026977|  -2.885 -7.630  |10.33    |~                    |    ~     ~    |    1|  479.088   pc  |  -4.9348     +4.9348  |paral   |2020yCat.1350....0G
7   |TYC 2845-1545-1                                                                                          |Star                                |02 45 07.5465063936 +39 08 38.446262520|145.8561292115512 -18.6141649887184|   2.793 -6.684  |10.37    |~                    |    ~     ~    |    1|  423.513   pc  |  -7.4436     +7.4436  |paral   |2020yCat.1350....0G
8   |TYC 2845-1581-1                                                                                          |Star                                |02 48 12.4192625616 +39 16 38.355787848|146.3537691183418 -18.2254731714386| 32.554 -24.919  |10.41    |~                    |    ~     ~    |    1|  215.350   pc  |  -1.1501     +1.1501  |paral   |2020yCat.1350....0G
9   |TYC 2845-1725-1                                                                                          |Star                                |02 47 08.6039048568 +39 04 34.071529620|146.2569747562112 -18.4984658296047|  -0.300 -5.769  |10.57    |~                    |    ~     ~    |    1|  664.849   pc  | -15.8687    +15.8687  |paral   |2020yCat.1350....0G
10  |BD+38 550                                                                                                |Star                                |02 46 14.4742763904 +38 42 54.525552372|146.2643264419032 -18.8998063157208|  0.897 -13.570  |9.32     |K5                   |    ~     ~    |    1|  529.017   pc  |  -6.7726     +6.7726  |paral   |2020yCat.1350....0G
11  |BD+38 560                                                                                                |Star                                |02 48 10.3946858160 +38 43 29.294996592|146.6141952407421 -18.7197459545056|  6.805 -16.545  |10.64    |A5                   |    ~     ~    |    1|  422.226   pc  |  -3.2981     +3.2981  |paral   |2020yCat.1350....0G
12  |TYC 2846-1002-1                                                                                          |Star                                |02 50 45.5256641784 +38 15 47.964763872|147.3136275423875 -18.8944928497970|  -2.695 -3.867  |10.27    |F2                   |    ~     ~    |    1| 1132.503   pc  | -36.8095    +36.8095  |paral   |2020yCat.1350....0G
13  |BD+38 568                                                                                                |Star                                |02 50 52.9319150112 +38 55 45.171473988|147.0078051769187 -18.2945132768566|  20.864 -7.958  |9.72     |F8                   |    ~     ~    |    1|  155.982   pc  |  -0.4915     +0.4915  |paral   |2020yCat.1350....0G
14  |BD+38 570                                                                                                |Spectroscopic Binary                |02 50 57.2546490672 +38 45 24.183291924|147.1057628260385 -18.4404893855206|   3.175 -4.502  |9.63     |K0                   |    ~     ~    |    1|  939.496   pc  | -69.4648    +69.4648  |paral   |2020yCat.1350....0G
15  |HD 17708                                                                                                 |High Proper Motion Star             |02 51 42.2885693856 +38 54 04.847421924|147.1704480538662 -18.2442364187026|-51.391 -39.447  |8.87     |F5                   |    ~     ~    |    1|  160.715   pc  |  -0.4133     +0.4133  |paral   |2020yCat.1350....0G
16  |BD+38 574B                                                                                               |High Proper Motion Star             |02 51 44.0021548704 +38 53 47.954531292|147.1779337592812 -18.2457703253787| 18.180 -54.705  |10.55    |~                    |    ~     ~    |    1|  661.901   pc  | -11.5662    +11.5662  |paral   |2020yCat.1350....0G
17  |BD+37 621                                                                                                |Star                                |02 45 43.0166648760 +38 32 41.700066432|146.2488887319387 -19.0979208960853|  11.712 -3.082  |9.32     |F0                   |    ~     ~    |    1|  326.424   pc  |  -2.5253     +2.5253  |paral   |2020yCat.1350....0G
18  |HD 17117                                                                                                 |Star                                |02 46 01.9090588176 +38 31 16.653767232|146.3183228498893 -19.0912369614933| 19.802 -24.953  |9.00     |A2                   |    ~     ~    |    1|  202.188   pc  |  -1.1937     +1.1937  |paral   |2020yCat.1350....0G
19  |BD+37 624                                                                                                |High Proper Motion Star             |02 46 08.8255354656 +38 26 16.868350068|146.3794467736957 -19.1553330626846| 54.791 -14.297  |9.58     |G0                   |    ~     ~    |    1|  104.875   pc  |  -0.1903     +0.1903  |paral   |2020yCat.1350....0G
20  |HD 17175                                                                                                 |Star                                |02 46 28.1043624648 +38 22 47.553340872|146.4667333345731 -19.1786792549390| 18.095 -27.627  |9.27     |F0                   |    ~     ~    |    1|  200.144   pc  |  -0.8332     +0.8332  |paral   |2020yCat.1350....0G
21  |BD+37 630                                                                                                |Star                                |02 46 54.2109099912 +38 22 00.320513916|146.5534792895493 -19.1516446279176|   1.082 -8.706  |10.17    |K5                   |    ~     ~    |    1| 1139.082   pc  | -26.8584    +26.8584  |paral   |2020yCat.1350....0G
22  |HD 17273                                                                                                 |Star                                |02 47 37.6628742144 +38 26 23.377284744|146.6518442490580 -19.0219195113149| -5.125 -21.335  |8.82     |G0                   |    ~     ~    |    1|  240.148   pc  |  -1.5167     +1.5167  |paral   |2020yCat.1350....0G
23  |CCDM J02506+3818C                                                                                        |Star                                |02 50 45.8 +38 15 44                   |147.3150 -18.8950                  |            ~ ~  |9.0      |~                    |    ~     ~    |    0|                |                       |        |                   
