C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:34:33

dec >=0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4191

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+37 687                                                                                                                                                                      |Star                                |03 02 39.1617360888 +37 34 36.773632740|149.8274247181592 -18.3485155056009| 16.329 -11.947   |10.72    |F0                   |    ~     ~    |    1|  351.358   pc  |  -2.9875     +2.9875  |paral   |2020yCat.1350....0G
2   |BD+36 610                                                                                                                                                                      |Star                                |03 00 01.1540109552 +37 25 38.667072540|149.4310767820447 -18.7408661901167|  -0.172 -3.748   |9.17     |K0                   |    ~     ~    |    1|  438.059   pc  |  -3.7803     +3.7803  |paral   |2020yCat.1350....0G
3   |BD+36 611                                                                                                                                                                      |Star                                |03 00 13.7968458768 +37 11 23.949146760|149.5949959617938 -18.9254065797784|   4.869 -7.038   |10.46    |K5                   |    ~     ~    |    1| 1164.415   pc  | -30.1002    +30.1002  |paral   |2020yCat.1350....0G
4   |BD+36 612                                                                                                                                                                      |Star                                |03 00 18.0658448376 +37 11 32.325336564|149.6067226101125 -18.9162881708113|  13.582 -5.560   |10.92    |F5                   |    ~     ~    |    1|  613.874   pc  |  -7.8760     +7.8760  |paral   |2020yCat.1350....0G
5   |BD+36 613                                                                                                                                                                      |Star                                |03 00 20.3160803712 +37 18 43.094920248|149.5501378004831 -18.8090192834252| 28.731 -17.294   |10.38    |G5                   |    ~     ~    |    1|  583.499   pc  |  -8.0011     +8.0011  |paral   |2020yCat.1350....0G
6   |BD+36 615                                                                                                                                                                      |Star                                |03 00 30.5041739136 +37 17 46.052455704|149.5893927039253 -18.8057876668018|     -6.7 -12.7   |10.94    |F0                   |    ~     ~    |    0|                |                       |        |                   
7   |BD+36 619                                                                                                                                                                      |Star                                |03 01 51.4573321848 +36 56 52.150499952|150.0205499769948 -18.9708214482220| 14.042 -10.741   |10.58    |A5                   |    ~     ~    |    1|  520.102   pc  |  -4.7339     +4.7339  |paral   |2020yCat.1350....0G
8   |HD 18568                                                                                                                                                                       |Star                                |03 00 21.3852068904 +36 23 17.701306944|150.0450328847994 -19.6058032448855|-33.912 -36.274   |8.06     |F0                   |    ~     ~    |    1|   97.005   pc  |  -0.2268     +0.2268  |paral   |2020yCat.1350....0G
9   |BD+35 608                                                                                                                                                                      |Star                                |03 01 42.2089221432 +36 22 33.647314656|150.2997503729967 -19.4791696449165|    0.010 2.589   |9.79     |K0                   |    ~     ~    |    1|  481.696   pc  |  -3.9677     +3.9677  |paral   |2020yCat.1350....0G
10  |BD+36 624                                                                                                                                                                      |High Proper Motion Star             |03 03 34.4545487424 +37 21 58.395742776|150.1063608171074 -18.4365593081143| 40.354 -32.889   |9.27     |K0                   |    ~     ~    |    1|  243.510   pc  |  -1.4409     +1.4409  |paral   |2020yCat.1350....0G
11  |BD+36 625                                                                                                                                                                      |Star                                |03 03 55.2422458704 +37 23 23.418757356|150.1559330011063 -18.3810359444963| -5.663 -20.370   |9.16     |F8                   |    ~     ~    |    1|  285.608   pc  |  -1.4275     +1.4275  |paral   |2020yCat.1350....0G
12  |BD+36 626                                                                                                                                                                      |Star                                |03 04 12.5781679104 +36 57 39.418642836|150.4403061018664 -18.7195254697539|   1.881 -0.257   |9.48     |K5                   |    ~     ~    |    1|  809.520   pc  | -14.8103    +14.8103  |paral   |2020yCat.1350....0G
13  |HD 19102                                                                                                                                                                       |Star                                |03 05 35.4792463176 +36 47 55.465593900|150.7785684364049 -18.7155978632209| 15.772 -25.272   |6.97     |A2                   |    ~     ~    |    1|  163.822   pc  |  -1.1433     +1.1433  |paral   |2020yCat.1350....0G
14  |HD 19289                                                                                                                                                                       |Star                                |03 07 28.6053409512 +36 36 34.379589276|151.2231033692499 -18.6795390797231|  -4.317 -0.534   |9.13     |B9                   |    ~     ~    |    1|  620.501   pc  |  -9.7411     +9.7411  |paral   |2020yCat.1350....0G
15  |HD 278265                                                                                                                                                                      |Eclipsing Binary                    |03 07 45.435408 +36 52 07.74804        |151.129798188 -18.429430945        |     -4.9 -15.4   |9.49     |F8                   |    ~     ~    |    0|                |                       |        |                   
16  |HD 278327                                                                                                                                                                      |Star                                |03 10 00.3466382688 +36 38 27.814823232|151.6595665400942 -18.3842249682665|  9.985 -20.864   |8.72     |K0                   |    ~     ~    |    1|  320.010   pc  |  -2.1403     +2.1403  |paral   |2020yCat.1350....0G
17  |HD 278328                                                                                                                                                                      |High Proper Motion Star             |03 10 25.4338221696 +36 34 17.607789984|151.7734401195253 -18.3981988255786| 36.557 -35.492   |9.69     |A3                   |    ~     ~    |    1|  297.992   pc  |  -4.8307     +4.8307  |paral   |2020yCat.1350....0G
18  |BD+35 615                                                                                                                                                                      |Star                                |03 03 27.5639780160 +36 26 28.038557580|150.5864261721577 -19.2427290973409| 17.720 -13.228   |9.91     |~                    |    ~     ~    |    1|  253.955   pc  |  -1.5414     +1.5414  |paral   |2020yCat.1350....0G
19  |HD 18900                                                                                                                                                                       |High Proper Motion Star             |03 03 35.6446242240 +36 26 31.219261512|150.6105584856025 -19.2280573895127|164.663 -47.171   |7.685    |F8                   |    ~     ~    |    1|   41.609   pc  |  -0.0459     +0.0459  |paral   |2020yCat.1350....0G
20  |HD 278329                                                                                                                                                                      |Star                                |03 10 43.5734544864 +36 30 46.953676692|151.8605046077880 -18.4151379767121|   2.875 -0.995   |10.06    |K2                   |    ~     ~    |    1|  594.566   pc  | -36.1286    +36.1286  |paral   |2020yCat.1350....0G
21  |HD 278267                                                                                                                                                                      |Star                                |03 05 58.3985030088 +36 49 58.131128928|150.8288232702018 -18.6467543801455|  11.631 -6.364   |10.92    |F8                   |    ~     ~    |    1|  342.642   pc  |  -2.5124     +2.5124  |paral   |2020yCat.1350....0G
22  |HD 278268                                                                                                                                                                      |Star                                |03 05 55.1033706000 +36 45 42.791090148|150.8578654597206 -18.7130468803744|  -2.456 -4.162   |10.8     |G0                   |    ~     ~    |    1|  788.892   pc  | -12.7582    +12.7582  |paral   |2020yCat.1350....0G
23  |HD 18642                                                                                                                                                                       |Star                                |03 00 59.6867226432 +36 00 37.869787656|150.3659066629021 -19.8666614892099|  -4.816 -0.262   |8.60     |K0                   |    ~     ~    |    1|  517.036   pc  |  -9.8911     +9.8911  |paral   |2020yCat.1350....0G
24  |BD+35 606                                                                                                                                                                      |Spectroscopic Binary                |03 01 07.4833733520 +36 11 14.513271216|150.2946930602358 -19.7009119344730|   8.528 -9.484   |8.64     |K5                   |    ~     ~    |    1|  802.118   pc  | -22.4544    +22.4544  |paral   |2020yCat.1350....0G
25  |HD 18665                                                                                                                                                                       |Star                                |03 01 15.3982896384 +36 07 04.448380116|150.3564963436888 -19.7472750093524| 13.417 -11.571   |7.250    |K2                   |    ~     ~    |    1|  368.664   pc  | -17.1658    +17.1658  |paral   |2020yCat.1350....0G
26  |HD 18758                                                                                                                                                                       |Star                                |03 02 08.0867636736 +35 36 01.043798436|150.7998744583161 -20.1019945088450|  -1.777 19.908   |9.29     |K0                   |    ~     ~    |    1|  149.522   pc  |  -0.4136     +0.4136  |paral   |2020yCat.1350....0G
27  |HD 278271                                                                                                                                                                      |Star                                |03 05 40.1742068088 +36 06 11.484735336|151.1754859734166 -19.3014383767071| -0.024 -24.304   |10.92    |G0                   |    ~     ~    |    1|  199.294   pc  |  -0.6832     +0.6832  |paral   |2020yCat.1350....0G
28  |HD 278272                                                                                                                                                                      |Star                                |03 06 28.1556107448 +36 10 36.121130832|151.2806200464378 -19.1544129506681|   4.264 -0.424   |10.20    |G5                   |    ~     ~    |    1|  627.825   pc  |  -6.6614     +6.6614  |paral   |2020yCat.1350....0G
29  |DO 9709                                                                                                                                                                        |Long-Period Variable Candidate      |03 04 34.2293069496 +35 51 42.185394972|151.1071905678919 -19.6233058273578|  -2.157 -3.137   |10.90    |M5                   |    ~     ~    |    1|  928.505   pc  | -69.8319    +69.8319  |paral   |2020yCat.1350....0G
30  |HD 278266                                                                                                                                                                      |Star                                |03 06 03.1266610224 +36 49 28.471213272|150.8475597708262 -18.6455837020372|  -4.583 -2.752   |9.52     |K0                   |    ~     ~    |    1|  470.500   pc  |  -3.5641     +3.5641  |paral   |2020yCat.1350....0G
31  |HD 278270                                                                                                                                                                      |Star                                |03 06 17.6081096280 +36 25 12.397478988|151.1140068968000 -18.9654594758830|    7.113 0.132   |9.90     |F8                   |    ~     ~    |    1|  311.935   pc  |  -2.6466     +2.6466  |paral   |2020yCat.1350....0G
32  |BD+35 603                                                                                                                                                                      |Star                                |03 00 31.4105195616 +35 40 48.068612940|150.4564853924427 -20.1999925070493|   0.952 -0.025   |9.60     |G5                   |    ~     ~    |    0|                |                       |        |                   
33  |BD+35 604                                                                                                                                                                      |Star                                |03 00 36.7154038680 +35 40 51.573795924|150.4724553493332 -20.1900595254490|  6.971 -19.561   |8.79     |K2                   |    ~     ~    |    1|  556.917   pc  |  -7.7229     +7.7229  |paral   |2020yCat.1350....0G
34  |TYC 2351-11-1                                                                                                                                                                  |Star                                |03 02 03.3882429672 +37 29 27.879291168|149.7659201531600 -18.4824123023628| 13.031 -12.390   |10.59    |~                    |    ~     ~    |    1|  842.176   pc  | -11.4191    +11.4191  |paral   |2020yCat.1350....0G
35  |TYC 2351-33-1                                                                                                                                                                  |Star                                |03 01 08.8348936296 +37 26 31.516212408|149.6277570753235 -18.6157992234092|  37.133 -8.144   |9.55     |~                    |    ~     ~    |    1|  528.290   pc  |  -5.2190     +5.2190  |paral   |2020yCat.1350....0G
36  |TYC 2351-43-1                                                                                                                                                                  |Star                                |03 01 19.9645226664 +37 27 27.062874828|149.6531072855642 -18.5839216370658|-13.722 -10.006   |10.33    |~                    |    ~     ~    |    1|  716.076   pc  |  -9.5887     +9.5887  |paral   |2020yCat.1350....0G
