C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:08

dec >=0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4255

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 275114                                                                                                                                   |Eclipsing Binary                    |03 15 32.6462494752 +38 40 23.300913072|151.4797181633929 -16.0818323668629|  -1.849 -0.009  |10.32    |B9                |    ~     ~    |    1| 1023.961   pc  | -35.8585    +35.8585  |paral   |2020yCat.1350....0G
2   |BD+38 677B                                                                                                                                  |Star                                |03 15 32.0006295984 +38 40 18.683326164|151.4786123918612 -16.0840521182320|   4.201 -9.667  |10.6     |~                 |    ~     ~    |    1|  398.788   pc  |  -4.7073     +4.7073  |paral   |2020yCat.1350....0G
3   |HD 20163                                                                                                                                    |Star                                |03 15 41.3915957880 +38 31 02.681761836|151.5929542531951 -16.1968564261946|  -1.238 -1.060  |7.97     |B9                |    ~     ~    |    1|  608.532   pc  | -21.6632    +21.6632  |paral   |2020yCat.1350....0G
4   |HD 275119                                                                                                                                   |Star                                |03 16 56.3343050016 +38 23 25.187940888|151.8784702200636 -16.1692937584774|   2.210 -2.108  |9.86     |A7                |    ~     ~    |    1|  287.274   pc  |  -2.6078     +2.6078  |paral   |2020yCat.1350....0G
5   |HD 275120                                                                                                                                   |Star                                |03 17 02.7262408008 +38 18 21.545926236|151.9449299921122 -16.2282614956677|   0.160 -9.749  |9.96     |K0                |    ~     ~    |    1| 1089.799   pc  | -22.5656    +22.5656  |paral   |2020yCat.1350....0G
6   |HD 275122                                                                                                                                   |High Proper Motion Star             |03 18 07.4804602684 +38 15 07.437859473|152.1598511695466 -16.1563738271803|446.154 -572.553 |10.280   |M1.5V             |    ~     ~    |    1|   15.9638  pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
7   |HD 275116                                                                                                                                   |Star                                |03 15 31.0855963296 +38 21 31.698258876|151.6537174742443 -16.3481346178158| -15.618 -6.712  |10.82    |G0                |    ~     ~    |    1|  182.849   pc  |  -0.7456     +0.7456  |paral   |2020yCat.1350....0G
8   |HD 275123                                                                                                                                   |Star                                |03 17 09.3596528184 +38 14 36.952418076|151.9995615384929 -16.2684113734808|   21.636 4.575  |10.76    |F8                |    ~     ~    |    1|  254.926   pc  |  -1.6572     +1.6572  |paral   |2020yCat.1350....0G
9   |HD 275124                                                                                                                                   |Star                                |03 16 39.9292845696 +38 12 31.304788992|151.9357221595670 -16.3505332562337|   5.755 -2.298  |10.54    |G5                |    ~     ~    |    1|  754.148   pc  | -21.7827    +21.7827  |paral   |2020yCat.1350....0G
10  |HD 275118                                                                                                                                   |Star                                |03 16 24.9330011352 +38 20 23.959555692|151.8179364299604 -16.2676798162670| 15.271 -20.438  |10.85    |G0                |    ~     ~    |    1|  763.592   pc  | -10.5536    +10.5536  |paral   |2020yCat.1350....0G
11  |HD 275132                                                                                                                                   |Star                                |03 15 17.6655083424 +38 02 22.137915840|151.7969624598347 -16.6397382104811| -1.764 -21.842  |9.60     |G0                |    ~     ~    |    1|  202.626   pc  |  -0.8211     +0.8211  |paral   |2020yCat.1350....0G
12  |HD 275125                                                                                                                                   |Star                                |03 15 34.6430296440 +38 09 09.004358736|151.7812718942577 -16.5146533262923|   2.690 -5.208  |9.94     |K5                |    ~     ~    |    1|  575.738   pc  |  -6.4638     +6.4638  |paral   |2020yCat.1350....0G
13  |HD 275131                                                                                                                                   |High Proper Motion Star             |03 15 58.8879030312 +37 58 17.324958648|151.9540354246462 -16.6227048782918| 74.875 -28.755  |9.77     |F8                |    ~     ~    |    1|  227.268   pc  |  -1.2861     +1.2861  |paral   |2020yCat.1350....0G
