C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:37:44

dec >=0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4199

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 275388                                                                                                |Star                                  |03 30 16.2865652856 +39 14 54.004135308|153.5875330016397 -13.9883966663254|  21.401 -6.969    |8.73     |G5                |    ~     ~    |    1|  334.650   pc  |  -2.6990     +2.6990  |paral   |2020yCat.1350....0G
2   |HD 275389                                                                                                |Star                                  |03 30 21.4096013352 +39 04 40.940295960|153.7042734962331 -14.1166528067251| -3.000 -26.947    |9.45     |K0                |    ~     ~    |    1|  206.007   pc  |  -0.6408     +0.6408  |paral   |2020yCat.1350....0G
3   |HD 21651                                                                                                 |Star                                  |03 31 09.1360241592 +39 08 51.838781712|153.7907553424522 -13.9695953380224| 38.333 -29.022    |7.320    |F5                |    ~     ~    |    1|  113.670   pc  |  -0.3166     +0.3166  |paral   |2020yCat.1350....0G
4   |HD 275482                                                                                                |Star                                  |03 31 45.0075468984 +38 44 01.194722736|154.1393906923988 -14.2353705942923|  1.961 -18.375    |10.36    |K7                |    ~     ~    |    1|  539.840   pc  |  -5.4788     +5.4788  |paral   |2020yCat.1350....0G
5   |HD 275407                                                                                                |Star                                  |03 30 01.1391217272 +38 26 23.147049804|154.0358739228286 -14.6721446877196|   0.296 -6.026    |10.01    |K0                |    ~     ~    |    1|  926.956   pc  | -14.4354    +14.4354  |paral   |2020yCat.1350....0G
6   |HD 275390                                                                                                |Star                                  |03 30 45.2041247352 +38 54 55.272108420|153.8671295909795 -14.2030749975329|  9.082 -16.120    |10.42    |F8                |    ~     ~    |    1|  255.011   pc  |  -1.4632     +1.4632  |paral   |2020yCat.1350....0G
7   |HD 275483                                                                                                |Star                                  |03 30 47.9018803992 +38 35 25.003011552|154.0718683625821 -14.4607590966005|  -3.749 -6.213    |10.91    |G0                |    ~     ~    |    1|  321.812   pc  |  -2.2163     +2.2163  |paral   |2020yCat.1350....0G
8   |HD 21589                                                                                                 |High Proper Motion Star               |03 30 45.0948810120 +42 12 08.769157704|151.8948552799218 -11.5368375886398| 91.784 -19.765    |6.94     |F2                |    ~     ~    |    1|   77.826   pc  |  -0.1551     +0.1551  |paral   |2020yCat.1350....0G
9   |HD 21566                                                                                                 |Star                                  |03 30 18.6717640560 +41 31 25.304144160|152.2301492556746 -12.1366044679750|    2.768 3.832    |9.01     |A0                |    ~     ~    |    1|  314.594   pc  |  -2.2070     +2.2070  |paral   |2020yCat.1350....0G
10  |HD 21650                                                                                                 |Emission-line Star                    |03 31 15.6785789496 +41 43 35.235665652|152.2568233046042 -11.8683587625999|   7.489 -5.505    |7.34     |B5                |    ~     ~    |    1|  323.929   pc  |  -3.2318     +3.2318  |paral   |2020yCat.1350....0G
11  |HD 275429                                                                                                |Star                                  |03 31 25.0398843216 +41 40 39.337145652|152.3101481915533 -11.8909954227570|  7.703 -13.440    |10.85    |F5                |    ~     ~    |    1|  447.267   pc  |  -3.0207     +3.0207  |paral   |2020yCat.1350....0G
12  |HD 21873                                                                                                 |Star                                  |03 33 09.1890943488 +41 30 37.324679508|152.6789210851085 -11.8358150366053|  5.630 -11.831    |8.71     |A0                |    ~     ~    |    1|  290.529   pc  |  -1.7557     +1.7557  |paral   |2020yCat.1350....0G
13  |HD 275428                                                                                                |Star                                  |03 32 11.6653188264 +41 48 05.571122976|152.3560511901029 -11.7056321540546|   1.884 -6.938    |9.92     |K7                |    ~     ~    |    1| 1133.016   pc  | -33.2485    +33.2485  |paral   |2020yCat.1350....0G
14  |HD 275434                                                                                                |Double or Multiple Star               |03 32 59.1076368240 +41 31 01.511657580|152.6489135300155 -11.8489285552359| 44.268 -12.482    |10.890   |F8                |    ~     ~    |    1|  188.697   pc  |  -0.7442     +0.7442  |paral   |2020yCat.1350....0G
