C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:25

Vmag< 11&dec >=0&rah >=3.75&rah< 4.0
------------------------------------

Number of objects : 4192

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
1   |* nu. Per                                                                                                |Star                          |03 45 11.6320341 +42 34 42.782888      |153.8319498049 -09.6326370141      |    -14.45 2.53   |3.80     |F4II             |    ~     ~    
2   |HD 275716                                                                                                |Star                          |03 45 02.4035945928 +40 27 23.901055956|155.1515036932598 -11.3118553251840|  -0.422 -1.940   |10.70    |B8               |    ~     ~    
3   |HD 23231                                                                                                 |Star                          |03 45 04.3237882008 +40 04 46.264093500|155.3964744657369 -11.6027420732571|   11.756 1.600   |7.51     |G5               |    ~     ~    
4   |HD 275723                                                                                                |Star                          |03 45 07.6043383632 +40 04 10.400317428|155.4111651572639 -11.6039919603253| -1.333 -14.562   |10.51    |G0               |    ~     ~    
5   |HD 275797                                                                                                |Star                          |03 45 41.4031560000 +40 00 45.366543000|155.5334098303064 -11.5810206597806|  -3.200 -1.417   |10.32    |K0               |    ~     ~    
6   |HD 275795                                                                                                |Star                          |03 45 57.3510265728 +40 05 58.596966600|155.5182543435716 -11.4813369620189|  -0.199 -1.909   |10.54    |F0               |    ~     ~    
7   |HD 275717                                                                                                |Star                          |03 45 08.1156455280 +40 25 32.244466728|155.1856727175022 -11.3247986271910| -0.212 -37.007   |10.70    |G5               |    ~     ~    
8   |HD 275796                                                                                                |Star                          |03 46 02.2724593680 +40 03 01.924086816|155.5621202825659 -11.5097421003070|  3.529 -15.620   |10.81    |F8               |    ~     ~    
9   |HD 23349                                                                                                 |High Proper Motion Star       |03 46 15.3935087664 +42 27 16.604050500|154.0656525326149 -09.6078266325309| 98.942 -58.256   |8.76     |G0               |    ~     ~    
10  |HD 23267                                                                                                 |Star                          |03 45 31.0628059848 +42 00 24.920595684|154.2401575817452 -10.0432188296054| 24.485 -30.819   |6.88     |A0               |    ~     ~    
11  |HD 23335                                                                                                 |Star                          |03 46 03.1668702312 +41 48 11.056409136|154.4482830985069 -10.1405869257100| 15.286 -24.871   |9.00     |G5               |    ~     ~    
12  |BD+41 746                                                                                                |Star                          |03 46 22.4261405376 +42 06 49.606514244|154.2986528212010 -09.8606107211702|   3.960 -2.496   |10.09    |F2               |    ~     ~    
13  |HD 275774                                                                                                |Star                          |03 46 50.4980290056 +41 42 29.216549412|154.6252297406440 -10.1227140913297|  -1.752 -6.345   |8.94     |K0               |    ~     ~    
14  |HD 23438                                                                                                 |High Proper Motion Star       |03 46 52.8146714328 +41 51 33.803869176|154.5347127520824 -10.0002703893934| -58.912 45.565   |8.27     |F8               |    ~     ~    
15  |HD 23439B                                                                                                |Spectroscopic Binary          |03 47 02.6340881059 +41 25 42.236762164|154.8333357714942 -10.3169508523552|588.480 -1261.576 |10.96    |K3Vp_Fe-1.0      |    ~     ~    
16  |HD 23487                                                                                                 |High Proper Motion Star       |03 47 16.7919405648 +41 35 48.407731512|154.7609269088994 -10.1581241037639|   58.743 0.067   |8.49     |G0               |    ~     ~    
17  |BD+41 753                                                                                                |High Proper Motion Star       |03 48 07.7699021808 +42 06 32.289984504|154.5591568785398 -09.6602645998308|  56.188 -9.731   |9.76     |G0               |    ~     ~    
18  |HD 275785                                                                                                |Star                          |03 45 22.6081890576 +40 31 45.811512408|155.1562253153481 -11.2150546867672|-20.037 -14.326   |9.86     |F5               |    ~     ~    
19  |BD+40 829B                                                                                               |Star                          |03 45 21.2440436472 +40 31 55.770590172|155.1510241411563 -11.2155909606189|  -0.403 -4.082   |10.74    |~                |    ~     ~    
20  |HD 23373                                                                                                 |Star                          |03 46 19.1041738416 +40 29 49.188742512|155.3191937976595 -11.1283602838221|    7.926 0.724   |9.09     |F5               |    ~     ~    
21  |HD 275780                                                                                                |Star                          |03 47 56.4277198008 +41 02 46.395695760|155.2109124943804 -10.5081620587721|   0.674 -2.977   |9.42     |K0               |    ~     ~    
22  |HD 23595                                                                                                 |Star                          |03 48 00.9015699504 +41 09 36.657919476|155.1489686925600 -10.4108275664065| -16.975 -9.434   |8.71     |A2               |    ~     ~    
23  |HD 23596                                                                                                 |High Proper Motion Star       |03 48 00.3747144624 +40 31 50.293996068|155.5516886916227 -10.9004121560770|  52.742 21.740   |7.24     |F8               |    ~     ~    
24  |HD 275776                                                                                                |Star                          |03 45 40.7597062872 +41 23 37.573603728|154.6524008963350 -10.5040088276996|  7.563 -11.187   |10.98    |F5               |    ~     ~    
25  |HD 275777                                                                                                |Star                          |03 47 23.7779908536 +41 22 10.599612924|154.9231345702924 -10.3212234632969|  8.307 -15.119   |10.57    |A7               |    ~     ~    
26  |HD 275779                                                                                                |Star                          |03 47 31.5123042384 +41 01 20.571471048|155.1643036640989 -10.5759923708071| -14.414 -4.885   |10.98    |G                |    ~     ~    
27  |HD 275783                                                                                                |Star                          |03 47 09.6098543568 +40 36 28.288526400|155.3750642703446 -10.9416803675039|  14.230 -3.299   |10.34    |K0               |    ~     ~    
28  |HD 275786                                                                                                |Star                          |03 46 34.4853858523 +40 16 59.994431389|155.4945966922588 -11.2641146374100|      19.7 -5.3   |10.75    |F2               |    ~     ~    
29  |HD 275787                                                                                                |Star                          |03 46 59.3606618640 +40 18 58.753644336|155.5361500861744 -11.1887775621993|   -4.306 0.670   |10.84    |A5               |    ~     ~    
30  |HD 275788                                                                                                |Star                          |03 47 22.8455448864 +40 20 07.388254104|155.5830051861543 -11.1270066039571|  -0.220 -0.352   |10.68    |A0               |    ~     ~    
31  |HD 275781                                                                                                |Star                          |03 48 30.8260458216 +40 56 52.265679000|155.3593960439089 -10.5162115836400| 26.243 -32.718   |9.36     |F5               |    ~     ~    
32  |BD+40 837                                                                                                |Star                          |03 48 35.0648354040 +41 26 39.286519260|155.0512151780703 -10.1229469624210| -3.035 -16.510   |10.49    |K2               |    ~     ~    
33  |HD 275782                                                                                                |Star                          |03 48 35.5260002328 +40 55 53.878419048|155.3814813489091 -10.5194323492121|  8.725 -16.273   |9.75     |A2               |    ~     ~    
34  |HD 23729                                                                                                 |Star                          |03 48 57.3997851336 +40 40 17.275798236|155.6033116148715 -10.6772387271663| 19.475 -18.921   |7.77     |A3               |    ~     ~    
35  |HD 275854                                                                                                |Star                          |03 50 08.3408052552 +41 06 31.265829792|155.4967798546189 -10.1975352613668|   9.896 -4.502   |9.97     |A2               |    ~     ~    
36  |HD 275851                                                                                                |Double or Multiple Star       |03 52 06.520680 +41 21 07.43832        |155.628601046 -09.773833857        |      46.3 -0.4   |10.461   |K0               |    ~     ~    
37  |HD 24117                                                                                                 |Double or Multiple Star       |03 52 04.67668 +40 47 50.9920          |155.98494011 -10.20327880          |    -3.71 -9.16   |7.64     |A2               |    ~     ~    
38  |HD 275853                                                                                                |Star                          |03 52 29.7465072120 +41 00 38.395057824|155.9075367590926 -09.9891146706220|  4.006 -15.908   |9.67     |F5               |    ~     ~    
39  |HD 275852                                                                                                |Star                          |03 52 39.5205970680 +41 02 56.507470584|155.9064368207824 -09.9399770961601|   1.870 -8.214   |9.35     |A0               |    ~     ~    
40  |HD 275918                                                                                                |Star                          |03 53 02.4765220008 +41 11 34.219334184|155.8686598095052 -09.7834917045782|  -2.515 -4.874   |9.51     |A2               |    ~     ~    
41  |HD 275791                                                                                                |Double or Multiple Star       |03 48 30.3063730320 +40 13 46.414178328|155.8205460510354 -11.0736599227292|  -5.722 -3.954   |9.631    |K0               |    ~     ~    
42  |HD 24165                                                                                                 |Star                          |03 52 33.0801320736 +40 21 56.233882764|156.3368877543842 -10.4766291106477| -20.203 -4.747   |7.17     |G5               |    ~     ~    
43  |HD 275925                                                                                                |Star                          |03 55 38.8982862600 +40 39 05.324270220|156.6052005163081 -09.8778872904860| -5.579 -37.588   |10.55    |F5               |    ~     ~    
44  |V* V634 Per                                                                                              |Long-Period Variable Candidate|03 45 24.5625955608 +40 53 47.849092008|154.9275991699555 -10.9242711565522|   4.759 -6.796   |10.75    |~                |    ~     ~    
45  |HD 275793                                                                                                |Double or Multiple Star       |03 47 14.1867 +40 11 07.830            |155.6574384 -11.2607590            |      -8.6 -3.6   |10.16    |F8               |    ~     ~    
46  |HD 275775                                                                                                |High Proper Motion Star       |03 45 38.3430685224 +41 30 12.914489628|154.5767588980153 -10.4228687143624|-48.371 -37.657   |10.52    |G0               |    ~     ~    
47  |HD 275778                                                                                                |Star                          |03 48 41.9673295464 +41 17 01.522851288|155.1711940486371 -10.2337509898833|  11.956 -5.792   |10.03    |B9               |    ~     ~    
48  |HD 275790                                                                                                |Star                          |03 47 58.1988896512 +40 20 01.014632698|155.6729419404082 -11.0575625066691|      -10.1 4.4   |10.53    |G5               |    ~     ~    
49  |HD 275792                                                                                                |Star                          |03 48 45.2731926576 +40 11 53.953423224|155.8782582480754 -11.0676738672398|  17.029 -6.129   |10.07    |F5               |    ~     ~    
50  |HD 275846                                                                                                |Star                          |03 50 43.3437108528 +41 36 48.667944528|155.2564619283557 -09.7383862368487| -15.825 -2.718   |10.30    |F5               |    ~     ~    
51  |HD 275847                                                                                                |Star                          |03 50 24.8444906400 +41 38 01.555242036|155.1982839180488 -09.7594162440569|  1.731 -12.185   |10.20    |A7               |    ~     ~    
52  |HD 275848                                                                                                |Star                          |03 49 46.9780729824 +41 42 16.429845600|155.0602740188388 -09.7795345629043|   9.260 -4.287   |9.50     |K5               |    ~     ~    
53  |HD 275849                                                                                                |High Proper Motion Star       |03 49 54.8013524664 +41 31 48.275262408|155.1917192015461 -09.8989767041750| 14.409 -48.099   |9.67     |G0               |    ~     ~    
54  |HD 275855                                                                                                |Star                          |03 49 47.4906857208 +40 58 22.021151376|155.5331244808410 -10.3441087089311| 14.116 -14.772   |10.70    |F8               |    ~     ~    
55  |HD 275856                                                                                                |Star                          |03 51 42.7289335056 +40 36 12.446226180|156.0572461309436 -10.3966627457227|  7.307 -19.033   |10.41    |G0               |    ~     ~    
56  |HD 275857                                                                                                |Star                          |03 49 27.2549272584 +40 24 50.163481656|155.8439623088247 -10.8163769046275| 28.437 -22.441   |9.85     |F2               |    ~     ~    
57  |HD 275858                                                                                                |Star                          |03 49 54.0095 +40 23 45.063            |155.9223733 -10.7763712            | 11.154 -15.702   |10.34    |A0               |    ~     ~    
58  |HD 275859                                                                                                |Star                          |03 49 49.6449382608 +40 19 24.204288180|155.9584268305562 -10.8410893936306|  -0.917 -3.173   |10.80    |A                |    ~     ~    
59  |HD 275860                                                                                                |Star                          |03 49 24.8461269672 +40 15 57.974756256|155.9335649512612 -10.9354125702120|-13.322 -13.634   |9.80     |G5               |    ~     ~    
