C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:40:54

dec >=0&rah >=4.0&rah< 4.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4166

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+42 862                                                                                                |Star                              |04 00 28.3798704672 +42 39 36.675876636|155.9628109484416 -07.7698405360761|  -5.950 -3.666    |10.17    |F2             |    ~     ~    |    1|  226.511   pc  |  -0.9851     +0.9851  |paral   |2020yCat.1350....0G
2   |BD+41 790                                                                                                |Star                              |04 00 24.4885317096 +42 20 29.997973860|156.1659124575330 -08.0170787852079|  -1.702 -0.600    |8.85     |B8             |    ~     ~    |    1|  595.628   pc  |  -8.5855     +8.5855  |paral   |2020yCat.1350....0G
3   |BD+41 791                                                                                                |Star                              |04 00 27.3587455488 +42 20 55.753797120|156.1678504873872 -08.0058702492866|  -2.796 -0.124    |9.18     |B8             |    ~     ~    |    1|  774.653   pc  | -52.9878    +52.9878  |paral   |2020yCat.1350....0G
4   |HD 25057                                                                                                 |Star                              |04 00 34.8161934192 +42 13 31.802456676|156.2675171664250 -08.0833123144061| 19.293 -27.114    |8.01     |A0             |    ~     ~    |    1|  184.257   pc  |  -1.8503     +1.8503  |paral   |2018yCat.1345....0G
5   |BD+41 801                                                                                                |Star                              |04 03 29.6900689416 +42 11 43.762398288|156.6950325323814 -07.7473621646178|  0.684 -15.063    |9.45     |A2             |    ~     ~    |    1|  287.994   pc  |  -1.4017     +1.4017  |paral   |2020yCat.1350....0G
6   |HD 25367                                                                                                 |Double or Multiple Star           |04 03 31.27996 +42 10 55.3745          |156.70777724 -07.75409128          |    -4.37 -0.06    |8.04     |A2             |    ~     ~    |    0|                |                       |        |                   
7   |HD 25227                                                                                                 |Double or Multiple Star           |04 02 04.7736 +41 50 56.567            |156.7301017 -08.1808412            |  3.975 -14.968    |8.47     |A2             |    ~     ~    |    0|                |                       |        |                   
8   |HD 276010                                                                                                |Star                              |04 02 55.8161127984 +41 43 09.160854960|156.9369745830400 -08.1721490264584|   0.324 -2.234    |9.04     |K7             |    ~     ~    |    1| 1250.156   pc  | -49.5436    +49.5436  |paral   |2020yCat.1350....0G
9   |HD 25320                                                                                                 |Pulsating Variable                |04 03 06.6114820056 +41 55 55.456798800|156.8188143879513 -07.9911877374616|  -2.904 -0.719    |7.84     |A0             |    ~     ~    |    1|  483.395   pc  |  -9.2534     +9.2534  |paral   |2020yCat.1350....0G
10  |HD 276011                                                                                                |Star                              |04 03 08.1927594696 +41 28 05.843504100|157.1351801992037 -08.3333104350010|  7.880 -20.754    |10.10    |A7             |    ~     ~    |    1|  366.180   pc  |  -2.4002     +2.4002  |paral   |2020yCat.1350....0G
