C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:42:36

dec >=0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3947

 #  |                                                                                  identifier                                                                                   |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 27026                                                                                                                                                                       |Pulsating Variable                 |04 18 08.1089490240 +42 08 28.194401724|158.7228319281031 -05.9286869670952| 24.411 -38.507   |6.205    |B9V               |    ~     ~    |    1|  172.924   pc  |  -2.8348     +2.8348  |paral   |2020yCat.1350....0G
2   |HD 276171                                                                                                                                                                      |Star                               |04 17 40.2333753528 +42 18 14.244492780|158.5464120557668 -05.8729712586252|   0.809 -2.195   |10.73    |F                 |    ~     ~    |    1|  553.097   pc  | -10.2482    +10.2482  |paral   |2020yCat.1350....0G
3   |HD 276172                                                                                                                                                                      |Star                               |04 17 38.9888085552 +42 13 59.175912648|158.5935748023312 -05.9262062201340|  11.273 -6.429   |10.56    |K                 |    ~     ~    |    1|  566.636   pc  |  -5.8757     +5.8757  |paral   |2020yCat.1350....0G
4   |HD 276125                                                                                                                                                                      |High Proper Motion Star            |04 15 32.3137770048 +41 56 24.853158492|158.5173994324848 -06.4093915185085|  -1.268 75.616   |8.85     |G0                |    ~     ~    |    1|   49.727   pc  |  -0.7752     +0.7752  |paral   |2020yCat.1350....0G
5   |HD 276170                                                                                                                                                                      |Star                               |04 17 23.6583503880 +42 22 28.661079720|158.4600252286046 -05.8582851932454|  26.467 -6.092   |10.64    |G5                |    ~     ~    |    1|  203.388   pc  |  -0.8397     +0.8397  |paral   |2020yCat.1350....0G
6   |HD 26671                                                                                                                                                                       |Star                               |04 15 20.0862423888 +46 18 42.376400568|155.4448815487059 -03.2883156101180| -5.425 -30.817   |8.18     |F5                |    ~     ~    |    1|  113.074   pc  |  -0.3414     +0.3414  |paral   |2020yCat.1350....0G
7   |HD 26776                                                                                                                                                                       |Star                               |04 16 07.4922912696 +46 07 56.162726148|155.6681979249362 -03.3228605736521|   -4.069 5.927   |7.85     |K2                |    ~     ~    |    1|  407.465   pc  |  -3.9681     +3.9681  |paral   |2020yCat.1350....0G
8   |HD 26906                                                                                                                                                                       |Be Star                            |04 17 16.3662894048 +46 13 49.985075640|155.7426336551827 -03.1140157885049|  -1.010 -2.404   |7.980    |B7                |    ~     ~    |    1| 1080.030   pc  | -37.6768    +37.6768  |paral   |2020yCat.1350....0G
9   |HD 26907                                                                                                                                                                       |Star                               |04 17 19.7720849904 +46 13 03.625875084|155.7586737541861 -03.1164022059613|  -0.394 -1.762   |7.08     |A2                |    ~     ~    |    1| 1054.185   pc  | -26.7825    +26.7825  |paral   |2020yCat.1350....0G
10  |HD 26735A                                                                                                                                                                      |High Proper Motion Star            |04 15 45.0498644016 +45 23 37.703091228|156.1348529053075 -03.8996438828072|125.906 -202.997  |8.662    |~                 |    ~     ~    |    1|   76.499   pc  |  -0.1036     +0.1036  |paral   |2020yCat.1350....0G
