C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:06:03

Vmag< 11&dec >=0&rah >=4.5&rah< 4.75
------------------------------------

Number of objects : 3770

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
1   |HD 28353                                                                                                 |High Proper Motion Star        |04 30 29.3328270312 +46 09 01.089685332|157.4062971072208 -01.5410582705149| 68.572 -69.205    |7.85     |kA7hF5mF5II-IIISr|    ~     ~    
2   |BD+45 942                                                                                                |Star                           |04 30 33.1556125320 +46 19 14.147983524|157.2899779931874 -01.4161571085362|  -0.546 -3.855    |9.75     |A2               |    ~     ~    
3   |V* V591 Per                                                                                              |Long-Period Variable Candidate |04 30 07.9224397056 +45 57 02.078446716|157.5089764776010 -01.7232368600057|   2.001 -4.746    |8.33     |M2               |    ~     ~    
4   |BD+45 943                                                                                                |Star                           |04 30 48.9499551024 +46 00 15.570500328|157.5514577241293 -01.5999532865634|  -2.741 -0.177    |8.79     |K0               |    ~     ~    
5   |BD+45 944                                                                                                |Double or Multiple Star        |04 30 49.6338 +45 50 12.871            |157.6747415 -01.7132936            |      8.4 -14.6    |9.69     |F2               |    ~     ~    
6   |BD+45 945                                                                                                |Star                           |04 31 44.3037929616 +45 39 40.723451028|157.9116632564298 -01.7176091108962|   2.090 -4.592    |8.96     |G                |    ~     ~    
7   |TYC 3342-657-1                                                                                           |Star                           |04 30 05.0155626696 +46 08 43.223441172|157.3616681416872 -01.5954810111213| 14.715 -27.883    |10.61    |~                |    ~     ~    
8   |TYC 3342-724-1                                                                                           |Spectroscopic Binary           |04 31 45.5403050304 +46 21 17.852390424|157.4075963992542 -01.2409055736676|  8.896 -23.379    |10.96    |~                |    ~     ~    
9   |TYC 3342-1118-1                                                                                          |Star                           |04 30 03.0417218112 +46 13 18.131492748|157.3022731415758 -01.5471212071593|  -1.729 -2.444    |9.45     |~                |    ~     ~    
10  |TYC 3342-1151-1                                                                                          |Star                           |04 32 23.2221400824 +45 58 19.105580280|157.7617639994475 -01.4229383710544|  -5.171 -2.527    |10.53    |~                |    ~     ~    
11  |TYC 3342-1193-1                                                                                          |Star                           |04 31 15.8347500240 +46 01 51.412725300|157.5853747542704 -01.5250488503355| -1.396 -11.795    |10.79    |~                |    ~     ~    
12  |TYC 3342-1367-1                                                                                          |Star                           |04 33 12.3986282832 +45 45 55.173828636|158.0103282711304 -01.4591881724028|   2.575 -5.576    |10.70    |~                |    ~     ~    
13  |TYC 3342-1530-1                                                                                          |Star                           |04 30 25.2866933136 +45 37 18.011967636|157.7828195944223 -01.9124748637701|   1.818 -4.835    |10.58    |~                |    ~     ~    
14  |HD 276397                                                                                                |Star                           |04 30 26.9984203920 +43 18 03.865493016|159.4767947812208 -03.5006261165079|   1.191 -1.529    |9.42     |B5               |    ~     ~    
15  |HD 28404                                                                                                 |Star                           |04 30 45.8631126768 +42 46 28.904509596|159.9005604274908 -03.8192627301865| -12.826 -3.132    |8.56     |F8               |    ~     ~    
16  |HD 276390                                                                                                |Star                           |04 30 51.1656568032 +43 38 14.648043234|159.2814939746569 -03.2169959058888|   2.125 -1.452    |10.64    |K0               |    ~     ~    
17  |HD 276490                                                                                                |Star                           |04 31 31.6932497256 +43 22 21.847382976|159.5588141881915 -03.3086061968882| -12.733 -7.710    |10.34    |K7               |    ~     ~    
18  |HD 276393                                                                                                |Star                           |04 30 57.5537406792 +43 27 11.549769696|159.4292247949124 -03.3290065312783|  -3.723 -0.097    |9.52     |F5               |    ~     ~    
19  |HD 276392                                                                                                |Star                           |04 30 17.7408384528 +43 34 54.050649816|159.2529273368587 -03.3286206653644|    3.512 1.009    |10.51    |K0               |    ~     ~    
20  |HD 276399                                                                                                |Star                           |04 31 11.9563377720 +43 10 01.525252404|159.6682454471095 -03.4928407623390|-18.334 -24.202    |10.01    |G5               |    ~     ~    
21  |HD 276400                                                                                                |Star                           |04 30 15.3230376768 +42 51 33.902434908|159.7746182601720 -03.8292394456005| 13.080 -16.608    |10.72    |F0               |    ~     ~    
22  |HD 276491                                                                                                |Star                           |04 32 13.1089637472 +43 01 27.668910324|159.8999767337544 -03.4542381429750|   2.177 -4.975    |10.55    |A0               |    ~     ~    
23  |BD+45 947                                                                                                |Star                           |04 32 17.5613183304 +45 34 48.945404280|158.0371093202252 -01.7021331730876|   0.856 -1.917    |8.37     |K0               |    ~     ~    
24  |BD+45 950                                                                                                |Star                           |04 32 39.9639232152 +45 22 58.118606328|158.2262816038904 -01.7888374402459|  7.352 -15.567    |10.28    |F0               |    ~     ~    
25  |BD+45 953                                                                                                |Star                           |04 33 28.4846626224 +45 33 43.501143132|158.1913079368732 -01.5629704707896|  -1.917 -4.318    |9.42     |K0               |    ~     ~    
26  |HD 28416                                                                                                 |Star                           |04 30 52.8780705024 +44 36 10.592639784|158.5805311078955 -02.5520184986803| -9.657 -46.994    |6.99     |K0               |    ~     ~    
27  |BD+44 967                                                                                                |Star                           |04 31 38.3160571344 +44 56 19.111311672|158.4275459785174 -02.2243057605144|  -0.182 -2.748    |9.41     |B2               |    ~     ~    
28  |HD 28590                                                                                                 |Star                           |04 32 28.5592837104 +44 23 09.588556248|158.9335769907526 -02.4925483222083|   7.341 -9.034    |9.50     |A                |    ~     ~    
29  |HD 28589                                                                                                 |Star                           |04 32 29.5470024960 +44 31 21.711157968|158.8354206680917 -02.3972666927231|   0.957 -4.490    |10.07    |A0               |    ~     ~    
30  |BD+44 970                                                                                                |Star                           |04 32 28.9837867848 +44 37 06.174713568|158.7641809966336 -02.3332992170687|  -1.819 -9.270    |8.62     |B8               |    ~     ~    
31  |HD 28596                                                                                                 |Star                           |04 32 32.7457900056 +44 54 09.105790464|158.5636212756415 -02.1315553994340|  -3.588 -7.345    |7.85     |A0               |    ~     ~    
32  |HD 28646                                                                                                 |Spectroscopic Binary           |04 33 03.5365031352 +44 55 39.524667672|158.6070957401020 -02.0479045567560|   0.613 -2.339    |7.68     |K5               |    ~     ~    
33  |BD+44 974                                                                                                |High Proper Motion Star        |04 33 13.7796137592 +45 07 01.264454328|158.4886807644068 -01.8970191981533| 23.570 -44.932    |9.41     |F8               |    ~     ~    
34  |V* AT Per                                                                                                |Carbon Star                    |04 31 10.3169982264 +45 14 26.268302652|158.1507202809830 -02.0778268783665|   1.152 -3.543    |10.42    |C4,4J            |    ~     ~    
35  |HD 28747                                                                                                 |Star                           |04 34 04.4566696056 +45 38 08.832745824|158.2083530742663 -01.4359290974278|   0.968 -4.592    |7.700    |B9               |    ~     ~    
36  |BD+44 977                                                                                                |High Proper Motion Star        |04 33 40.0261839504 +44 23 34.406013300|159.0733235471223 -02.3318190116414| 48.305 -20.949    |9.10     |F5               |    ~     ~    
37  |BD+44 979                                                                                                |Star                           |04 33 43.6876569384 +44 42 47.495222388|158.8452395288178 -02.1065021953216|   -5.461 0.452    |9.23     |F2               |    ~     ~    
38  |BD+44 980                                                                                                |Pulsating Variable             |04 33 57.8649669552 +44 26 12.987723084|159.0769611541873 -02.2629278637682|  -0.747 -2.292    |9.37     |B8               |    ~     ~    
39  |BD+44 981                                                                                                |Star                           |04 34 13.1335885368 +44 25 58.442469204|159.1107384525095 -02.2322555135303|   -1.752 2.465    |9.58     |A5               |    ~     ~    
40  |HD 28781                                                                                                 |Spectroscopic Binary           |04 34 15.4051079592 +45 00 32.880720708|158.6911035452961 -01.8370103597758| -11.920 -4.210    |8.52     |G5               |    ~     ~    
41  |BD+44 990                                                                                                |Star                           |04 35 29.1063484368 +45 03 16.291412424|158.8044036562343 -01.6463940027738|   2.926 -3.903    |9.10     |B8               |    ~     ~    
42  |BD+44 993                                                                                                |Star                           |04 36 18.5331228576 +44 50 10.820307732|159.0639629267252 -01.6856135857431|   2.202 -8.013    |9.76     |B8V              |    ~     ~    
43  |BD+43 1021                                                                                               |Star                           |04 37 18.7237673208 +44 08 31.509877164|159.6989701465303 -02.0190553667464|   0.858 -0.383    |9.33     |A0V              |    ~     ~    
44  |V* KR Per                                                                                                |Spectroscopic Binary           |04 37 08.9107960032 +44 12 39.805665012|159.6280853985273 -01.9945925058745| -12.053 -8.967    |10.86    |F5:V?            |    ~     ~    
45  |HD 276387                                                                                                |Star                           |04 31 03.2299524864 +43 45 54.897240636|159.2130549962765 -03.1029964353907|   0.828 -4.563    |8.61     |K7               |    ~     ~    
46  |HD 276385                                                                                                |Star                           |04 31 22.1588688840 +43 48 56.799138096|159.2151314474045 -03.0269020213480|   2.110 -1.395    |10.16    |A0               |    ~     ~    
47  |HD 28502                                                                                                 |Star                           |04 31 37.6534440408 +43 49 44.586294456|159.2372956401850 -02.9838208318404|   1.907 -1.420    |8.69     |A3               |    ~     ~    
48  |HD 276482                                                                                                |Star                           |04 32 04.0524219432 +43 42 57.768679512|159.3742867423864 -03.0028828819289|   1.263 -2.538    |8.70     |K0               |    ~     ~    
49  |HD 276481                                                                                                |Star                           |04 32 22.5549592008 +43 43 16.597038936|159.4084813442835 -02.9585449448859|   1.835 -1.255    |9.33     |A2               |    ~     ~    
50  |HD 276480                                                                                                |Star                           |04 32 39.4966657680 +43 46 25.353461712|159.4047974949646 -02.8854969122362|  -3.245 -2.532    |9.79     |A0               |    ~     ~    
51  |HD 28693                                                                                                 |High Proper Motion Star        |04 33 21.6082553952 +43 01 54.916278348|160.0365196308677 -03.2960935357237| 24.256 -59.912    |6.81     |F0               |    ~     ~    
52  |* m Per                                                                                                  |Star                           |04 33 24.9030370296 +43 03 50.015366964|160.0198144784739 -03.2670296795642|    5.370 5.311    |6.078    |F0V              |    ~     ~    
53  |HD 276476                                                                                                |Star                           |04 33 04.7763888936 +44 01 46.832029716|159.2686186211045 -02.6557635364902|   1.967 -1.265    |10.61    |A2               |    ~     ~    
54  |HD 276479                                                                                                |Star                           |04 32 43.3766826336 +43 48 47.669159376|159.3837461304495 -02.8500438010976|   4.159 -6.338    |10.80    |A                |    ~     ~    
55  |HD 276484                                                                                                |Star                           |04 33 35.3710296600 +43 32 25.065188808|159.6908672020792 -02.9205094195847|  -5.274 -6.083    |9.14     |F0               |    ~     ~    
56  |HD 276478                                                                                                |Double or Multiple Star        |04 33 57.9914 +43 48 57.274            |159.5342937 -02.6835438            |  -2.728 -4.810    |9.93     |K7               |    ~     ~    
57  |HD 28818                                                                                                 |Star                           |04 34 29.7679301856 +43 58 09.733486584|159.4859010315417 -02.5094257166251|   0.616 -3.562    |8.96     |A0               |    ~     ~    
58  |HD 276574                                                                                                |Star                           |04 36 53.1215961096 +43 53 54.998823671|159.8282699964713 -02.2392126214055|  -0.243 -8.734    |9.82     |F2               |    ~     ~    
59  |HD 276582                                                                                                |Star                           |04 39 19.3584066912 +43 17 40.495774236|160.5731208051334 -02.3143238171460|  -3.533 -1.225    |9.62     |B8               |    ~     ~    
60  |BSD 24-60                                                                                                |Star                           |04 39 24.0 +43 48 00                   |160.2048 -01.9677                  |            ~ ~    |10.90    |B8               |    ~     ~    
61  |HD 29373                                                                                                 |Be Star                        |04 39 32.9892118128 +43 39 33.111356724|160.3279987177232 -02.0411114843790|  -2.811 -2.670    |8.50     |B6V              |    ~     ~    
62  |HD 29494                                                                                                 |Star                           |04 40 37.8507525144 +43 21 49.766189688|160.6792708375115 -02.0904000927291|   5.506 -9.337    |8.77     |A7III            |    ~     ~    
63  |HD 28782                                                                                                 |Star                           |04 34 04.5047537760 +43 05 14.634514968|160.0843215435002 -03.1624740491355|  8.553 -25.063    |7.39     |A5               |    ~     ~    
64  |HD 276493                                                                                                |Star                           |04 35 18.0272973384 +43 04 49.485103680|160.2408572509538 -03.0022380363977|  -1.840 -0.876    |9.27     |B5               |    ~     ~    
65  |HD 276580                                                                                                |Star                           |04 37 31.5205412304 +43 15 41.855911956|160.3792569226131 -02.5799949958189|   -5.086 5.200    |9.53     |F0               |    ~     ~    
66  |HD 29430                                                                                                 |Star                           |04 40 05.9364516240 +43 15 56.276102160|160.6886952272264 -02.2279284799223|  -0.526 -3.262    |9.10     |F2III            |    ~     ~    
67  |HD 276575                                                                                                |Star                           |04 39 08.1331499832 +43 55 19.783142544|160.0817757527808 -01.9220049440747| -19.981 -8.226    |10.21    |K7               |    ~     ~    
68  |NGC 1605                           NGC 1605                                                              |Open Cluster                   |04 34 58.8 +45 16 08                   |158.5860 -01.5673                  |   0.990 -1.977    |10.7     |~                | 5.6   5.6     
