C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:17:40

dec >=0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5072

 #  |                                                                                                                     identifier                                                                                                                      |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 2675                                                                                                                                                                                                                                              |Double or Multiple Star             |00 30 45.56432 +47 31 47.5458          |119.31739037 -15.19669611          |    5.51 -54.12   |7.75     |G0             |0.0133  0.0    |    0|                |                       |        |                   
2   |BD+46 100                                                                                                                                                                                                                                            |Star                                |00 32 09.2426478648 +47 26 02.698812744|119.5528622877091 -15.3111040679934|  -2.291 -0.253   |9.14     |K2             |    ~     ~    |    1|  303.970   pc  |  -1.3860     +1.3860  |paral   |2020yCat.1350....0G
3   |HD 2836                                                                                                                                                                                                                                              |Star                                |00 32 09.8772801960 +47 07 22.231729380|119.5296627690588 -15.6215459268421|  18.328 -5.635   |8.29     |A2             |    ~     ~    |    1|  244.816   pc  |  -1.8160     +1.8160  |paral   |2020yCat.1350....0G
4   |BD+46 104                                                                                                                                                                                                                                            |Star                                |00 33 06.3269207328 +47 07 58.827725508|119.6961497901901 -15.6235288833499|  -9.655 -9.526   |9.25     |K0             |    ~     ~    |    1|  499.002   pc  |  -3.7599     +3.7599  |paral   |2020yCat.1350....0G
5   |BD+46 106                                                                                                                                                                                                                                            |Star                                |00 33 27.1121357760 +46 55 19.651946340|119.7412825100002 -15.8381659084420|   -5.434 0.533   |10.00    |A2             |    ~     ~    |    1|  745.935   pc  | -26.5412    +26.5412  |paral   |2020yCat.1350....0G
6   |BD+46 111                                                                                                                                                                                                                                            |Star                                |00 34 29.1237825648 +46 57 39.048640740|119.9270204328675 -15.8119675950695|  26.167 -1.909   |9.32     |F2             |    ~     ~    |    1|  305.288   pc  |  -1.7615     +1.7615  |paral   |2020yCat.1350....0G
7   |BD+46 116                                                                                                                                                                                                                                            |Star                                |00 36 22.6341131160 +46 56 23.035536528|120.2604926256877 -15.8538808777123|  -9.459 -3.971   |10.04    |G5             |    ~     ~    |    1|  621.929   pc  |  -5.6859     +5.6859  |paral   |2020yCat.1350....0G
8   |BD+45 120                                                                                                                                                                                                                                            |Star                                |00 30 25.5291424440 +46 37 34.706682372|119.1797879036144 -16.0923002646501|  37.034 -1.115   |10.31    |G0             |    ~     ~    |    1|  331.279   pc  |  -1.7669     +1.7669  |paral   |2020yCat.1350....0G
9   |HD 2687                                                                                                                                                                                                                                              |Star                                |00 30 50.2030260720 +46 35 10.027463244|119.2495334924036 -16.1382790279669|  -7.474 -3.959   |8.75     |K0             |    ~     ~    |    1|  534.274   pc  |  -6.8222     +6.8222  |paral   |2020yCat.1350....0G
10  |BD+45 127                                                                                                                                                                                                                                            |Star                                |00 31 58.6018858368 +46 35 01.345043076|119.4525780715680 -16.1565247558112|  27.359 -7.172   |8.82     |K0             |    ~     ~    |    1|  387.852   pc  |  -2.9033     +2.9033  |paral   |2020yCat.1350....0G
