C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
1   |BD+45 1016                                                                                               |Star                           |05 00 25.8738795672 +45 26 25.382704020|161.3434052067812 +01.9555239516746|-10.133 -13.532    |9.64     |A2                |    ~     ~    
2   |BD+45 1017                                                                                               |Star                           |05 00 33.8105417640 +45 15 13.647419712|161.5048663684906 +01.8590027560152|-24.776 -33.290    |8.53     |K0                |    ~     ~    
3   |HD 31705                                                                                                 |Star                           |05 00 14.8588498176 +44 52 26.512500756|161.7698641774499 +01.5812118880146| 16.367 -37.173    |8.13     |F2III             |    ~     ~    
4   |BD+44 1076                                                                                               |Star                           |05 01 12.8231500152 +44 20 51.723321216|162.2907727092433 +01.3930054000852|  0.496 -25.079    |9.19     |F6V               |    ~     ~    
5   |HD 31866                                                                                                 |Star                           |05 01 28.3617610536 +44 23 53.020506696|162.2794132846356 +01.4604515940860|  3.705 -33.039    |7.27     |A3V               |    ~     ~    
6   |BD+44 1080                                                                                               |Star                           |05 02 21.7143311904 +44 16 10.460320212|162.4784331159573 +01.5074700739054| -1.090 -13.942    |9.29     |B5V               |    ~     ~    
7   |BD+44 1081                                                                                               |Star                           |05 02 25.7883710352 +44 39 27.734274900|162.1785252659673 +01.7542923377608|  2.817 -12.078    |9.53     |B8V               |    ~     ~    
8   |BD+44 1083                                                                                               |Star                           |05 03 04.2638235096 +44 17 12.333689844|162.5423386978709 +01.6184936830975|  -4.094 -0.414    |10.00    |B8V               |    ~     ~    
9   |BD+43 1154                                                                                               |Star                           |05 00 23.3729034360 +44 07 54.447257964|162.3702405770950 +01.1438166536705|  -1.093 -2.694    |10.00    |G5                |    ~     ~    
10  |BD+43 1156                                                                                               |Star                           |05 00 43.3416807192 +44 08 55.301709444|162.3936863066899 +01.2012755743015|    6.864 6.592    |9.25     |K5                |    ~     ~    
11  |TYC 2907-216-1                                                                                           |Star                           |05 02 39.8978674104 +44 07 51.044610000|162.6214877005699 +01.4657030309675|    7.647 0.260    |9.93     |~                 |    ~     ~    
12  |TYC 2907-315-1                                                                                           |Star                           |05 01 19.8375037848 +44 56 26.263512096|161.8352844550340 +01.7733807113564|   -2.278 2.569    |10.69    |~                 |    ~     ~    
13  |TYC 2907-745-1                                                                                           |Star                           |05 01 03.5081111184 +44 48 25.071804108|161.9112230706199 +01.6532578563232|-19.296 -31.714    |10.72    |~                 |    ~     ~    
14  |TYC 2907-751-1                                                                                           |Star                           |05 01 03.8050856712 +44 18 00.736392528|162.3117471446346 +01.3426185280363| -6.612 -15.672    |10.24    |~                 |    ~     ~    
15  |TYC 3344-1106-1                                                                                          |Star                           |05 00 00.1575152496 +45 36 05.132103336|161.1701991288456 +01.9955989177792|   2.988 -5.257    |9.76     |~                 |    ~     ~    
16  |BD+52 908                                                                                                |Star                           |05 00 17.7608583000 +52 17 25.077383016|155.9059633259691 +06.1408307893793|   -4.371 1.306    |10.328   |A3                |    ~     ~    
17  |HD 233047                                                                                                |Star                           |05 00 49.6124298600 +51 29 53.318674032|156.5870638513567 +05.7221720744267|  -9.670 -3.128    |8.67     |G5                |    ~     ~    
18  |HD 233044                                                                                                |Star                           |05 00 14.1759029736 +50 13 50.842465140|157.5368499876901 +04.8733588409622| -9.768 -17.572    |8.83     |G5                |    ~     ~    
19  |HD 233048                                                                                                |Star                           |05 00 49.5670253352 +51 09 16.111909440|156.8605366970345 +05.5123213919396|   9.551 -5.169    |9.92     |G0                |    ~     ~    
20  |HD 233050                                                                                                |Star                           |05 01 40.3399146648 +50 43 59.019695256|157.2777163226214 +05.3610559971848|  -2.133 -3.277    |9.01     |K5                |    ~     ~    
21  |HD 233051                                                                                                |Star                           |05 01 54.4723444416 +51 00 32.705049636|157.0803586467183 +05.5584707216869|  -1.850 -2.110    |9.70     |B8                |    ~     ~    
22  |HD 31878                                                                                                 |Star                           |05 02 05.3076561912 +50 15 19.892538864|157.6986926649683 +05.1229841484118|  8.862 -28.121    |8.91     |F5                |    ~     ~    
23  |HD 31948                                                                                                 |Star                           |05 02 22.9091354160 +50 29 01.760697276|157.5451884907289 +05.2988773961596|    0.840 0.237    |9.39     |A                 |    ~     ~    
24  |HD 233056                                                                                                |Star                           |05 02 41.6345294016 +50 31 26.849012088|157.5432602331052 +05.3627769476130| 10.442 -29.561    |9.01     |K2                |    ~     ~    
25  |HD 32002                                                                                                 |Star                           |05 02 48.5929928520 +50 36 20.180538036|157.4893848894321 +05.4268193920256| 10.185 -17.219    |8.57     |A0                |    ~     ~    
