C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:12:05

Vmag< 11&dec >=0&rah >=5.25&rah< 5.5
------------------------------------

Number of objects : 6141

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
1   |HD 33852                                                                                                 |Pulsating Variable                    |05 16 04.3834937448 +51 57 24.756689052|157.6171634859616 +07.8985674585261|   3.218 -7.610  |7.77     |B8                |    ~     ~    
2   |BD+51 1047C                                                                                              |Star                                  |05 16 05.5498651896 +51 58 15.578916168|157.6071719082237 +07.9090708194321|   5.139 -9.415  |10.27    |~                 |    ~     ~    
3   |HD 33910                                                                                                 |Star                                  |05 16 24.2020756344 +51 39 07.783464024|157.8993443121152 +07.7669952657028|-23.606 -26.439  |8.57     |K0                |    ~     ~    
4   |HD 33841                                                                                                 |Star                                  |05 15 44.0065451568 +50 33 43.742057076|158.7411302344040 +07.0582066299077|  9.727 -22.912  |7.47     |A5                |    ~     ~    
5   |HD 233092                                                                                                |High Proper Motion Star               |05 15 53.7394466832 +51 10 02.922177072|158.2554185328914 +07.4255085588634|  -4.796 49.956  |9.51     |G5                |    ~     ~    
6   |HD 233093                                                                                                |Chemically Peculiar Star              |05 16 09.4253587656 +50 35 44.750005548|158.7521299277893 +07.1325975089282|  7.326 -17.416  |9.62     |A1mA9             |    ~     ~    
7   |HD 233100                                                                                                |Variable Star                         |05 17 20.1177139944 +50 35 29.050518156|158.8631872519500 +07.2837375362679|   -1.610 0.859  |9.66     |A5                |    ~     ~    
8   |IRAS 05116+5115                                                                                          |Star                                  |05 15 35.7670229016 +51 18 41.960014668|158.1090900029548 +07.4694717798097|  -1.008 -3.000  |9.47     |~                 |    ~     ~    
9   |TYC 3366-598-1                                                                                           |Star                                  |05 18 42.4669537824 +50 17 12.464095272|159.2410575699677 +07.2910408150327|  -3.932 -3.887  |9.79     |~                 |    ~     ~    
10  |TYC 3366-2191-1                                                                                          |High Proper Motion Star               |05 15 07.3181812152 +50 25 42.891714300|158.7951522295210 +06.9019304673993|-67.143 -53.267  |10.38    |~                 |    ~     ~    
11  |TYC 3370-147-1                                                                                           |High Proper Motion Star               |05 15 03.7607916192 +52 24 57.500857440|157.1472551376543 +08.0333937034729| 25.420 -79.480  |10.68    |~                 |    ~     ~    
12  |TYC 3370-816-1                                                                                           |Star                                  |05 16 16.8210002832 +51 07 57.464138568|158.3190091814776 +07.4551389653518| -0.446 -19.431  |10.03    |~                 |    ~     ~    
13  |TYC 3370-896-1                                                                                           |Star                                  |05 16 39.9054223488 +51 18 31.644476928|158.2076152917256 +07.6050271194148|   -6.738 6.522  |10.10    |~                 |    ~     ~    
14  |TYC 3370-922-1                                                                                           |Star                                  |05 17 09.9454368888 +51 08 14.323394004|158.3948857273713 +07.5719939853598|   8.992 -5.059  |10.89    |~                 |    ~     ~    
15  |TYC 3370-2094-1                                                                                          |Star                                  |05 17 57.5760430080 +50 50 35.453753772|158.7107010272726 +07.5079939482640| 24.381 -21.083  |10.64    |~                 |    ~     ~    
16  |TYC 3370-2156-1                                                                                          |Spectroscopic Binary                  |05 16 18.2023677768 +50 45 33.067863180|158.6302844300658 +07.2449801133183|  2.406 -16.145  |9.65     |~                 |    ~     ~    
17  |BD+49 1336                                                                                               |Star                                  |05 17 54.0132656112 +50 04 56.992652688|159.3368932413309 +07.0687615483884|  -1.541 -3.078  |9.40     |G5                |    ~     ~    
18  |HD 33797                                                                                                 |High Proper Motion Star               |05 15 21.8806094256 +49 11 07.921877892|159.8414647005149 +06.2191171402127| 21.312 -89.360  |9.38     |G5                |    ~     ~    
19  |BD+49 1333                                                                                               |Star                                  |05 16 55.9871787360 +49 21 24.454107720|159.8479238469081 +06.5269228589390|   3.166 -5.279  |10.01    |K0                |    ~     ~    
20  |HD 34076                                                                                                 |Star                                  |05 17 22.8012881976 +49 20 40.910938836|159.8997359582409 +06.5797795828097|  15.386 -9.857  |8.43     |K0                |    ~     ~    
21  |BD+49 1335                                                                                               |Star                                  |05 17 49.2989363592 +49 35 17.077131096|159.7394515228905 +06.7773609845724|  -6.464 13.557  |9.14     |F8                |    ~     ~    
22  |BD+49 1337                                                                                               |Star                                  |05 17 55.5149746632 +49 15 20.399493384|160.0243645763837 +06.6021275138755| 12.189 -24.861  |9.24     |K2                |    ~     ~    
23  |HD 34220                                                                                                 |Star                                  |05 18 25.5950444472 +49 31 40.858323060|159.8453507563779 +06.8239859331986|    9.042 0.403  |8.48     |M2                |    ~     ~    
24  |BD+48 1240                                                                                               |High Proper Motion Star               |05 15 11.4393752184 +48 43 06.260830212|160.2088890717975 +05.9266527437527| 40.558 -30.144  |9.44     |G0                |    ~     ~    
25  |V* V418 Aur                                                                                              |Long-Period Variable Candidate        |05 15 11.5388455896 +48 21 42.074802000|160.5019532641501 +05.7211148025323|    4.397 2.298  |8.33     |K0                |    ~     ~    
26  |BD+48 1243                                                                                               |Star                                  |05 16 35.2403174856 +48 23 32.490785292|160.6106838939483 +05.9282454639938|  14.702 -9.298  |9.29     |F8                |    ~     ~    
27  |HD 34110                                                                                                 |Star                                  |05 17 29.9696534640 +48 56 47.863566600|160.2400287887486 +06.3687970044390|  3.075 -12.688  |8.11     |K0                |    ~     ~    
28  |BD+48 1247                                                                                               |Star                                  |05 18 21.6482637384 +48 29 36.527199144|160.6961443759242 +06.2274221547918| 11.999 -13.510  |9.53     |A2                |    ~     ~    
29  |HD 34247                                                                                                 |Star                                  |05 18 32.6379418632 +48 55 24.600472320|160.3574085334847 +06.4966761105496| 17.641 -30.172  |6.92     |K0                |    ~     ~    
30  |V* UX Aur                                                                                                |Long-Period Variable                  |05 15 57.8831715192 +49 32 47.245356744|159.6007172842636 +06.5064523166767|   6.355 -8.722  |8.58     |M5III             |    ~     ~    
31  |HD 34410                                                                                                 |Star                                  |05 19 47.3880260928 +49 18 37.358287632|160.1524256816135 +06.8836935267220|  -1.326 -1.043  |9.39     |A                 |    ~     ~    
32  |BD+48 1250                                                                                               |High Proper Motion Star               |05 19 02.1599531136 +49 03 54.396614124|160.2860704664079 +06.6434582431376| 73.566 -84.619  |8.94     |G0                |    ~     ~    
33  |HD 34439                                                                                                 |Star                                  |05 20 01.1755398624 +49 09 18.395875584|160.3028819120247 +06.8271196172792|  -5.255 -0.607  |9.01     |B8IVEuSi          |    ~     ~    
34  |BD+47 1115a                                                                                              |Star                                  |05 15 15.4045080576 +47 28 01.998326064|161.2418187163840 +05.2134166878859|  -0.163 -0.141  |9.96     |A0                |    ~     ~    
35  |BD+47 1118                                                                                               |Star                                  |05 15 26.7098138184 +47 29 08.411089020|161.2451637288980 +05.2500623736553|  -1.173 -0.052  |9.34     |A0                |    ~     ~    
36  |BD+47 1119                                                                                               |Star                                  |05 15 44.3256915312 +47 52 18.129865440|160.9570518758933 +05.5130938066988|   11.098 7.688  |9.82     |G5                |    ~     ~    
37  |BD+47 1120                                                                                               |Star                                  |05 15 58.9037430816 +47 53 54.957365808|160.9585289556302 +05.5618849278111|   6.064 10.519  |9.84     |K2                |    ~     ~    
38  |BD+47 1121                                                                                               |Star                                  |05 17 30.6168856632 +47 50 45.761274708|161.1495567532419 +05.7416917623471|  -4.380 -7.132  |9.10     |G5                |    ~     ~    
39  |BD+47 1125                                                                                               |Star                                  |05 18 53.7644785896 +47 45 40.935423600|161.3528294406664 +05.8846003429036|  -1.345 -3.879  |9.28     |M0                |    ~     ~    
40  |BD+47 1129                                                                                               |Star                                  |05 19 20.9705245776 +47 46 34.823805852|161.3839366783136 +05.9558166048337|   0.535 -8.004  |10.40    |A2                |    ~     ~    
