C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:53:16

dec >=0&rah >=5.5&rah< 5.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6861

 #  |                                                                                  identifier                                                                                   |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 233126                                                                                                                                                                      |Star                            |05 30 31.3702619496 +52 27 08.501187888|158.4308914219720 +10.0197656397347|  8.250 -12.316   |10.62    |F2                |    ~     ~          |    1|  272.027   pc  |  -4.2993     +4.2993  |paral   |2020yCat.1350....0G
2   |HD 233127                                                                                                                                                                      |Star                            |05 30 45.9584038536 +51 18 26.535090204|159.4356015577542 +09.4437264388281|  8.854 -15.989   |9.29     |G0                |    ~     ~          |    1|  407.150   pc  |  -5.3378     +5.3378  |paral   |2020yCat.1350....0G
3   |HD 35962                                                                                                                                                                       |Star                            |05 31 08.8929167376 +51 16 57.616854528|159.4889996469131 +09.4812288510452| -4.790 -36.257   |7.51     |G5                |    ~     ~          |    1|  242.178   pc  |  -1.1613     +1.1613  |paral   |2020yCat.1350....0G
4   |HD 233128                                                                                                                                                                      |Star                            |05 31 13.2448729104 +51 18 17.057475180|159.4761373735515 +09.5025498079321| 10.530 -18.177   |9.64     |G5                |    ~     ~          |    1|  384.261   pc  |  -2.3330     +2.3330  |paral   |2020yCat.1350....0G
5   |HD 36067                                                                                                                                                                       |Spectroscopic Binary            |05 31 52.9365094368 +51 01 41.229921936|159.7696793401870 +09.4439008551356|  -1.258 -7.203   |7.43     |K1II              |    ~     ~          |    1|  682.734   pc  | -19.2976    +19.2976  |paral   |2020yCat.1350....0G
6   |TYC 3371-481-1                                                                                                                                                                 |Star                            |05 30 15.9350485632 +51 00 36.291201768|159.6482101601624 +09.2189538083731|  6.699 -24.238   |10.01    |~                 |    ~     ~          |    1|  283.366   pc  |  -2.3045     +2.3045  |paral   |2020yCat.1350....0G
7   |TYC 3371-888-1                                                                                                                                                                 |Spectroscopic Binary            |05 30 31.6383345096 +51 29 05.263408068|159.2632029138365 +09.5065718441468|   4.500 -2.478   |10.62    |~                 |    ~     ~          |    1|  778.392   pc  |  -9.3914     +9.3914  |paral   |2020yCat.1350....0G
8   |TYC 3371-890-1                                                                                                                                                                 |Star                            |05 31 31.2913846272 +51 30 58.159231200|159.3195152258162 +09.6543577236927|   6.558 -8.315   |10.80    |~                 |    ~     ~          |    1|  196.788   pc  |  -0.5151     +0.5151  |paral   |2020yCat.1350....0G
9   |TYC 3371-1423-1                                                                                                                                                                |Star                            |05 30 53.2748204328 +51 19 53.842537992|159.4250438441716 +09.4727558041989|   4.311 -7.162   |10.48    |~                 |    ~     ~          |    1|  755.629   pc  |  -8.7359     +8.7359  |paral   |2020yCat.1350....0G
10  |TYC 3371-1794-1                                                                                                                                                                |Star                            |05 31 30.6573487968 +50 41 47.258141064|160.0231748054594 +09.2183788983889|    4.382 1.124   |10.25    |~                 |    ~     ~          |    1|  450.796   pc  |  -2.7841     +2.7841  |paral   |2020yCat.1350....0G
11  |TYC 3371-1805-1                                                                                                                                                                |Star                            |05 30 57.4099235256 +50 51 09.960825888|159.8418705251570 +09.2272726281021|  -2.329 -5.102   |10.05    |~                 |    ~     ~          |    1|  617.132   pc  | -55.9852    +55.9852  |paral   |2020yCat.1350....0G
12  |HD 36052                                                                                                                                                                       |Star                            |05 31 43.2330883344 +50 22 25.229518068|160.3181172919254 +09.0751760727873|-15.296 -16.089   |8.78     |F0                |    ~     ~          |    1|  249.763   pc  |  -0.9170     +0.9170  |paral   |2020yCat.1350....0G
13  |BD+49 1361                                                                                                                                                                     |Star                            |05 30 49.6259478336 +49 47 12.860398428|160.7433301992169 +08.6412124794312| -4.157 -14.954   |10.08    |F8                |    ~     ~          |    1|  301.042   pc  |  -3.0813     +3.0813  |paral   |2020yCat.1350....0G
14  |HD 36146B                                                                                                                                                                      |Star                            |05 32 21.3626284560 +49 23 38.498406108|161.2131508904382 +08.6414677479824| 10.403 -24.038   |7.48     |~                 |    ~     ~          |    1|  109.267   pc  |  -0.3021     +0.3021  |paral   |2020yCat.1350....0G
15  |HD 35895                                                                                                                                                                       |Star                            |05 30 23.4684630240 +48 14 39.871474872|162.0196517488784 +07.7532036747567|   2.183 -3.684   |9.02     |A0                |    ~     ~          |    1|  619.387   pc  | -39.6684    +39.6684  |paral   |2020yCat.1350....0G
