C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
1   |HD 37976                                                                                                 |High Proper Motion Star        |05 45 08.3162252352 +50 43 29.665265160|161.1222120871522 +11.0849362114662| -1.395 -53.008  |8.54     |F8               |    ~     ~    
2   |HD 38082                                                                                                 |Star                           |05 45 49.1838325464 +50 38 55.721978196|161.2439245922997 +11.1412010632260| 22.178 -33.260  |8.74     |F5               |    ~     ~    
3   |V* CN Aur                                                                                                |Long-Period Variable           |05 45 07.7789141088 +51 11 43.282037976|160.7044727050083 +11.3160262138540|    0.273 4.648  |9.95     |M6               |    ~     ~    
4   |TYC 3372-128-1                                                                                           |Star                           |05 45 24.6262810248 +50 48 41.847724368|161.0670041049401 +11.1651410342602|   -0.811 0.159  |10.95    |~                |    ~     ~    
5   |TYC 3372-338-1                                                                                           |Star                           |05 45 19.7831717520 +51 00 52.822684440|160.8805470310164 +11.2542378803034|  19.279 -8.032  |10.63    |~                |    ~     ~    
6   |TYC 3372-939-1                                                                                           |Star                           |05 45 41.3645412288 +51 36 41.028525720|160.3786957472675 +11.5966814345004|  9.374 -21.036  |10.04    |~                |    ~     ~    
7   |TYC 3749-1266-1                                                                                          |High Proper Motion Star        |05 45 07.7110233912 +52 41 54.196233180|159.3674386706026 +12.0541338861581|-43.897 -63.656  |10.69    |~                |    ~     ~    
8   |* omi Aur                                                                                                |Star                           |05 45 54.0419582136 +49 49 34.575758364|161.9789839047791 +10.7463534627844|  -11.087 3.703  |5.460    |A2VpCr           |    ~     ~    
9   |HD 38178                                                                                                 |Star                           |05 46 29.7694624296 +49 07 33.829934232|162.6467776474592 +10.4839970503236| 27.280 -21.789  |7.91     |F0               |    ~     ~    
10  |HD 38198                                                                                                 |Star                           |05 45 55.8604983360 +48 46 57.040611924|162.9032646832494 +10.2330440876769|  -6.007 -7.388  |9.55     |K5:              |    ~     ~    
11  |HD 38059                                                                                                 |Star                           |05 45 34.9155381000 +48 59 05.941584924|162.6957496801411 +10.2839537503565|  0.966 -13.090  |7.49     |K0               |    ~     ~    
12  |TYC 3364-35-1                                                                                            |Star                           |05 46 42.9744443376 +48 40 56.927529516|163.0568188236323 +10.2958225639648|  -4.916 -2.702  |9.42     |A0               |    ~     ~    
13  |HD 38216                                                                                                 |Star                           |05 46 45.8934351072 +48 40 10.872758748|163.0721571147844 +10.2964638198786|   2.123 -0.189  |7.63     |G5               |    ~     ~    
14  |HD 38179                                                                                                 |Star                           |05 46 24.6532097616 +47 54 10.653337116|163.7184113767438 +09.8646169822881|  -2.459 -2.043  |7.98     |B9               |    ~     ~    
15  |TYC 3364-347-1                                                                                           |Star                           |05 45 40.5422122968 +48 38 24.993912156|163.0073187051476 +10.1257336479843|  -4.070 -3.294  |10.17    |~                |    ~     ~    
16  |TYC 3364-434-1                                                                                           |Star                           |05 47 01.6734775344 +48 24 15.663269700|163.3283250590039 +10.2028997784498|  -12.126 1.359  |10.90    |~                |    ~     ~    
