C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |BD+88 27                                                              |Star                           |06 23 37.9989153408 +88 13 39.983338560|124.9046459793770 +26.8999970649350|-12.216 -35.945   |10.34    |F8             |    ~     ~    
2   |BD+87 39                                                              |Star                           |06 22 41.8895915496 +87 07 45.132853008|126.1213759592259 +26.7331992443154| 15.518 -40.168   |10.55    |G0             |    ~     ~    
3   |BD+86 75                                                              |Star                           |06 18 37.6295863704 +87 00 50.089742316|126.2395024704654 +26.6635065950191| -5.228 -33.181   |9.64     |F2             |    ~     ~    
4   |BD+86 76                                                              |Double or Multiple Star        |06 17 52.131120 +86 54 17.99424        |126.357658570 +26.635021587        |       -8.1 2.2   |10.764   |F0             |    ~     ~    
5   |BD+85 83                                                              |Double or Multiple Star        |06 17 43.443120 +85 57 49.45428        |127.392844639 +26.466262962        |     -3.2 -12.9   |9.742    |A5             |    ~     ~    
6   |BD+86 77                                                              |Variable Star                  |06 28 07.7882251896 +86 24 58.312266984|126.9236527054269 +26.7080215876361|  10.224 19.448   |8.72     |G8             |    ~     ~    
7   |BD+86 78                                                              |High Proper Motion Star        |06 28 14.7514231392 +86 18 51.107134428|127.0370895436725 +26.6962735099179| -71.943 -6.362   |10.31    |G2             |    ~     ~    
8   |BD+85 86                                                              |Spectroscopic Binary           |06 23 06.9180413928 +85 41 40.605196956|127.7078147453626 +26.5168632293295|    6.257 0.747   |10.05    |G8             |    ~     ~    
9   |BD+85 87                                                              |Star                           |06 18 47.7802779960 +85 06 57.770028864|128.3275800835187 +26.3320649085564|   -0.333 0.733   |9.00     |G5             |    ~     ~    
10  |BD+84 115                                                             |Star                           |06 16 42.3461032800 +84 30 39.941688240|128.9796705246687 +26.1703254753010|  -6.097 -3.395   |10.24    |G5             |    ~     ~    
11  |TYC 4626-120-1                                                        |Star                           |06 25 30.7776387984 +86 20 45.557880324|126.9950548721809 +26.6573842087692| -4.608 -22.063   |10.96    |~              |    ~     ~    
12  |HD 39709                                                              |High Proper Motion Star        |06 15 57.4367465736 +84 07 01.010402292|129.4055661801640 +26.0730128415236| -8.933 -58.321   |8.66     |F5             |    ~     ~    
13  |HD 40456                                                              |Double or Multiple Star        |06 20 50.80567 +84 10 44.3575          |129.36462330 +26.20729012          |   35.47 -21.93   |8.98     |F8             |    ~     ~    
14  |BD+83 156                                                             |Star                           |06 18 22.8784068528 +83 39 10.450954296|129.9260195430059 +26.0430681918547|  -7.696 -3.276   |10.60    |G0             |    ~     ~    
15  |BD+83 158                                                             |Star                           |06 19 22.3544678928 +83 17 23.583518232|130.3282464486234 +25.9991713153632|  -3.056 -0.222   |9.69     |K0             |    ~     ~    
16  |BD+83 159                                                             |Star                           |06 22 52.9276218384 +83 18 39.370194612|130.3267648793730 +26.1036634385810| -3.495 -12.656   |9.56     |K0             |    ~     ~    
17  |BD+83 160                                                             |Star                           |06 24 21.9781001760 +83 05 23.340201180|130.5777840108585 +26.1072445295106|  1.544 -11.821   |9.46     |K0             |    ~     ~    
18  |BD+83 161                                                             |Star                           |06 25 48.7762 +83 10 42.750            |130.4888166 +26.1652269            |  5.150 -42.967   |10.52    |F2             |    ~     ~    
19  |BD+83 163                                                             |Star                           |06 28 23.0080709496 +83 03 13.163782896|130.6402648117489 +26.2205502033051| -9.318 -40.875   |10.47    |F8             |    ~     ~    
20  |BD+82 156                                                             |Star                           |06 15 54.3413130312 +82 42 12.527951112|130.9418437869900 +25.7749270538769|  2.308 -22.613   |10.43    |A2             |    ~     ~    
21  |BD+82 159                                                             |Star                           |06 18 23.7483624096 +82 01 55.532796276|131.6896356545132 +25.7125695168704|  -12.818 5.361   |10.18    |F8             |    ~     ~    
22  |BD+82 160                                                             |High Proper Motion Star        |06 26 01.7611203048 +82 21 27.590738580|131.3903949233204 +26.0297980735618|  0.510 -50.320   |10.658   |K2V            |    ~     ~    
23  |BD+82 161                                                             |High Proper Motion Star        |06 27 34.5285391560 +82 21 51.038891100|131.3931379476730 +26.0815329924595| -55.893 24.760   |9.55     |K0             |    ~     ~    
24  |BD+82 163                                                             |Star                           |06 29 01.1629 +82 09 53.794            |131.6208982 +26.0961004            |     10.60 7.20   |10.23    |G5             |    ~     ~    
25  |BD+82 164                                                             |Star                           |06 29 46.6998960888 +82 18 59.276566008|131.4590394263538 +26.1460532126914|  -0.913 -9.661   |10.28    |K0             |    ~     ~    
