C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:05:06

dec >=0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8634

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+88 28                                                                                                                                    |Star                              |06 42 33.7858800000 +88 04 44.078152656|125.0872202732719 +27.0374307729549|  4.391 -22.883  |10.82    |G0IV               |    ~     ~    |    1|  173.058   pc  |  -0.3115     +0.3115  |paral   |2020yCat.1350....0G
2   |BD+87 40                                                                                                                                    |Star                              |06 31 42.2428648080 +87 13 44.955438780|126.0265445072647 +26.8560654942062|   8.764 -3.547  |10.75    |F8                 |    ~     ~    |    1|  348.335   pc  |  -7.7049     +7.7049  |paral   |2020yCat.1350....0G
3   |HD 39164                                                                                                                                    |Star                              |06 38 08.9387886504 +87 17 47.923208124|125.9595209803868 +26.9391376937230|  0.954 -21.337  |8.31     |K0                 |    ~     ~    |    1|  413.257   pc  |  -2.5276     +2.5276  |paral   |2020yCat.1350....0G
4   |BD+85 88                                                                                                                                    |Star                              |06 36 16.7093731320 +85 56 04.437813300|127.4770445112092 +26.7864183816827|   7.190 35.725  |10.71    |G0                 |    ~     ~    |    1|  367.958   pc  |  -1.7737     +1.7737  |paral   |2020yCat.1350....0G
5   |BD+85 89                                                                                                                                    |Star                              |06 30 01.9372503672 +85 17 16.522731924|128.1798522228166 +26.5913434135449|-17.810 -22.008  |10.05    |G0                 |    ~     ~    |    1|  269.913   pc  |  -0.8087     +0.8087  |paral   |2020yCat.1350....0G
6   |BD+85 91                                                                                                                                    |Star                              |06 37 20.8309550088 +85 20 50.441538552|128.1336177613223 +26.7466054406053|      3.6 -17.2  |9.71     |F5                 |    ~     ~    |    0|                |                       |        |                   
7   |BD+85 92                                                                                                                                    |Star                              |06 40 11.5965684408 +85 09 56.390022864|128.3425373890205 +26.7875232895421|  -4.878 -0.651  |9.59     |G8                 |    ~     ~    |    1|  545.643   pc  |  -3.4536     +3.4536  |paral   |2020yCat.1350....0G
8   |BD+85 93                                                                                                                                    |Star                              |06 42 56.5956415968 +85 01 13.612186812|128.5103292799252 +26.8335523367761|  1.101 -17.559  |9.99     |A0                 |    ~     ~    |    1|  423.406   pc  |  -3.0118     +3.0118  |paral   |2020yCat.1350....0G
9   |BD+84 120                                                                                                                                   |Star                              |06 30 19.3212408600 +84 46 46.068897900|128.7439768519499 +26.5284275716330| -1.725 -40.621  |9.86     |F8                 |    ~     ~    |    1|  157.903   pc  |  -0.2917     +0.2917  |paral   |2020yCat.1350....0G
10  |BD+84 122                                                                                                                                   |Star                              |06 35 26.2485204768 +84 20 00.457434276|129.2558641815244 +26.5914404878748| -15.999 10.449  |10.41    |G5                 |    ~     ~    |    1|  248.256   pc  |  -0.7827     +0.7827  |paral   |2020yCat.1350....0G
