C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:08:27

dec >=0&rah >=6.75&rah< 7.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8283

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+87 43                                                                                                 |Star                              |06 48 07.4577169656 +87 07 40.733862492|126.1567142397847 +27.0499019922736| -4.044 -38.073   |10.25    |G5                   |    ~     ~    |    1|  500.200   pc  |  -2.9273     +2.9273  |paral   |2020yCat.1350....0G
2   |BD+88 20                                                                                                 |Star                              |06 48 52.9626768192 +89 04 45.454588392|123.9662588548909 +27.1141987769254|    4.620 1.958   |9.45     |G8                   |    ~     ~    |    1|  447.948   pc  |  -2.9697     +2.9697  |paral   |2020yCat.1350....0G
3   |BD+88 22                                                                                                 |Star                              |06 49 38.9474347032 +88 56 46.530880548|124.1157621156455 +27.1150648067028| -1.800 -33.498   |10.46    |G0                   |    ~     ~    |    1|  163.279   pc  |  -0.3706     +0.3706  |paral   |2020yCat.1350....0G
4   |BD+88 26                                                                                                 |Star                              |06 46 02.6459798808 +88 34 06.429542844|124.5394098602242 +27.0854136087622|   6.894 13.737   |10.44    |G0                   |    ~     ~    |    1|  353.120   pc  |  -2.1946     +2.1946  |paral   |2020yCat.1350....0G
5   |HD 42855                                                                                                 |High Proper Motion Star           |06 51 47.2870109736 +86 41 03.625096308|126.6565092950557 +27.0841852212955| 1.092 -105.505   |6.591    |K3III                |    ~     ~    |    1|  130.031   pc  |  -0.3196     +0.3196  |paral   |2020yCat.1350....0G
6   |BD+86 80                                                                                                 |Star                              |06 54 03.4560710352 +86 43 22.528380900|126.6140205726676 +27.1176876026452|  -10.543 0.861   |10.33    |B8                   |    ~     ~    |    1|  450.126   pc  |  -3.9712     +3.9712  |paral   |2020yCat.1350....0G
7   |BD+86 81                                                                                                 |Star                              |06 52 53.0103037992 +86 10 05.717167428|127.2364754106895 +27.0867898356958|   10.258 2.883   |10.06    |G5                   |    ~     ~    |    1|  626.802   pc  |  -4.4003     +4.4003  |paral   |2020yCat.1350....0G
8   |HD 45539                                                                                                 |Star                              |06 59 31.9002267216 +85 57 26.309302020|127.4753266482398 +27.1978542639890| -10.645 -9.958   |9.10     |F8                   |    ~     ~    |    1|  209.630   pc  |  -0.5142     +0.5142  |paral   |2020yCat.1350....0G
9   |BD+85 94                                                                                                 |Star                              |06 45 59.3122154400 +85 01 33.795408252|128.5095832950972 +26.8998315864249| -7.329 -28.616   |8.80     |G8                   |    ~     ~    |    1|  341.437   pc  |  -1.6088     +1.6088  |paral   |2020yCat.1350....0G
10  |BD+85 95                                                                                                 |Star                              |06 59 39.6286620024 +85 22 12.284035320|128.1355627381271 +27.1983783593493|   6.655 -6.037   |9.84     |K0                   |    ~     ~    |    1|  758.093   pc  |  -9.1953     +9.1953  |paral   |2020yCat.1350....0G
11  |BD+85 96                                                                                                 |Spectroscopic Binary              |06 59 40.9233973680 +85 08 44.664429552|128.3877872526799 +27.1973512982386|  -10.035 5.636   |10.14    |G8                   |    ~     ~    |    1|  841.963   pc  | -18.6441    +18.6441  |paral   |2020yCat.1350....0G
12  |BD+84 128                                                                                                |High Proper Motion Star           |06 51 08.3253060288 +84 32 57.123119904|129.0512734845683 +26.9884942246563|   0.025 69.348   |10.49    |G0                   |    ~     ~    |    1|  121.231   pc  |  -0.1852     +0.1852  |paral   |2020yCat.1350....0G
