C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:11:56

dec >=0&rah >=7.0&rah< 7.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 7257

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 7                                                                                                                                     |Star                                |07 06 01.1496816696 +89 16 30.063470412|123.7451990027994 +27.1720040085584|-25.356 -25.400   |9.98     |F2                |    ~     ~    |    1|  208.938   pc  |  -0.5457     +0.5457  |paral   |2020yCat.1350....0G
2   |BD+88 30                                                                                                                                    |Star                                |07 01 33.9944400888 +88 18 35.472225528|124.8302614967290 +27.1901586727937|-24.877 -23.318   |10.45    |G0                |    ~     ~    |    1|  257.354   pc  |  -0.8478     +0.8478  |paral   |2020yCat.1350....0G
3   |BD+88 31                                                                                                                                    |Star                                |07 13 53.8869488352 +88 20 45.796015212|124.7839492474784 +27.2779295221148|   0.982 -8.801   |9.53     |K0                |    ~     ~    |    1|  609.793   pc  |  -4.7597     +4.7597  |paral   |2020yCat.1350....0G
4   |BD+86 82                                                                                                                                    |Star                                |07 02 30.1627681968 +86 42 31.020361524|126.6300396162225 +27.2386407600629|    6.908 8.867   |10.87    |G5                |    ~     ~    |    1|  944.555   pc  | -10.1709    +10.1709  |paral   |2020yCat.1350....0G
5   |BD+86 83                                                                                                                                    |Star                                |07 02 16.1126161344 +86 25 19.373282616|126.9523724368874 +27.2400017619166|  -7.104 -2.734   |10.12    |G8                |    ~     ~    |    1|  642.137   pc  |  -5.8140     +5.8140  |paral   |2020yCat.1350....0G
6   |BD+86 84                                                                                                                                    |High Proper Motion Star             |07 10 57.7858474080 +86 49 22.163086272|126.4965688064842 +27.3535711938665| -1.710 -74.552   |10.51    |G8                |    ~     ~    |    1|  309.349   pc  |  -1.1484     +1.1484  |paral   |2020yCat.1350....0G
7   |BD+86 85                                                                                                                                    |Star                                |07 11 45.6315077136 +86 47 48.426170388|126.5251082116987 +27.3661646546331|   -8.231 3.161   |10.72    |G0                |    ~     ~    |    1|  240.275   pc  |  -0.8198     +0.8198  |paral   |2020yCat.1350....0G
8   |BD+86 87                                                                                                                                    |Star                                |07 12 00.4988586840 +86 43 40.426350240|126.6023033848447 +27.3738005218773| -31.572 -3.722   |10.15    |G0                |    ~     ~    |    1|  253.043   pc  |  -0.8068     +0.8068  |paral   |2020yCat.1350....0G
9   |BD+86 88                                                                                                                                    |Star                                |07 02 18.1801479864 +85 57 47.353732308|127.4684699477989 +27.2466324676935|  6.002 -19.617   |10.42    |F0                |    ~     ~    |    1|  316.146   pc  |  -1.5492     +1.5492  |paral   |2020yCat.1350....0G
10  |BD+86 89                                                                                                                                    |Star                                |07 05 12.3782498424 +86 04 48.001645236|127.3360125776141 +27.2948716366244|  0.415 -13.047   |10.40    |K0                |    ~     ~    |    1| 1345.714   pc  | -20.2826    +20.2826  |paral   |2020yCat.1350....0G
