C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:15:33

dec >=0&rah >=7.25&rah< 7.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6226

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 5                                                                                                                                                                        |Star                              |07 18 10.9612364688 +89 36 13.461268932|123.3743206004468 +27.1736964295905|   -0.797 7.433   |10.43    |G8              |    ~     ~          |    1|  574.944   pc  |  -4.4956     +4.4956  |paral   |2020yCat.1350....0G
2   |BD+89 8                                                                                                                                                                        |High Proper Motion Star           |07 22 06.2005774632 +89 05 28.446009108|123.9449740616283 +27.2458500131949| 38.778 -92.075   |10.70    |K2              |    ~     ~          |    1|   71.972   pc  |  -0.3180     +0.3180  |paral   |2020yCat.1350....0G
3   |BD+88 29                                                                                                                                                                       |Star                              |07 28 38.9180349792 +88 38 13.509360168|124.4460861805926 +27.3404436829914|  0.290 -37.993   |9.23     |G8              |    ~     ~          |    1|  188.374   pc  |  -0.5287     +0.5287  |paral   |2020yCat.1350....0G
4   |BD+87 45                                                                                                                                                                       |Spectroscopic Binary              |07 15 58.0275817248 +87 15 38.403103572|125.9996961160234 +27.3875263205012|   -6.894 3.076   |9.21     |A3              |    ~     ~          |    1|  322.009   pc  |  -2.2501     +2.2501  |paral   |2020yCat.1350....0G
5   |HD 47832                                                                                                                                                                       |Variable Star                     |07 28 52.7558100960 +87 22 31.556787852|125.8523213994712 +27.5248841789121| -9.095 -46.064   |8.33     |G5              |    ~     ~          |    1|  138.269   pc  |  -0.3250     +0.3250  |paral   |2020yCat.1350....0G
6   |BD+87 47                                                                                                                                                                       |Star                              |07 24 10.4390286384 +87 07 40.295322120|126.1372980004299 +27.5006862373314|    9.995 3.761   |9.42     |K0              |    ~     ~          |    1|  485.413   pc  |  -3.0160     +3.0160  |paral   |2020yCat.1350....0G
7   |BD+87 44                                                                                                                                                                       |Star                              |07 25 14.7446318712 +87 50 37.645496088|125.3348920173235 +27.4247070573508|   1.503 -0.605   |10.48    |A5              |    ~     ~          |    1|  532.113   pc  |  -3.2845     +3.2845  |paral   |2020yCat.1350....0G
8   |BD+86 93                                                                                                                                                                       |Double or Multiple Star           |07 17 57.589632 +86 05 33.77724        |127.308785271 +27.511486122        |       -9.4 8.2   |10.445   |F8              |    ~     ~          |    0|                |                       |        |                   
9   |BD+86 95                                                                                                                                                                       |Star                              |07 19 31.5610092264 +86 02 29.806490580|127.3636733621734 +27.5425261307745| -1.576 -20.272   |10.82    |F8              |    ~     ~          |    1|  268.911   pc  |  -0.8027     +0.8027  |paral   |2020yCat.1350....0G
10  |HD 50925                                                                                                                                                                       |Star                              |07 29 01.4845306752 +86 18 27.709903800|127.0458033648026 +27.6710667258657|-16.806 -27.722   |9.00     |F5              |    ~     ~          |    1|  234.577   pc  |  -1.9864     +1.9864  |paral   |2020yCat.1350....0G
11  |BD+86 94                                                                                                                                                                       |Star                              |07 15 12.1256314128 +85 49 40.861998912|127.6104011524091 +27.4824688764155|  -2.224 -7.221   |9.82     |G8              |    ~     ~          |    1|  612.595   pc  |  -6.9801     +6.9801  |paral   |2020yCat.1350....0G
12  |BD+85 103                                                                                                                                                                      |Star                              |07 17 01.2743560512 +85 10 34.454348292|128.3409874969644 +27.5618387146566|   0.480 -5.889   |9.14     |G8              |    ~     ~          |    1|  241.115   pc  |  -0.6860     +0.6860  |paral   |2020yCat.1350....0G
13  |BD+85 104                                                                                                                                                                      |Star                              |07 18 03.8066964192 +85 11 40.314009876|128.3186605754023 +27.5823624565699|    0.037 4.405   |10.00    |G8              |    ~     ~          |    1|  488.974   pc  |  -2.5583     +2.5583  |paral   |2020yCat.1350....0G
14  |BD+84 145                                                                                                                                                                      |Star                              |07 15 12.7369423512 +84 05 47.406162480|129.5597470992845 +27.5837217071317|   -8.789 9.927   |9.84     |G5              |    ~     ~          |    1|  715.461   pc  |  -5.8867     +5.8867  |paral   |2020yCat.1350....0G
15  |BD+84 147                                                                                                                                                                      |Star                              |07 25 20.7805920648 +84 30 59.384199240|129.0657130669324 +27.8030797392907|  -0.017 -3.215   |9.92     |K2              |    ~     ~          |    1|  428.082   pc  |  -2.7488     +2.7488  |paral   |2020yCat.1350....0G
16  |NGC 2276                           NGC 2276                                                                                                                                    |Interacting Galaxies              |07 27 14.485 +85 45 16.20              |127.670037 +27.709163              |            ~ ~   |     ~   |~               |1.243 1.069          |    1|   36.96    Mpc |                       |redshift|2007ApJ...655..790C
