C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:43:58

Vmag< 11&dec >=0&rah >=0.75&rah< 1.0
------------------------------------

Number of objects : 4837

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
1   |BD+46 157                                                             |Star                           |00 45 33.0637941744 +47 01 11.769826332|121.8890496576249 -15.8398908801082|      41.6 -4.3   |10.40    |F5                  |    ~     ~    
2   |BD+46 163                                                             |Spectroscopic Binary           |00 46 28.3806641184 +47 01 49.668695220|122.0525663080949 -15.8328067622823|   4.529 -3.620   |9.58     |G5                  |    ~     ~    
3   |HD 4385                                                               |Star                           |00 46 37.8090700224 +46 53 37.625877636|122.0776352066802 -15.9699876642370|   39.672 6.425   |6.86     |K0                  |    ~     ~    
4   |HD 4244                                                               |High Proper Motion Star        |00 45 21.8702836968 +46 18 16.925677344|121.8377179721427 -16.5541422233186|  53.317 -7.530   |7.83     |K2                  |    ~     ~    
5   |HD 4406                                                               |Star                           |00 46 51.7422629688 +46 21 48.971646540|122.1086738319878 -16.5008303630999|-25.788 -20.593   |7.48     |G5                  |    ~     ~    
6   |BD+46 173                                                             |Double or Multiple Star        |00 48 26.3185355185 +47 01 02.396987403|122.4005167559004 -15.8513203863319| -5.389 -10.136   |10.425   |~                   |    ~     ~    
7   |BD+46 172                                                             |High Proper Motion Star        |00 48 20.7854449752 +47 09 30.854800332|122.3860095694273 -15.7098998695506| 44.899 -25.320   |10.98    |G0                  |    ~     ~    
8   |HD 4297                                                               |Star                           |00 45 51.8210253288 +45 53 44.806218360|121.9179787254867 -16.9649936296415|  -1.250 -3.246   |8.907    |B9                  |    ~     ~    
9   |BD+45 197                                                             |Star                           |00 46 48.8076025296 +46 10 50.017086588|122.0962960830340 -16.6836839666634|   0.023 -6.087   |10.005   |A2                  |    ~     ~    
10  |HD 4461                                                               |Star                           |00 47 12.4445743896 +46 10 57.023626836|122.1675078858410 -16.6829618755343|  -5.966 -3.328   |9.543    |F                   |    ~     ~    
11  |HD 4514                                                               |Star                           |00 47 42.4611297648 +46 14 43.575979020|122.2588878044196 -16.6214350772209| 29.392 -11.290   |8.37     |K0                  |    ~     ~    
12  |BD+44 156                                                             |Star                           |00 45 34.0964907216 +45 36 48.209090868|121.8572108736254 -17.2461075118650| -12.208 -5.667   |9.353    |F5                  |    ~     ~    
13  |BD+44 157                                                             |Star                           |00 45 42.4529683680 +45 35 15.425930976|121.8820770980727 -17.2724479427298|   5.907 -8.333   |10.412   |G5                  |    ~     ~    
14  |HD 4364                                                               |Star                           |00 46 27.0663019008 +45 25 35.463822024|122.0148534442907 -17.4363499867300| -21.297 -3.329   |7.62     |A3                  |    ~     ~    
15  |TYC 3262-470-1                                                        |Star                           |00 45 21.7642244544 +45 14 51.348499296|121.8101076606428 -17.6109175397961|   3.898 -0.393   |10.85    |~                   |    ~     ~    
16  |TYC 3262-875-1                                                        |Star                           |00 45 49.4885388144 +45 30 59.650926264|121.9018564281858 -17.3439511758496|   7.072 -6.289   |10.44    |~                   |    ~     ~    
17  |TYC 3262-924-1                                                        |High Proper Motion Star        |00 45 59.7788859048 +45 48 13.112948412|121.9399702624597 -17.0576241456846|  70.726 14.782   |10.458   |~                   |    ~     ~    
18  |TYC 3262-1226-1                                                       |Star                           |00 45 46.6787028264 +45 12 38.231794404|121.8858722842242 -17.6496315994027|  -6.308 -6.801   |9.90     |~                   |    ~     ~    
19  |TYC 3262-1236-1                                                       |Spectroscopic Binary           |00 47 11.4833822304 +45 53 22.798243356|122.1593429422553 -16.9757111582547|  7.519 -11.532   |10.127   |~                   |    ~     ~    
20  |TYC 3262-1254-1                                                       |Star                           |00 46 47.6841302184 +46 44 58.502498676|122.1040610746523 -16.1146998650576|   2.492 -5.952   |10.52    |~                   |    ~     ~    
21  |TYC 3262-1341-1                                                       |Star                           |00 45 56.6230481928 +46 04 33.369467124|121.9367308567653 -16.7851947984123|    4.073 2.061   |9.520    |~                   |    ~     ~    
22  |TYC 3262-1404-1                                                       |Star                           |00 45 10.9812600456 +46 49 32.088488520|121.8187608767394 -16.0326478147040|   15.138 4.261   |10.24    |~                   |    ~     ~    
23  |TYC 3262-1478-1                                                       |Star                           |00 47 09.4554107424 +46 48 30.828238308|122.1698106011155 -16.0568502300781|  -4.047 -3.489   |10.25    |~                   |    ~     ~    
24  |TYC 3262-1542-1                                                       |Star                           |00 46 29.9740035048 +46 44 05.903374524|122.0511380306470 -16.1283287778666| 18.044 -11.359   |10.48    |~                   |    ~     ~    
25  |TYC 3262-1655-1                                                       |Star                           |00 46 21.5087484984 +46 06 30.240804924|122.0125438797224 -16.7542797697705|  -3.463 -4.830   |9.951    |~                   |    ~     ~    
26  |TYC 3262-1714-1                                                       |Star                           |00 48 21.8405392680 +46 42 42.200493840|122.3833460538377 -16.1567510308846|   2.856 -6.263   |10.53    |~                   |    ~     ~    
27  |TYC 3262-1757-1                                                       |High Proper Motion Star        |00 45 37.9145501304 +45 56 54.869237016|121.8771291645283 -16.9112814870315|   63.562 9.310   |10.454   |~                   |    ~     ~    
28  |TYC 3262-1849-1                                                       |Star                           |00 45 11.9731117464 +46 17 11.241340404|121.8075260380229 -16.5716716659810|   4.837 -4.739   |10.67    |~                   |    ~     ~    
29  |TYC 3262-2014-1                                                       |Star                           |00 47 20.0839208616 +46 33 36.373119912|122.1970551984117 -16.3057891840261|  -2.998 -1.663   |10.70    |~                   |    ~     ~    
30  |TYC 3262-2068-1                                                       |Star                           |00 46 50.5274150184 +46 42 07.277735844|122.1115891861323 -16.1624056537971|   6.672 -2.692   |10.10    |~                   |    ~     ~    
31  |TYC 3262-2162-1                                                       |Star                           |00 47 59.2922255208 +46 28 47.514890640|122.3129130317737 -16.3877360683691|   5.420 -4.531   |10.76    |~                   |    ~     ~    
32  |TYC 3266-884-1                                                        |Star                           |00 45 15.3669153576 +46 57 46.301145804|121.8353307622165 -15.8957234141061|-10.049 -10.732   |10.36    |~                   |    ~     ~    
33  |TYC 3266-912-1                                                        |Star                           |00 48 10.5833084448 +47 04 56.601295320|122.3549440089875 -15.7857044279300|   8.156 -6.200   |10.48    |~                   |    ~     ~    
34  |BD+46 162                                                             |Double or Multiple Star        |00 46 14.7719652528 +47 13 12.494255808|122.0165287989987 -15.6423824253020|   29.867 7.043   |9.873    |~                   |    ~     ~    
35  |TYC 3266-1206-1                                                       |Star                           |00 45 26.6546964888 +47 05 38.842262124|121.8719956603236 -15.7652893025142|  12.934 -9.846   |10.44    |~                   |    ~     ~    
36  |BD+46 193                                                             |Star                           |00 53 49.4287124760 +46 50 47.135204196|123.3563746152052 -16.0233548298944|  42.385 23.344   |8.78     |K0                  |    ~     ~    
37  |HD 5279                                                               |Double or Multiple Star        |00 55 09.7386774312 +46 52 58.492835040|123.5939033920514 -15.9840457633182| 35.879 -23.499   |7.76     |K0                  |0.0067  0.0    
38  |HD 5344                                                               |Star                           |00 55 50.5389412656 +46 52 32.964990924|123.7148849539024 -15.9892281333110|  10.622 -4.449   |7.96     |A0                  |    ~     ~    
