C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1   |BD+88 33                                                                                                 |Star                           |07 39 01.5686713008 +88 27 49.669869816|124.6256521205986 +27.4347795431860|  7.450 -16.006   |10.04    |G0                |    ~     ~    
2   |BD+88 35                                                                                                 |Star                           |07 34 15.2819574120 +88 11 37.472555040|124.9319927365964 +27.4495658881819|-17.308 -35.607   |9.32     |F8                |    ~     ~    
3   |NAME 51 H. Cep                     V* OV Cep                                                             |Long-Period Variable           |07 40 30.4903485456 +87 01 12.378059472|126.2217097258771 +27.7230260015992|-37.838 -32.969   |5.07     |M2III             |    ~     ~    
4   |BD+86 97                                                                                                 |Star                           |07 40 43.9491986928 +86 41 13.651740528|126.5908014512147 +27.7878397351721|  -15.121 5.857   |10.63    |G0                |    ~     ~    
5   |BD+86 98                                                                                                 |Star                           |07 37 30.4706439960 +86 14 36.205253016|127.0945040392530 +27.8168486300315|   2.628 -6.455   |10.00    |K2                |    ~     ~    
6   |BD+85 107                                                                                                |Star                           |07 36 21.5571034944 +84 53 27.043508292|128.6098366930025 +28.0088298462139|  -9.470 -9.564   |9.77     |F5                |    ~     ~    
7   |BD+85 108                                                                                                |Star                           |07 43 14.7375553632 +85 00 45.693983088|128.4453228368541 +28.1381358655749|   -3.083 5.687   |10.25    |A3                |    ~     ~    
8   |BD+84 148                                                                                                |Star                           |07 31 19.4782204680 +84 01 04.946838780|129.6079078613847 +28.0058466620158|   -1.615 5.324   |10.18    |K0                |    ~     ~    
9   |BD+84 149                                                                                                |Star                           |07 32 42.0050147880 +84 16 22.058000868|129.3166643005235 +28.0090812961631|  5.423 -17.409   |9.60     |A5                |    ~     ~    
10  |BD+84 150                                                                                                |Star                           |07 34 29.3191673856 +84 19 13.820829312|129.2564345775548 +28.0468216496331|  2.372 -16.662   |10.67    |F0                |    ~     ~    
