C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:25:35

dec >=0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4688

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+88 32                                                                                                                                                                       |Star                              |08 07 38.0525260152 +88 45 57.574001556|124.2472510815552 +27.5248722543042| -4.556 -15.789    |9.81     |K2               |    ~     ~    |    1|  560.318   pc  |  -3.7361     +3.7361  |paral   |2020yCat.1350....0G
2   |HD 57535                                                                                                                                                                       |Star                              |08 14 08.2800851640 +87 41 32.404324092|125.3755072943323 +27.9218270191393|-32.365 -38.084    |9.09     |F0               |    ~     ~    |    1|  237.699   pc  |  -2.2883     +2.2883  |paral   |2020yCat.1350....0G
3   |TYC 4643-41-1                                                                                                                                                                  |Star                              |08 08 30.4615732584 +88 41 31.337347776|124.3245920178818 +27.5529754637098|    0.306 4.981    |10.49    |~                |    ~     ~    |    1|  619.886   pc  |  -4.2653     +4.2653  |paral   |2020yCat.1350....0G
4   |BD+86 105                                                                                                                                                                      |Spectroscopic Binary              |08 04 35.4186460632 +86 31 14.357773380|126.6797945284715 +28.1701851087539|   16.963 9.824    |10.23    |G8               |    ~     ~    |    1|  785.238   pc  |  -8.5707     +8.5707  |paral   |2020yCat.1350....0G
5   |BD+85 112                                                                                                                                                                      |Star                              |08 00 42.2746277424 +85 38 03.626876040|127.6684245363695 +28.3480161841431|   -1.999 4.686    |10.69    |G8               |    ~     ~    |    1|  843.313   pc  |  -8.7475     +8.7475  |paral   |2020yCat.1350....0G
6   |BD+85 114                                                                                                                                                                      |Star                              |08 00 17.9375238144 +85 28 25.296307824|127.8470701821588 +28.3820513891000| -7.298 -13.620    |10.37    |K2               |    ~     ~    |    1| 1120.323   pc  | -14.3084    +14.3084  |paral   |2020yCat.1350....0G
7   |BD+85 115                                                                                                                                                                      |Star                              |08 01 53.1680807808 +85 34 13.513362816|127.7317443844741 +28.3866748134739|    1.764 8.707    |9.54     |K0               |    ~     ~    |    1|  594.071   pc  |  -4.2350     +4.2350  |paral   |2020yCat.1350....0G
8   |BD+85 116                                                                                                                                                                      |Star                              |08 03 21.6380559672 +84 54 27.450832644|128.4495840808828 +28.5920506852050|   -0.401 0.934    |10.44    |K3:              |    ~     ~    |    1| 1298.701   pc  | -19.9022    +19.9022  |paral   |2020yCat.1350....0G
9   |BD+85 117                                                                                                                                                                      |Spectroscopic Binary              |08 08 03.7591386264 +84 39 32.307848100|128.6886721826188 +28.7630609071736|-10.509 -17.518    |8.45     |K0               |    ~     ~    |    1|  577.701   pc  |  -7.5425     +7.5425  |paral   |2020yCat.1350....0G
10  |BD+85 118                                                                                                                                                                      |High Proper Motion Star           |08 11 05.7305578968 +84 45 29.871539316|128.5570793809159 +28.8011602238427|  82.818 41.794    |9.73     |G0               |    ~     ~    |    1|  140.683   pc  |  -0.2454     +0.2454  |paral   |2020yCat.1350....0G
11  |BD+84 161                                                                                                                                                                      |Star                              |08 01 23.1055928592 +83 56 00.339412128|129.5369184298472 +28.7960424137214|   25.162 8.708    |9.31     |F8               |    ~     ~    |    1|  548.637   pc  |  -3.4314     +3.4314  |paral   |2020yCat.1350....0G
12  |BD+84 162                                                                                                                                                                      |Star                              |08 01 53.6355299376 +83 58 23.230010208|129.4892415018954 +28.7991056480496|   6.322 -1.368    |10.62    |~                |    ~     ~    |    1|  528.290   pc  |  -3.4886     +3.4886  |paral   |2020yCat.1350....0G
13  |HD 62666                                                                                                                                                                       |Spectroscopic Binary              |08 04 05.3545691232 +83 55 08.637754296|129.5320205406542 +28.8688737080401| 20.540 -11.927    |8.59     |G5               |    ~     ~    |    1|   56.694   pc  |  -1.2304     +1.2304  |paral   |2020yCat.1350....0G
14  |BD+84 167                                                                                                                                                                      |Star                              |08 06 20.7471983472 +84 08 00.467345544|129.2781886120210 +28.8685303861948| -8.497 -30.960    |9.40     |K2               |    ~     ~    |    1|  461.318   pc  |  -2.3622     +2.3622  |paral   |2020yCat.1350....0G
15  |HD 63834                                                                                                                                                                       |Star                              |08 11 09.6466748184 +84 24 26.277542928|128.9394067540138 +28.9063700020521|  -7.101 -6.524    |7.60     |A0               |    ~     ~    |    1|  215.773   pc  |  -1.2431     +1.2431  |paral   |2020yCat.1350....0G
16  |BD+84 166                                                                                                                                                                      |Star                              |08 05 08.2211691528 +83 53 21.696023328|129.5564412322326 +28.9034999369744| -6.420 -11.469    |9.15     |K5               |    ~     ~    |    1|  678.012   pc  |  -6.1600     +6.1600  |paral   |2020yCat.1350....0G
17  |BD+84 164                                                                                                                                                                      |Star                              |08 03 51.8391328656 +83 46 55.211386296|129.6850075531011 +28.8985129228134|   8.677 -9.188    |10.24    |K2               |    ~     ~    |    1|  677.002   pc  |  -5.5458     +5.5458  |paral   |2020yCat.1350....0G
18  |BD+83 205                                                                                                                                                                      |Star                              |08 09 22.3795101792 +83 26 54.406388832|130.0055609948269 +29.1354164645119|  -13.235 5.609    |10.43    |F8               |    ~     ~    |    1|  362.293   pc  |  -1.8245     +1.8245  |paral   |2020yCat.1350....0G
19  |GSC 04631-00032                                                                                                                                                                |Spectroscopic Binary              |08 06 31.9647334752 +84 19 40.977087528|129.0629939197892 +28.8200028840130|   7.061 -7.216    |10.591   |~                |    ~     ~    |    1|  242.230   pc  |  -5.6505     +5.6505  |paral   |2020yCat.1350....0G
20  |TYC 4631-2441-1                                                                                                                                                                |Spectroscopic Binary              |08 14 56.0523107112 +83 49 09.726101328|129.5478475218196 +29.1747653194737|   4.432 16.756    |10.96    |~                |    ~     ~    |    1|  209.279   pc  |  -0.4424     +0.4424  |paral   |2020yCat.1350....0G
21  |TYC 4631-2541-1                                                                                                                                                                |Star                              |08 06 35.5639215696 +83 47 05.033834160|129.6597602846623 +28.9690558999941|  18.609 12.848    |10.749   |~                |    ~     ~    |    1|  165.769   pc  |  -0.3545     +0.3545  |paral   |2020yCat.1350....0G
22  |TYC 4631-2775-1                                                                                                                                                                |Star                              |08 10 26.4537136080 +83 40 53.949538020|129.7397693038390 +29.0985115586916|   -2.834 0.272    |10.94    |~                |    ~     ~    |    1|  751.371   pc  | -37.7690    +37.7690  |paral   |2020yCat.1350....0G
23  |TYC 4635-14-1                                                                                                                                                                  |Star                              |08 07 39.7372131816 +84 33 01.478049084|128.8105310974049 +28.7846420724168| 10.961 -13.904    |10.83    |~                |    ~     ~    |    1| 1014.096   pc  | -11.1066    +11.1066  |paral   |2020yCat.1350....0G
24  |BD+83 201                                                                                                                                                                      |Star                              |08 03 08.4679375368 +82 50 52.053317304|130.7248194323210 +29.1134826008135|  2.338 -14.346    |9.83     |F0               |    ~     ~    |    1|  360.581   pc  |  -1.6642     +1.6642  |paral   |2020yCat.1350....0G
