C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
1   |BD+88 36                                                                                                 |Star                           |08 20 01.3757014752 +88 36 55.778417064|124.3795337509574 +27.6427421723872| -12.088 -5.780   |10.07    |G5                   |    ~     ~    
2   |BD+88 40                                                                                                 |Star                           |08 29 57.1603012992 +87 50 21.731805096|125.1566356234899 +28.0111011566297|  18.863 -4.118   |10.31    |G5                   |    ~     ~    
3   |BD+87 56                                                                                                 |Star                           |08 22 03.4799042664 +87 15 14.997237048|125.8061131102446 +28.1565719419319|  12.549 11.873   |10.29    |F8                   |    ~     ~    
4   |BD+87 58                                                                                                 |Star                           |08 27 29.0855432376 +87 25 45.688749384|125.5951689579534 +28.1491285751021|-24.907 -30.651   |10.33    |G8                   |    ~     ~    
5   |BD+87 60                                                                                                 |Spectroscopic Binary           |08 21 38.8640047104 +86 40 29.654442732|126.4217811065298 +28.3602693725489|  0.556 -15.236   |10.14    |G8                   |    ~     ~    
6   |BD+87 57                                                                                                 |Star                           |08 21 54.0770848584 +87 12 55.791947916|125.8477585540777 +28.1688520209486|  7.200 -16.120   |10.90    |G5V:                 |    ~     ~    
7   |TYC 4643-48-1                                                                                            |High Proper Motion Star        |08 26 47.5452823704 +89 12 44.940478140|123.7436044167874 +27.4442017685580|-18.751 -66.915   |10.89    |~                    |    ~     ~    
8   |BD+86 107                                                                                                |Double or Multiple Star        |08 16 43.676208 +86 20 20.88312        |126.809325893 +28.406005112        |    -24.5 -14.6   |9.361    |F8                   |    ~     ~    
9   |BD+86 108                                                                                                |Star                           |08 21 18.5120680968 +86 20 00.504029904|126.7867836701355 +28.4766702374164|  3.329 -11.440   |10.68    |G8                   |    ~     ~    
10  |BD+86 109                                                                                                |Star                           |08 23 10.9467955440 +86 26 30.236997984|126.6597626123596 +28.4655609643422|-15.329 -29.021   |9.80     |G2                   |    ~     ~    
11  |V* V411 Cep                                                                                              |Long-Period Variable           |08 23 23.4030114072 +86 22 43.153170456|126.7253276438933 +28.4914089790484|  -7.928 -7.036   |8.39     |M5III                |    ~     ~    
12  |BD+86 111                                                                                                |Star                           |08 26 10.151376 +86 27 08.73000        |126.629089724 +28.504658412        |       8.4 15.8   |10.605   |G2                   |    ~     ~    
13  |BD+86 112                                                                                                |High Proper Motion Star        |08 24 13.4462364000 +85 58 59.184910524|127.1394444062335 +28.6475411755648|-24.394 -87.639   |10.07    |G2                   |    ~     ~    
14  |BD+86 114                                                                                                |Spectroscopic Binary           |08 28 07.1611383864 +86 05 46.979268612|126.9911483903151 +28.6680368478062| 53.001 -29.119   |10.38    |G5                   |    ~     ~    
15  |HD 65172                                                                                                 |Star                           |08 23 29.5659346152 +85 41 31.723681236|127.4544168429506 +28.7397167748237|-34.954 -31.847   |7.40     |G5                   |    ~     ~    
16  |TYC 4635-642-1                                                                                           |Star                           |08 23 58.5795707136 +85 55 25.342406904|127.2043632911353 +28.6649277750224|-13.308 -10.281   |10.69    |~                    |    ~     ~    
17  |HD 67585                                                                                                 |High Proper Motion Star        |08 24 22.0369132104 +83 05 49.136327520|130.2338240294195 +29.6613514247204|-46.090 -67.916   |7.68     |F8                   |    ~     ~    
18  |BD+83 212                                                                                                |Star                           |08 29 13.7870098248 +82 58 52.701299292|130.2997570731033 +29.8396941177513| -7.708 -45.976   |9.24     |F5                   |    ~     ~    
19  |V* FF Cep                                                                                                |Mira Variable                  |08 26 50.5105713720 +85 07 02.088209172|128.0389479728884 +29.0098851046595|    2.087 1.714   |10.56    |M                    |    ~     ~    
20  |BD+85 120                                                                                                |Star                           |08 16 19.7916181752 +84 43 43.559094576|128.5470217124962 +28.9243113038021|  -1.455 -4.900   |10.43    |~                    |    ~     ~    
21  |BD+85 121                                                                                                |Star                           |08 20 23.7268535520 +84 56 09.053015028|128.2891935690012 +28.9428588813065|  -2.003 21.188   |10.62    |F2                   |    ~     ~    
22  |HD 65299                                                                                                 |Star                           |08 16 53.9097626112 +84 03 27.519347484|129.2700208096806 +29.1501921448407| -8.448 -18.852   |6.460    |A3IV                 |    ~     ~    
23  |BD+84 170                                                                                                |High Proper Motion Star        |08 18 27.5916854496 +84 18 05.426707248|128.9910045029319 +29.1097774251785|-74.883 -72.026   |9.28     |G0                   |    ~     ~    
24  |BD+84 171                                                                                                |Star                           |08 17 54.1981736400 +84 00 56.782753020|129.3060196502037 +29.1882212151534|   7.977 20.160   |9.34     |F5                   |    ~     ~    
25  |BD+84 172                                                                                                |Star                           |08 24 31.5316051920 +83 55 50.847293712|129.3316319258142 +29.3804005704780|  -7.955 -0.393   |10.38    |G5                   |    ~     ~    
26  |HD 67222                                                                                                 |Double or Multiple Star        |08 25 12.0599128224 +84 00 51.076263708|129.2348274649739 +29.3680287283678|-11.235 -11.506   |8.900    |F0                   |    ~     ~    
27  |BD+84 174                                                                                                |Double or Multiple Star        |08 28 32.4712032672 +84 08 39.868000584|129.0599426578959 +29.4020097440788|  -4.603 -6.365   |9.782    |K5                   |    ~     ~    
28  |BD+84 175                                                                                                |Star                           |08 29 06.9975852936 +84 08 26.426488848|129.0577708353543 +29.4170399485555|  12.435 20.935   |9.53     |F5                   |    ~     ~    
29  |BD+83 209                                                                                                |Star                           |08 27 38.1412649952 +83 23 53.450414376|129.8703977230663 +29.6472334206714| 36.277 -27.543   |10.28    |K0                   |    ~     ~    
30  |BD+83 211                                                                                                |Star                           |08 29 20.9998630392 +83 26 30.629339484|129.8032508467453 +29.6774598795878|   4.808 -7.656   |10.19    |K0                   |    ~     ~    
31  |V* HW Cam                                                                                                |Spectroscopic Binary           |08 27 34.2990292608 +83 52 56.608361256|129.3509678407052 +29.4731001245131| -6.344 -23.995   |10.75    |~                    |    ~     ~    
32  |TYC 4631-1477-1                                                                                          |Star                           |08 29 29.5756946832 +83 12 25.583989572|130.0535913418747 +29.7660721312793|    1.150 0.007   |10.77    |~                    |    ~     ~    
33  |BD+85 119                                                                                                |Star                           |08 18 09.8003133000 +85 02 08.266521372|128.2002926794032 +28.8636256412629| -1.874 -20.283   |10.46    |F8                   |    ~     ~    
34  |BD+83 206                                                                                                |Star                           |08 17 38.2305214152 +82 55 14.127412476|130.5018778998888 +29.5245509793410|   -2.118 2.188   |10.75    |A5                   |    ~     ~    
35  |BD+83 208                                                                                                |Star                           |08 24 51.6653711016 +82 43 55.498906740|130.6234734485872 +29.7988130714064|  0.188 -15.066   |10.58    |F5                   |    ~     ~    
