C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:34:18

dec >=0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3764

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 4                                                                                                                                     |Star                               |08 56 19.0647510840 +89 35 58.566418836|123.3173811116697 +27.3352623616727|-20.551 -12.923    |10.47    |G0               |    ~     ~    |    1|  275.437   pc  |  -1.0166     +1.0166  |paral   |2020yCat.1350....0G
2   |BD+89 11                                                                                                                                    |Star                               |08 46 36.6629561544 +88 45 29.123784108|124.1614039886326 +27.7210588766371|-11.845 -13.261    |10.71    |G0               |    ~     ~    |    1|  199.473   pc  |  -0.5013     +0.5013  |paral   |2020yCat.1350....0G
3   |BD+88 44                                                                                                                                    |Star                               |08 50 20.6165490312 +87 33 20.123305884|125.3432406505848 +28.3196892326755| 12.240 -22.705    |9.84     |G8               |    ~     ~    |    1|  461.404   pc  |  -2.4057     +2.4057  |paral   |2020yCat.1350....0G
4   |BD+87 63                                                                                                                                    |Double or Multiple Star            |08 45 19.3481631384 +86 36 26.066818368|126.3322334512456 +28.7045467788211|     -22.6 -9.3    |9.878    |G0               |    ~     ~    |    0|                |                       |        |                   
5   |BD+87 65                                                                                                                                    |Star                               |08 56 33.0836043120 +86 42 17.978297328|126.1455027912267 +28.8023030175376|  42.483 14.366    |10.02    |G5               |    ~     ~    |    1|   99.956   pc  |  -0.0989     +0.0989  |paral   |2020yCat.1350....0G
6   |BD+87 66                                                                                                                                    |Star                               |08 57 56.4600046728 +86 42 09.181538964|126.1365391436573 +28.8208309594635| -18.359 -8.240    |10.09    |G5               |    ~     ~    |    1|  531.576   pc  |  -3.3909     +3.3909  |paral   |2020yCat.1350....0G
7   |BD+86 117                                                                                                                                   |Star                               |08 45 34.5941553024 +86 21 24.249942144|126.5851811221811 +28.8211648725691|   26.704 3.797    |9.62     |G8               |    ~     ~    |    1|  461.936   pc  |  -3.0514     +3.0514  |paral   |2020yCat.1350....0G
8   |BD+87 64                                                                                                                                    |Eclipsing Binary                   |08 53 52.0743856920 +87 07 12.759709944|125.7539913176047 +28.5662151772782|-18.978 -23.895    |10.704   |G5V:             |    ~     ~    |    1|  180.946   pc  |  -0.4715     +0.4715  |paral   |2020yCat.1350....0G
9   |TYC 4635-706-1                                                                                                                              |Star                               |08 55 28.6477821624 +86 13 36.981873192|126.6300478790910 +29.0234517749684|   -0.630 4.009    |10.88    |~                |    ~     ~    |    1|  438.366   pc  |  -2.7672     +2.7672  |paral   |2020yCat.1350....0G
10  |TYC 4639-245-1                                                                                                                              |Star                               |08 57 11.4679368384 +86 19 32.921004864|126.5159864407074 +28.9989634957041| -34.510 -1.328    |10.95    |~                |    ~     ~    |    1|  294.308   pc  |  -1.1000     +1.1000  |paral   |2020yCat.1350....0G
