C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:36:43

dec >=0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3235

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+88 41                                                                                                 |High Proper Motion Star            |09 04 48.7962143064 +88 19 20.723673324|124.5197251304087 +28.0414060398445|  37.676 37.122   |9.88     |F8               |    ~     ~    |    1|  180.930   pc  |  -1.7153     +1.7153  |paral   |2020yCat.1350....0G
2   |BD+88 46                                                                                                 |Star                               |09 10 01.7471015784 +87 50 38.179021632|124.9471032630532 +28.3396184168720|   7.411 -1.205   |9.97     |G8               |    ~     ~    |    1|  439.116   pc  |  -1.9475     +1.9475  |paral   |2020yCat.1350....0G
3   |BD+88 45                                                                                                 |Star                               |09 05 43.0209067296 +87 45 42.700980600|125.0508583159654 +28.3498921244508|-12.444 -26.169   |10.84    |G5               |    ~     ~    |    1|  299.688   pc  |  -0.9700     +0.9700  |paral   |2020yCat.1350....0G
4   |BD+88 48                                                                                                 |Star                               |09 10 19.7318836320 +87 31 17.318047908|125.2503457490862 +28.5209397871187|   1.400 -2.059   |10.24    |G5               |    ~     ~    |    1|  629.445   pc  |  -4.8337     +4.8337  |paral   |2020yCat.1350....0G
5   |BD+87 67                                                                                                 |Star                               |09 11 15.0423900288 +87 23 18.054957336|125.3699404090670 +28.6033686769831|-10.281 -15.997   |9.59     |F0               |    ~     ~    |    1|  446.847   pc  |  -3.4743     +3.4743  |paral   |2020yCat.1350....0G
6   |HD 72144                                                                                                 |High Proper Motion Star            |09 03 52.8553854000 +86 52 37.192283688|125.9169867717228 +28.8025511240779|-27.955 -43.050   |8.72     |G0               |    ~     ~    |    1|  113.051   pc  |  -0.1572     +0.1572  |paral   |2020yCat.1350....0G
7   |BD+87 69                                                                                                 |Star                               |09 02 28.4236603848 +86 39 20.971567008|126.1441690034008 +28.9011242926092|  -8.528 10.627   |9.08     |K0               |    ~     ~    |    1|   49.707   pc  |  -0.0299     +0.0299  |paral   |2020yCat.1350....0G
8   |BD+87 70                                                                                                 |Spectroscopic Binary               |09 04 43.5307182312 +86 46 22.377149148|126.0109713067936 +28.8673448913323|-20.645 -25.129   |10.593   |G5               |    ~     ~    |    1|  480.862   pc  |  -7.1912     +7.1912  |paral   |2020yCat.1350....0G
9   |BD+87 71                                                                                                 |Star                               |09 08 52.4045610720 +86 50 05.193245796|125.9159133293865 +28.8829731381638|-28.610 -17.733   |9.29     |F8               |    ~     ~    |    1|  175.540   pc  |  -0.3944     +0.3944  |paral   |2020yCat.1350....0G
10  |BD+86 124                                                                                                |Spectroscopic Binary               |09 13 56.5727312520 +86 25 25.848066576|126.2607126684318 +29.1719366422807|  -4.535 -6.137   |10.20    |A5               |    ~     ~    |    1|  304.201   pc  |  -1.3881     +1.3881  |paral   |2020yCat.1350....0G
11  |TYC 4639-279-1                                                                                           |Star                               |09 02 33.9438453864 +86 31 07.658182848|126.2772502311392 +28.9733403769681|-18.063 -37.207   |10.87    |~                |    ~     ~    |    1|  147.964   pc  |  -0.7290     +0.7290  |paral   |2020yCat.1350....0G
12  |BD+86 125                                                                                                |Double or Multiple Star            |09 13 49.7359801344 +86 01 39.373444056|126.6387647576317 +29.3916629985917|  -8.977 -6.570   |10.53    |G5               |    ~     ~    |    1|  749.963   pc  | -19.9668    +19.9668  |paral   |2020yCat.1350....0G
13  |BD+86 123                                                                                                |Star                               |09 04 28.0702745040 +85 38 41.988308676|127.1138972132339 +29.4543164786458| -14.384 -5.486   |9.84     |G8               |    ~     ~    |    1|  659.196   pc  | -21.0317    +21.0317  |paral   |2020yCat.1350....0G
14  |BD+85 131                                                                                                |Star                               |09 02 08.0566627704 +84 46 39.773165628|128.0001134021493 +29.8560938532865| -41.628 -4.506   |9.59     |F0               |    ~     ~    |    1|  231.981   pc  |  -0.6404     +0.6404  |paral   |2020yCat.1350....0G
15  |BD+84 190                                                                                                |Star                               |09 05 37.0539144096 +84 22 08.390169336|128.3579110389344 +30.1350205014771|  15.382 -1.201   |10.57    |G5               |    ~     ~    |    1|  888.415   pc  |  -9.3924     +9.3924  |paral   |2020yCat.1350....0G
16  |BD+84 191                                                                                                |Star                               |09 05 15.1681111056 +84 15 31.312592136|128.4727703703934 +30.1838560811090|  -5.391 -6.372   |9.40     |M1               |    ~     ~    |    1|  959.233   pc  | -16.3783    +16.3783  |paral   |2020yCat.1350....0G
17  |BD+84 192                                                                                                |Star                               |09 06 50.9778184344 +83 58 15.606857460|128.7341774687398 +30.3668274302747|  14.621 11.655   |10.51    |K0               |    ~     ~    |    1|  613.535   pc  |  -5.0441     +5.0441  |paral   |2020yCat.1350....0G
18  |BD+84 193                                                                                                |Star                               |09 09 15.8507410920 +84 00 56.475330372|128.6518275085421 +30.3974864260859|  -3.703 -4.804   |9.79     |F2               |    ~     ~    |    1|  589.310   pc  |  -4.7231     +4.7231  |paral   |2020yCat.1350....0G
19  |HD 75797                                                                                                 |Star                               |09 13 18.1478632944 +85 33 27.663483600|127.0943689039437 +29.6441137244802|-32.081 -15.318   |7.87     |K0               |    ~     ~    |    1|  387.312   pc  |  -2.2952     +2.2952  |paral   |2020yCat.1350....0G
