C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:56

dec >=0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3041

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 9                                                                                                                                     |Spectroscopic Binary                |09 27 41.9558007216 +89 09 50.344020648|123.6647320000576 +27.6532105103504|  -9.197 -3.937   |9.20     |G8             |    ~     ~    |    1|  547.975   pc  |  -9.8191     +9.8191  |paral   |2020yCat.1350....0G
2   |HD 66368                                                                                                                                    |Star                                |09 21 48.4681627101 +88 34 13.179707586|124.2148430614225 +27.9945710136151|  -6.429 12.384   |7.12     |A0             |    ~     ~    |    1|  142.258   pc  |  -1.7444     +1.7444  |paral   |2020yCat.1350....0G
3   |BD+89 14                                                                                                                                    |High Proper Motion Star             |09 26 11.8201786608 +88 31 57.763444332|124.2294797683554 +28.0394842050343|-55.724 -29.794   |10.71    |G0             |    ~     ~    |    1|  195.347   pc  |  -0.5190     +0.5190  |paral   |2020yCat.1350....0G
4   |BD+88 42                                                                                                                                    |Star                                |09 19 35.3623036056 +88 21 44.640330552|124.4138494266494 +28.1068542738356|  -1.902 -5.145   |10.84    |G5             |    ~     ~    |    1|  672.631   pc  |  -5.5197     +5.5197  |paral   |2020yCat.1350....0G
5   |BD+88 43                                                                                                                                    |High Proper Motion Star             |09 17 24.6350553768 +88 18 52.278675984|124.4682701058743 +28.1222739314577|-35.518 -55.624   |9.60     |F2             |    ~     ~    |    1|  213.931   pc  |  -0.6178     +0.6178  |paral   |2020yCat.1350....0G
6   |BD+88 49                                                                                                                                    |Star                                |09 29 59.3295221016 +87 42 02.005718256|124.9483090876333 +28.5806948726259|   9.292 23.353   |10.55    |G0             |    ~     ~    |    1|  302.508   pc  |  -1.1073     +1.1073  |paral   |2020yCat.1350....0G
7   |BD+87 72                                                                                                                                    |Star                                |09 18 51.8518494552 +86 46 08.074368588|125.8886182892899 +29.0352226865597|-36.480 -18.605   |9.80     |F8             |    ~     ~    |    1|  195.095   pc  |  -0.4301     +0.4301  |paral   |2020yCat.1350....0G
8   |BD+87 74                                                                                                                                    |Star                                |09 22 22.2732614760 +86 51 24.967571076|125.7743897799977 +29.0230409966743| -5.681 -27.898   |10.31    |F8             |    ~     ~    |    1|  204.436   pc  |  -0.4681     +0.4681  |paral   |2020yCat.1350....0G
9   |BD+86 127                                                                                                                                   |Star                                |09 20 05.7832755504 +86 07 58.749468096|126.4693515048067 +29.4198224755918| -4.433 -13.137   |9.41     |G8             |    ~     ~    |    1|  457.687   pc  |  -2.5766     +2.5766  |paral   |2020yCat.1350....0G
10  |BD+86 128                                                                                                                                   |Star                                |09 18 55.3420054920 +85 55 01.943553072|126.6851652843549 +29.5278702254884|  -7.372 -8.467   |10.39    |K3             |    ~     ~    |    1| 1151.013   pc  | -14.1757    +14.1757  |paral   |2020yCat.1350....0G
11  |BD+86 129                                                                                                                                   |Star                                |09 26 15.9328519416 +86 22 16.603382604|126.1804951953255 +29.3598828907510| -4.596 -12.263   |10.81    |F2             |    ~     ~    |    1|  528.485   pc  |  -3.3795     +3.3795  |paral   |2020yCat.1350....0G
12  |BD+86 132                                                                                                                                   |Star                                |09 26 03.9082917576 +85 53 33.796684824|126.6217640046497 +29.6454251328115|  -7.697 -3.486   |9.03     |G0             |    ~     ~    |    1|  491.642   pc  | -32.8970    +32.8970  |paral   |2020yCat.1350....0G
13  |BD+86 133                                                                                                                                   |Star                                |09 27 13.1797089984 +86 00 04.825624428|126.5079265895596 +29.5962214201026|-33.931 -30.768   |10.24    |G5             |    ~     ~    |    1|  147.191   pc  |  -0.2318     +0.2318  |paral   |2020yCat.1350....0G
14  |BD+86 130                                                                                                                                   |Spectroscopic Binary                |09 21 00.8975194392 +85 35 01.744505556|126.9725373356819 +29.7520660974477| -23.152 -7.046   |9.53     |F8             |    ~     ~    |    1|  314.752   pc  |  -1.1393     +1.1393  |paral   |2020yCat.1350....0G
15  |BD+86 131                                                                                                                                   |Star                                |09 21 59.5034317752 +85 31 24.600620784|127.0163664565711 +29.8025577053422| -41.169 13.201   |10.10    |F8             |    ~     ~    |    1|  240.494   pc  | -11.8798    +11.8798  |paral   |2020yCat.1350....0G
16  |BD+85 135                                                                                                                                   |Star                                |09 15 00.3230155104 +84 28 43.915513224|128.1098372700156 +30.2695469905687|-30.269 -23.229   |8.79     |F8             |    ~     ~    |    1|  186.710   pc  |  -0.5299     +0.5299  |paral   |2020yCat.1350....0G
17  |BD+85 136                                                                                                                                   |Star                                |09 16 39.1007230128 +84 32 52.769893740|128.0179636595792 +30.2640269149894|    8.875 7.111   |9.23     |K2             |    ~     ~    |    1|  873.668   pc  | -10.9915    +10.9915  |paral   |2020yCat.1350....0G
