C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:41:11

dec >=0&rah >=9.5&rah< 9.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 2905

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 15                                                                                                                                    |Double or Multiple Star           |09 35 14.3817791743 +88 30 45.731186329|124.2052778773376 +28.0972811376266|-18.338 -25.670   |9.58     |G5              |0.0017  0.0    |    1|  151.2653  pc  | -12.7586    +12.7586  |paral   |2018yCat.1345....0G
2   |BD+88 47                                                                                                                                    |Star                              |09 32 16.4288477760 +88 15 01.726749684|124.4486200300919 +28.2495362513275| -9.481 -12.287   |10.23    |G0              |    ~     ~    |    1|  238.977   pc  |  -0.6568     +0.6568  |paral   |2020yCat.1350....0G
3   |BD+88 50                                                                                                                                    |Star                              |09 36 48.0378797616 +87 46 41.384690508|124.8314651079488 +28.5830352452547|  -7.659 -9.402   |10.85    |G5              |    ~     ~    |    1|  868.432   pc  |  -7.6172     +7.6172  |paral   |2020yCat.1350....0G
4   |BD+88 53                                                                                                                                    |Star                              |09 36 57.9460620576 +87 26 23.232928380|125.1239364255495 +28.8036705353482| -18.023 10.430   |10.40    |G0              |    ~     ~    |    1|  153.532   pc  |  -0.3677     +0.3677  |paral   |2020yCat.1350....0G
5   |BD+87 73                                                                                                                                    |Star                              |09 30 21.5135598864 +87 20 22.564950612|125.2667573108600 +28.8093320851661|  -5.173 -4.479   |9.90     |G8              |    ~     ~    |    1|  492.514   pc  |  -2.8138     +2.8138  |paral   |2020yCat.1350....0G
6   |BD+87 76                                                                                                                                    |Star                              |09 33 06.8580725328 +86 31 15.006556848|125.9703413211746 +29.3512102932151|   -2.393 6.683   |10.66    |G5              |    ~     ~    |    1|  733.783   pc  |  -6.8920     +6.8920  |paral   |2020yCat.1350....0G
7   |HD 81263                                                                                                                                    |Star                              |09 41 07.2278477160 +85 05 32.594173440|127.1298668500824 +30.3759938619698|-28.470 -32.602   |8.230    |K5              |    ~     ~    |    1|  362.647   pc  |  -1.8280     +1.8280  |paral   |2020yCat.1350....0G
8   |BD+87 77                                                                                                                                    |Star                              |09 40 53.0103900648 +86 34 12.731984400|125.8406402399720 +29.4091662153984|-16.926 -17.729   |10.64    |G0              |    ~     ~    |    1|  287.464   pc  |  -1.0991     +1.0991  |paral   |2020yCat.1350....0G
9   |BD+86 134                                                                                                                                   |Star                              |09 37 43.2088475304 +85 52 16.980619188|126.4914045588281 +29.8226597787431|    1.382 0.105   |9.37     |G8              |    ~     ~    |    1|  470.168   pc  |  -2.8738     +2.8738  |paral   |2020yCat.1350....0G
10  |BD+86 135                                                                                                                                   |Star                              |09 38 19.1196407376 +85 45 13.169052792|126.5874283679218 +29.9065904785671| -26.949 -2.562   |10.83    |G2              |    ~     ~    |    1|  209.749   pc  |  -1.3374     +1.3374  |paral   |2020yCat.1350....0G
11  |BD+86 136                                                                                                                                   |Star                              |09 38 50.6960350104 +85 26 17.152291212|126.8592114409339 +30.1170519069677|  20.884 -6.997   |10.74    |G2V             |    ~     ~    |    1|  374.756   pc  |  -1.7836     +1.7836  |paral   |2020yCat.1350....0G
12  |TYC 4635-1313-1                                                                                                                             |Star                              |09 38 41.2409083296 +85 09 11.924869284|127.1144680452962 +30.2971927029075|   -4.444 1.303   |10.99    |~               |    ~     ~    |    1|  231.879   pc  |  -0.6076     +0.6076  |paral   |2020yCat.1350....0G
13  |HD 79389                                                                                                                                    |Double or Multiple Star           |09 31 39.4473041744 +85 12 12.974441909|127.1765593702941 +30.1506671601469|   -4.207 1.185   |8.75     |G0              |    ~     ~    |    1|   82.9958  pc  |  -7.4910     +7.4910  |paral   |2018yCat.1345....0G
14  |BD+85 145                                                                                                                                   |Star                              |09 33 13.7316135456 +84 49 42.178466532|127.4939118964236 +30.4092155352891| -23.057 -2.706   |10.55    |F8              |    ~     ~    |    1|  389.696   pc  |  -2.2779     +2.2779  |paral   |2020yCat.1350....0G
15  |BD+85 146                                                                                                                                   |Star                              |09 34 59.1586595952 +84 25 15.271937184|127.8351442947935 +30.6944758868991|    2.559 6.353   |10.54    |F2              |    ~     ~    |    1|  408.480   pc  |  -2.5529     +2.5529  |paral   |2020yCat.1350....0G
16  |BD+84 204                                                                                                                                   |Star                              |09 30 33.5474772216 +83 56 31.970827068|128.3553854009159 +30.8994476626161|  -26.114 4.055   |9.87     |F0              |    ~     ~    |    1|  397.062   pc  |  -7.8671     +7.8671  |paral   |2020yCat.1350....0G
17  |BD+84 208                                                                                                                                   |Spectroscopic Binary              |09 36 27.3768047832 +84 03 32.344604352|128.1376100058103 +30.9491925766447|-12.127 -10.104   |10.78    |A0              |    ~     ~    |    1|  435.635   pc  |  -3.4350     +3.4350  |paral   |2020yCat.1350....0G
18  |HD 81974                                                                                                                                    |Variable Star                     |09 41 56.6811484128 +83 50 18.021124968|128.2295560637371 +31.2009808346341|-17.125 -15.627   |8.52     |F0              |    ~     ~    |    1|  183.154   pc  |  -7.3565     +7.3565  |paral   |2020yCat.1350....0G
19  |HD 80474                                                                                                                                    |Star                              |09 33 15.7087897416 +83 44 29.797726776|128.4897499282987 +31.0789638523294|   3.417 -8.528   |7.85     |G5              |    ~     ~    |    1|  429.701   pc  |  -3.3236     +3.3236  |paral   |2020yCat.1350....0G
