C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:19:15

Vmag< 11&dec >=0&rah >=9.75&rah< 10.0
-------------------------------------

Number of objects : 2696

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 21070                                                                                                                                                                       |Star                           |09 46 20.2218224904 +89 34 09.923087208|123.2824879212816 +27.4254295099215|   7.806 10.608   |9.04     |A5             |    ~     ~    
2   |BD+88 52                                                                                                                                                                       |Star                           |09 58 12.2861067168 +88 09 53.311829256|124.3636191491227 +28.4563925802707|-32.557 -21.318   |10.55    |G2             |    ~     ~    
3   |HD 81003                                                                                                                                                                       |High Proper Motion Star        |09 49 02.0135460576 +86 51 07.098978024|125.5108561152891 +29.3071126275693|-43.050 -33.421   |8.28     |F5             |    ~     ~    
4   |HD 82618                                                                                                                                                                       |Star                           |09 59 56.2369531656 +87 06 19.815864228|125.1883670205626 +29.2313408703286|   25.603 5.758   |8.27     |K0             |    ~     ~    
5   |TYC 4643-72-1                                                                                                                                                                  |Star                           |09 53 15.1792528128 +89 23 27.199827384|123.4139016834580 +27.5615330829918|   -5.033 9.221   |10.95    |~              |    ~     ~    
6   |HD 82753                                                                                                                                                                       |Star                           |09 55 41.6252219520 +86 26 30.694975584|125.7723932076055 +29.6618083536301| -12.831 16.008   |8.70     |K0             |    ~     ~    
7   |V* FO Cam                                                                                                                                                                      |Long-Period Variable Candidate |09 45 00.0774083160 +85 14 40.185815280|126.9346521496756 +30.3380754490718|    1.384 1.020   |10.07    |M2             |    ~     ~    
8   |BD+86 138                                                                                                                                                                      |Spectroscopic Binary           |09 50 40.9923494592 +85 22 04.268549604|126.7383061665922 +30.3412621753813|    0.883 4.605   |10.80    |G5III:         |    ~     ~    
9   |BD+85 149                                                                                                                                                                      |Star                           |09 52 35.0432223648 +84 40 14.702332512|127.2971233548821 +30.8474863032395|-33.770 -20.352   |10.55    |G0             |    ~     ~    
10  |HD 83615                                                                                                                                                                       |Star                           |09 53 19.0155698304 +84 28 56.101770300|127.4434104622256 +30.9891970193867|  6.804 -20.990   |7.80     |G5             |    ~     ~    
11  |HD 84076                                                                                                                                                                       |Star                           |09 55 37.2757453248 +84 22 45.663316788|127.4854921417624 +31.1006143046004|  22.365 -9.615   |8.44     |F8             |    ~     ~    
12  |HD 83065                                                                                                                                                                       |Spectroscopic Binary           |09 48 05.6589789096 +83 47 05.613398880|128.1500975040630 +31.3613214523462| -35.235 -7.280   |8.05     |K0             |    ~     ~    
13  |BD+84 214                                                                                                                                                                      |Star                           |09 49 24.5975483832 +84 10 16.048370424|127.7867524936597 +31.1292319534296|  -1.421 -2.847   |10.08    |K2             |    ~     ~    
14  |HD 83223                                                                                                                                                                       |Star                           |09 50 15.7152438216 +84 20 38.465459844|127.6206473949844 +31.0286941113584|   -1.690 4.082   |8.79     |G              |    ~     ~    
15  |BD+84 220                                                                                                                                                                      |Spectroscopic Binary           |09 53 44.2696297848 +84 10 14.571071220|127.7000330264508 +31.2102814689929|   1.745 -6.766   |9.93     |F8             |    ~     ~    
16  |BD+84 221                                                                                                                                                                      |Star                           |09 54 54.2566663632 +83 46 46.729387632|128.0086542220115 +31.5008186705929|  -18.138 0.559   |10.47    |F8             |    ~     ~    
17  |HD 83172                                                                                                                                                                       |Star                           |09 48 42.2797240512 +83 44 29.751071172|128.1750614815940 +31.4024922729826|  -14.161 7.772   |8.94     |F2             |    ~     ~    
18  |HD 83284                                                                                                                                                                       |Star                           |09 49 22.6218285072 +83 42 52.396453908|128.1843216295465 +31.4342112285603| 26.101 -17.370   |8.79     |K0             |    ~     ~    
19  |HD 83448                                                                                                                                                                       |Star                           |09 50 03.2629672608 +83 30 36.150338124|128.3479444275554 +31.5849458653153|   13.490 1.471   |8.11     |G5             |    ~     ~    
20  |BD+84 219                                                                                                                                                                      |Star                           |09 49 59.2173509616 +83 29 17.917508076|128.3684077406290 +31.5980631300382|  -15.036 0.484   |9.91     |F5             |    ~     ~    
21  |HD 83339                                                                                                                                                                       |Star                           |09 48 56.1427235976 +83 19 46.578061092|128.5309997205111 +31.6813446598917|  -18.392 2.494   |7.920    |F0             |    ~     ~    
22  |TYC 4631-950-1                                                                                                                                                                 |Star                           |09 49 55.0606559208 +83 24 42.656930604|128.4367498382337 +31.6476980947200|-31.843 -13.688   |10.92    |~              |    ~     ~    
23  |HD 85051                                                                                                                                                                       |Spectroscopic Binary           |09 59 57.4754089704 +83 28 32.473658064|128.1512787009108 +31.8127547374777|-121.573 -88.362  |8.13     |G0             |    ~     ~    
24  |BD+83 265                                                                                                                                                                      |High Proper Motion Star        |09 50 59.8114633056 +82 33 16.238105316|129.1633625352856 +32.2443286654890| 55.956 -53.926   |10.80    |G5             |    ~     ~    
25  |BD+83 266                                                                                                                                                                      |Star                           |09 52 27.5743300200 +82 39 40.204019376|129.0324641842185 +32.2078970293206|   5.327 18.139   |9.28     |F2             |    ~     ~    
26  |BD+83 267                                                                                                                                                                      |High Proper Motion Star        |09 53 27.9303778608 +82 25 22.484661816|129.2149295049804 +32.3924066666385|-32.339 -51.013   |10.17    |G5             |    ~     ~    
27  |BD+83 268                                                                                                                                                                      |Star                           |09 55 28.8863560152 +82 50 41.940450708|128.7964647098627 +32.1533900528623|   -2.636 9.877   |9.62     |F8             |    ~     ~    
28  |BD+83 269                                                                                                                                                                      |Star                           |09 57 37.3197918192 +82 52 24.751614684|128.7179621926214 +32.1821097352561| -21.286 -6.937   |10.42    |G5             |    ~     ~    
29  |BD+83 270                                                                                                                                                                      |Spectroscopic Binary           |09 57 53.0275476864 +82 32 32.730991404|128.9946847925189 +32.4166222742888|-21.788 -32.475   |8.97     |F8             |    ~     ~    
30  |BD+83 271                                                                                                                                                                      |High Proper Motion Star        |09 57 52.4159625216 +82 22 16.880794824|129.1419156308437 +32.5342551303991|-31.032 -50.776   |10.94    |G5             |    ~     ~    
31  |BD+82 281                                                                                                                                                                      |High Proper Motion Star        |09 45 53.0399861496 +81 59 50.162229420|129.7946714695476 +32.4802016125412|-49.729 -81.414   |10.13    |G5             |    ~     ~    
32  |BD+82 282                                                                                                                                                                      |Star                           |09 52 55.2134181264 +82 01 31.970244180|129.5786366952486 +32.6457548451960|  -4.521 -7.136   |10.23    |~              |    ~     ~    
33  |BD+82 283                                                                                                                                                                      |Star                           |09 53 01.7225978328 +82 00 48.814621668|129.5862106511353 +32.6565814778181|-16.544 -10.421   |9.51     |F5             |    ~     ~    
34  |BD+82 284                                                                                                                                                                      |High Proper Motion Star        |09 53 13.5173361288 +82 05 17.372307516|129.5150898184506 +32.6115918070137|-64.251 -36.536   |10.62    |F5             |    ~     ~    
35  |BD+82 288                                                                                                                                                                      |Star                           |09 59 52.0549376976 +82 15 05.984303976|129.1898079830584 +32.6651986469028|  -15.919 1.789   |9.90     |K0             |    ~     ~    
36  |BD+82 285                                                                                                                                                                      |High Proper Motion Star        |09 53 37.0941314688 +81 30 08.042357556|130.0214077740793 +33.0146173541499|  51.185 25.470   |10.05    |G5             |    ~     ~    
37  |BD+82 286                                                                                                                                                                      |Star                           |09 56 02.7063 +81 45 23.324            |129.7265842 +32.9085557            |-44.710 -20.466   |9.63     |F5             |    ~     ~    
38  |BD+82 287                                                                                                                                                                      |Star                           |09 55 51.1074854736 +81 32 32.664760584|129.9198916848220 +33.0484842411469|   4.322 -3.753   |10.35    |K2             |    ~     ~    
39  |BD+81 312                                                                                                                                                                      |Star                           |09 46 25.8220214040 +80 39 22.376533572|131.0039137682379 +33.3568355200005|   5.921 16.197   |10.62    |F8             |    ~     ~    
40  |HD 84019                                                                                                                                                                       |Star                           |09 50 14.7709227504 +80 57 22.094085312|130.6121369304224 +33.2793844750489|   -3.661 5.148   |9.21     |F0             |    ~     ~    
41  |BD+81 314                                                                                                                                                                      |Star                           |09 53 51.9466308744 +81 02 37.040093916|130.4216854229675 +33.3279167291125|   -3.234 0.337   |10.46    |G5             |    ~     ~    
42  |BD+81 316                                                                                                                                                                      |Star                           |09 57 15.2203566456 +80 46 01.789094892|130.5593481734199 +33.6128046818726|  21.886 15.444   |10.12    |F5             |    ~     ~    
43  |BD+81 317                                                                                                                                                                      |Star                           |09 57 11.7650639544 +80 29 53.936964420|130.7994608394660 +33.7927551442336|   4.959 -5.141   |10.50    |K0             |    ~     ~    
44  |BD+81 318                                                                                                                                                                      |Star                           |09 58 17.2336175088 +81 06 33.766911324|130.2250626315473 +33.4101144522128|   -6.356 4.220   |10.15    |F2             |    ~     ~    
45  |HD 85471                                                                                                                                                                       |Double or Multiple Star        |09 59 04.93655 +80 22 47.6074          |130.84041891 +33.93060214          |      4.25 0.88   |8.03     |G5             |    ~     ~    
46  |TYC 4544-788-1                                                                                                                                                                 |Star                           |09 46 29.3834358576 +79 59 40.173545400|131.6147213224962 +33.7797605785143|-16.877 -19.263   |10.44    |~              |    ~     ~    
47  |TYC 4547-313-1                                                                                                                                                                 |Star                           |09 45 04.2937230168 +80 08 07.159917984|131.5299937908504 +33.6433527927799|  -6.790 -4.778   |10.99    |~              |    ~     ~    
48  |TYC 4547-335-1                                                                                                                                                                 |Star                           |09 46 32.8262983824 +80 06 57.381266160|131.4999531600475 +33.7046101394691|  -4.428 -5.409   |10.38    |~              |    ~     ~    
49  |TYC 4548-1333-1                                                                                                                                                                |Star                           |09 47 02.1126929712 +81 24 30.117942792|130.2972469940048 +32.8920391658706| -8.942 -10.513   |10.76    |~              |    ~     ~    
50  |BD+83 264A                                                                                                                                                                     |High Proper Motion Star        |09 51 22.9286310912 +82 57 15.588915336|128.8026523700616 +31.9861338816655|-135.182 -194.104 |10.97    |~              |    ~     ~    
51  |HD 84746                                                                                                                                                                       |Star                           |09 54 06.3197694216 +79 39 42.121332036|131.6587977352861 +34.2513839057920|  -3.184 11.841   |8.80     |K0             |    ~     ~    
52  |BD+80 304                                                                                                                                                                      |Star                           |09 57 50.0402625288 +79 23 38.025726936|131.7650068843927 +34.5559182572557| -9.028 -19.082   |10.44    |F8             |    ~     ~    
53  |TYC 4545-1054-1                                                                                                                                                                |Star                           |09 52 31.9898861928 +79 44 05.380291032|131.6478394438408 +34.1503598587841|-12.334 -12.102   |10.47    |~              |    ~     ~    
54  |TYC 4548-51-1                                                                                                                                                                  |Star                           |09 52 56.4163245576 +80 03 06.844207824|131.3446745725207 +33.9560292120433|   5.062 -6.198   |10.51    |~              |    ~     ~    
55  |TYC 4548-105-1                                                                                                                                                                 |High Proper Motion Star        |09 58 22.9646584488 +80 04 39.680539500|131.1326117101412 +34.1137902322197|-42.868 -57.166   |10.86    |~              |    ~     ~    
56  |HD 83727                                                                                                                                                                       |Double or Multiple Star        |09 47 18.0048214056 +79 08 11.875581888|132.3888533965437 +34.3507460331366|-20.132 -18.901   |6.090    |F0V:           |0.0017  0.0    
57  |BD+79 320                                                                                                                                                                      |Star                           |09 48 20.3230067712 +78 33 36.729072792|132.8935502464894 +34.7532486510159|-23.024 -23.098   |10.35    |K              |    ~     ~    
58  |BD+79 321                                                                                                                                                                      |Star                           |09 48 47.0005073952 +78 33 45.718993548|132.8742544996489 +34.7687692536185| -9.244 -17.170   |10.36    |K0             |    ~     ~    
59  |BD+79 322                                                                                                                                                                      |High Proper Motion Star        |09 51 02.6151682416 +78 31 30.004315068|132.8227415914880 +34.8793525910972|-37.865 -35.062   |9.93     |F8             |    ~     ~    
60  |TYC 4545-1592-1                                                                                                                                                                |Star                           |09 53 21.8627541576 +79 06 24.810526908|132.1938470535897 +34.5892764059798|    3.708 3.176   |10.44    |G5             |    ~     ~    
61  |BD+79 323                                                                                                                                                                      |Spectroscopic Binary           |09 55 59.3667783432 +78 59 42.650862000|132.1968032811554 +34.7566380867306|  3.209 -29.239   |9.64     |G0             |    ~     ~    
62  |HD 83550                                                                                                                                                                       |Star                           |09 45 30.9865445976 +78 08 04.949819088|133.4069949335303 +34.9072589094283|   9.579 -1.815   |6.236    |K2III          |    ~     ~    
63  |HD 84205                                                                                                                                                                       |Star                           |09 49 05.6223516696 +77 49 40.404311940|133.5587943065488 +35.2439742403237|-19.027 -26.151   |9.55     |F              |    ~     ~    
64  |HD 84438                                                                                                                                                                       |Star                           |09 50 55.5805272552 +77 55 35.480186292|133.3907439716760 +35.2562989587919|    9.214 1.351   |9.47     |A5             |    ~     ~    
65  |BD+78 323                                                                                                                                                                      |Star                           |09 51 34.5550035888 +78 13 50.076974604|133.0779804258765 +35.0883334913037|  -3.981 -2.438   |9.91     |G5             |    ~     ~    
66  |BD+78 324                                                                                                                                                                      |Star                           |09 52 24.9413860512 +77 56 37.459578300|133.3136881111636 +35.3052518891612|   10.660 1.151   |9.92     |K0             |    ~     ~    
67  |BD+78 325                                                                                                                                                                      |High Proper Motion Star        |09 55 43.5453884784 +78 10 19.154122824|132.9647284990792 +35.2879964522397|-62.722 -72.011   |10.32    |K0             |    ~     ~    
68  |HD 85345                                                                                                                                                                       |High Proper Motion Star        |09 56 48.7915285848 +77 56 17.491731468|133.1361541401504 +35.4836836398150|-62.642 -11.136   |7.46     |K0             |    ~     ~    
69  |TYC 4545-672-1                                                                                                                                                                 |Star                           |09 59 09.5991062088 +77 54 58.212046800|133.0568963814413 +35.5903753390480|-17.011 -16.588   |10.36    |G5             |    ~     ~    
70  |BD+78 319                                                                                                                                                                      |Red Giant Branch star Candidate|09 48 14.0321359680 +77 26 43.973166660|133.9600461003193 +35.4469104563614| 21.108 -13.433   |9.50     |K2             |    ~     ~    
