C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:21:03

dec >=0&rah >=1.0&rah< 1.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4690

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |TYC 3263-383-1                                                                                           |Star                                |01 00 25.9627148856 +46 20 28.845711960|124.5508310653104 -16.5021257860846|   32.010 2.302    |9.77     |~                   |    ~     ~    |    1|  409.517   pc  |  -2.9013     +2.9013  |paral   |2020yCat.1350....0G
2   |BD+45 277                                                                                                |Star                                |01 05 52.2086201472 +46 18 50.365578996|125.5300360036317 -16.4849390653985|  3.100 -18.493    |9.18     |G0                  |    ~     ~    |    1|  351.531   pc  |  -2.3355     +2.3355  |paral   |2020yCat.1350....0G
3   |BD+45 266                                                                                                |Star                                |01 03 14.5770300048 +45 56 33.192297636|125.0761248411402 -16.8800405562799| 17.606 -37.723    |9.53     |F5                  |    ~     ~    |    1|  163.886   pc  |  -0.4620     +0.4620  |paral   |2020yCat.1350....0G
4   |BD+45 269                                                                                                |High Proper Motion Star             |01 03 22.9438848216 +45 59 08.517476868|125.0992450637002 -16.8357776350852| 58.631 -22.864    |9.65     |G0                  |    ~     ~    |    1|   94.145   pc  |  -0.1294     +0.1294  |paral   |2020yCat.1350....0G
5   |BD+45 271                                                                                                |Star                                |01 04 13.9650935256 +46 13 09.178928040|125.2407349755271 -16.5951651963532|  13.476 -6.130    |8.53     |K0                  |    ~     ~    |    1|  414.525   pc  |  -3.5397     +3.5397  |paral   |2020yCat.1350....0G
6   |BD+45 274                                                                                                |Star                                |01 05 16.1095117920 +46 08 52.654818228|125.4315682215651 -16.6566511752786| -1.781 -19.678    |9.29     |K2                  |    ~     ~    |    1|  352.473   pc  |  -2.7953     +2.7953  |paral   |2020yCat.1350....0G
7   |BD+45 275                                                                                                |Star                                |01 05 15.1657390368 +46 03 34.677109872|125.4338909500777 -16.7449923794108|  9.285 -11.120    |8.94     |K5                  |    ~     ~    |    1|  667.646   pc  |  -9.1825     +9.1825  |paral   |2020yCat.1350....0G
8   |BD+45 276                                                                                                |Star                                |01 05 39.6261542232 +46 06 41.798944512|125.5044969987073 -16.6890825143482|  -7.231 -3.688    |9.64     |K0                  |    ~     ~    |    1|  636.821   pc  |  -7.2186     +7.2186  |paral   |2020yCat.1350....0G
9   |BD+45 278                                                                                                |Star                                |01 05 53.3035967808 +46 08 19.226293908|125.5440188887854 -16.6597710184451| 23.505 -13.495    |8.44     |K0                  |    ~     ~    |    1|  317.955   pc  |  -2.6790     +2.6790  |paral   |2020yCat.1350....0G
10  |HD 6756                                                                                                  |Star                                |01 08 57.0030578472 +45 56 33.512288856|126.1109327203882 -16.8209830498047|  -5.873 -1.896    |8.06     |B8                  |    ~     ~    |    1|  497.018   pc  | -14.2534    +14.2534  |paral   |2020yCat.1350....0G
