C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:55

dec >=0&rah >=10.0&rah< 10.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2625

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+88 54                                                                                                                                                                                                                                             |Star                              |10 13 09.0800790216 +88 16 24.991123836|124.1827215578011 +28.4534478434399|-25.979 -29.462    |10.01    |G0                  |    ~     ~    |    1|  270.834   pc  |  -0.9829     +0.9829  |paral   |2020yCat.1350....0G
2   |BD+88 55                                                                                                                                                                                                                                             |Star                              |10 06 47.9174564400 +87 44 55.271117436|124.6228261224974 +28.8130525647770|-15.450 -18.006    |9.93     |F5                  |    ~     ~    |    1|  199.649   pc  |  -0.5142     +0.5142  |paral   |2020yCat.1350....0G
3   |BD+88 56                                                                                                                                                                                                                                             |Star                              |10 06 33.5906585112 +87 39 41.248679580|124.6914878933529 +28.8762770844995|   12.190 9.116    |10.37    |G5                  |    ~     ~    |    1|  634.317   pc  |  -4.7076     +4.7076  |paral   |2020yCat.1350....0G
4   |BD+87 81                                                                                                                                                                                                                                             |High Proper Motion Star           |10 09 52.6985982600 +87 15 48.479031216|124.9629139471915 +29.1978710239991|-90.470 -95.127    |9.45     |G0                  |    ~     ~    |    1|   98.537   pc  |  -0.1107     +0.1107  |paral   |2020yCat.1350....0G
5   |BD+87 82                                                                                                                                                                                                                                             |Star                              |10 10 35.8819520592 +87 08 25.181355984|125.0484566158679 +29.2962038441138|-32.718 -22.974    |9.24     |F2                  |    ~     ~    |    1|  197.640   pc  | -10.5232    +10.5232  |paral   |2020yCat.1350....0G
6   |HD 85013                                                                                                                                                                                                                                             |High Proper Motion Star           |10 09 32.3232062376 +86 34 35.215769136|125.4898492291170 +29.7092325449326|-31.017 -43.210    |7.75     |G5                  |    ~     ~    |    1|  236.989   pc  |  -1.0053     +1.0053  |paral   |2020yCat.1350....0G
7   |BD+86 139                                                                                                                                                                                                                                            |Star                              |10 00 48.5291603160 +86 07 23.594172492|125.9627366669442 +29.9466105606233|  1.319 -15.346    |10.51    |G2                  |    ~     ~    |    1|  291.155   pc  |  -1.2800     +1.2800  |paral   |2020yCat.1350....0G
8   |BD+86 140                                                                                                                                                                                                                                            |Star                              |10 02 07.5239951304 +85 25 15.196335240|126.5079059722222 +30.4680371542453|  10.265 -1.083    |10.77    |~                   |    ~     ~    |    1| 1282.051   pc  | -21.5319    +21.5319  |paral   |2020yCat.1350....0G
9   |BD+86 141                                                                                                                                                                                                                                            |Star                              |10 06 16.5062414880 +85 40 40.380378960|126.2351922474472 +30.3369005812314| -13.970 28.417    |10.53    |G5                  |    ~     ~    |    1|  152.182   pc  |  -0.5813     +0.5813  |paral   |2020yCat.1350....0G
10  |BD+85 152                                                                                                                                                                                                                                            |Star                              |10 01 11.6001495312 +84 53 34.762741764|126.9526975500670 +30.8322357887705| -9.922 -10.966    |10.93    |A5                  |    ~     ~    |    1|  537.374   pc  |  -3.3497     +3.3497  |paral   |2020yCat.1350....0G
