C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:50:27

dec >=0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2377

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 88044                                                                                                 |Star                               |10 31 18.7415449296 +87 16 15.254998356|124.7288287210574 +29.3514538504125|-17.001 -21.479   |8.270    |K0               |    ~     ~    |    1|  282.422   pc  |  -1.6192     +1.6192  |paral   |2020yCat.1350....0G
2   |BD+87 86                                                                                                 |Star                               |10 34 15.9165610344 +86 48 14.477787576|125.0054380923307 +29.7533576268751|  20.196 20.323   |9.48     |G8               |    ~     ~    |    1|  300.652   pc  |  -1.0576     +1.0576  |paral   |2020yCat.1350....0G
3   |BD+87 87                                                                                                 |Star                               |10 32 47.9098386384 +86 24 53.556121908|125.2867015952099 +30.0574266251021| -24.973 -0.779   |10.69    |G2               |    ~     ~    |    1|  364.671   pc  |  -1.9682     +1.9682  |paral   |2020yCat.1350....0G
4   |BD+87 88                                                                                                 |Star                               |10 34 50.8414125168 +86 22 52.364351244|125.2790453395846 +30.1035232732370|   8.708 -0.231   |10.70    |K5               |    ~     ~    |    1|  783.085   pc  |  -8.2172     +8.2172  |paral   |2020yCat.1350....0G
5   |BD+87 89                                                                                                 |Star                               |10 38 24.9684414264 +86 21 05.306259492|125.2450043434033 +30.1602220700681|  -37.346 3.340   |9.80     |F5               |    ~     ~    |    1|  244.481   pc  |  -0.7292     +0.7292  |paral   |2020yCat.1350....0G
6   |BD+87 90                                                                                                 |Star                               |10 41 10.3564619112 +86 19 33.148991496|125.2193730601920 +30.2060577703626|-29.106 -15.107   |10.21    |F2               |    ~     ~    |    1|  287.455   pc  |  -1.1816     +1.1816  |paral   |2020yCat.1350....0G
7   |BD+86 150                                                                                                |High Proper Motion Star            |10 34 42.5199408624 +86 03 30.100967928|125.4973755498453 +30.3655469394684|-42.788 -27.710   |10.30    |G2               |    ~     ~    |    1|  147.564   pc  |  -0.2744     +0.2744  |paral   |2020yCat.1350....0G
8   |BD+86 152                                                                                                |Star                               |10 37 11.1065498784 +86 03 28.459116576|125.4573165150043 +30.3903910660306|  -11.909 3.039   |8.27     |F2               |    ~     ~    |    1|  197.566   pc  |  -2.5566     +2.5566  |paral   |2020yCat.1350....0G
9   |TYC 4636-1421-1                                                                                          |Star                               |10 37 07.2090437520 +86 03 42.199565292|125.4558545778141 +30.3866197540341|  -14.244 7.139   |10.43    |~                |    ~     ~    |    1|  195.469   pc  |  -0.5158     +0.5158  |paral   |2020yCat.1350....0G
10  |BD+86 151                                                                                                |Spectroscopic Binary               |10 31 43.0037174592 +85 16 37.565196816|126.0836350071287 +30.9649155227469| -81.059 24.884   |10.01    |G5               |    ~     ~    |    1|   85.191   pc  |  -0.5762     +0.5762  |paral   |2020yCat.1350....0G
