C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:37

dec >=0&rah >=10.75&rah< 11.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2387

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |TYC 4644-20-1                                                                                            |Star                              |10 49 28.3745675112 +89 17 56.474500560|123.3337568737753 +27.7317183231705|    3.513 8.015   |10.81    |F8              |    ~     ~    |    1|  336.033   pc  |  -1.9309     +1.9309  |paral   |2020yCat.1350....0G
2   |BD+88 59                                                                                                 |Star                              |10 45 00.6468011208 +88 03 00.922913892|124.0976710107782 +28.7839513062618| 35.633 -26.517   |10.49    |G5              |    ~     ~    |    1|  150.092   pc  |  -0.2523     +0.2523  |paral   |2020yCat.1350....0G
3   |HD 90162                                                                                                 |Spectroscopic Binary              |10 49 13.5939938688 +87 51 32.148875088|124.1757300753998 +28.9665582399921| -23.671 -5.108   |8.77     |F8              |    ~     ~    |    1|  194.299   pc  |  -0.4832     +0.4832  |paral   |2020yCat.1350....0G
4   |BD+87 91                                                                                                 |Star                              |10 47 16.0564025376 +86 38 27.064834224|124.9312312476251 +29.9920876897894|  27.734 -5.629   |10.27    |K5/8V           |    ~     ~    |    1|   35.539   pc  |  -0.0140     +0.0140  |paral   |2020yCat.1350....0G
5   |BD+86 153                                                                                                |Star                              |10 48 52.0284689352 +85 46 46.184040696|125.4331498639102 +30.7371250843294| -19.503 -6.580   |10.09    |G8              |    ~     ~    |    1|  533.419   pc  |  -3.5851     +3.5851  |paral   |2020yCat.1350....0G
6   |BD+86 156                                                                                                |Star                              |10 57 51.6640018080 +85 44 21.957179280|125.2905290325710 +30.8564359096762|   3.732 -1.171   |10.10    |G8              |    ~     ~    |    1|  618.429   pc  |  -4.7424     +4.7424  |paral   |2020yCat.1350....0G
7   |HD 93212                                                                                                 |High Proper Motion Star           |10 54 41.0222652312 +85 21 43.479581364|125.5729534432640 +31.1523880463989|-98.190 -23.236   |8.02     |G0              |    ~     ~    |    1|   64.694   pc  |  -0.0716     +0.0716  |paral   |2020yCat.1350....0G
8   |HD 91828                                                                                                 |Star                              |10 45 10.5662685120 +84 44 40.176249864|126.1580711531976 +31.5690596199964|  19.058 12.588   |8.10     |K0              |    ~     ~    |    1|  238.481   pc  |  -0.8531     +0.8531  |paral   |2020yCat.1350....0G
9   |BD+85 167                                                                                                |Spectroscopic Binary              |10 45 15.5129352720 +84 31 04.411999632|126.3018595468794 +31.7597795303177|  -25.400 9.349   |10.41    |G2              |    ~     ~    |    1|  327.955   pc  |  -1.3122     +1.3122  |paral   |2020yCat.1350....0G
10  |BD+85 168                                                                                                |Star                              |10 57 26.0307414624 +84 53 18.756292272|125.7927020261728 +31.5910656059929|  -0.553 -1.977   |10.33    |F0              |    ~     ~    |    1|  333.023   pc  |  -1.4196     +1.4196  |paral   |2020yCat.1350....0G
11  |BD+85 169                                                                                                |Star                              |10 56 53.9022601344 +84 37 56.106854940|125.9558235057335 +31.8068731377216|    6.746 1.997   |10.65    |F0              |    ~     ~    |    1|  410.458   pc  |  -2.4092     +2.4092  |paral   |2020yCat.1350....0G
12  |HD 94116                                                                                                 |Star                              |10 58 41.0561583552 +84 21 26.658234288|126.0736884853536 +32.0664294690028| -5.557 -14.703   |8.68     |G5              |    ~     ~    |    1|  315.229   pc  |  -1.7091     +1.7091  |paral   |2020yCat.1350....0G
13  |BD+84 242                                                                                                |Star                              |10 48 44.6766551040 +83 50 13.206945012|126.6502025030591 +32.3796734477474|   23.110 8.687   |10.31    |F8              |    ~     ~    |    1|  274.725   pc  |  -0.8453     +0.8453  |paral   |2020yCat.1350....0G
14  |BD+84 241                                                                                                |Star                              |10 47 40.7915109504 +83 28 18.775321896|126.9136562853081 +32.6709378622348|    9.695 7.741   |9.74     |F5              |    ~     ~    |    1|  173.007   pc  |  -0.3682     +0.3682  |paral   |2020yCat.1350....0G
15  |BD+84 243                                                                                                |High Proper Motion Star           |10 50 11.3202920736 +83 30 35.733495924|126.8181461862043 +32.6771805649492|-116.674 -37.083  |9.86     |G5              |    ~     ~    |    1|   92.911   pc  |  -0.7864     +0.7864  |paral   |2020yCat.1350....0G
16  |BD+84 244                                                                                                |Star                              |10 58 41.6783509464 +83 26 29.110129188|126.6143420976651 +32.8607524736837| -11.998 -7.028   |9.95     |K0              |    ~     ~    |    1|  612.107   pc  |  -7.2312     +7.2312  |paral   |2020yCat.1350....0G
17  |BD+83 306                                                                                                |Star                              |10 49 32.5415157840 +83 12 11.316283596|127.0324406140357 +32.9262182896291|  -0.418 -2.098   |8.83     |K0              |    ~     ~    |    1|  554.662   pc  |  -3.5687     +3.5687  |paral   |2020yCat.1350....0G
18  |BD+83 307                                                                                                |Star                              |10 50 28.0311524088 +82 25 00.149233044|127.5092488310493 +33.6047285550577| -26.182 -1.378   |10.60    |F8              |    ~     ~    |    1|  355.758   pc  |  -1.5314     +1.5314  |paral   |2020yCat.1350....0G
19  |BD+83 308                                                                                                |Star                              |10 51 14.6660593872 +82 26 13.357722552|127.4702020641781 +33.6013111304720| -11.586 26.048   |10.71    |F8              |    ~     ~    |    1|  351.914   pc  |  -1.5480     +1.5480  |paral   |2020yCat.1350....0G
20  |BD+83 309                                                                                                |Star                              |10 52 17.5161376344 +82 18 56.146038696|127.5127090247826 +33.7225743127752|-19.719 -18.382   |10.28    |F0              |    ~     ~    |    1|  235.827   pc  |  -0.7063     +0.7063  |paral   |2020yCat.1350....0G
21  |BD+83 311                                                                                                |Spectroscopic Binary              |10 53 52.1631438672 +83 11 31.136884908|126.9099139914867 +33.0035064185238|    4.393 7.684   |10.15    |F8              |    ~     ~    |    1|  263.560   pc  |  -1.4796     +1.4796  |paral   |2020yCat.1350....0G
22  |BD+82 314                                                                                                |High Proper Motion Star           |10 50 58.3996804872 +81 51 21.139855776|127.8554500893037 +34.0865599602231|-80.072 -35.338   |10.51    |K2              |    ~     ~    |    1|  146.767   pc  |  -0.5019     +0.5019  |paral   |2020yCat.1350....0G
23  |BD+82 318                                                                                                |Star                              |10 55 03.1462789704 +81 50 48.985402632|127.7132356374365 +34.1709029273919|  27.714 30.566   |10.69    |G5              |    ~     ~    |    1|  241.476   pc  |  -0.5540     +0.5540  |paral   |2020yCat.1350....0G
24  |BD+82 315                                                                                                |Star                              |10 51 06.6316929960 +81 41 55.859230320|127.9527978882080 +34.2214319377149|   0.148 -3.522   |10.78    |A0              |    ~     ~    |    1|  803.923   pc  | -10.5346    +10.5346  |paral   |2020yCat.1350....0G
25  |BD+82 316                                                                                                |Spectroscopic Binary              |10 51 34.3830824592 +81 19 19.948250604|128.1816533598459 +34.5477448107740|  -3.020 -7.859   |10.35    |F5              |    ~     ~    |    1|  296.683   pc  |  -9.7615     +9.7615  |paral   |2020yCat.1350....0G
26  |BD+82 317                                                                                                |Star                              |10 53 03.1540763976 +81 37 50.192682204|127.9251381378874 +34.3167620552035|  24.533 11.263   |10.53    |F8              |    ~     ~    |    1|  164.802   pc  |  -0.2906     +0.2906  |paral   |2020yCat.1350....0G
27  |TYC 4555-1234-1                                                                                          |Star                              |10 50 07.9228618128 +81 30 30.200138100|128.1140675540613 +34.3621402245412|  -5.127 -7.251   |10.75    |~               |    ~     ~    |    1|  982.994   pc  | -11.9818    +11.9818  |paral   |2020yCat.1350....0G
28  |TYC 4632-949-1                                                                                           |Star                              |10 57 50.6868542184 +82 53 55.447509696|126.9665219385166 +33.3169115437972| -6.132 -13.623   |10.87    |~               |    ~     ~    |    1| 1528.818   pc  | -28.7486    +28.7486  |paral   |2020yCat.1350....0G
29  |BD+81 351                                                                                                |Star                              |10 51 31.5573162240 +80 33 32.936207652|128.6875531524738 +35.1880403187733|  -3.276 -0.486   |10.47    |G5              |    ~     ~    |    1|  118.552   pc  |  -0.2150     +0.2150  |paral   |2020yCat.1350....0G
30  |BD+81 352                                                                                                |Star                              |10 52 30.4855821528 +80 35 15.059622120|128.6273884183844 +35.1860031671222| -22.500 -9.585   |9.68     |K0              |    ~     ~    |    1|  732.923   pc  |  -6.0701     +6.0701  |paral   |2020yCat.1350....0G
31  |HD 93945                                                                                                 |Star                              |10 54 47.4516631656 +80 21 15.087669516|128.6829615117880 +35.4336093964639|  9.995 -10.775   |8.90     |G5              |    ~     ~    |    1|  382.321   pc  |  -2.9088     +2.9088  |paral   |2020yCat.1350....0G
32  |HD 94098                                                                                                 |Star                              |10 55 42.2087652504 +80 12 15.865573572|128.7405300289139 +35.5809966124500|  30.394 31.605   |9.02     |G0              |    ~     ~    |    1|  138.929   pc  |  -0.2625     +0.2625  |paral   |2020yCat.1350....0G
33  |BD+80 340                                                                                                |Star                              |10 55 47.0235052056 +80 12 53.601352812|128.7301506272698 +35.5739080665007|  -2.820 -0.622   |10.38    |~               |    ~     ~    |    1|  739.153   pc  |  -7.7581     +7.7581  |paral   |2020yCat.1350....0G
34  |HD 94496                                                                                                 |Star                              |10 58 09.4887607992 +79 47 14.480375136|128.8989593399708 +35.9918188306598|   1.013 -5.966   |8.72     |G0              |    ~     ~    |    1|  459.074   pc  |  -3.5406     +3.5406  |paral   |2020yCat.1350....0G
35  |HD 94686                                                                                                 |Double or Multiple Star           |10 59 20.97266 +79 40 33.1546          |128.91451374 +36.11465387          |    54.69 40.72   |7.32     |F8V+F8V         |    ~     ~    |    0|                |                       |        |                   
36  |BD+81 356                                                                                                |Star                              |10 57 13.4246059056 +81 03 08.232607332|128.1320159888686 +34.8912871837187|-21.490 -11.726   |10.11    |K0              |    ~     ~    |    1|  481.719   pc  |  -2.4830     +2.4830  |paral   |2020yCat.1350....0G
37  |BD+81 353                                                                                                |Star                              |10 53 08.8658422752 +80 40 07.819621572|128.5469792118600 +35.1315075372857|    3.599 4.527   |10.47    |K0              |    ~     ~    |    1|  672.812   pc  |  -6.0659     +6.0659  |paral   |2020yCat.1350....0G
38  |BD+81 355                                                                                                |High Proper Motion Star           |10 56 21.6653261760 +80 31 54.711418224|128.4999252909786 +35.3172405864060|-49.332 -10.184   |9.98     |F8              |    ~     ~    |    1|  200.184   pc  |  -1.7312     +1.7312  |paral   |2020yCat.1350....0G
39  |BD+81 357                                                                                                |Star                              |10 58 56.3530742256 +80 29 20.908774284|128.4158478284455 +35.4089766214307|  20.957 -4.076   |10.87    |K0              |    ~     ~    |    1|  540.950   pc  |  -3.3945     +3.3945  |paral   |2020yCat.1350....0G
40  |BD+80 345                                                                                                |Star                              |10 58 21.5207724360 +80 06 37.446220188|128.6822771163002 +35.7205375862093|   -0.146 2.914   |9.89     |K2              |    ~     ~    |    1| 1550.147   pc  | -26.4325    +26.4325  |paral   |2020yCat.1350....0G
41  |BD+80 346                                                                                                |Star                              |10 59 28.0374294456 +80 10 45.610617324|128.5883986612476 +35.6860329739355|  -6.135 -8.368   |8.97     |K0              |    ~     ~    |    1|  534.045   pc  |  -3.8217     +3.8217  |paral   |2020yCat.1350....0G
42  |TYC 4555-27-1                                                                                            |Star                              |10 56 07.1210318784 +80 04 12.516341196|128.8093539255561 +35.7043440139604|   1.952 -4.809   |10.90    |~               |    ~     ~    |    1|  456.350   pc  |  -3.0614     +3.0614  |paral   |2020yCat.1350....0G
43  |TYC 4555-240-1                                                                                           |Star                              |10 56 46.1640155328 +80 27 36.185707224|128.5284935241716 +35.3872279328332| -43.846 -8.027   |10.96    |~               |    ~     ~    |    1|  246.962   pc  |  -0.7807     +0.7807  |paral   |2020yCat.1350....0G
44  |TYC 4555-264-1                                                                                           |Star                              |10 54 56.7137836512 +80 44 22.367073948|128.4258080144194 +35.1104031773577|  -0.695 -5.177   |10.89    |~               |    ~     ~    |    1| 1039.501   pc  | -11.8862    +11.8862  |paral   |2020yCat.1350....0G
