C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:39

dec >=0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2287

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 16                                                                                                                                    |Star                                |11 12 20.5580481528 +88 55 12.102657168|123.4449589878438 +28.1078989483638|   1.956 -4.601    |10.74    |K3                |    ~     ~    |    1| 1043.950   pc  | -11.8792    +11.8792  |paral   |2020yCat.1350....0G
2   |BD+88 62                                                                                                                                    |Star                                |11 07 00.6693655344 +88 10 28.824530016|123.8480977020348 +28.7643694687916|   7.984 -0.727    |10.72    |G5                |    ~     ~    |    1|  720.098   pc  |  -5.1336     +5.1336  |paral   |2020yCat.1350....0G
3   |BD+87 92                                                                                                                                    |Double or Multiple Star             |11 11 16.039776 +86 46 55.98012        |124.504623085 +30.034735643        |       -3.2 2.5    |10.495   |G0                |    ~     ~    |    0|                |                       |        |                   
4   |BD+87 93                                                                                                                                    |Star                                |11 10 45.3147737640 +86 39 30.317377104|124.5746821112642 +30.1429219355242|   -4.705 4.491    |10.69    |K2                |    ~     ~    |    1|  643.418   pc  |  -5.4646     +5.4646  |paral   |2020yCat.1350....0G
5   |BD+87 94                                                                                                                                    |Star                                |11 14 25.7792289624 +86 37 14.314344384|124.5372668848708 +30.2001949746955|  -3.144 -4.559    |10.09    |G0                |    ~     ~    |    1|  297.309   pc  |  -1.1668     +1.1668  |paral   |2020yCat.1350....0G
6   |BD+87 95                                                                                                                                    |Star                                |11 14 40.3219452768 +86 32 27.739442328|124.5724173160457 +30.2738675623473|  -17.592 4.443    |10.51    |G5                |    ~     ~    |    1|  500.977   pc  |  -3.7396     +3.7396  |paral   |2020yCat.1350....0G
7   |BD+86 160                                                                                                                                   |High Proper Motion Star             |11 11 14.4200761608 +85 53 20.515788204|124.9577915559071 +30.8379312263091|-20.099 -65.567    |9.59     |G5                |    ~     ~    |    1|  175.316   pc  |  -0.2920     +0.2920  |paral   |2020yCat.1350....0G
8   |BD+86 157                                                                                                                                   |Star                                |11 07 01.7529218160 +85 40 33.350206728|125.1497189231671 +30.9937849248401| -22.335 -7.831    |9.32     |G5                |    ~     ~    |    1|  427.954   pc  |  -2.0878     +2.0878  |paral   |2020yCat.1350....0G
9   |BD+86 158                                                                                                                                   |Star                                |11 07 22.0622514792 +85 25 48.349690176|125.2740067523078 +31.2154880489337|  -0.221 -0.077    |10.73    |G8                |    ~     ~    |    1|  833.750   pc  |  -7.5770     +7.5770  |paral   |2020yCat.1350....0G
10  |HD 95603                                                                                                                                    |Star                                |11 09 34.7204125728 +85 32 39.224651892|125.1683957012995 +31.1333158525983|    7.640 6.298    |8.39     |A3                |    ~     ~    |    1|  194.951   pc  |  -0.6727     +0.6727  |paral   |2020yCat.1350....0G
11  |HD 96571                                                                                                                                    |Star                                |11 14 30.3796872744 +85 38 24.448281360|125.0199975938863 +31.0884164969416|  -36.013 8.453    |7.310    |~                 |    ~     ~    |    1|  225.002   pc  |  -2.9819     +2.9819  |paral   |2020yCat.1350....0G
12  |BD+85 171                                                                                                                                   |Star                                |11 00 58.4494903704 +84 16 02.160946236|126.0676943205438 +32.1728144299940|    3.433 3.379    |10.51    |K2                |    ~     ~    |    1| 1161.845   pc  | -38.6067    +38.6067  |paral   |2020yCat.1350....0G
13  |BD+85 172                                                                                                                                   |Star                                |11 02 12.1370605800 +84 46 14.027442060|125.7504609566600 +31.7465213300629|  -2.108 -2.158    |9.61     |K5                |    ~     ~    |    1| 1086.957   pc  | -16.0681    +16.0681  |paral   |2020yCat.1350....0G
14  |BD+85 173                                                                                                                                   |Star                                |11 04 59.9939201712 +85 13 07.568448636|125.4382855151934 +31.3806615163401|   9.682 -0.112    |8.92     |G8                |    ~     ~    |    1|  402.852   pc  |  -2.4343     +2.4343  |paral   |2020yCat.1350....0G
15  |BD+85 174                                                                                                                                   |Star                                |11 13 02.6087774688 +84 36 12.902717808|125.5780330147387 +32.0099546727434|   8.536 -6.505    |10.80    |G8                |    ~     ~    |    1|  857.559   pc  |  -9.4132     +9.4132  |paral   |2020yCat.1350....0G
16  |TYC 4636-863-1                                                                                                                              |Star                                |11 00 52.9219303632 +85 33 59.596670484|125.3304992089665 +31.0352857246396|  22.698 -0.528    |10.86    |~                 |    ~     ~    |    1|  611.509   pc  |  -4.3751     +4.3751  |paral   |2020yCat.1350....0G
17  |TYC 4636-1210-1                                                                                                                             |Star                                |11 06 37.2242327256 +84 25 42.412825272|125.8327508645270 +32.0971777951866| -1.259 -21.411    |10.91    |~                 |    ~     ~    |    1|  251.364   pc  |  -0.7835     +0.7835  |paral   |2020yCat.1350....0G
18  |BD+84 245                                                                                                                                   |Spectroscopic Binary                |11 04 30.6513116784 +84 11 59.528980860|126.0138745900172 +32.2746028824229|   30.606 7.507    |10.73    |F8                |    ~     ~    |    1|  376.180   pc  |  -6.8492     +6.8492  |paral   |2020yCat.1350....0G
