C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:56:44

dec >=0&rah >=11.25&rah< 11.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2263

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+88 63                                                                                                                                    |Star                                |11 15 46.8901649280 +88 01 57.027896688|123.8430029456895 +28.9238932843797|   -9.111 5.258   |10.32    |G0                  |    ~     ~    |    1|  152.066   pc  |  -0.2497     +0.2497  |paral   |2020yCat.1350....0G
2   |HD 96870                                                                                                                                    |Star                                |11 21 47.8939485240 +87 38 18.503519784|123.9641220854652 +29.3076474246317|    6.139 8.787   |7.48     |B8                  |    ~     ~    |    1|  216.544   pc  |  -7.0149     +7.0149  |paral   |2020yCat.1350....0G
3   |BD+87 96                                                                                                                                    |Star                                |11 26 54.1324321512 +86 14 47.992792380|124.5035319604295 +30.6203400133220|   10.795 9.928   |10.61    |K                   |    ~     ~    |    1|  571.984   pc  |  -4.4167     +4.4167  |paral   |2020yCat.1350....0G
4   |BD+86 162                                                                                                                                   |Star                                |11 23 30.6626260848 +85 58 57.401218020|124.6822064420289 +30.8426743016026|    9.826 7.896   |10.88    |F8                  |    ~     ~    |    1|  246.786   pc  |  -0.6456     +0.6456  |paral   |2020yCat.1350....0G
5   |BD+86 163                                                                                                                                   |Spectroscopic Binary                |11 24 18.4975709520 +86 02 40.101815004|124.6395035377492 +30.7909650529902|-13.663 -64.507   |9.15     |G0                  |    ~     ~    |    1|  102.982   pc  |  -0.4953     +0.4953  |paral   |2020yCat.1350....0G
6   |BD+86 164                                                                                                                                   |Star                                |11 25 04.4345276808 +85 53 51.529168716|124.6905633878851 +30.9317396639394|-11.567 -27.339   |10.83    |K                   |    ~     ~    |    1|  818.465   pc  | -10.9861    +10.9861  |paral   |2020yCat.1350....0G
7   |BD+86 165                                                                                                                                   |Star                                |11 27 30.7343249448 +85 38 18.977896140|124.7559805553827 +31.1886133089153|   4.492 11.234   |9.68     |A5                  |    ~     ~    |    1|  287.919   pc  |  -1.1937     +1.1937  |paral   |2020yCat.1350....0G
8   |BD+85 175                                                                                                                                   |Star                                |11 15 54.3962176968 +84 57 30.478615704|125.3290527661440 +31.7176185603331|    7.552 0.840   |9.77     |G5                  |    ~     ~    |    1|  550.600   pc  |  -3.6682     +3.6682  |paral   |2020yCat.1350....0G
9   |BD+85 176                                                                                                                                   |Star                                |11 15 44.0342755344 +84 31 34.185912204|125.5496391016399 +32.1072865300491|  17.933 -2.486   |10.10    |F5                  |    ~     ~    |    1|  277.323   pc  |  -1.0152     +1.0152  |paral   |2020yCat.1350....0G
10  |BD+85 177                                                                                                                                   |Star                                |11 17 41.6486501952 +85 05 27.279725928|125.2224222237997 +31.6136629223747|  -12.644 6.186   |10.41    |F8                  |    ~     ~    |    1|  184.376   pc  |  -0.4249     +0.4249  |paral   |2020yCat.1350....0G
