C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:58:37

dec >=0&rah >=11.5&rah< 11.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2296

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|-----------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 17                                                                                                 |High Proper Motion Star             |11 30 16.7090097600 +88 44 59.116920792|123.4242925505731 +28.3000596883771| -85.374 15.744   |9.44     |G0              |    ~     ~      |    1|  142.910   pc  |  -0.2635     +0.2635  |paral   |2020yCat.1350....0G
2   |BD+88 65                                                                                                 |Star                                |11 34 24.2331470112 +87 52 44.353525980|123.7326268119241 +29.1282939531732|  41.543 -7.602   |9.93     |F5              |    ~     ~      |    1|  167.887   pc  |  -0.3044     +0.3044  |paral   |2020yCat.1350....0G
3   |BD+88 67                                                                                                 |Star                                |11 40 39.4265034792 +87 41 14.519249340|123.7380145254362 +29.3291570796523| -23.062 -6.270   |10.13    |G0              |    ~     ~      |    1|  236.642   pc  |  -1.2264     +1.2264  |paral   |2020yCat.1350....0G
4   |BD+87 98                                                                                                 |High Proper Motion Star             |11 44 34.6484570400 +86 31 09.519840120|124.0926373781307 +30.4570719556083|-73.877 -15.506   |10.58    |G5              |    ~     ~      |    1|  215.318   pc  |  -0.5563     +0.5563  |paral   |2020yCat.1350....0G
5   |BD+86 166                                                                                                |Spectroscopic Binary                |11 31 45.8916183096 +85 36 40.467677868|124.6792721703720 +31.2435912533859|  19.359 -1.308   |10.34    |F2              |    ~     ~      |    1|  320.904   pc  |  -7.2600     +7.2600  |paral   |2020yCat.1350....0G
6   |BD+86 167                                                                                                |High Proper Motion Star             |11 32 06.1384862184 +85 28 55.258698684|124.7256643848649 +31.3667608644459|-100.801 -55.809  |9.85     |G8              |    ~     ~      |    1|  162.319   pc  |  -0.3346     +0.3346  |paral   |2020yCat.1350....0G
7   |BD+86 168                                                                                                |Star                                |11 33 52.3294176672 +85 37 09.774749532|124.6318095911451 +31.2500684646776|  -21.752 6.515   |10.25    |F8              |    ~     ~      |    1|  307.579   pc  |  -2.0056     +2.0056  |paral   |2020yCat.1350....0G
8   |BD+86 169                                                                                                |Star                                |11 34 15.9158850421 +85 30 55.641680507|124.6654257131314 +31.3502344459837|       13.8 3.4   |9.38     |F2              |    ~     ~      |    0|                |                       |        |                   
9   |HD 100432                                                                                                |Star                                |11 37 08.9507385888 +85 37 02.354782404|124.5637311214350 +31.2732042580229|  11.879 46.222   |7.31     |F0              |    ~     ~      |    1|   66.288   pc  |  -0.0707     +0.0707  |paral   |2020yCat.1350....0G
10  |HD 99884                                                                                                 |Star                                |11 32 58.1111835120 +84 42 22.571962452|125.0274319836750 +32.0990536896696|  10.681 12.145   |7.22     |K0              |    ~     ~      |    1|  189.125   pc  |  -0.5079     +0.5079  |paral   |2020yCat.1350....0G
11  |BD+85 184                                                                                                |Star                                |11 35 26.2567117224 +84 37 26.805412020|124.9976001623017 +32.1960351215038| -44.471 -9.646   |9.49     |F2              |    ~     ~      |    1|  131.397   pc  |  -0.2141     +0.2141  |paral   |2020yCat.1350....0G
12  |BD+85 185                                                                                                |Star                                |11 36 50.6217567288 +84 54 59.753297808|124.8450755163538 +31.9317133709788|   0.495 -0.825   |10.80    |G2              |    ~     ~      |    1|  230.118   pc  |  -2.7166     +2.7166  |paral   |2020yCat.1350....0G
13  |BD+85 186                                                                                                |Star                                |11 39 25.0639010208 +84 45 39.803245344|124.8411702828953 +32.0976427026792| -10.831 13.988   |10.50    |F2              |    ~     ~      |    1|  255.702   pc  |  -1.3469     +1.3469  |paral   |2020yCat.1350....0G
14  |BD+85 187                                                                                                |Star                                |11 41 23.2123187904 +85 04 37.980891840|124.6732673476716 +31.8120527426583| -13.033 -6.423   |10.41    |F8              |    ~     ~      |    1|  313.009   pc  |  -1.5872     +1.5872  |paral   |2020yCat.1350....0G
