C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:00:29

dec >=0&rah >=11.75&rah< 12.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2229

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 1                                                                                                  |Star                                |11 49 45.0283716648 +89 35 15.702701676|123.0555612042907 +27.5256575967662|   8.430 -2.769    |10.44    |F2                |    ~     ~    |    1|  501.329   pc  |  -5.0266     +5.0266  |paral   |2020yCat.1350....0G
2   |BD+89 18                                                                                                 |Star                                |11 51 44.9136206208 +88 55 44.109675300|123.2447607781798 +28.1628643003108|   -2.087 1.119    |9.59     |F2                |    ~     ~    |    1|  303.416   pc  |  -1.2612     +1.2612  |paral   |2020yCat.1350....0G
3   |BD+88 68                                                                                                 |Double or Multiple Star             |11 47 48.4965388056 +87 46 58.931633064|123.6282581446648 +29.2585947600282| -24.147 21.140    |10.396   |G2                |    ~     ~    |    1|  262.254   pc  |  -4.5462     +4.5462  |paral   |2020yCat.1350....0G
4   |BD+88 69                                                                                                 |Star                                |11 51 58.0394800128 +88 09 54.586172808|123.4696110135934 +28.9006337186600|    1.212 0.773    |9.78     |G8                |    ~     ~    |    1|  594.707   pc  |  -3.7490     +3.7490  |paral   |2020yCat.1350....0G
5   |BD+88 70                                                                                                 |Star                                |11 56 59.4505745328 +87 50 15.958769316|123.5149023428473 +29.2285461357568|  -6.023 -0.428    |10.58    |G8                |    ~     ~    |    1|  537.461   pc  | -12.5367    +12.5367  |paral   |2020yCat.1350....0G
6   |NGC 3172                           NAME Polarissima Borealis          NGC 3172                           |Galaxy                              |11 47 12.9865631376 +89 05 35.105262828|123.2159867777098 +27.9995069708423|            ~ ~    |     ~   |~                 |0.920 0.791    |    0|                |                       |        |                   
7   |BD+87 100                                                                                                |Star                                |11 59 56.5488472152 +86 59 42.675258336|123.7050848467608 +30.0554045086462| -36.795 -4.501    |9.25     |F2                |    ~     ~    |    1|  218.422   pc  |  -0.8921     +0.8921  |paral   |2020yCat.1350....0G
8   |BD+86 174                                                                                                |Spectroscopic Binary                |11 59 04.4411564424 +85 43 52.113511128|124.0623097546551 +31.2816148476620|   7.322 -7.434    |10.69    |G5                |    ~     ~    |    1|  778.756   pc  | -15.4647    +15.4647  |paral   |2020yCat.1350....0G
9   |BD+86 171                                                                                                |Star                                |11 45 51.9607591560 +85 21 07.214953644|124.4702082617949 +31.5788646175592|  27.521 -3.036    |8.98     |F2                |    ~     ~    |    1|  122.097   pc  |  -0.2147     +0.2147  |paral   |2020yCat.1350....0G
10  |BD+86 173                                                                                                |Star                                |11 51 07.4731577088 +85 40 16.949427240|124.2486586283114 +31.3016675707014| -18.895 12.675    |9.16     |K0                |    ~     ~    |    1|  359.751   pc  |  -1.9801     +1.9801  |paral   |2020yCat.1350....0G
