C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:02:24

dec >=0&rah >=12.0&rah< 12.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2207

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 20                                                                                                                                    |Star                                |12 05 25.5965477496 +88 37 48.329165676|123.2426617423215 +28.4703032562988|    7.494 0.752   |10.72    |G5              |    ~     ~    |    1|  858.959   pc  |  -8.9275     +8.9275  |paral   |2020yCat.1350....0G
2   |HD 104147                                                                                                                                   |Star                                |12 00 10.4054774376 +86 59 39.948162648|123.7018803826872 +30.0568339087108| -36.153 -4.974   |8.09     |A2              |    ~     ~    |    1|  218.264   pc  |  -1.0909     +1.0909  |paral   |2020yCat.1350....0G
3   |BD+87 102                                                                                                                                   |High Proper Motion Star             |12 01 43.2813806112 +86 22 01.273576332|123.8404825277441 +30.6731447948668|-40.372 -34.270   |9.61     |F8              |    ~     ~    |    1|  170.573   pc  |  -0.4248     +0.4248  |paral   |2020yCat.1350....0G
4   |BD+85 194                                                                                                                                   |Star                                |12 01 26.4375529488 +84 59 00.442239072|124.2109348277794 +32.0200639267284|  26.814 21.932   |10.64    |G2              |    ~     ~    |    1|  307.9956  pc  | -26.3619    +26.3619  |paral   |2018yCat.1345....0G
5   |HD 106207                                                                                                                                   |Star                                |12 11 16.1095852296 +86 55 55.398224316|123.5503028081188 +30.1478321825549| -22.877 -2.633   |8.030    |K5              |    ~     ~    |    1|  224.150   pc  |  -0.8340     +0.8340  |paral   |2020yCat.1350....0G
6   |BD+87 103                                                                                                                                   |High Proper Motion Star             |12 04 58.8052286544 +86 15 48.846767652|123.8069599606067 +30.7854504057904| -43.064 26.669   |9.91     |G5              |    ~     ~    |    1|  286.025   pc  |  -0.8672     +0.8672  |paral   |2020yCat.1350....0G
7   |BD+87 105                                                                                                                                   |Star                                |12 12 26.3582779944 +86 12 13.011808320|123.6803830875248 +30.8678110959470| 24.514 -15.351   |10.05    |G5              |    ~     ~    |    1|  495.466   pc  |  -2.6513     +2.6513  |paral   |2020yCat.1350....0G
8   |BD+87 106                                                                                                                                   |Star                                |12 14 46.8434055456 +86 45 13.312340028|123.5306386143760 +30.3318411774387|  20.731 -8.592   |10.61    |G5              |    ~     ~    |    1|  184.939   pc  |  -1.0534     +1.0534  |paral   |2020yCat.1350....0G
9   |BD+86 175                                                                                                                                   |Star                                |12 02 31.6553578512 +85 50 14.035976628|123.9617315831862 +31.1928041176420|    0.882 0.619   |10.61    |K5              |    ~     ~    |    1| 1503.307   pc  | -33.4470    +33.4470  |paral   |2020yCat.1350....0G
10  |HD 104904                                                                                                                                   |High Proper Motion Star             |12 04 28.1080938744 +85 35 13.672041540|123.9836026189913 +31.4448288161215| -55.773 90.648   |6.265    |F6V             |    ~     ~    |    1|   76.555   pc  |  -0.1102     +0.1102  |paral   |2020yCat.1350....0G
11  |HD 106018                                                                                                                                   |Spectroscopic Binary                |12 10 46.1724045456 +85 42 18.307839636|123.8188987441288 +31.3529202439553| -14.311 -2.098   |8.77     |G               |    ~     ~    |    1|  145.713   pc  |  -0.3185     +0.3185  |paral   |2020yCat.1350....0G
12  |BD+86 178                                                                                                                                   |Star                                |12 11 04.6721056632 +85 20 48.523591752|123.8891437749905 +31.7062061945045| -46.720 -4.536   |9.74     |K0              |    ~     ~    |    1|  450.532   pc  |  -2.4763     +2.4763  |paral   |2020yCat.1350....0G
13  |BD+86 179                                                                                                                                   |Star                                |12 11 06.9366395784 +85 33 35.715047724|123.8424956490524 +31.4968324635832|  -0.543 -4.264   |10.48    |K0              |    ~     ~    |    1| 1235.941   pc  | -20.1637    +20.1637  |paral   |2020yCat.1350....0G
14  |BD+85 195                                                                                                                                   |Star                                |12 04 21.7041364872 +84 29 04.639600644|124.2641506158817 +32.5213552171367|   6.251 -6.631   |10.36    |G5              |    ~     ~    |    1|  313.215   pc  |  -1.6481     +1.6481  |paral   |2020yCat.1350....0G
15  |HD 105942                                                                                                                                   |Double or Multiple Star             |12 10 37.2624622 +85 04 43.649224      |123.9583971408 +31.9678631831      |   -11.66 -5.60   |8.69     |A3              |0.0050  0.0    |    0|                |                       |        |                   
16  |BD+85 197                                                                                                                                   |Star                                |12 10 46.5681948600 +84 56 21.903219744|123.9850091166178 +32.1054405805095|    3.567 3.349   |9.67     |F8              |    ~     ~    |    1|  164.644   pc  |  -0.4120     +0.4120  |paral   |2020yCat.1350....0G
17  |BD+85 193                                                                                                                                   |Star                                |12 01 12.9323038536 +84 13 11.779803048|124.4237606100367 +32.7621495436738|  -6.660 12.330   |10.34    |G2              |    ~     ~    |    1|  133.133   pc  |  -0.2233     +0.2233  |paral   |2020yCat.1350....0G
18  |BD+84 271                                                                                                                                   |Star                                |12 14 33.0933662880 +84 06 19.276770384|124.0556244904747 +32.9422120131357|  -14.310 6.892   |10.22    |F8              |    ~     ~    |    1|  305.661   pc  |  -1.2519     +1.2519  |paral   |2020yCat.1350....0G
19  |BD+84 264                                                                                                                                   |High Proper Motion Star             |12 07 10.5381270528 +83 54 32.481624816|124.3249426806606 +33.0990671703571|  83.232 13.590   |10.72    |G5              |    ~     ~    |    1|  177.718   pc  |  -0.3601     +0.3601  |paral   |2020yCat.1350....0G
20  |BD+84 262                                                                                                                                   |Star                                |12 03 19.8226451712 +83 22 54.312364884|124.5839884304609 +33.5914957425010|  10.889 -0.813   |8.81     |G5              |    ~     ~    |    1|  395.710   pc  |  -2.0983     +2.0983  |paral   |2020yCat.1350....0G
21  |BD+84 265                                                                                                                                   |Star                                |12 08 49.4130738696 +83 19 00.191701560|124.4136353028778 +33.6885035172269|  -4.305 -5.046   |10.59    |K               |    ~     ~    |    1| 1391.595   pc  | -28.0798    +28.0798  |paral   |2020yCat.1350....0G
22  |BD+84 266                                                                                                                                   |Star                                |12 09 40.0824085800 +83 16 44.412260448|124.3934689457764 +33.7303152135437|  4.132 -13.435   |10.73    |K               |    ~     ~    |    1| 1794.044   pc  | -37.0138    +37.0138  |paral   |2020yCat.1350....0G
23  |BD+84 267                                                                                                                                   |Star                                |12 10 15.9852040032 +83 15 28.947947652|124.3776321097316 +33.7542624383244|   5.594 -0.899   |10.84    |A0              |    ~     ~    |    1| 1115.822   pc  | -29.8814    +29.8814  |paral   |2020yCat.1350....0G
24  |BD+84 268                                                                                                                                   |Star                                |12 12 54.9485991408 +83 18 00.197530848|124.2766710366225 +33.7273276551048| -22.616 -2.132   |9.98     |G5              |    ~     ~    |    1|  623.519   pc  |  -4.2765     +4.2765  |paral   |2020yCat.1350....0G
25  |HD 106311                                                                                                                                   |Star                                |12 12 55.5167601936 +83 30 11.801889576|124.2327126267311 +33.5274273923621|   -1.822 4.177   |8.21     |G0              |    ~     ~    |    1|  158.333   pc  |  -1.5844     +1.5844  |paral   |2020yCat.1350....0G
26  |BD+84 270                                                                                                                                   |Star                                |12 13 35.1721987608 +83 14 35.109173004|124.2655930240333 +33.7868777861640| -27.670 -2.336   |10.64    |G5              |    ~     ~    |    1|  291.265   pc  | -22.2947    +22.2947  |paral   |2020yCat.1350....0G
27  |BD+83 346                                                                                                                                   |Star                                |12 08 04.6070638320 +82 28 39.290506356|124.6440487748844 +34.5059884289368| -6.997 -10.201   |10.49    |K               |    ~     ~    |    1| 1186.240   pc  | -20.4039    +20.4039  |paral   |2020yCat.1350....0G
28  |BD+83 347                                                                                                                                   |Star                                |12 08 48.4177781448 +82 26 03.719377536|124.6261234501817 +34.5531450689783|  -1.288 -2.190   |10.04    |K2              |    ~     ~    |    1|  992.260   pc  | -13.8826    +13.8826  |paral   |2020yCat.1350....0G
29  |BD+83 348                                                                                                                                   |Star                                |12 11 54.6771913680 +82 47 08.480334912|124.4255522969155 +34.2275815263137|    0.845 5.496   |10.01    |K2              |    ~     ~    |    1| 1070.435   pc  | -21.9999    +21.9999  |paral   |2020yCat.1350....0G
30  |HD 104698                                                                                                                                   |Star                                |12 03 21.1615991928 +81 41 17.884244652|125.0445694083399 +35.2417801972629|    6.096 1.365   |7.51     |G9/K0           |    ~     ~    |    1|  373.399   pc  |  -2.5515     +2.5515  |paral   |2020yCat.1350....0G
31  |HD 105943                                                                                                                                   |Star                                |12 10 59.9795967552 +81 42 35.390138760|124.7085332493600 +35.2784661199915| -26.991 -2.746   |5.955    |K5III:          |    ~     ~    |    1|  579.139   pc  | -15.0931    +15.0931  |paral   |2020yCat.1350....0G
32  |HD 106037                                                                                                                                   |Star                                |12 11 31.4685610296 +81 42 54.424462032|124.6845584281396 +35.2768710205314|  12.948 21.519   |8.20     |F5              |    ~     ~    |    1|   94.278   pc  |  -0.1635     +0.1635  |paral   |2020yCat.1350....0G
33  |BD+82 359                                                                                                                                   |Star                                |12 13 13.5223976904 +81 37 55.232861664|124.6292357079103 +35.3699374954800| -19.535 -4.038   |10.25    |G               |    ~     ~    |    1|  352.696   pc  |  -2.2018     +2.2018  |paral   |2020yCat.1350....0G
34  |V* FR Cam                                                                                                                                   |Long-Period Variable                |12 00 18.6037415568 +80 51 11.460727260|125.4243065930017 +36.0262974019083|-65.081 -38.396   |6.17     |M2III           |    ~     ~    |    1|  330.972   pc  |  -6.0686     +6.0686  |paral   |2020yCat.1350....0G
35  |BD+81 390                                                                                                                                   |Star                                |12 02 01.8557 +80 27 41.232            |125.4568201 +36.4233367            | -34.249 -2.373   |10.27    |K0              |    ~     ~    |    0|                |                       |        |                   
36  |HD 104389                                                                                                                                   |High Proper Motion Star             |12 01 16.0218749688 +79 05 14.734581900|125.9123380655178 +37.7488801839812|-68.420 -13.328   |8.46     |G0              |    ~     ~    |    1|   59.563   pc  |  -0.0500     +0.0500  |paral   |2020yCat.1350....0G
37  |BD+82 358                                                                                                                                   |Star                                |12 11 31.9673758512 +81 26 16.889318952|124.7485187240500 +35.5490169717036|  -3.359 -4.212   |10.17    |F0              |    ~     ~    |    1|  344.839   pc  |  -1.6172     +1.6172  |paral   |2020yCat.1350....0G
38  |BD+81 391                                                                                                                                   |Star                                |12 05 47.1860485488 +80 18 20.735462232|125.3109790585624 +36.6106842652999| 24.194 -37.490   |10.53    |G5              |    ~     ~    |    1|  155.183   pc  |  -0.3082     +0.3082  |paral   |2020yCat.1350....0G
39  |BD+81 392                                                                                                                                   |Star                                |12 06 31.6917408312 +80 48 58.925200608|125.1365435911074 +36.1188360089474| -19.907 -4.240   |9.34     |G5              |    ~     ~    |    1|  499.925   pc  |  -3.7989     +3.7989  |paral   |2020yCat.1350....0G
40  |BD+81 393                                                                                                                                   |Star                                |12 07 38.1036069360 +80 44 30.158831076|125.1024760986860 +36.2011969672298|   2.838 -2.942   |10.66    |K               |    ~     ~    |    1| 1316.829   pc  | -21.5021    +21.5021  |paral   |2020yCat.1350....0G
41  |BD+81 394                                                                                                                                   |Star                                |12 09 53.0999116488 +80 30 48.790227168|125.0490993424523 +36.4432630061548|  -7.422 -6.331   |10.73    |K               |    ~     ~    |    1|  599.628   pc  |  -4.3146     +4.3146  |paral   |2020yCat.1350....0G
42  |BD+80 373                                                                                                                                   |Star                                |12 08 01.2642167568 +80 08 07.576236636|125.2409086959308 +36.7973851970830| -15.828 -1.292   |9.73     |G5              |    ~     ~    |    1|  249.377   pc  |  -0.7214     +0.7214  |paral   |2020yCat.1350....0G
43  |BD+80 374                                                                                                                                   |Star                                |12 10 46.5579383928 +79 59 09.533689368|125.1333023894952 +36.9678545037257|-13.700 -17.522   |9.88     |F8              |    ~     ~    |    1|  292.757   pc  |  -0.8999     +0.8999  |paral   |2020yCat.1350....0G
44  |HD 106346                                                                                                                                   |Star                                |12 13 25.2928376472 +79 25 02.303276556|125.1239274162505 +37.5486348267468|    1.113 2.625   |9.50     |F0              |    ~     ~    |    1|  330.316   pc  |  -2.1822     +2.1822  |paral   |2020yCat.1350....0G
45  |BD+79 384                                                                                                                                   |Star                                |12 06 21.6376306800 +78 48 45.191001636|125.6925532257467 +38.0729853397546|  26.265 -6.935   |9.74     |F8              |    ~     ~    |    1|  155.627   pc  |  -0.2688     +0.2688  |paral   |2020yCat.1350....0G
46  |TYC 4553-43-1                                                                                                                               |Star                                |12 12 52.8638815392 +79 22 05.650439448|125.1663154633212 +37.5921981602530| -17.429 -1.416   |10.57    |~               |    ~     ~    |    1|  267.130   pc  |  -1.4200     +1.4200  |paral   |2020yCat.1350....0G
47  |TYC 4553-133-1                                                                                                                              |Star                                |12 03 20.9928777720 +79 30 34.750703664|125.6666972546100 +37.3619697506656| -22.462 -2.887   |10.38    |~               |    ~     ~    |    1|  316.056   pc  |  -1.2486     +1.2486  |paral   |2020yCat.1350....0G
48  |TYC 4553-138-1                                                                                                                              |High Proper Motion Star             |12 12 46.6751366952 +79 59 02.607258156|125.0268377759319 +36.9864391340731| -62.547 51.983   |10.57    |~               |    ~     ~    |    1|  236.793   pc  |  -1.9793     +1.9793  |paral   |2020yCat.1350....0G
49  |TYC 4553-297-1                                                                                                                              |High Proper Motion Star             |12 01 16.2759430080 +79 22 34.281887484|125.8231674311124 +37.4688906598289|-66.112 -23.561   |10.84    |~               |    ~     ~    |    1|  224.982   pc  |  -0.7542     +0.7542  |paral   |2020yCat.1350....0G
50  |TYC 4553-411-1                                                                                                                              |High Proper Motion Star             |12 04 45.5890099656 +79 17 43.602490248|125.6493418689440 +37.5853462385577| 42.596 -46.141   |9.66     |~               |    ~     ~    |    1|   71.917   pc  |  -0.0693     +0.0693  |paral   |2020yCat.1350....0G
51  |TYC 4553-495-1                                                                                                                              |Star                                |12 09 54.2016779304 +79 30 50.798319912|125.2991095404834 +37.4225232939291|   -3.638 5.029   |10.71    |~               |    ~     ~    |    1|  348.165   pc  |  -1.8062     +1.8062  |paral   |2020yCat.1350....0G
52  |TYC 4553-961-1                                                                                                                              |Star                                |12 05 58.7973456677 +79 03 05.924197241|125.6479859678744 +37.8357848301088|    -6.70 -0.40   |10.43    |~               |    ~     ~    |    0|                |                       |        |                   
53  |TYC 4553-1008-1                                                                                                                             |High Proper Motion Star             |12 13 54.8900036952 +79 56 50.312356656|124.9743691766421 +37.0316889757605|-74.197 -13.130   |9.95     |~               |    ~     ~    |    1|  135.298   pc  |  -0.2233     +0.2233  |paral   |2020yCat.1350....0G
54  |HD 104238                                                                                                                                   |Star                                |12 00 26.4915536448 +77 53 16.845959076|126.3429679985652 +38.9004724071940|  -9.882 -3.585   |9.49     |F5              |    ~     ~    |    1|  261.664   pc  |  -4.8133     +4.8133  |paral   |2020yCat.1350....0G
55  |V* V516 Cam                                                                                                                                 |Spectroscopic Binary                |12 00 43.8782843184 +77 05 00.227527332|126.5864524072914 +39.6828695716218|   -5.458 2.875   |10.25    |F2              |    ~     ~    |    1|  445.991   pc  |  -3.7395     +3.7395  |paral   |2020yCat.1350....0G
56  |BD+77 453                                                                                                                                   |Star                                |12 01 01.4565904704 +76 49 06.075386724|126.6531089147950 +39.9434445026170|    2.574 6.747   |10.40    |F0              |    ~     ~    |    1|  335.897   pc  |  -2.0422     +2.0422  |paral   |2020yCat.1350....0G
57  |BD+77 454                                                                                                                                   |Star                                |12 01 25.7721100272 +76 36 18.712339272|126.6940371517138 +40.1555679019923| 22.647 -15.738   |9.89     |F0              |    ~     ~    |    1|  272.822   pc  |  -1.3249     +1.3249  |paral   |2020yCat.1350....0G
58  |BD+77 456                                                                                                                                   |Star                                |12 02 25.0052716968 +76 48 33.311358072|126.5557628473354 +39.9721021944491|  4.492 -10.084   |10.7     |G5              |    ~     ~    |    1| 1225.941   pc  | -38.7756    +38.7756  |paral   |2020yCat.1350....0G
59  |HD 104404                                                                                                                                   |Spectroscopic Binary                |12 01 32.6834416248 +76 15 29.347898760|126.8003654573405 +40.4930808981873|   7.024 11.196   |10.00    |K0              |    ~     ~    |    1|  745.990   pc  | -12.2430    +12.2430  |paral   |2020yCat.1350....0G
60  |BD+79 382                                                                                                                                   |Star                                |12 03 18.0661828536 +78 16 13.090985652|126.0394355355558 +38.5659820451416|   22.741 2.359   |10.56    |F5              |    ~     ~    |    1|  284.933   pc  |  -1.3233     +1.3233  |paral   |2020yCat.1350....0G
61  |BD+79 385                                                                                                                                   |High Proper Motion Star             |12 07 03.8657386128 +78 27 03.648833100|125.7506475812289 +38.4333076230120|-128.537 -36.928  |9.39     |G5              |    ~     ~    |    1|  120.165   pc  |  -0.2599     +0.2599  |paral   |2020yCat.1350....0G
62  |HD 106276                                                                                                                                   |Star                                |12 13 06.3746498928 +78 23 20.961812868|125.3875419121957 +38.5557273489872|  10.928 -6.533   |9.57     |F8              |    ~     ~    |    1|  186.644   pc  |  -0.4773     +0.4773  |paral   |2020yCat.1350....0G
63  |HD 106364                                                                                                                                   |Double or Multiple Star             |12 13 40.041 +78 25 58.87              |125.341614 +38.517945              |            ~ ~   |9.28     |G5              |    ~     ~    |    0|                |                       |        |                   
64  |HD 104619                                                                                                                                   |Star                                |12 02 50.2906320072 +77 41 34.710526968|126.2469163284304 +39.1207560640627|  6.451 -15.752   |8.82     |F8              |    ~     ~    |    1|  129.298   pc  |  -0.5868     +0.5868  |paral   |2020yCat.1350....0G
65  |HD 105717                                                                                                                                   |Spectroscopic Binary                |12 09 48.8015675928 +77 23 25.552197204|125.8611275644368 +39.5001252275545|-122.746 50.744   |6.87     |G5              |    ~     ~    |    1|   82.025   pc  |  -1.1290     +1.1290  |paral   |2020yCat.1350....0G
66  |BD+78 407                                                                                                                                   |Star                                |12 10 09.4480224576 +77 21 08.082857808|125.8475502100299 +39.5413831708624|  -36.292 4.313   |9.08     |F8              |    ~     ~    |    1|  185.443   pc  |  -2.0840     +2.0840  |paral   |2020yCat.1350....0G
67  |BD+78 408                                                                                                                                   |Star                                |12 10 23.4741994896 +77 28 17.371953300|125.7995725193422 +39.4273177735663|  -0.037 12.456   |9.54     |A2              |    ~     ~    |    1|  377.858   pc  |  -2.5843     +2.5843  |paral   |2020yCat.1350....0G
68  |HD 105895                                                                                                                                   |Star                                |12 11 01.1665657224 +77 25 36.297853284|125.7681087549814 +39.4780762459596|   0.034 12.946   |8.85     |A5              |    ~     ~    |    1|  368.691   pc  |  -2.4740     +2.4740  |paral   |2020yCat.1350....0G
69  |BD+78 410                                                                                                                                   |Star                                |12 11 37.5412909008 +77 31 37.781434452|125.7003389135570 +39.3863009859654|  -0.871 12.808   |8.43     |A0              |    ~     ~    |    1|  373.385   pc  |  -3.8758     +3.8758  |paral   |2020yCat.1350....0G
70  |HD 106053                                                                                                                                   |Double or Multiple Star             |12 11 48.3407902392 +77 26 26.828292804|125.7101864784012 +39.4728921422787|    2.141 5.624   |6.751    |A0              |0.0117  0.0    |    1|  217.325   pc  |  -1.5728     +1.5728  |paral   |2020yCat.1350....0G
71  |V* CO Cam                                                                                                                                   |Spectroscopic Binary                |12 12 11.9446126056 +77 36 58.468259340|125.6384820449602 +39.3050688407607|  10.754 20.059   |5.137    |kA6hF0mF0(III)  |    ~     ~    |    1|   33.807   pc  |  -0.0925     +0.0925  |paral   |2020yCat.1350....0G
72  |HD 104796                                                                                                                                   |High Proper Motion Star             |12 04 03.3532983024 +76 20 25.850912424|126.5842547120506 +40.4499012540274| 31.204 -79.159   |9.04     |G5              |    ~     ~    |    1|  122.745   pc  |  -0.8121     +0.8121  |paral   |2020yCat.1350....0G
73  |HD 104954                                                                                                                                   |High Proper Motion Star             |12 04 59.2732941240 +76 45 43.998967116|126.3842922254792 +40.0530607624038|-102.544 -74.633  |7.30     |F5              |    ~     ~    |    1|   62.145   pc  |  -0.6596     +0.6596  |paral   |2020yCat.1350....0G
74  |HD 105534                                                                                                                                   |Star                                |12 08 50.8245437760 +76 17 33.110106216|126.2358474723519 +40.5612978692193| 11.061 -20.805   |8.11     |K0              |    ~     ~    |    1|  291.206   pc  |  -1.4162     +1.4162  |paral   |2020yCat.1350....0G
75  |BD+77 464                                                                                                                                   |High Proper Motion Star             |12 13 56.1085527336 +77 08 10.499139132|125.6374892908239 +39.7943388033005|  9.937 -53.012   |9.92     |G5              |    ~     ~    |    1|  118.380   pc  |  -0.2424     +0.2424  |paral   |2020yCat.1350....0G
76  |HD 104686                                                                                                                                   |Star                                |12 03 20.2738679256 +76 05 36.235581576|126.7176844690715 +40.6792923070008|  -3.114 -9.399   |10.54    |A2              |    ~     ~    |    1|  745.434   pc  | -12.1692    +12.1692  |paral   |2020yCat.1350....0G
77  |HD 104781                                                                                                                                   |High Proper Motion Star             |12 03 52.6334342808 +76 04 00.354190692|126.6847312680601 +40.7130149332914| -53.974 -7.682   |7.69     |A3              |    ~     ~    |    1|  102.621   pc  |  -0.2243     +0.2243  |paral   |2020yCat.1350....0G
78  |HD 105214                                                                                                                                   |Star                                |12 06 43.7160102552 +76 05 12.038187192|126.4585632507395 +40.7339343862307|  -6.321 17.430   |9.41     |F8              |    ~     ~    |    1|  196.699   pc  |  -0.5997     +0.5997  |paral   |2020yCat.1350....0G
79  |HD 105661                                                                                                                                   |Star                                |12 09 49.3119693288 +76 05 20.623920180|126.2184389216231 +40.7725047828686|  -16.522 2.129   |10.38    |G5              |    ~     ~    |    1|  294.256   pc  |  -1.5239     +1.5239  |paral   |2020yCat.1350....0G
80  |NGC 4159                           NGC 4159                                                                                                 |Galaxy                              |12 10 53.635 +76 07 32.99              |126.125197 +40.750033              |            ~ ~   |     ~   |~               |0.763 0.305    |    1|   16.98    Mpc |  -2.45       +2.45    |T-F     |2020ApJ...902..145K
81  |NGC 4127                           NGC 4127                                                                                                 |Galaxy towards a Group of Galaxies  |12 08 26.3272265952 +76 48 14.925039228|126.1208816462812 +40.0566910331265|   1.000 -2.917   |     ~   |~               |0.830 0.531    |    1|   32.21    Mpc |  -4.64       +4.64    |T-F     |2020ApJ...902..145K
82  |TYC 4550-38-1                                                                                                                               |Star                                |12 12 25.5034570344 +76 49 46.923573972|125.8234161827876 +40.0787300636935| -24.743 -5.056   |9.88     |~               |    ~     ~    |    1|  227.443   pc  |  -0.6052     +0.6052  |paral   |2020yCat.1350....0G
83  |V* V517 Cam                                                                                                                                 |Spectroscopic Binary                |12 06 51.0201281040 +77 18 56.928151476|126.0872828822592 +39.5379984131629| -19.885 -4.522   |10.86    |~               |    ~     ~    |    1|  263.546   pc  |  -0.8404     +0.8404  |paral   |2020yCat.1350....0G
84  |TYC 4550-644-1                                                                                                                              |Star                                |12 05 07.6929489360 +76 36 58.714526952|126.4186638173605 +40.1968137078275| -31.345 -6.059   |10.52    |~               |    ~     ~    |    1|  257.699   pc  |  -0.9696     +0.9696  |paral   |2020yCat.1350....0G
85  |TYC 4550-772-1                                                                                                                              |Star                                |12 09 23.4631653936 +77 06 57.529150452|125.9654569892726 +39.7635824874407|       8.7 -4.4   |10.990   |~               |    ~     ~    |    0|                |                       |        |                   
86  |TYC 4550-1570-1                                                                                                                             |Star                                |12 14 16.3417513920 +76 56 31.560182664|125.6608883852819 +39.9885791141499|  -8.975 -7.320   |10.42    |~               |    ~     ~    |    1|  325.669   pc  |  -1.5697     +1.5697  |paral   |2020yCat.1350....0G
87  |TYC 4550-1929-1                                                                                                                             |Star                                |12 07 06.7017601896 +76 07 22.211705676|126.4181932366155 +40.7039293753938|   0.153 -1.434   |10.86    |~               |    ~     ~    |    1| 1086.720   pc  | -13.6991    +13.6991  |paral   |2020yCat.1350....0G
