C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:37:26

Vmag< 11&dec >=0&rah >=12.25&rah< 12.5
--------------------------------------

Number of objects : 2101

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 111162                                                                                                                                                                      |Star                              |12 28 28.0182957072 +88 40 32.350312668|123.0826246105940 +28.4458722810638|-18.959 -12.938   |9.36     |F              |    ~     ~    
2   |TYC 4645-50-2                                                                                                                                                                  |Star                              |12 28 14.5974902448 +88 40 39.169710156|123.0838665613322 +28.4438563999502|-20.585 -13.232   |10.74    |~              |    ~     ~    
3   |BD+89 26                                                                                                                                                                       |High Proper Motion Star           |12 22 37.7494500240 +89 08 40.341862284|123.0533630297107 +27.9769110252238| 47.437 -19.890   |10.51    |G8             |    ~     ~    
4   |BD+88 72                                                                                                                                                                       |Star                              |12 15 48.2379204504 +87 46 44.026493628|123.3263246410022 +29.3220096090992|  -36.363 5.047   |9.67     |F5             |    ~     ~    
5   |BD+88 73                                                                                                                                                                       |High Proper Motion Star           |12 19 49.9740599064 +87 51 37.326335652|123.2689494015628 +29.2471673631851|  32.508 35.979   |10.22    |F8             |    ~     ~    
6   |V* UY UMi                                                                                                                                                                      |gamma Dor Variable                |12 15 20.2712485488 +87 42 00.426459852|123.3459170054678 +29.3990516543699| -27.143 52.409   |6.259    |F1IV           |    ~     ~    
7   |BD+87 109                                                                                                                                                                      |Star                              |12 24 20.3794100856 +87 05 51.293577372|123.3271430513328 +30.0098500425571|   0.611 17.880   |10.15    |F0             |    ~     ~    
8   |BD+87 110                                                                                                                                                                      |Star                              |12 24 30.5812192920 +87 01 08.600831364|123.3356099668855 +30.0880634682383|-21.878 -10.997   |9.92     |G8             |    ~     ~    
9   |BD+87 108                                                                                                                                                                      |Star                              |12 18 27.0671934024 +86 32 42.010732068|123.5070146798279 +30.5463454743320|-30.136 -10.298   |9.65     |G0             |    ~     ~    
10  |BD+87 111                                                                                                                                                                      |Star                              |12 26 39.9183315744 +86 45 59.066515548|123.3359235288924 +30.3423920997955|  -4.526 -7.198   |10.72    |G0             |    ~     ~    
11  |HD 108149                                                                                                                                                                      |Star                              |12 22 45.3025938504 +85 18 24.878234484|123.6203317227927 +31.7829457725111|  -11.011 3.134   |8.89     |A0             |    ~     ~    
12  |BD+85 198                                                                                                                                                                      |High Proper Motion Star           |12 15 49.7117084736 +84 24 40.111065540|123.9575023705016 +32.6460334981141|-36.996 -51.530   |10.53    |G5             |    ~     ~    
13  |BD+85 200                                                                                                                                                                      |Star                              |12 21 43.1441294112 +84 57 26.723898720|123.7009066354521 +32.1263842821666|-38.931 -13.293   |10.66    |G5             |    ~     ~    
14  |BD+85 201                                                                                                                                                                      |Star                              |12 22 29.2136337720 +84 49 32.829240180|123.7017743177663 +32.2591244395024|  11.909 31.807   |10.24    |K0             |    ~     ~    
15  |TYC 4637-277-1                                                                                                                                                                 |Star                              |12 29 41.1663255456 +84 49 15.682561320|123.5116826699663 +32.2827224525846|  13.941 -6.895   |10.60    |~              |    ~     ~    
16  |BD+85 199                                                                                                                                                                      |Star                              |12 17 23.8529299704 +84 17 30.067675188|123.9349392115206 +32.7701296170989| -4.541 -11.330   |9.29     |K0             |    ~     ~    
17  |BD+84 277                                                                                                                                                                      |Star                              |12 23 35.5693218672 +84 02 03.773535972|123.7929690314081 +33.0472501784084|   3.543 11.545   |10.99    |G              |    ~     ~    
18  |BD+84 278                                                                                                                                                                      |Star                              |12 23 58.0819358088 +83 54 27.422639028|123.8006615527381 +33.1742331921418| -0.601 -29.366   |10.81    |G5             |    ~     ~    
19  |AG+84 265                                                                                                                                                                      |Long-Period Variable Candidate    |12 26 11.0582125296 +83 52 30.904025016|123.7354528537402 +33.2135538206184|  -5.310 -2.198   |9.42     |M2             |    ~     ~    
20  |BD+84 273                                                                                                                                                                      |Star                              |12 18 29.6817291336 +83 12 51.848566956|124.0995261861529 +33.8390088021131|  5.008 -13.556   |10.14    |F2             |    ~     ~    
21  |HD 107528                                                                                                                                                                      |Star                              |12 20 03.1990752528 +83 22 26.375374308|124.0166640009984 +33.6880323960007|    1.681 2.085   |7.84     |K0             |    ~     ~    
22  |HD 108004                                                                                                                                                                      |Star                              |12 22 40.6453467384 +83 39 10.626805944|123.8818293553208 +33.4221715873951|  -1.326 -6.978   |8.66     |K              |    ~     ~    
23  |HD 108199                                                                                                                                                                      |Spectroscopic Binary              |12 23 53.3937650472 +83 25 41.240676504|123.8765592229183 +33.6495292688746|  -3.610 -8.988   |8.17     |F8             |    ~     ~    
24  |BD+83 349                                                                                                                                                                      |Star                              |12 18 51.7191356712 +82 15 26.713268676|124.2634812284813 +34.7864319281123|  -27.618 0.253   |10.55    |G0             |    ~     ~    
25  |BD+83 350                                                                                                                                                                      |Star                              |12 19 36.438576 +82 58 34.97520        |124.103041622 +34.079348172        |     -13.9 -5.2   |9.419    |F8             |    ~     ~    
26  |BD+83 351                                                                                                                                                                      |High Proper Motion Star           |12 21 22.9625846736 +82 31 55.262536716|124.1139944692883 +34.5271304892554| -59.537 -2.233   |10.58    |F8             |    ~     ~    
27  |HD 107902                                                                                                                                                                      |Star                              |12 22 21.6321185208 +82 39 26.020935864|124.0550565241367 +34.4075091885769| -23.157 -2.819   |8.95     |G              |    ~     ~    
28  |BD+83 353                                                                                                                                                                      |Star                              |12 24 01.9396318824 +82 49 10.902603000|123.9655857547853 +34.2534732839397|    9.920 1.110   |10.00    |G5             |    ~     ~    
29  |HD 108260                                                                                                                                                                      |Star                              |12 24 30.8211127896 +82 39 55.278272916|123.9711456381259 +34.4084922100954|    0.481 0.246   |9.30     |A5             |    ~     ~    
30  |BD+83 355                                                                                                                                                                      |Star                              |12 26 15.4806196200 +82 12 51.887830140|123.9691803997132 +34.8630630953896|  -10.953 0.383   |10.11    |G5             |    ~     ~    
31  |BD+83 356                                                                                                                                                                      |Star                              |12 27 21.6156819120 +82 43 03.464495616|123.8546481660332 +34.3674367008813| -11.472 -7.576   |10.73    |G0             |    ~     ~    
32  |BD+82 362                                                                                                                                                                      |Star                              |12 24 44.6515384776 +81 46 03.852140664|124.1001707104391 +35.2998785502302|  20.115 -3.101   |10.70    |F8             |    ~     ~    
33  |HD 108832                                                                                                                                                                      |High Proper Motion Star           |12 28 22.4018395200 +81 59 47.776154604|123.9114446840814 +35.0877350258356| -68.950 21.161   |8.09     |F3IV           |    ~     ~    
34  |BD+82 364                                                                                                                                                                      |High Proper Motion Star           |12 28 20.4322511280 +81 41 10.079240280|123.9545103507291 +35.3962098439933|-78.245 -39.071   |9.92     |G0             |    ~     ~    
35  |TYC 4556-1332-1                                                                                                                                                                |Star                              |12 20 22.0120589208 +81 38 50.384110776|124.3120896631425 +35.3974964175444|   -0.236 4.041   |10.80    |~              |    ~     ~    
36  |TYC 4633-156-1                                                                                                                                                                 |Star                              |12 26 46.6100486496 +83 55 54.354827064|123.7089758348852 +33.1592367634996|-33.237 -15.435   |10.87    |~              |    ~     ~    
37  |TYC 4633-1365-1                                                                                                                                                                |Spectroscopic Binary              |12 26 44.5641129936 +83 15 13.868796312|123.8033499732578 +33.8325665260781|  20.624 -5.659   |10.78    |~              |    ~     ~    
38  |BD+82 360                                                                                                                                                                      |Star                              |12 15 22.8890474712 +81 19 59.930720508|124.5974209836342 +35.6780281687340|   3.614 -5.487   |10.02    |K0             |    ~     ~    
39  |V* MW Cam                                                                                                                                                                      |delta Sct Variable                |12 26 43.7354131512 +81 28 26.254343064|124.0561654758529 +35.6002889466539|  12.912 -5.517   |9.17     |F0             |    ~     ~    
40  |BD+82 366                                                                                                                                                                      |Star                              |12 28 42.0898579152 +81 21 45.416815740|123.9816881703879 +35.7192446056838|   0.152 -4.993   |10.80    |F8             |    ~     ~    
41  |BD+82 361                                                                                                                                                                      |Star                              |12 21 13.8005234592 +81 12 56.097950904|124.3504587062646 +35.8293120801709| 31.538 -13.784   |9.43     |G0             |    ~     ~    
42  |BD+81 395                                                                                                                                                                      |Star                              |12 17 38.7301359408 +80 46 37.868737584|124.6048849003852 +36.2410373599474|  -17.073 4.544   |10.51    |A5             |    ~     ~    
43  |BD+81 396                                                                                                                                                                      |Star                              |12 20 31.0846407744 +80 13 09.516044640|124.5673346188207 +36.8105605466555| -42.465 -2.210   |9.12     |G5             |    ~     ~    
44  |BD+81 397                                                                                                                                                                      |Pulsating Variable                |12 24 09.5035735224 +80 49 36.099227028|124.2767088034176 +36.2302183306458|    3.042 9.850   |9.07     |F0             |    ~     ~    
45  |BD+81 398                                                                                                                                                                      |Spectroscopic Binary              |12 29 43.9198552440 +80 26 51.280565784|124.0525099679415 +36.6334002196636|  1.677 -14.836   |10.56    |G5             |    ~     ~    
46  |HD 106798                                                                                                                                                                      |Star                              |12 16 08.2311340320 +80 07 18.955236432|124.8174321958404 +36.8767416791067|  20.279 -6.413   |7.73     |F0             |    ~     ~    
47  |HD 106799                                                                                                                                                                      |Star                              |12 16 11.7285462528 +80 07 30.300363120|124.8136814127911 +36.8740627260345|  20.885 -5.746   |7.20     |F0             |    ~     ~    
48  |HD 107529                                                                                                                                                                      |Star                              |12 20 33.2139646200 +80 00 57.036713652|124.6035281518585 +37.0119642597901|   -2.022 5.968   |8.40     |K2             |    ~     ~    
