C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:25

dec >=0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4907

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 7638                                                                                                                                     |Star                                  |01 17 03.1415182296 +46 02 44.780896104|127.5651517564667 -16.5954168322893|   8.394 -3.703   |9.16     |A0                  |    ~     ~    |    1|  605.107   pc  |  -7.7991     +7.7991  |paral   |2020yCat.1350....0G
2   |HD 7697                                                                                                                                     |Star                                  |01 17 32.6647159992 +45 54 19.559010924|127.6692214889346 -16.7260438332844|    1.570 2.284   |10.03    |F5                  |    ~     ~    |    1|  244.750   pc  |  -0.8686     +0.8686  |paral   |2020yCat.1350....0G
3   |HD 7942                                                                                                                                     |Star                                  |01 19 44.4524778696 +46 01 03.022407948|128.0523510344501 -16.5726604637823|  -0.105 -2.169   |10.37    |A0                  |    ~     ~    |    1|  802.697   pc  | -14.4328    +14.4328  |paral   |2020yCat.1350....0G
4   |HD 8056                                                                                                                                     |Star                                  |01 20 48.0286728840 +45 22 55.127156268|128.3218748332017 -17.1822524918802|   3.285 12.214   |10.03    |G5                  |    ~     ~    |    1|  695.652   pc  |  -7.9365     +7.9365  |paral   |2020yCat.1350....0G
5   |HD 8055                                                                                                                                     |Star                                  |01 20 49.5809889504 +45 55 31.609169472|128.2590244754415 -16.6421032357334|  11.544 -1.192   |10.31    |A5                  |    ~     ~    |    1|  387.312   pc  |  -3.4652     +3.4652  |paral   |2020yCat.1350....0G
6   |HD 8329                                                                                                                                     |Star                                  |01 23 28.2604036872 +45 45 54.928683288|128.7568924974755 -16.7438794722319| -14.121 -7.822   |8.96     |A2                  |    ~     ~    |    1|  170.303   pc  |  -0.4756     +0.4756  |paral   |2020yCat.1350....0G
7   |HD 7459                                                                                                                                     |High Proper Motion Star               |01 15 24.0445822968 +45 40 20.638748244|127.3054365189083 -16.9957605590215|  61.725 -5.380   |9.84     |F5                  |    ~     ~    |    1|  252.921   pc  |  -2.9938     +2.9938  |paral   |2020yCat.1350....0G
8   |HD 7474                                                                                                                                     |Star                                  |01 15 32.8373987760 +45 25 12.014378976|127.3579027489474 -17.2444526080772|  28.595 -3.867   |9.45     |K0                  |    ~     ~    |    1|  567.215   pc  |  -4.8260     +4.8260  |paral   |2020yCat.1350....0G
9   |HD 7589                                                                                                                                     |Star                                  |01 16 37.9453440504 +44 59 34.472966136|127.6020860386673 -17.6502559732653|-22.716 -18.094   |10.05    |G                   |    ~     ~    |    1|  134.452   pc  |  -0.9491     +0.9491  |paral   |2020yCat.1350....0G
10  |HD 7647                                                                                                                                     |Star                                  |01 17 05.0645837232 +44 54 07.171409160|127.6954478901510 -17.7324160710159| 12.709 -40.109   |6.110    |K5                  |    ~     ~    |    1|  247.623   pc  |  -2.5508     +2.5508  |paral   |2020yCat.1350....0G
11  |HD 7657                                                                                                                                     |Star                                  |01 17 15.4573758432 +45 35 46.769041716|127.6511919552390 -17.0386988676366| -3.341 -13.978   |8.52     |K0                  |    ~     ~    |    1|  543.803   pc  |  -8.6647     +8.6647  |paral   |2020yCat.1350....0G
