C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:06:06

dec >=0&rah >=12.5&rah< 12.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 112428                                                                                                                                                                                                                                                                               |Star                                |12 38 27.9046426896 +88 21 19.294112952|123.0380585751210 +28.7702188280977|  -8.578 -2.450   |8.59     |K0             |    ~     ~    |    1|  625.391   pc  |  -7.1965     +7.1965  |paral   |2020yCat.1350....0G
2   |BD+89 23                                                                                                                                                                                                                                                                                |Star                                |12 35 40.7417206752 +88 45 26.127134640|123.0289556169540 +28.3680247052930|  -0.157 -5.018   |10.41    |G5             |    ~     ~    |    1|  534.902   pc  |  -3.1187     +3.1187  |paral   |2020yCat.1350....0G
3   |BD+89 37                                                                                                                                                                                                                                                                                |Star                                |12 36 55.9013286912 +89 21 51.266352888|122.9773695288035 +27.7627313411723|   -9.817 0.728   |9.98     |G5             |    ~     ~    |    1|  615.650   pc  |  -5.2305     +5.2305  |paral   |2020yCat.1350....0G
4   |BD+88 75                                                                                                                                                                                                                                                                                |High Proper Motion Star             |12 37 42.3671374464 +87 58 22.830961980|123.0708776053873 +29.1515378433155| -56.249 17.242   |9.05     |F8             |    ~     ~    |    1|  116.198   pc  |  -0.1904     +0.1904  |paral   |2020yCat.1350....0G
5   |BD+88 74                                                                                                                                                                                                                                                                                |Star                                |12 34 46.8209039688 +87 18 09.857073420|123.1576020758930 +29.8182117651079|  -13.478 4.378   |9.64     |K0             |    ~     ~    |    1|  499.900   pc  |  -3.1238     +3.1238  |paral   |2020yCat.1350....0G
6   |TYC 4641-636-1                                                                                                                                                                                                                                                                          |Star                                |12 34 39.5783161896 +87 28 54.215447124|123.1437830076874 +29.6396207839941|   -8.437 6.661   |10.38    |~              |    ~     ~    |    1|  945.001   pc  | -10.2698    +10.2698  |paral   |2020yCat.1350....0G
7   |BD+87 112                                                                                                                                                                                                                                                                               |Star                                |12 37 53.0419558512 +86 57 17.634950460|123.1400063173796 +30.1678760270526| -19.349 -0.891   |9.60     |F2             |    ~     ~    |    1|  363.359   pc  |  -1.5580     +1.5580  |paral   |2020yCat.1350....0G
8   |BD+87 113                                                                                                                                                                                                                                                                               |Star                                |12 40 12.5137015152 +86 29 07.974331260|123.1318577059051 +30.6383438012956|   -5.692 1.434   |9.44     |F8             |    ~     ~    |    1|  291.579   pc  |  -5.8153     +5.8153  |paral   |2020yCat.1350....0G
9   |HD 110093                                                                                                                                                                                                                                                                               |Star                                |12 34 51.3505329000 +85 43 55.898911308|123.2929870792084 +31.3844275853397| -32.916 13.728   |7.21     |F0             |    ~     ~    |    1|   79.430   pc  |  -0.1117     +0.1117  |paral   |2020yCat.1350....0G
10  |BD+86 183                                                                                                                                                                                                                                                                               |Star                                |12 38 59.3457481656 +85 23 02.345384040|123.2262806176727 +31.7371506491777|  -8.161 -6.072   |10.22    |G2             |    ~     ~    |    1|  347.572   pc  |  -4.5544     +4.5544  |paral   |2020yCat.1350....0G
11  |BD+86 184                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 44 01.9876873536 +85 26 56.595623388|123.1044922070887 +31.6767167456297|-129.096 41.476   |8.84     |G5             |    ~     ~    |    1|   58.206   pc  |  -0.0478     +0.0478  |paral   |2020yCat.1350....0G
12  |BD+85 202                                                                                                                                                                                                                                                                               |High Proper Motion Star             |12 33 26.5174689000 +84 40 44.925385044|123.4257243385181 +32.4318418898384|-124.688 -43.904  |9.36     |G5             |    ~     ~    |    1|  129.299   pc  |  -0.1755     +0.1755  |paral   |2020yCat.1350....0G
13  |BD+85 203                                                                                                                                                                                                                                                                               |Star                                |12 36 03.7169520288 +84 44 06.402782400|123.3492858039548 +32.3806748983039| -5.362 -15.231   |9.54     |K5             |    ~     ~    |    1|  568.990   pc  |  -3.4965     +3.4965  |paral   |2020yCat.1350....0G
14  |BD+85 205                                                                                                                                                                                                                                                                               |Star                                |12 37 40.7817007512 +84 41 30.983295372|123.3086735916248 +32.4262447637677|    7.383 1.518   |9.83     |K3             |    ~     ~    |    1|  588.616   pc  |  -3.5340     +3.5340  |paral   |2020yCat.1350....0G
