C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:50

dec >=0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2206

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 114282                                                                                                                                                                      |Star                                |12 53 56.0851104792 +87 38 53.942213292|122.9025032044509 +29.4797924942321|  -9.812 11.248   |7.470    |K2               |    ~     ~    |    1|  368.677   pc  |  -2.0524     +2.0524  |paral   |2020yCat.1350....0G
2   |HD 113364                                                                                                                                                                      |High Proper Motion Star             |12 53 07.7743331112 +86 39 42.010680384|122.9033532749624 +30.4664889332798| -58.140 57.692   |8.61     |F8               |    ~     ~    |    1|  128.248   pc  |  -0.2418     +0.2418  |paral   |2020yCat.1350....0G
3   |BD+86 186                                                                                                                                                                      |Star                                |12 50 16.8035948088 +86 01 19.511434812|122.9553779934713 +31.1061131802442|  27.228 15.671   |10.69    |G2               |    ~     ~    |    1|  139.927   pc  |  -0.6990     +0.6990  |paral   |2020yCat.1350....0G
4   |HD 113591                                                                                                                                                                      |Star                                |12 56 31.2129057120 +85 53 04.310524392|122.8252819923368 +31.2426693025694|    1.603 2.538   |7.80     |F8               |    ~     ~    |    1|  105.773   pc  |  -1.4914     +1.4914  |paral   |2020yCat.1350....0G
5   |BD+85 208                                                                                                                                                                      |Star                                |12 46 32.5701244752 +84 16 03.832148280|123.0774253118311 +32.8591382902064|   1.200 -0.679   |9.72     |K5               |    ~     ~    |    1| 1370.614   pc  | -29.6816    +29.6816  |paral   |2020yCat.1350....0G
6   |BD+85 209                                                                                                                                                                      |Spectroscopic Binary                |12 52 21.8934498384 +84 41 57.330294036|122.9065604624745 +32.4289483467574|-44.505 -11.427   |9.09     |G2               |    ~     ~    |    1|  148.441   pc  |  -6.6523     +6.6523  |paral   |2020yCat.1350....0G
7   |BD+85 210                                                                                                                                                                      |High Proper Motion Star             |12 52 56.8349776320 +84 28 41.862758988|122.8888033507366 +32.6498308303498| -58.744 10.689   |9.93     |G0               |    ~     ~    |    1|  132.134   pc  |  -0.4539     +0.4539  |paral   |2020yCat.1350....0G
8   |BD+85 211                                                                                                                                                                      |Star                                |12 53 34.9224659832 +85 07 46.100620380|122.8782606874389 +31.9985566048819|   16.973 5.293   |9.57     |G0               |    ~     ~    |    1|  114.183   pc  |  -0.1460     +0.1460  |paral   |2020yCat.1350....0G
9   |BD+85 212                                                                                                                                                                      |Spectroscopic Binary                |12 53 54.9390302952 +85 04 11.968975992|122.8691150033003 +32.0579588552301| -23.526 18.405   |10.83    |G2               |    ~     ~    |    1|  130.393   pc  |  -1.0763     +1.0763  |paral   |2020yCat.1350....0G
10  |BD+85 213                                                                                                                                                                      |High Proper Motion Star             |12 59 07.6865724576 +84 35 07.123849548|122.7167640391616 +32.5397271619119| -50.623 12.484   |9.42     |F5               |    ~     ~    |    1|  150.830   pc  |  -0.2980     +0.2980  |paral   |2020yCat.1350....0G
11  |TYC 4633-802-1                                                                                                                                                                 |Star                                |12 51 18.2223152976 +84 17 24.872676000|122.9358981095803 +32.8380089699613|  10.681 -2.249   |10.68    |~                |    ~     ~    |    1|  345.387   pc  |  -1.2526     +1.2526  |paral   |2020yCat.1350....0G
12  |BD+84 292                                                                                                                                                                      |Spectroscopic Binary                |12 53 36.1772970576 +83 46 04.751416704|122.8615788226196 +33.3599701882562| -16.488 -2.483   |10.57    |A2               |    ~     ~    |    1|  424.791   pc  |  -3.0496     +3.0496  |paral   |2020yCat.1350....0G
13  |BD+84 294                                                                                                                                                                      |Star                                |12 59 40.6700988120 +83 46 14.632291920|122.6643851621801 +33.3532402794669|  -6.879 -3.574   |10.69    |K2               |    ~     ~    |    1|  909.835   pc  |  -8.6919     +8.6919  |paral   |2020yCat.1350....0G
14  |BD+84 288                                                                                                                                                                      |Star                                |12 45 24.8124809232 +83 27 08.677151892|123.1382646275674 +33.6734283274565|   -6.567 6.885   |10.51    |G0               |    ~     ~    |    1|  331.027   pc  |  -4.9530     +4.9530  |paral   |2020yCat.1350....0G
15  |HD 112014                                                                                                                                                                      |Spectroscopic Binary                |12 49 06.6700877376 +83 25 04.221296940|123.0120788117125 +33.7100510503572| -24.013 18.235   |5.850    |A0V+A2V          |    ~     ~    |    1|  124.594   pc  |  -0.6225     +0.6225  |paral   |2020yCat.1350....0G
