C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
1   |BD+89 35                                                                                                 |Star                           |13 07 54.8811514392 +89 17 52.733035932|122.8749049731401 +27.8284460123618|   -8.560 3.919  |9.79     |G8                |    ~     ~    
2   |BD+88 78                                                                                                 |Star                           |13 06 58.1504492304 +88 05 27.322608084|122.7840981105861 +29.0328697477465|    1.129 8.024  |9.70     |G8                |    ~     ~    
3   |BD+88 79                                                                                                 |Star                           |13 07 52.2452619312 +88 03 27.538353612|122.7727559738489 +29.0655219826190|   6.607 -3.592  |10.68    |K0                |    ~     ~    
4   |HD 117672                                                                                                |Spectroscopic Binary           |13 12 08.3742925968 +87 32 21.284169360|122.6767671049302 +29.5787431526082|  -7.554 15.544  |8.58     |F2                |    ~     ~    
5   |BD+87 117                                                                                                |High Proper Motion Star        |13 00 51.9278244432 +86 14 18.332161188|122.7518015196449 +30.8865291276627| -62.130 14.820  |9.46     |F5                |    ~     ~    
6   |BD+87 120                                                                                                |Star                           |13 10 41.9167113624 +86 24 59.709532032|122.5823309039127 +30.6985839411070|  -0.962 -0.733  |10.71    |G5                |    ~     ~    
7   |HD 116693                                                                                                |Star                           |13 13 05.2813462776 +86 18 58.574622708|122.5276958998441 +30.7949750868214| -24.559 -2.859  |8.70     |G5                |    ~     ~    
8   |BD+86 188                                                                                                |Star                           |13 05 33.9871195296 +85 42 53.201825928|122.6228930574694 +31.4049935086575|   -3.675 9.313  |10.11    |A5                |    ~     ~    
9   |BD+86 190                                                                                                |Star                           |13 14 01.4312767896 +85 24 23.698183608|122.4012993767830 +31.6983780449068|  -7.640 15.236  |10.46    |F0                |    ~     ~    
10  |HD 113826                                                                                                |Spectroscopic Binary           |13 00 18.8872742976 +84 15 06.942755880|122.6673539077025 +32.8717630987721| 8.736 -143.911  |9.21     |G5                |    ~     ~    
11  |BD+85 215                                                                                                |Pulsating Variable             |13 00 54.3498551952 +84 29 51.320726880|122.6625147313265 +32.6257098165013|  -6.417 -8.697  |10.63    |B8                |    ~     ~    
12  |BD+85 216                                                                                                |Star                           |13 03 00.3390361464 +84 15 23.776342020|122.5875232585538 +32.8639104899452|   3.589 -5.147  |10.76    |G5                |    ~     ~    
13  |BD+85 217                                                                                                |Spectroscopic Binary           |13 09 08.5931922144 +85 10 46.745700168|122.4940764745378 +31.9335400808402| -0.604 -21.065  |9.80     |G2                |    ~     ~    
14  |BD+85 219                                                                                                |Star                           |13 13 16.5000291240 +84 20 10.263512148|122.2921580201442 +32.7649178292174|  -48.314 4.870  |10.15    |F8                |    ~     ~    
15  |BD+85 220                                                                                                |Star                           |13 13 59.9112423984 +85 04 46.475863104|122.3622412122404 +32.0236976858552|    1.205 3.857  |10.10    |F5                |    ~     ~    
16  |HD 115318                                                                                                |Star                           |13 09 35.2288967616 +84 10 40.629386100|122.3841205516607 +32.9309835257143|    5.541 3.420  |9.43     |A                 |    ~     ~    
17  |BD+84 298                                                                                                |Star                           |13 04 19.9377235176 +83 59 56.573377296|122.5297507117908 +33.1191320938858|  -2.312 -0.063  |10.35    |F5                |    ~     ~    
18  |BD+84 297                                                                                                |Star                           |13 03 52.0701784392 +83 44 12.274930176|122.5261245450962 +33.3817126707151|   9.190 26.410  |10.45    |G5                |    ~     ~    
