C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:43:54

Vmag< 11&dec >=0&rah >=13.25&rah< 13.5
--------------------------------------

Number of objects : 2069

 #  |                                                                                                                     identifier                                                                                                                      |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
1   |TYC 4645-89-1                                                                                                                                                                                                                                        |Star                            |13 17 09.7290237696 +89 05 03.294050640|122.8157198686909 +28.0381936403993| -39.004 20.314    |10.82    |~                |    ~     ~    
2   |BD+89 29                                                                                                                                                                                                                                             |Star                            |13 18 31.2325756416 +89 09 42.598943784|122.8200540156024 +27.9605296065428|   -7.289 7.388    |10.24    |A5               |    ~     ~    
3   |TYC 4641-313-1                                                                                                                                                                                                                                       |Star                            |13 29 46.3555398480 +87 45 05.584369464|122.5025895783083 +29.3446651608788|   1.605 -0.377    |10.92    |~                |    ~     ~    
4   |TYC 4645-20-1                                                                                                                                                                                                                                        |Star                            |13 25 42.8903492136 +89 30 07.866894744|122.8482091291675 +27.6204849833336|   -2.328 6.834    |10.70    |~                |    ~     ~    
5   |HD 117416                                                                                                                                                                                                                                            |Star                            |13 16 23.6459173176 +86 33 31.799833668|122.4979334706419 +30.5483666275745| -6.377 -10.088    |8.49     |F2               |    ~     ~    
6   |BD+87 124                                                                                                                                                                                                                                            |Star                            |13 24 50.0682240480 +86 30 20.075438556|122.3428754286090 +30.5844046337854|  -16.365 4.422    |9.51     |A5               |    ~     ~    
7   |BD+86 191                                                                                                                                                                                                                                            |Star                            |13 19 57.6154477944 +85 46 19.342038720|122.3181108824787 +31.3221701697763|  -16.633 0.748    |9.28     |F2               |    ~     ~    
8   |BD+86 192                                                                                                                                                                                                                                            |High Proper Motion Star         |13 24 23.9535744504 +85 18 54.941259960|122.1430685997416 +31.7624051415290| 52.006 -56.979    |10.07    |G2               |    ~     ~    
9   |HD 118523                                                                                                                                                                                                                                            |Star                            |13 26 38.3537557752 +85 16 14.405217780|122.0815265800828 +31.7993298535479| -40.258 16.883    |7.93     |F2               |    ~     ~    
10  |BD+85 221                                                                                                                                                                                                                                            |Star                            |13 15 37.3827002496 +84 26 49.498740240|122.2383374104249 +32.6485637402832|  2.921 -21.280    |10.38    |G2               |    ~     ~    
11  |HD 116459                                                                                                                                                                                                                                            |High Proper Motion Star         |13 15 11.4812271312 +84 45 07.720299756|122.2901524385411 +32.3464779653452|-130.725 17.304    |7.260    |G0               |    ~     ~    
12  |BD+85 224                                                                                                                                                                                                                                            |Star                            |13 17 37.1971575624 +84 57 57.367010124|122.2551687111136 +32.1278700765937| 20.401 -10.380    |9.11     |G8               |    ~     ~    
13  |BD+85 225                                                                                                                                                                                                                                            |Star                            |13 18 54.1764762024 +85 02 14.655911820|122.2327803427839 +32.0535129318817| -32.006 15.125    |9.25     |K2               |    ~     ~    
14  |BD+85 227                                                                                                                                                                                                                                            |Star                            |13 28 43.3848762600 +84 48 48.916703772|121.9400299141397 +32.2426725715210|   6.880 -2.704    |10.53    |F8               |    ~     ~    
15  |BD+85 228                                                                                                                                                                                                                                            |Star                            |13 29 48.3572779488 +84 37 08.416429896|121.8711129287543 +32.4300046633073|    0.435 1.873    |10.39    |A5               |    ~     ~    
