C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:13:43

dec >=0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3219

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+88 82                                                                                                 |Star                                |13 34 05.078616 +87 53 48.81516        |122.486307309 +29.194346703        |       -8.2 5.2   |10.431   |G2              |    ~     ~    |    0|                |                       |        |                   
2   |BD+88 83                                                                                                 |Star                                |13 40 40.2919934208 +87 45 09.617354172|122.3825845576618 +29.3228512061492|  -17.844 6.263   |10.33    |G0              |    ~     ~    |    1|  261.760   pc  |  -0.6920     +0.6920  |paral   |2020yCat.1350....0G
3   |BD+88 84                                                                                                 |Star                                |13 41 06.5974697112 +87 54 45.710937468|122.4180013614095 +29.1657827517434|   -6.331 0.104   |10.54    |G0              |    ~     ~    |    1|  176.342   pc  |  -1.1164     +1.1164  |paral   |2020yCat.1350....0G
4   |BD+88 85                                                                                                 |Star                                |13 43 05.4634373568 +87 51 06.019815168|122.3819402021989 +29.2211720579856| 35.424 -15.600   |9.41     |K0              |    ~     ~    |    1|  272.094   pc  |  -1.6880     +1.6880  |paral   |2020yCat.1350....0G
5   |HD 121952                                                                                                |Star                                |13 35 49.1467552056 +87 17 36.292315416|122.3320091107502 +29.7829667225857|   -7.172 5.501   |9.08     |A0              |    ~     ~    |    1|  219.491   pc  |  -0.6648     +0.6648  |paral   |2020yCat.1350....0G
6   |BD+87 127                                                                                                |Star                                |13 31 19.9515173040 +87 09 26.869766076|122.3640930005020 +29.9266830005616| -24.917 15.796   |9.99     |A2              |    ~     ~    |    1|  477.852   pc  |  -4.8409     +4.8409  |paral   |2020yCat.1350....0G
7   |BD+87 131                                                                                                |Star                                |13 38 53.1559 +86 59 10.467            |122.2163590 +30.0758313            |   3.297 -2.397   |9.81     |G5              |    ~     ~    |    0|                |                       |        |                   
8   |BD+88 81                                                                                                 |Star                                |13 36 52.3362746880 +87 40 07.581643248|122.4049935484537 +29.4128321117206|    4.430 6.086   |10.82    |F8              |    ~     ~    |    1|  261.876   pc  |  -1.6253     +1.6253  |paral   |2020yCat.1350....0G
9   |BD+87 130                                                                                                |Star                                |13 41 33.3360824640 +86 35 55.191124068|122.0764829991071 +30.4459780345154| -2.425 -18.581   |9.14     |G8              |    ~     ~    |    1|  416.164   pc  |  -7.1875     +7.1875  |paral   |2020yCat.1350....0G
10  |BD+87 132                                                                                                |Star                                |13 44 09.1376637360 +86 50 13.633994940|122.0979377668836 +30.2053580030580|   5.050 -3.990   |10.29    |K2              |    ~     ~    |    1| 2263.980   pc  | -73.8087    +73.8087  |paral   |2020yCat.1350....0G
11  |BD+87 125                                                                                                |Star                                |13 30 00.4881519672 +86 19 31.475921016|122.2162148932943 +30.7491024290389|  16.142 36.396   |9.61     |G5              |    ~     ~    |    1|   95.807   pc  |  -0.1083     +0.1083  |paral   |2020yCat.1350....0G
12  |BD+87 126                                                                                                |Star                                |13 32 44.7104393736 +86 20 52.083450492|122.1708534019777 +30.7192267422416| -10.415 11.055   |10.61    |G2              |    ~     ~    |    1|  151.920   pc  |  -0.2770     +0.2770  |paral   |2020yCat.1350....0G
13  |BD+87 128                                                                                                |Star                                |13 40 14.5120329000 +86 17 03.188659704|122.0186899008820 +30.7571307708542| -17.669 -0.166   |10.33    |G0              |    ~     ~    |    1|  451.080   pc  |  -2.1365     +2.1365  |paral   |2020yCat.1350....0G
14  |BD+87 129                                                                                                |Star                                |13 39 04.8782959968 +86 29 26.656210572|122.0913189209572 +30.5594427809920| 15.538 -12.530   |8.77     |K0              |    ~     ~    |    1|  494.805   pc  |  -3.5256     +3.5256  |paral   |2020yCat.1350....0G
