C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:47:02

Vmag< 11&dec >=0&rah >=13.75&rah< 14.0
--------------------------------------

Number of objects : 2104

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
1   |BD+89 31                                                                                                 |Star                           |13 51 40.6359257208 +89 15 24.105844764|122.7135081771119 +27.8458583462962|    5.937 0.478    |10.44    |G8               |    ~     ~    
2   |BD+88 87                                                                                                 |Double or Multiple Star        |13 48 12.395736 +87 55 34.89132        |122.349980182 +29.137399644        |     -12.5 -1.0    |10.888   |A5               |    ~     ~    
3   |BD+88 88                                                                                                 |High Proper Motion Star        |13 49 50.4293752704 +88 07 39.787471632|122.3927078042823 +28.9390373416896| -68.613 -8.158    |10.70    |G0               |    ~     ~    
4   |BD+87 134                                                                                                |Star                           |13 51 26.9881 +87 14 28.553            |122.1093152 +29.7905406            | -27.198 -8.943    |10.53    |G0               |    ~     ~    
5   |BD+87 135                                                                                                |Star                           |13 57 03.0275655216 +86 52 22.990690596|121.9114613340240 +30.1242202826239|   -0.325 3.985    |10.23    |K0               |    ~     ~    
6   |BD+87 137                                                                                                |Star                           |13 58 18.9407094360 +87 04 24.713211504|121.9608631716970 +29.9276476414250|   3.444 -8.205    |9.80     |G8               |    ~     ~    
7   |TYC 4641-496-1                                                                                           |Star                           |13 53 40.6843759200 +87 42 17.947061064|122.2258922700422 +29.3373815608348| -17.234 -5.461    |10.99    |~                |    ~     ~    
8   |TYC 4645-139-1                                                                                           |Star                           |13 50 22.9639693488 +88 59 34.447438608|122.6415281277138 +28.1019247912403| -7.471 -24.940    |10.71    |~                |    ~     ~    
9   |TYC 4633-293-1                                                                                           |Star                           |13 51 48.3670225128 +83 45 09.212486112|120.9926060995218 +33.1467988182512|  -10.337 4.706    |10.70    |~                |    ~     ~    
10  |BD+87 133                                                                                                |Star                           |13 52 51.1910244960 +86 29 25.129872312|121.8539136217166 +30.5085353466743|  -8.815 -0.154    |9.28     |G8               |    ~     ~    
11  |BD+86 202                                                                                                |Star                           |13 50 04.3559552184 +85 54 54.850887972|121.7259711473605 +31.0748762244368|  -0.930 19.863    |10.79    |F5               |    ~     ~    
12  |HD 122103                                                                                                |Star                           |13 45 48.4865023392 +85 31 23.887063920|121.6995004417557 +31.4741506966792| -21.301 17.995    |9.23     |F5               |    ~     ~    
13  |HD 122882                                                                                                |Star                           |13 49 15.5505828744 +85 44 52.073498976|121.6914981742783 +31.2403564215740| -42.498 22.178    |7.29     |F0               |    ~     ~    
14  |BD+86 203                                                                                                |Star                           |13 54 14.1496096416 +85 24 59.867050644|121.4782386848456 +31.5331029465153|   -3.170 0.453    |10.27    |K3               |    ~     ~    
15  |BD+86 204                                                                                                |Star                           |13 55 19.0098121200 +85 44 14.494858368|121.5616878292849 +31.2196934135819|   3.932 -1.845    |10.42    |G5               |    ~     ~    
16  |HD 121623                                                                                                |Spectroscopic Binary           |13 45 31.3566452256 +84 30 47.891150928|121.4138156586740 +32.4546589368574|  -4.527 -8.616    |7.740    |K0               |    ~     ~    
17  |HD 122362                                                                                                |Spectroscopic Binary           |13 48 18.7485641544 +85 11 55.888194192|121.5462296312074 +31.7754678524592|    0.663 4.727    |8.41     |K                |    ~     ~    
18  |BD+84 317                                                                                                |Star                           |13 47 18.8336968032 +84 06 56.233580580|121.2442137714127 +32.8284520927715|    5.846 7.045    |9.41     |F0               |    ~     ~    
19  |BD+84 318                                                                                                |Star                           |13 49 17.9192278056 +83 58 56.729080956|121.1437796072359 +32.9436649718199| 30.433 -13.900    |10.39    |G5               |    ~     ~    
20  |BD+84 320                                                                                                |Star                           |13 51 29.9581333992 +84 04 17.688508752|121.1067591854771 +32.8423747939780|  -14.571 8.154    |10.71    |G0               |    ~     ~    
21  |TYC 4637-631-1                                                                                           |Star                           |13 53 32.2778005992 +86 08 09.304189008|121.7280903466460 +30.8461846850323| -36.473 23.469    |10.97    |~                |    ~     ~    
22  |TYC 4637-870-1                                                                                           |Star                           |13 50 47.357808 +85 07 35.51304        |121.464591016 +31.831535758        |    -25.6 -11.1    |10.944   |~                |    ~     ~    
23  |TYC 4641-735-1                                                                                           |Star                           |13 59 58.0613931840 +86 43 30.235275012|121.8156194076734 +30.2534286664520|  -8.482 -1.703    |10.86    |~                |    ~     ~    
24  |BD+83 398                                                                                                |Star                           |13 46 26.8310850840 +82 31 46.690152816|120.7860330919655 +34.3680450469530|  -4.389 25.953    |10.55    |G5               |    ~     ~    
25  |BD+83 399                                                                                                |Star                           |13 50 01.6757064840 +82 18 47.059324524|120.5784183014283 +34.5456123289528| -28.884 10.326    |10.16    |K0               |    ~     ~    
26  |BD+83 400                                                                                                |Star                           |13 50 22.6772927448 +82 52 42.453604020|120.7521651104408 +33.9986433413394|  -0.682 -5.322    |10.56    |~                |    ~     ~    
27  |BD+83 401                                                                                                |Star                           |13 50 21.8473396224 +82 54 46.590943104|120.7640122722084 +33.9655869503105|   3.281 -0.018    |10.41    |~                |    ~     ~    
28  |BD+83 402                                                                                                |High Proper Motion Star        |13 52 29.1905807472 +82 57 01.821530664|120.7009755495113 +33.9113755799362| -26.343 42.847    |9.68     |F8               |    ~     ~    
29  |BD+83 405                                                                                                |Star                           |13 59 08.2894187112 +82 22 01.666225488|120.2456784869045 +34.4047936736514| -10.562 -4.233    |10.17    |K0               |    ~     ~    
30  |BD+82 405                                                                                                |Star                           |13 54 09.5468122704 +81 49 54.889807404|120.2461918983686 +34.9666610381030|-29.035 -17.907    |9.17     |G5               |    ~     ~    
31  |BD+82 406                                                                                                |Star                           |13 53 53.4309860256 +82 01 59.431621080|120.3289466701741 +34.7769630139533|   -7.644 2.126    |10.12    |A5               |    ~     ~    
32  |TYC 4564-225-1                                                                                           |Star                           |13 55 14.9609741784 +82 04 31.855375056|120.2895127500615 +34.7226675594368|  -20.492 7.527    |10.72    |K2               |    ~     ~    
33  |HD 122832                                                                                                |Double or Multiple Star        |13 56 34.8040768056 +81 36 50.815157364|120.0649790372463 +35.1483825062733|   2.442 -5.683    |8.59     |A0               |0.0017  0.0    
34  |BD+82 409                                                                                                |Spectroscopic Binary Candidate |13 57 11.8328493528 +81 40 10.618739724|120.0596789577245 +35.0886787752916| -49.643 30.476    |10.35    |F8               |    ~     ~    
35  |BD+81 449                                                                                                |Star                           |13 47 04.4093987856 +81 16 24.294235152|120.3619551602885 +35.5754501543404| 15.281 -13.180    |9.39     |K0               |    ~     ~    
36  |BD+81 451                                                                                                |Star                           |13 49 55.4427467808 +80 55 14.140178328|120.1137248361386 +35.8853476887922|  -7.128 -2.883    |10.43    |K0               |    ~     ~    
37  |HD 121778                                                                                                |Star                           |13 51 00.5815529400 +80 46 04.499838696|120.0096903156137 +36.0198211718342|  45.036 -5.162    |6.66     |K0               |    ~     ~    
38  |BD+81 453                                                                                                |Star                           |13 52 12.7169825400 +80 48 27.964517760|119.9667561672345 +35.9678910566155| 28.140 -34.514    |10.46    |F2               |    ~     ~    
39  |BD+81 454                                                                                                |Star                           |13 54 30.9279241656 +80 46 37.800822756|119.8468185552545 +35.9700962158792|   7.641 -2.134    |10.70    |F5               |    ~     ~    
40  |BD+81 455                                                                                                |Star                           |13 55 41.5487860704 +80 23 39.622068960|119.6467133336302 +36.3204695777236| -32.023 24.509    |10.64    |F                |    ~     ~    
41  |BD+81 456                                                                                                |Star                           |13 56 11.6870544984 +80 52 54.826277340|119.8071926843001 +35.8500343490749|  -17.884 7.407    |9.54     |K2               |    ~     ~    
42  |TYC 4564-153-1                                                                                           |Star                           |13 52 58.0292530512 +82 16 19.376570136|120.4496065881404 +34.5574058291904| -32.314 -2.002    |10.90    |~                |    ~     ~    
43  |BD+78 467                                                                                                |Star                           |13 49 00.5102554560 +77 36 10.868275944|118.9900545079886 +39.0812188119351| -1.189 -15.002    |10.56    |F8               |    ~     ~    
