C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:17:26

dec >=0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 27                                                                                                                                    |Star                                |14 08 36.5958584376 +88 27 13.334965704|122.3501644868404 +28.5865079983313|   10.451 4.896  |10.37    |G0             |    ~     ~    |    1|  276.924   pc  |  -1.1273     +1.1273  |paral   |2020yCat.1350....0G
2   |BD+87 138                                                                                                                                   |Star                                |14 01 47.3170049064 +87 15 51.590040984|121.9802934687763 +29.7328219743382|  -1.748 -8.344  |9.97     |G0             |    ~     ~    |    1|  171.441   pc  |  -0.3821     +0.3821  |paral   |2020yCat.1350....0G
3   |BD+87 139                                                                                                                                   |Red Giant Branch star               |14 13 56.7781455768 +86 42 23.123615868|121.5899991280944 +30.2042755724414|   -2.936 2.497  |10.40    |G8             |    ~     ~    |    1| 1632.387   pc  | -49.5632    +49.5632  |paral   |2020yCat.1350....0G
4   |BD+85 238                                                                                                                                   |Star                                |14 09 03.3794186784 +84 41 12.160012524|120.8500545156264 +32.1242694596326| -6.279 -13.777  |10.47    |F5             |    ~     ~    |    1|  325.637   pc  |  -2.7782     +2.7782  |paral   |2020yCat.1350....0G
5   |BD+85 236                                                                                                                                   |Star                                |14 03 24.6887857728 +84 22 44.179105584|120.8768991160961 +32.4593389678776|   -3.071 5.131  |10.39    |G5             |    ~     ~    |    1|  853.534   pc  |  -7.7952     +7.7952  |paral   |2020yCat.1350....0G
6   |BD+85 237                                                                                                                                   |Star                                |14 03 43.6190713992 +84 19 25.565017260|120.8468389159749 +32.5089483279213|   -3.338 0.898  |10.43    |G8             |    ~     ~    |    1|  975.610   pc  | -28.9352    +28.9352  |paral   |2020yCat.1350....0G
7   |BD+85 239                                                                                                                                   |Double or Multiple Star             |14 13 16.7511412848 +84 33 46.611051444|120.6885921550335 +32.2043592384905| -43.358 -6.378  |9.088    |A5             |    ~     ~    |    1|  322.539   pc  |  -8.8947     +8.8947  |paral   |2020yCat.1350....0G
8   |HD 126629                                                                                                                                   |Star                                |14 14 21.2945809440 +83 56 40.349811984|120.3868512544742 +32.7685999211672|    2.784 9.565  |8.380    |K              |    ~     ~    |    1|  443.380   pc  |  -3.0274     +3.0274  |paral   |2020yCat.1350....0G
9   |BD+84 321                                                                                                                                   |Star                                |14 04 51.5234471280 +83 27 15.957828684|120.4698143875788 +33.3191789773181|   -1.638 6.832  |9.79     |G5             |    ~     ~    |    1|  625.626   pc  |  -4.2272     +4.2272  |paral   |2020yCat.1350....0G
10  |BD+87 136                                                                                                                                   |Star                                |14 02 33.2499617160 +86 39 20.072379600|121.7496319251234 +30.3079724383881|    2.732 6.312  |10.76    |A0             |    ~     ~    |    1|  591.821   pc  |  -4.7284     +4.7284  |paral   |2020yCat.1350....0G
11  |BD+86 207                                                                                                                                   |Star                                |14 06 17.8669172424 +85 34 48.481298436|121.2735406062796 +31.3046216929712|-14.018 -14.689  |10.87    |F5             |    ~     ~    |    1|  299.715   pc  |  -0.8713     +0.8713  |paral   |2020yCat.1350....0G
12  |BD+86 208                                                                                                                                   |High Proper Motion Star             |14 10 09.0065693736 +85 38 15.133220016|121.2154780042251 +31.2254447980041| 65.269 -40.533  |10.84    |G2             |    ~     ~    |    1|  156.779   pc  |  -0.7939     +0.7939  |paral   |2020yCat.1350....0G
13  |BD+85 240                                                                                                                                   |High Proper Motion Star             |14 14 59.2198543776 +85 18 48.722780736|120.9742335660132 +31.4930782327631| -39.544 32.891  |9.83     |F5             |    ~     ~    |    1|  193.607   pc  |  -0.4648     +0.4648  |paral   |2020yCat.1350....0G
14  |BD+86 209                                                                                                                                   |Spectroscopic Binary                |14 11 09.1510747152 +85 29 58.388435988|121.1373073724279 +31.3477229914340|   -2.860 5.080  |10.81    |G5III:         |    ~     ~    |    1| 1058.201   pc  | -22.2838    +22.2838  |paral   |2020yCat.1350....0G
15  |BD+86 210                                                                                                                                   |Star                                |14 14 10.8628093728 +85 32 54.317226012|121.0935034044802 +31.2807981522670|   -4.513 3.407  |10.65    |A3             |    ~     ~    |    1|  444.701   pc  |  -2.4918     +2.4918  |paral   |2020yCat.1350....0G
16  |BD+83 408                                                                                                                                   |Star                                |14 04 00.8234712960 +83 17 06.432782892|120.4296460575338 +33.4869200872489| 14.849 -21.930  |9.86     |G5             |    ~     ~    |    1|  161.546   pc  |  -0.3288     +0.3288  |paral   |2020yCat.1350....0G
17  |AG+82 409                                                                                                                                   |Long-Period Variable Candidate      |14 00 46.9247405520 +82 22 05.644585344|120.1833805545874 +34.3864047764758|   -8.178 2.533  |10.73    |M              |    ~     ~    |    1| 2566.74    pc  |-123.198    +123.198   |paral   |2020yCat.1350....0G
18  |BD+83 407                                                                                                                                   |Star                                |14 02 23.0896510584 +82 58 38.262901836|120.3631338906319 +33.7936133095393| -18.845 -0.720  |10.41    |K2             |    ~     ~    |    1|  487.876   pc  |  -6.3552     +6.3552  |paral   |2020yCat.1350....0G
19  |BD+83 409                                                                                                                                   |Star                                |14 07 57.8595757488 +82 44 04.456405032|120.0674612544084 +33.9631431392723|  -5.740 -3.129  |10.65    |~              |    ~     ~    |    1|  834.098   pc  |  -9.8096     +9.8096  |paral   |2020yCat.1350....0G
20  |BD+83 410                                                                                                                                   |High Proper Motion Star             |14 08 39.0180116448 +82 36 14.343794640|119.9870789850509 +34.0775675992550| -143.704 2.693  |10.40    |K5             |    ~     ~    |    1|   41.013   pc  |  -0.0175     +0.0175  |paral   |2020yCat.1350....0G
21  |BD+83 411                                                                                                                                   |Star                                |14 13 09.5635472568 +82 23 01.428787932|119.7241725273496 +34.2287527489642|    0.615 0.323  |9.97     |F0             |    ~     ~    |    1|  294.672   pc  |  -1.1375     +1.1375  |paral   |2020yCat.1350....0G
22  |BD+83 412                                                                                                                                   |Spectroscopic Binary                |14 14 47.4328243176 +82 27 51.250929948|119.7009289696476 +34.1338743050110|-56.217 -10.915  |10.35    |G5             |    ~     ~    |    1|  285.543   pc  |  -0.9947     +0.9947  |paral   |2020yCat.1350....0G
23  |BD+82 412                                                                                                                                   |Star                                |14 06 52.0659927096 +82 10 38.303451480|119.8720876184037 +34.4976949548384|    1.566 4.971  |9.96     |K5             |    ~     ~    |    1|  933.010   pc  |  -8.5310     +8.5310  |paral   |2020yCat.1350....0G
24  |BD+82 413                                                                                                                                   |Star                                |14 11 56.8882344984 +82 01 46.523591976|119.6098751027498 +34.5725647730123| -15.201 -9.558  |10.85    |G5             |    ~     ~    |    1|  146.873   pc  |  -0.2179     +0.2179  |paral   |2020yCat.1350....0G
25  |BD+82 414                                                                                                                                   |Star                                |14 13 14.2723535760 +82 05 30.629744952|119.5880587759498 +34.4981625751599|   3.052 -3.948  |10.85    |F2             |    ~     ~    |    1|  323.855   pc  |  -1.0698     +1.0698  |paral   |2020yCat.1350....0G
26  |BD+82 415                                                                                                                                   |Star                                |14 14 01.8029811192 +81 49 15.604275972|119.4319760878614 +34.7382107111149|  11.887 16.687  |9.74     |F5             |    ~     ~    |    1|  140.477   pc  |  -0.4085     +0.4085  |paral   |2020yCat.1350....0G
27  |BD+82 416                                                                                                                                   |Star                                |14 14 30.4756423176 +82 03 10.088352756|119.5208959336969 +34.5176231066402|-20.618 -16.633  |10.36    |G5             |    ~     ~    |    1|  658.631   pc  |  -5.7261     +5.7261  |paral   |2020yCat.1350....0G
28  |BD+82 410                                                                                                                                   |Star                                |14 03 41.3544940704 +81 24 40.860596736|119.6812298197256 +35.2559883040105|  -16.031 0.631  |10.61    |G5             |    ~     ~    |    1|  208.242   pc  |  -0.4770     +0.4770  |paral   |2020yCat.1350....0G
29  |V* FS Cam                                                                                                                                   |Long-Period Variable                |14 05 38.6371799304 +81 36 23.843392776|119.6799548598967 +35.0478149579923|   3.656 -3.887  |8.80     |M1             |    ~     ~    |    1| 1245.020   pc  | -25.4212    +25.4212  |paral   |2020yCat.1350....0G
30  |BD+81 457                                                                                                                                   |Star                                |14 00 03.1848928680 +80 24 30.337793460|119.4382487750975 +36.2497369448022| -14.800 11.309  |9.47     |K0             |    ~     ~    |    1|  312.656   pc  |  -1.2317     +1.2317  |paral   |2020yCat.1350....0G
31  |BD+81 459                                                                                                                                   |Star                                |14 03 54.2091829128 +80 45 15.912630756|119.3972840177876 +35.8710286297984|  7.550 -12.553  |10.63    |G0             |    ~     ~    |    1| 1024.170   pc  | -13.0067    +13.0067  |paral   |2020yCat.1350....0G
32  |BD+81 460                                                                                                                                   |Star                                |14 03 35.9077883640 +81 09 31.557022452|119.5804236271916 +35.4948495085303| -5.993 -24.918  |10.13    |G5             |    ~     ~    |    1|  236.625   pc  |  -0.5599     +0.5599  |paral   |2020yCat.1350....0G
33  |BD+81 461                                                                                                                                   |Star                                |14 04 47.7013940496 +80 52 32.133291492|119.4073692390385 +35.7450066082722|  10.056 -5.561  |9.66     |M0             |    ~     ~    |    1| 1115.947   pc  | -22.7897    +22.7897  |paral   |2020yCat.1350....0G
34  |BD+81 462                                                                                                                                   |Star                                |14 07 33.7545995856 +80 19 40.631587392|119.0382336761590 +36.2176990854025|   -2.032 2.765  |10.50    |K5             |    ~     ~    |    1|  698.178   pc  |  -5.8494     +5.8494  |paral   |2020yCat.1350....0G
35  |BD+81 463                                                                                                                                   |Star                                |14 07 22.0695655176 +80 48 33.568129584|119.2605911032777 +35.7711377680762|  -15.490 5.259  |10.72    |G5             |    ~     ~    |    1|  228.227   pc  |  -0.6511     +0.6511  |paral   |2020yCat.1350....0G
36  |HD 124692                                                                                                                                   |Star                                |14 07 16.2760317264 +81 09 31.587958728|119.4178955298574 +35.4459091533233|   5.332 -4.496  |9.04     |G5             |    ~     ~    |    1|  199.665   pc  |  -1.1681     +1.1681  |paral   |2020yCat.1350....0G
37  |BD+81 466                                                                                                                                   |Star                                |14 08 36.4892036760 +80 52 45.733163520|119.2348865063698 +35.6880394209678|   9.630 23.666  |10.42    |G5             |    ~     ~    |    1|  298.954   pc  |  -1.2602     +1.2602  |paral   |2020yCat.1350....0G
38  |BD+81 469                                                                                                                                   |High Proper Motion Star             |14 13 32.3412277992 +81 09 11.309801688|119.1406291354653 +35.3622941738243| -55.896 34.692  |9.62     |F8             |    ~     ~    |    1|  231.922   pc  |  -0.6562     +0.6562  |paral   |2020yCat.1350....0G
39  |BD+81 470                                                                                                                                   |Star                                |14 13 59.3575526784 +81 14 19.251729960|119.1613256169789 +35.2766865869015|  -5.699 -6.336  |10.12    |F0             |    ~     ~    |    1|  286.451   pc  |  -1.0667     +1.0667  |paral   |2020yCat.1350....0G
40  |BD+80 430                                                                                                                                   |Star                                |14 12 41.4526174248 +80 05 50.052865560|118.6808597835072 +36.3508664069334| -20.042 -2.253  |10.73    |F5             |    ~     ~    |    1|  344.507   pc  |  -1.5310     +1.5310  |paral   |2020yCat.1350....0G
41  |TYC 4564-154-1                                                                                                                              |Star                                |14 12 17.4141671376 +80 27 41.629307040|118.8726146465432 +36.0206129573525| -20.957 11.474  |10.94    |~              |    ~     ~    |    1|  361.468   pc  |  -1.2935     +1.2935  |paral   |2020yCat.1350....0G
