C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
1   |BD+89 36                                                              |High Proper Motion Star        |14 21 49.3686478896 +89 26 47.220729216|122.6918379777689 +27.6391048824463| -28.100 41.266    |10.27    |F8                  |    ~     ~    
2   |HD 134437                                                             |Star                           |14 23 45.0651587352 +87 58 28.688249568|122.0244450086541 +28.9885995017585|  15.951 24.874    |8.98     |K0                  |    ~     ~    
3   |BD+88 89                                                              |Star                           |14 21 37.8273938712 +87 43 13.986671340|121.9305244124481 +29.2298880817719| 16.192 -10.778    |10.37    |G8                  |    ~     ~    
4   |BD+87 141                                                             |High Proper Motion Star        |14 17 22.2139485864 +87 17 33.330720012|121.7914431374707 +29.6429370066843| -74.092 83.181    |9.89     |G0                  |    ~     ~    
5   |BD+87 142                                                             |Star                           |14 27 00.7309480440 +87 10 15.860535420|121.6131162862171 +29.7085497763112| -10.257 13.706    |10.35    |G5                  |    ~     ~    
6   |TYC 4646-23-1                                                         |Star                           |14 28 12.4428510528 +89 33 44.491819752|122.7296851342307 +27.5273126332838| -30.144 10.209    |10.91    |~                   |    ~     ~    
7   |BD+85 241                                                             |Spectroscopic Binary           |14 18 14.9625155280 +84 47 33.748066860|120.6650892403065 +31.9480978713432|   5.145 -6.607    |10.08    |G8                  |    ~     ~    
8   |BD+84 324                                                             |Star                           |14 22 11.3146793424 +84 04 47.694390924|120.2263771404585 +32.5641414493968| -17.999 19.937    |9.91     |K2                  |    ~     ~    
9   |BD+84 325                                                             |Star                           |14 23 20.9428523448 +83 48 04.946761008|120.0573984772022 +32.8055862139585|  12.657 -9.046    |10.97    |K0                  |    ~     ~    
10  |V* R Cam                                                              |S Star                         |14 17 51.0361093608 +83 49 53.840253360|120.2332021406133 +32.8373639456003|   1.391 -6.820    |9.74     |S2-6.5/2.5-6e       |    ~     ~    
11  |BD+84 326                                                             |Star                           |14 25 03.1567753656 +83 43 29.655404112|119.9693960953039 +32.8557882944002|  3.682 -24.689    |9.25     |G0                  |    ~     ~    
12  |BD+84 327                                                             |High Proper Motion Star        |14 29 00.6134781024 +83 27 44.148256956|119.7161210880523 +33.0455047301331| -32.799 94.946    |9.03     |G0                  |    ~     ~    
13  |BD+84 328                                                             |High Proper Motion Star        |14 28 54.8270499480 +83 28 50.863772712|119.7287484469149 +33.0300484516272|  -56.529 9.296    |9.25     |G0                  |    ~     ~    
14  |BD+83 414                                                             |Star                           |14 16 29.4678799848 +83 20 04.367981940|120.0447631238659 +33.3102179160277|   3.138 15.133    |10.95    |F2                  |    ~     ~    
15  |BD+87 140                                                             |High Proper Motion Star        |14 19 12.9806353176 +86 25 28.398211932|121.3829998386546 +30.4360950964660| -60.335 28.997    |10.93    |G0                  |    ~     ~    
16  |BD+86 211                                                             |Star                           |14 17 16.7923037448 +85 35 53.599524828|121.0504506325666 +31.2122379824132| 18.383 -18.600    |8.80     |G2                  |    ~     ~    
17  |BD+86 212                                                             |Star                           |14 25 57.4458556488 +85 46 29.392220064|120.9578647597708 +30.9852695169031|  -37.843 2.528    |9.80     |F8                  |    ~     ~    
18  |HD 129560                                                             |Spectroscopic Binary           |14 25 45.4106005008 +85 16 22.875161196|120.7175252272459 +31.4430683135653| -32.903 16.691    |8.61     |K0                  |    ~     ~    
19  |BD+85 243                                                             |Star                           |14 25 46.7857660872 +85 21 57.900972384|120.7625099005070 +31.3582944699433|   8.263 -9.383    |10.79    |G5                  |    ~     ~    
20  |BD+80 436                                                             |Star                           |14 17 11.1851716344 +79 51 38.019546216|118.3415778553362 +36.4912968323448|  -5.432 -5.278    |9.72     |F8                  |    ~     ~    
21  |BD+80 439                                                             |High Proper Motion Star        |14 23 52.8630682248 +79 47 28.790840220|117.9718031492528 +36.4301395318813| -60.304 78.464    |9.61     |F8                  |    ~     ~    
22  |BD+80 442                                                             |Star                           |14 24 55.6478423496 +80 05 42.715126752|118.0850248379549 +36.1367247101942| -11.028 -4.605    |9.87     |K2                  |    ~     ~    
23  |BD+80 443                                                             |Pulsating Variable             |14 29 11.8424289216 +79 36 58.737916008|117.6104132499596 +36.4807918188897| 17.725 -19.278    |9.57     |F0                  |    ~     ~    
24  |TYC 4565-30-1                                                         |Star                           |14 24 32.4514851360 +80 08 40.796580660|118.1302106000799 +36.0994462831853|  -22.053 6.601    |10.83    |~                   |    ~     ~    
25  |TYC 4565-42-1                                                         |High Proper Motion Star        |14 23 38.6723765016 +80 06 54.794255292|118.1572655824584 +36.1426291494300| -49.153 53.399    |10.94    |~                   |    ~     ~    
26  |BD+83 413                                                             |Star                           |14 16 59.9763795408 +82 35 25.982909376|119.6799922464152 +33.9896083355060|    0.487 5.359    |10.62    |F2                  |    ~     ~    
27  |BD+83 415                                                             |Star                           |14 21 16.9559992272 +82 44 28.541801940|119.6017846698911 +33.7967872499999|   1.767 -8.441    |8.92     |K5                  |    ~     ~    
28  |BD+83 416                                                             |Star                           |14 27 08.1718100616 +82 28 25.000862016|119.2600997918408 +33.9598995149777| 22.722 -18.529    |10.36    |F8                  |    ~     ~    
29  |BD+83 417                                                             |High Proper Motion Star        |14 27 26.3289870240 +82 33 29.344391640|119.2937866675114 +33.8795088328568|  -6.125 55.816    |9.28     |G0                  |    ~     ~    
30  |BD+83 418                                                             |Star                           |14 29 28.4200677120 +82 24 47.200069044|119.1447858047265 +33.9803942607591| 14.446 -13.361    |10.72    |F8                  |    ~     ~    
31  |BD+82 419                                                             |Star                           |14 24 32.8185147384 +81 50 38.191149996|119.0280503756156 +34.5661098687916| -11.105 13.181    |10.44    |F0                  |    ~     ~    
32  |HD 128295                                                             |Star                           |14 26 17.1959309568 +81 57 47.172436848|119.0232158012110 +34.4321874809310| -20.402 14.448    |9.00     |A2                  |    ~     ~    
33  |BD+82 425                                                             |High Proper Motion Star        |14 28 17.5015296048 +82 04 28.891238376|119.0066092741191 +34.3013899115228| -87.171 18.231    |9.96     |G5                  |    ~     ~    
34  |BD+82 426                                                             |Star                           |14 28 40.1369883936 +82 03 15.468183396|118.9815439795681 +34.3139132692357| -11.669 25.653    |9.79     |F8                  |    ~     ~    
35  |BD+82 417                                                             |High Proper Motion Star        |14 15 40.1123912256 +81 41 14.701534080|119.3032331687662 +34.8387919140725| 39.377 -33.350    |8.91     |K0                  |    ~     ~    
36  |BD+82 418                                                             |Star                           |14 19 00.6369462984 +81 22 02.011930176|119.0100739125179 +35.0836365476993|  -1.099 -7.480    |10.30    |K2                  |    ~     ~    
37  |BD+82 420                                                             |Spectroscopic Binary           |14 25 33.8774843112 +81 35 20.669387424|118.8545938093304 +34.7804712706414|  -2.093 27.691    |10.30    |F0                  |    ~     ~    
38  |BD+82 421                                                             |Double or Multiple Star        |14 26 14.5029889464 +81 24 40.624539444|118.7329973174853 +34.9297322241960|   -6.785 4.665    |10.312   |K0                  |    ~     ~    
39  |BD+82 424                                                             |Star                           |14 28 43.4747935536 +81 45 14.020461432|118.8175363021167 +34.5821548721909| -6.345 -11.026    |9.89     |F2                  |    ~     ~    
40  |BD+81 472                                                             |Star                           |14 15 38.2352901984 +80 50 51.137798748|118.9021492368246 +35.6121310861769|   -9.832 3.704    |10.06    |G0                  |    ~     ~    
41  |BD+81 473                                                             |Star                           |14 15 39.1319825352 +80 56 54.449782764|118.9502394312637 +35.5190993596692|  -8.606 14.368    |10.25    |K0                  |    ~     ~    
42  |BD+81 475                                                             |Star                           |14 20 41.3237472744 +81 01 43.445372664|118.7685282269626 +35.3660576388789|-10.877 -21.860    |9.96     |K0                  |    ~     ~    
