C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:23:08

dec >=0&rah >=14.75&rah< 15.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2507

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+89 33                                                                                                 |Star                               |14 46 41.7394702776 +89 15 41.390611632|122.5296446233830 +27.7747435615589|   -0.195 0.690   |10.21    |F0             |    ~     ~    |    1|  343.324   pc  |  -1.7916     +1.7916  |paral   |2020yCat.1350....0G
2   |BD+87 144                                                                                                |Star                               |14 47 08.3754887400 +87 02 23.828594388|121.2840659703132 +29.7093704765415|    2.778 2.998   |10.05    |K0             |    ~     ~    |    1| 1620.746   pc  | -29.1577    +29.1577  |paral   |2020yCat.1350....0G
3   |BD+87 145                                                                                                |Star                               |14 47 14.4928008000 +87 12 27.342276264|121.3783468635007 +29.5631160546395|   -2.004 1.207   |10.23    |A5             |    ~     ~    |    1|  601.504   pc  |  -4.2693     +4.2693  |paral   |2020yCat.1350....0G
4   |BD+87 146                                                                                                |Star                               |14 51 48.7779494064 +87 04 02.126010288|121.2402450405403 +29.6554952985313|   -5.426 3.184   |10.75    |A5             |    ~     ~    |    1|  480.238   pc  |  -2.6292     +2.6292  |paral   |2020yCat.1350....0G
5   |HD 138465                                                                                                |Star                               |14 58 21.9361670472 +87 00 22.586558976|121.1204547092824 +29.6627935710072| -50.183 -3.979   |8.09     |F8             |    ~     ~    |    1|  155.851   pc  |  -0.4251     +0.4251  |paral   |2020yCat.1350....0G
6   |TYC 4642-417-1                                                                                           |Star                               |14 58 12.7452758328 +86 57 18.874463688|121.0907793394004 +29.7068797710051|   6.259 15.043   |10.81    |~              |    ~     ~    |    1|  371.237   pc  | -21.8164    +21.8164  |paral   |2020yCat.1350....0G
7   |TYC 4642-622-1                                                                                           |Star                               |14 58 52.5671695176 +86 52 05.663464572|121.0280260056649 +29.7752944384340|   -7.987 0.466   |10.70    |~              |    ~     ~    |    1|  574.713   pc  |  -3.6993     +3.6993  |paral   |2020yCat.1350....0G
8   |TYC 4642-677-1                                                                                           |Star                               |14 51 12.3421579512 +87 20 24.797203404|121.4081224878500 +29.4247743819671|  -23.324 7.214   |10.74    |~              |    ~     ~    |    1|  280.796   pc  |  -0.8989     +0.8989  |paral   |2020yCat.1350....0G
9   |TYC 4646-27-1                                                                                            |Star                               |14 51 01.3908369504 +89 23 28.743306396|122.5894116124383 +27.6555207504073|  -15.087 2.969   |10.95    |~              |    ~     ~    |    1|  234.055   pc  |  -0.6409     +0.6409  |paral   |2020yCat.1350....0G
10  |TYC 4646-214-1                                                                                           |Star                               |14 47 00.5250310032 +88 32 11.118744492|122.1280202463933 +28.4073581073072|  -21.925 5.337   |10.86    |~              |    ~     ~    |    1|  397.962   pc  |  -2.7399     +2.7399  |paral   |2020yCat.1350....0G
11  |HD 134711                                                                                                |High Proper Motion Star            |14 50 34.1484745104 +85 29 47.234435964|120.3236369493799 +31.0126994586052| -61.419 20.553   |7.76     |F8             |    ~     ~    |    1|   86.421   pc  |  -0.1404     +0.1404  |paral   |2020yCat.1350....0G
12  |HD 133872                                                                                                |Star                               |14 51 40.5220006680 +83 56 14.935082208|119.3425004671923 +32.3294518625557|   -9.922 1.644   |6.94     |K0             |    ~     ~    |    1|  345.710   pc  |  -1.7330     +1.7330  |paral   |2020yCat.1350....0G
13  |BD+84 336                                                                                                |Star                               |14 53 29.1772003488 +83 51 28.428315408|119.2441857638306 +32.3713052655006| -22.595 35.130   |10.66    |F8             |    ~     ~    |    1|  261.417   pc  |  -0.7791     +0.7791  |paral   |2020yCat.1350....0G
14  |BD+84 337                                                                                                |Star                               |14 53 42.1634047344 +84 11 47.708347632|119.4525909614238 +32.0820639272478| 28.662 -11.782   |10.25    |G5             |    ~     ~    |    1|  308.613   pc  |  -1.1048     +1.1048  |paral   |2020yCat.1350....0G
15  |BD+86 223                                                                                                |Double or Multiple Star            |14 57 26.4091836864 +85 29 24.796358268|120.1862045934334 +30.9465806553240|-114.946 66.129   |9.92     |G5             |    ~     ~    |    1|  149.060   pc  |  -0.2688     +0.2688  |paral   |2020yCat.1350....0G
16  |HD 135280                                                                                                |High Proper Motion Star            |14 54 46.6797514656 +85 07 15.037177188|120.0077078696162 +31.2872420657553|-78.002 -28.101   |7.45     |K0             |    ~     ~    |    1|  193.293   pc  |  -0.5492     +0.5492  |paral   |2020yCat.1350....0G
17  |BD+85 251                                                                                                |Star                               |14 56 25.8590397528 +85 03 42.582231360|119.9357014513668 +31.3180287304880|  -27.586 1.873   |9.23     |G8             |    ~     ~    |    1|  441.248   pc  |  -2.2780     +2.2780  |paral   |2020yCat.1350....0G
18  |HD 134879                                                                                                |Star                               |14 56 39.3391549992 +84 01 37.637351184|119.2692166472991 +32.1837451759518|  14.623 -3.129   |8.220    |K0             |    ~     ~    |    1|  319.703   pc  |  -1.6354     +1.6354  |paral   |2020yCat.1350....0G
19  |BD+84 342                                                                                                |High Proper Motion Star            |14 57 58.1919806136 +83 56 09.465925812|119.1760250072803 +32.2410132113486| 33.206 -61.263   |9.34     |F8             |    ~     ~    |    1|   90.011   pc  |  -0.0859     +0.0859  |paral   |2020yCat.1350....0G
20  |BD+83 433                                                                                                |Star                               |14 52 48.3561903504 +83 22 21.145690524|118.9550431418797 +32.7915057199330|  -3.904 -3.983   |9.52     |K2             |    ~     ~    |    1|  595.309   pc  |  -4.3945     +4.3945  |paral   |2020yCat.1350....0G
21  |BD+83 434                                                                                                |High Proper Motion Star            |14 54 52.2366109368 +83 13 20.792842248|118.7983317913080 +32.8854285918627|-112.422 58.421   |10.91    |G5             |    ~     ~    |    1|  208.351   pc  |  -0.5643     +0.5643  |paral   |2020yCat.1350....0G
22  |BD+84 338                                                                                                |High Proper Motion Star            |14 57 33.5490173208 +83 31 28.900689780|118.9181127199487 +32.5901023665614| -51.009 32.615   |10.70    |G5             |    ~     ~    |    1|  115.323   pc  |  -0.1423     +0.1423  |paral   |2020yCat.1350....0G
23  |BD+83 435                                                                                                |Star                               |14 59 26.0965506322 +82 27 53.649784078|118.1553339252094 +33.4370463130882|  -46.603 4.082   |10.16    |F5             |    ~     ~    |    1|   49.8728  pc  |  -2.7219     +2.7219  |paral   |2018yCat.1345....0G
24  |BD+83 436                                                                                                |Star                               |14 59 17.8521709824 +82 59 10.800258180|118.5108662072822 +33.0087335007488|-29.174 -16.308   |9.63     |G5             |    ~     ~    |    1|  102.507   pc  |  -0.1534     +0.1534  |paral   |2020yCat.1350....0G
25  |HD 134919                                                                                                |Star                               |14 58 46.4551135320 +83 11 28.509587340|118.6631949681536 +32.8478230740911|  -3.365 -0.067   |8.33     |K5             |    ~     ~    |    1|  454.298   pc  |  -3.1577     +3.1577  |paral   |2020yCat.1350....0G
26  |BD+83 438                                                                                                |High Proper Motion Star            |14 59 08.6788266624 +83 20 33.250483644|118.7531137659809 +32.7162950848895| -46.377 22.520   |10.71    |F8             |    ~     ~    |    1|  141.848   pc  |  -0.3078     +0.3078  |paral   |2020yCat.1350....0G
27  |HD 135117                                                                                                |High Proper Motion Star            |14 59 24.5978041560 +83 19 39.893742516|118.7356681457538 +32.7242643928914| -51.336 24.806   |9.55     |K0             |    ~     ~    |    1|  150.584   pc  |  -8.1678     +8.1678  |paral   |2020yCat.1350....0G
28  |BD+85 250B                                                                                               |Star                               |14 56 19.0436916216 +85 02 37.167902916|119.9266219979035 +31.3346424747602|    5.360 2.945   |10.88    |~              |    ~     ~    |    1|  427.095   pc  |  -2.5720     +2.5720  |paral   |2020yCat.1350....0G
29  |TYC 4634-1409-1                                                                                          |Star                               |14 48 23.3298424368 +83 39 26.417191248|119.2589835835838 +32.6147457124044| -7.750 -22.860   |10.69    |~              |    ~     ~    |    1|  313.883   pc  |  -0.9754     +0.9754  |paral   |2020yCat.1350....0G
30  |TYC 4634-1452-1                                                                                          |Star                               |14 47 28.3530568344 +83 27 18.815109012|119.1615299471433 +32.8012550352498|   5.197 -3.956   |10.80    |~              |    ~     ~    |    1|  487.329   pc  |  -3.4199     +3.4199  |paral   |2020yCat.1350....0G
31  |TOI-1200                                                                                                 |Star                               |14 51 22.2127824528 +82 57 07.688506572|118.7309833296244 +33.1699742112719| -32.131 28.339   |10.847   |~              |    ~     ~    |    1|  233.765   pc  |  -1.0984     +1.0984  |paral   |2020yCat.1350....0G
32  |TYC 4638-559-1                                                                                           |Star                               |14 59 20.7195133464 +85 48 18.461684916|120.3507618770069 +30.6628660206143|   3.568 -7.174   |10.94    |~              |    ~     ~    |    1|  388.727   pc  |  -1.7529     +1.7529  |paral   |2020yCat.1350....0G
33  |TYC 4638-1050-1                                                                                          |Star                               |14 53 40.8442579992 +84 46 40.124506368|119.8175633695582 +31.5904487916211|    3.113 2.716   |10.97    |~              |    ~     ~    |    1| 1185.958   pc  | -33.7559    +33.7559  |paral   |2020yCat.1350....0G
34  |TYC 4638-1134-1                                                                                          |Star                               |14 58 17.3143548600 +85 24 31.505492520|120.1180427575366 +31.0057849990713| -11.063 -4.370   |10.90    |~              |    ~     ~    |    1|  388.984   pc  |  -1.6644     +1.6644  |paral   |2020yCat.1350....0G
35  |BD+86 222                                                                                                |High Proper Motion Star            |14 51 01.5574187640 +85 53 43.990853064|120.5548240459750 +30.6663588250788|-94.727 -37.652   |9.10     |G0             |    ~     ~    |    1|   95.286   pc  |  -0.1071     +0.1071  |paral   |2020yCat.1350....0G
36  |BD+82 438                                                                                                |High Proper Motion Star            |14 47 41.0005480728 +81 33 44.295990156|117.9754423748957 +34.4160540280845| 12.109 -51.144   |8.89     |K2             |    ~     ~    |    1|  463.220   pc  |  -5.3214     +5.3214  |paral   |2020yCat.1350....0G
37  |BD+82 440                                                                                                |Star                               |14 53 02.3688394944 +81 36 57.059959572|117.8096323413396 +34.2661094354702|  -2.178 -1.689   |9.72     |F2             |    ~     ~    |    1|  291.758   pc  |  -1.0811     +1.0811  |paral   |2020yCat.1350....0G
38  |BD+81 492                                                                                                |Star                               |14 47 36.4227671352 +80 50 24.756423540|117.5164812960600 +35.0317935176647|   2.868 -3.343   |10.17    |A2             |    ~     ~    |    1|  538.735   pc  | -15.4695    +15.4695  |paral   |2020yCat.1350....0G
39  |BD+81 494                                                                                                |Star                               |14 49 27.2024832408 +81 22 14.288487528|117.7850107772234 +34.5441406701303|  -1.519 -4.605   |9.59     |G5             |    ~     ~    |    1|  582.309   pc  |  -3.9673     +3.9673  |paral   |2020yCat.1350....0G
40  |HD 132610                                                                                                |Star                               |14 50 29.5070743608 +80 44 59.557345908|117.3384435424909 +35.0466208732797| -34.646 25.571   |7.19     |A0             |    ~     ~    |    1|  191.740   pc  |  -0.7794     +0.7794  |paral   |2020yCat.1350....0G
41  |BD+81 496                                                                                                |Star                               |14 53 56.5575471480 +80 42 57.644582760|117.1737800592689 +34.9990429265401| -12.484 13.348   |9.74     |K0             |    ~     ~    |    1|  657.160   pc  |  -4.4913     +4.4913  |paral   |2020yCat.1350....0G
42  |BD+81 497                                                                                                |Star                               |14 55 10.1444 +81 06 44.759            |117.3925999 +34.6423599            | -5.135 -11.201   |10.50    |F5             |    ~     ~    |    0|                |                       |        |                   
43  |BD+81 498                                                                                                |Star                               |14 58 10.5238509696 +81 03 36.399231828|117.2398015182157 +34.6201794054527| -12.499 -1.062   |10.01    |F0             |    ~     ~    |    1|  254.861   pc  |  -0.7924     +0.7924  |paral   |2020yCat.1350....0G
44  |BD+81 499                                                                                                |Star                               |14 58 38.5674307776 +81 12 44.156947680|117.3268447932928 +34.4847693109029|  -12.006 7.147   |10.26    |F5             |    ~     ~    |    1|  336.214   pc  |  -1.4695     +1.4695  |paral   |2020yCat.1350....0G
45  |HD 133085                                                                                                |Star                               |14 54 05.2225947528 +79 31 51.592100196|116.3565522008337 +35.9796357144122|  -25.291 2.213   |8.29     |A2             |    ~     ~    |    1|  263.345   pc  |  -2.7671     +2.7671  |paral   |2020yCat.1350....0G
46  |BD+80 461                                                                                                |Star                               |14 55 02.5339910496 +79 28 22.009934280|116.2716027063618 +36.0032596943291|    8.658 3.417   |10.53    |G0             |    ~     ~    |    1|  158.255   pc  |  -0.3306     +0.3306  |paral   |2020yCat.1350....0G
47  |BD+79 455                                                                                                |Star                               |14 46 50.3602531728 +79 05 32.211525732|116.4072533271136 +36.5307038817411|   8.612 -1.712   |9.83     |F8             |    ~     ~    |    1|  287.084   pc  |  -5.5384     +5.5384  |paral   |2020yCat.1350....0G
48  |BD+79 456                                                                                                |Star                               |14 50 23.1152422416 +79 02 32.919005112|116.1978785351083 +36.4814826366707|  -9.079 -4.410   |10.04    |G0             |    ~     ~    |    1|  284.917   pc  |  -3.0279     +3.0279  |paral   |2020yCat.1350....0G
49  |HD 132750                                                                                                |Star                               |14 53 15.2082635664 +78 45 05.521781772|115.8536712018571 +36.6466493644583|  6.071 -14.360   |8.87     |K              |    ~     ~    |    1|  470.411   pc  |  -3.3857     +3.3857  |paral   |2020yCat.1350....0G
50  |TYC 4562-130-1                                                                                           |Star                               |14 53 09.4535286000 +79 27 51.940328148|116.3539373395916 +36.0585092996280|    4.670 2.113   |10.71    |F5             |    ~     ~    |    1|  463.628   pc  |  -2.9018     +2.9018  |paral   |2020yCat.1350....0G
51  |TYC 4562-508-1                                                                                           |Star                               |14 48 27.2200618896 +79 08 02.559227496|116.3552315597304 +36.4545118374708|  -4.100 -0.146   |10.51    |~              |    ~     ~    |    1| 1400.756   pc  | -21.3871    +21.3871  |paral   |2020yCat.1350....0G
52  |TYC 4562-854-1                                                                                           |Star                               |14 49 47.0496011040 +79 40 23.317418208|116.6535417036065 +35.9682642745492| 17.928 -23.790   |10.68    |~              |    ~     ~    |    1|  205.816   pc  |  -0.4151     +0.4151  |paral   |2020yCat.1350....0G
53  |TYC 4562-872-1                                                                                           |Star                               |14 53 25.3908607248 +79 49 24.377689164|116.5886083301663 +35.7537121968071|    3.003 8.545   |10.23    |~              |    ~     ~    |    1|  469.616   pc  |  -2.4259     +2.4259  |paral   |2020yCat.1350....0G
54  |TYC 4565-170-1                                                                                           |Star                               |14 46 03.3081084192 +80 08 23.741172888|117.1313207541989 +35.6609215077809|    5.110 3.376   |10.21    |~              |    ~     ~    |    1|  482.207   pc  |  -2.8833     +2.8833  |paral   |2020yCat.1350....0G
55  |TYC 4565-804-1                                                                                           |Star                               |14 51 53.0312501736 +80 48 33.536707164|117.3205908880237 +34.9664417685528|    1.722 5.103   |10.68    |~              |    ~     ~    |    1|  614.779   pc  |  -3.4016     +3.4016  |paral   |2020yCat.1350....0G
56  |TYC 4565-846-1                                                                                           |Star                               |14 45 44.2419134064 +81 13 34.466654100|117.8382387195301 +34.7408226934011| 27.773 -24.382   |10.96    |~              |    ~     ~    |    1|  251.629   pc  |  -0.6965     +0.6965  |paral   |2020yCat.1350....0G
57  |TYC 4565-1326-1                                                                                          |Star                               |14 50 10.6359852960 +81 42 22.390259256|117.9743218781861 +34.2459407717217|   -3.372 9.402   |10.84    |~              |    ~     ~    |    1|  876.424   pc  |  -7.7580     +7.7580  |paral   |2020yCat.1350....0G
58  |TYC 4565-1375-1                                                                                          |Star                               |14 49 28.5353176560 +80 59 43.260620316|117.5407412477614 +34.8611773118015| -7.189 -13.022   |10.66    |~              |    ~     ~    |    1|  481.835   pc  |  -2.7628     +2.7628  |paral   |2020yCat.1350....0G
59  |TYC 4565-1454-1                                                                                          |Star                               |14 51 28.3376352792 +81 11 25.409930208|117.5890690399983 +34.6551734304110|   9.389 -4.498   |10.72    |~              |    ~     ~    |    1|  374.897   pc  | -19.9859    +19.9859  |paral   |2020yCat.1350....0G
