C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:04

dec >=0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5048

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 9069                                                                                                                                                                                                                                              |Star                              |01 30 10.1300975928 +45 11 00.622261536|130.0587394940637 -17.1516123310031|  -5.892 -4.412   |10.38    |A2                |    ~     ~    |    1|  484.379   pc  |  -6.6867     +6.6867  |paral   |2020yCat.1350....0G
2   |HD 9107                                                                                                                                                                                                                                              |Star                              |01 30 33.8321983872 +44 55 42.509926272|130.1729640698457 -17.3924669458624|    1.157 4.473   |7.71     |K0                |    ~     ~    |    1|  495.663   pc  |  -6.8791     +6.8791  |paral   |2020yCat.1350....0G
3   |HD 9147                                                                                                                                                                                                                                              |Star                              |01 30 55.8825238824 +45 21 55.776950208|130.1672002207824 -16.9507047458494|   -6.254 0.700   |9.34     |A0pSrCr?          |    ~     ~    |    1|  783.147   pc  | -16.5596    +16.5596  |paral   |2020yCat.1350....0G
4   |BD+44 321                                                                                                                                                                                                                                            |Star                              |01 31 48.0038059824 +45 10 14.450717568|130.3578373521291 -17.1183038864272| -11.289 -3.637   |10.60    |F5V               |    ~     ~    |    1|  185.004   pc  |  -0.6982     +0.6982  |paral   |2020yCat.1350....0G
5   |HD 9345                                                                                                                                                                                                                                              |Star                              |01 32 47.6335637222 +44 50 59.723140995|130.5947606155784 -17.4056187535111|      -7.2 -0.4   |10.33    |F8                |    ~     ~    |    0|                |                       |        |                   
6   |HD 9127                                                                                                                                                                                                                                              |Star                              |01 30 47.6354304696 +44 22 55.972349364|130.3065840563024 -17.9252549228463|   7.734 -3.602   |10.04    |A5V               |    ~     ~    |    1|  692.329   pc  | -16.1051    +16.1051  |paral   |2020yCat.1350....0G
7   |HD 9126                                                                                                                                                                                                                                              |Star                              |01 30 48.3252592440 +44 29 33.317808900|130.2901791733667 -17.8159718199467|   29.437 9.868   |10.09    |G5                |    ~     ~    |    1|  219.867   pc  |  -3.1277     +3.1277  |paral   |2020yCat.1350....0G
8   |BD+43 312                                                                                                                                                                                                                                            |Star                              |01 30 57.5972779536 +44 44 52.713285684|130.2757849461580 -17.5594743882112|   13.398 6.576   |10.30    |F0III             |    ~     ~    |    1|  417.537   pc  |  -5.7357     +5.7357  |paral   |2020yCat.1350....0G
9   |HD 9258                                                                                                                                                                                                                                              |Star                              |01 31 57.9413091288 +44 44 27.961274256|130.4617721727629 -17.5372952136582|  -8.849 -2.250   |9.98     |G5V               |    ~     ~    |    1|  693.818   pc  | -10.2535    +10.2535  |paral   |2020yCat.1350....0G
10  |HD 9355                                                                                                                                                                                                                                              |Star                              |01 32 58.2027100536 +44 33 12.985357788|130.6792970645464 -17.6924746268728|   9.379 -7.664   |9.59     |A9III             |    ~     ~    |    1|  296.551   pc  |  -1.6181     +1.6181  |paral   |2020yCat.1350....0G
11  |HD 9368                                                                                                                                                                                                                                              |Star                              |01 33 03.3923868888 +45 07 32.969008812|130.5942241335067 -17.1258365592488|  -5.143 -2.787   |10.39    |A0                |    ~     ~    |    1|  584.351   pc  | -46.2345    +46.2345  |paral   |2020yCat.1350....0G
12  |HD 9530                                                                                                                                                                                                                                              |Star                              |01 34 29.2441841664 +45 16 28.561711728|130.8273604865257 -16.9361599214372|   3.521 -5.127   |9.56     |K2III             |    ~     ~    |    1| 1955.034   pc  | -79.5009    +79.5009  |paral   |2020yCat.1350....0G
13  |HD 9636                                                                                                                                                                                                                                              |Star                              |01 35 18.2565605736 +44 58 16.825781244|131.0314287547166 -17.2094273574564|  47.388 -8.063   |8.89     |F8                |    ~     ~    |    1|  162.530   pc  |  -0.4359     +0.4359  |paral   |2020yCat.1350....0G
14  |HD 9637                                                                                                                                                                                                                                              |Star                              |01 35 19.4878964976 +44 55 34.617583848|131.0435346732075 -17.2531274744311|   6.723 -9.028   |8.70     |G5                |    ~     ~    |    1|  570.483   pc  |  -6.8019     +6.8019  |paral   |2020yCat.1350....0G
15  |HD 9668                                                                                                                                                                                                                                              |Star                              |01 35 38.9018428416 +44 51 16.758677376|131.1159496124934 -17.3134072583903| -6.367 -12.319   |9.29     |A3III             |    ~     ~    |    1|  364.047   pc  |  -2.7964     +2.7964  |paral   |2020yCat.1350....0G
16  |HD 9698                                                                                                                                                                                                                                              |Star                              |01 35 52.1530864152 +45 00 51.031549728|131.1263023189648 -17.1494661524076|-16.246 -31.711   |10.01    |G5III             |    ~     ~    |    1|  293.600   pc  |  -1.7757     +1.7757  |paral   |2020yCat.1350....0G
17  |BD+44 333                                                                                                                                                                                                                                            |Star                              |01 36 36.3956405184 +44 56 12.831679140|131.2751780065508 -17.2018732122196| -5.488 -13.440   |10.50    |F0V               |    ~     ~    |    1|  423.048   pc  |  -3.0425     +3.0425  |paral   |2020yCat.1350....0G
18  |HD 9442                                                                                                                                                                                                                                              |Star                              |01 33 34.8338138016 +44 35 03.543535572|130.7862964430260 -17.6437712595093|  -3.761 -0.447   |9.91     |G5V               |    ~     ~    |    1| 1050.531   pc  | -22.8448    +22.8448  |paral   |2020yCat.1350....0G
19  |HD 9457                                                                                                                                                                                                                                              |Star                              |01 33 39.9605578368 +44 37 33.626071056|130.7945427711804 -17.6000957247638|  -10.262 8.119   |9.42     |F4III             |    ~     ~    |    1|  173.049   pc  |  -0.6528     +0.6528  |paral   |2020yCat.1350....0G
20  |HD 9482                                                                                                                                                                                                                                              |Star                              |01 33 56.5490096184 +44 16 09.697358460|130.9099246058987 -17.9429645267603|  -6.557 -4.843   |9.43     |K0                |    ~     ~    |    1|  521.159   pc  |  -4.1013     +4.1013  |paral   |2020yCat.1350....0G
21  |HD 9491                                                                                                                                                                                                                                              |Star                              |01 34 00.6561333048 +44 16 03.320932188|130.9229333111793 -17.9425935811115|-12.113 -30.868   |9.56     |G5                |    ~     ~    |    1|  312.510   pc  |  -1.5138     +1.5138  |paral   |2020yCat.1350....0G
22  |HD 9646                                                                                                                                                                                                                                              |Star                              |01 35 26.3798263896 +44 25 47.888053752|131.1571453226998 -17.7378991243533|  -2.690 -0.488   |9.63     |G5V               |    ~     ~    |    1|  508.751   pc  |  -5.4354     +5.4354  |paral   |2020yCat.1350....0G
23  |HD 9779                                                                                                                                                                                                                                              |Star                              |01 36 25.3602250968 +44 42 20.259489492|131.2857197129813 -17.4352147402289|  -1.757 -0.873   |9.81     |K0                |    ~     ~    |    1| 1636.393   pc  | -47.1290    +47.1290  |paral   |2020yCat.1350....0G
24  |HD 9089                                                                                                                                                                                                                                              |Star                              |01 30 20.1191797800 +43 51 44.910696060|130.3081271368388 -18.4514682013296| -7.271 -26.019   |9.21     |F2                |    ~     ~    |    1|  169.967   pc  |  -0.4507     +0.4507  |paral   |2020yCat.1350....0G
25  |HD 9096                                                                                                                                                                                                                                              |Star                              |01 30 30.0531243168 +44 08 06.279779760|130.2935286287796 -18.1775948458374|  -1.261 -0.824   |9.99     |K2III             |    ~     ~    |    1|  745.156   pc  | -16.3801    +16.3801  |paral   |2020yCat.1350....0G
26  |HD 9128                                                                                                                                                                                                                                              |Star                              |01 30 44.2136872224 +43 54 56.663974332|130.3744721616905 -18.3873608735286|   3.271 -5.883   |9.18     |K0                |    ~     ~    |    1|  509.684   pc  |  -4.9098     +4.9098  |paral   |2020yCat.1350....0G
27  |HD 9168                                                                                                                                                                                                                                              |Star                              |01 31 13.5891986280 +43 51 12.799647000|130.4767887986050 -18.4345270596091|   -8.510 1.501   |9.64     |K0                |    ~     ~    |    0|                |                       |        |                   
28  |HD 9322                                                                                                                                                                                                                                              |Star                              |01 32 39.3378526032 +43 56 12.187942872|130.7299203863517 -18.3100534534616|   9.178 -2.294   |9.73     |A4V               |    ~     ~    |    1|  332.005   pc  |  -1.6755     +1.6755  |paral   |2020yCat.1350....0G
29  |HD 9346                                                                                                                                                                                                                                              |Star                              |01 32 49.9878222912 +44 00 05.291054280|130.7516191145004 -18.2408571654280|   -2.067 4.409   |9.06     |K0                |    ~     ~    |    1|  817.528   pc  |  -9.7579     +9.7579  |paral   |2020yCat.1350....0G
30  |HD 9097                                                                                                                                                                                                                                              |High Proper Motion Star           |01 30 32.3845148712 +43 31 28.546283856|130.4033248196886 -18.7791700616364|-63.457 -80.205   |10.23    |G2III             |    ~     ~    |    1|  145.283   pc  |  -0.3863     +0.3863  |paral   |2020yCat.1350....0G
31  |HD 9275                                                                                                                                                                                                                                              |Star                              |01 32 07.6265343096 +43 42 55.425844224|130.6697476890477 -18.5441722552260| 14.850 -10.680   |9.00     |K0III             |    ~     ~    |    1|  646.371   pc  |  -7.5621     +7.5621  |paral   |2020yCat.1350....0G
32  |HD 9393                                                                                                                                                                                                                                              |Star                              |01 33 15.5232770256 +43 53 45.043072908|130.8499581941189 -18.3319940249064| 26.692 -11.827   |8.61     |A0p               |    ~     ~    |    1|  300.111   pc  |  -4.2782     +4.2782  |paral   |2020yCat.1350....0G
33  |HD 9492                                                                                                                                                                                                                                              |Star                              |01 34 08.0621216256 +44 05 38.313384900|130.9774592256946 -18.1097548921998|  -6.766 -2.289   |8.47     |A1Vv              |    ~     ~    |    0|                |                       |        |                   
