C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:25:01

dec >=0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2437

 #  |                                                                                                                     identifier                                                                                                                      |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+88 94                                                                                                                                                                                                                                             |Star                               |15 13 24.6695326104 +88 01 50.562605604|121.6282230219816 +28.7255745575343|   8.057 -0.026   |9.07     |M0              |    ~     ~    |    1|  894.614   pc  | -12.2451    +12.2451  |paral   |2020yCat.1350....0G
2   |BD+88 92                                                                                                                                                                                                                                             |Star                               |15 09 44.0502862368 +87 33 44.026662204|121.3485831890343 +29.1265820775863|  -5.863 -6.464   |9.85     |F5              |    ~     ~    |    1|  263.713   pc  |  -0.7928     +0.7928  |paral   |2020yCat.1350....0G
3   |BD+88 93                                                                                                                                                                                                                                             |Star                               |15 11 27.0678328608 +87 41 23.269882056|121.4168190977327 +29.0124224606179| -2.715 -21.793   |10.34    |G0              |    ~     ~    |    1|  300.607   pc  |  -1.0663     +1.0663  |paral   |2020yCat.1350....0G
4   |BD+87 148                                                                                                                                                                                                                                            |Star                               |15 01 09.8090287632 +87 26 09.398757156|121.3557097328650 +29.2835670589765|-21.829 -18.466   |9.51     |G2              |    ~     ~    |    1|  220.658   pc  |  -0.5307     +0.5307  |paral   |2020yCat.1350....0G
5   |BD+86 230                                                                                                                                                                                                                                            |Double or Multiple Star            |15 07 52.65218 +86 29 29.6943          |120.66058758 +30.01472679          |   -43.90 34.56   |9.81     |G5              |    ~     ~    |    0|                |                       |        |                   
6   |TYC 4646-17-1                                                                                                                                                                                                                                        |Star                               |15 01 36.2079682200 +89 33 51.312265452|122.6676888698618 +27.4953406633538| -20.790 18.915   |10.82    |~               |    ~     ~    |    1|  215.848   pc  |  -0.6616     +0.6616  |paral   |2020yCat.1350....0G
7   |BD+82 446                                                                                                                                                                                                                                            |Star                               |15 06 29.0215396392 +82 05 00.438674388|117.6586039183171 +33.6105498442729|   2.244 -0.328   |9.74     |F2              |    ~     ~    |    1|  232.786   pc  |  -0.6069     +0.6069  |paral   |2020yCat.1350....0G
8   |BD+82 448                                                                                                                                                                                                                                            |High Proper Motion Star            |15 09 48.0024521424 +82 09 55.851411996|117.6086009024137 +33.4767522407251| -35.903 88.259   |10.43    |K2              |    ~     ~    |    1|   61.569   pc  |  -0.0447     +0.0447  |paral   |2020yCat.1350....0G
9   |BD+82 449                                                                                                                                                                                                                                            |Star                               |15 12 29.0318270640 +81 54 18.332089812|117.3292725490914 +33.6259825109513|  -1.573 -5.363   |9.62     |M2              |    ~     ~    |    1| 1035.518   pc  | -15.5483    +15.5483  |paral   |2020yCat.1350....0G
10  |BD+82 450                                                                                                                                                                                                                                            |High Proper Motion Star            |15 11 58.9270686720 +82 13 30.539654436|117.5817946654151 +33.3843207277854| -43.474 47.025   |10.03    |K0              |    ~     ~    |    1|  253.794   pc  |  -0.7472     +0.7472  |paral   |2020yCat.1350....0G
11  |TYC 4566-1145-1                                                                                                                                                                                                                                      |Star                               |15 13 17.1184915872 +81 36 46.064551500|117.0844817804442 +33.8376838371792| -36.548 28.741   |10.89    |~               |    ~     ~    |    1|  284.998   pc  |  -1.0397     +1.0397  |paral   |2020yCat.1350....0G
12  |BD+86 227                                                                                                                                                                                                                                            |Horizontal Branch Star             |15 03 08.2533930672 +85 54 47.503584000|120.3542451006043 +30.5349790254519|    3.107 9.777   |10.06    |G8              |    ~     ~    |    1|  587.337   pc  |  -3.7601     +3.7601  |paral   |2020yCat.1350....0G
13  |BD+86 229                                                                                                                                                                                                                                            |High Proper Motion Star            |15 12 13.4723451912 +85 42 37.126481904|120.0607457082441 +30.6043226323843| -45.377 82.631   |9.45     |G5              |    ~     ~    |    1|   78.369   pc  |  -0.0583     +0.0583  |paral   |2020yCat.1350....0G
14  |V* TX UMi                                                                                                                                                                                                                                            |High Proper Motion Star            |15 07 46.2763593600 +85 45 00.023491116|120.1657718400319 +30.6209352902085|-108.289 42.584   |10.93    |K2:V:           |    ~     ~    |    1|   59.838   pc  |  -0.0322     +0.0322  |paral   |2020yCat.1350....0G
15  |BD+86 226                                                                                                                                                                                                                                            |Star                               |15 03 28.3984464168 +85 51 01.221925356|120.3074040909614 +30.5835619848391|  17.241 -3.663   |10.89    |G8:             |    ~     ~    |    1|  905.059   pc  |  -8.1094     +8.1094  |paral   |2020yCat.1350....0G
16  |BD+86 224                                                                                                                                                                                                                                            |Star                               |15 02 47.3224523592 +85 32 21.126284376|120.1161284324775 +30.8480057061548| 28.552 -29.111   |10.38    |G2              |    ~     ~    |    1|  189.512   pc  |  -0.4238     +0.4238  |paral   |2020yCat.1350....0G
17  |BD+86 225                                                                                                                                                                                                                                            |Spectroscopic Binary               |15 05 42.6352124184 +85 31 12.284898960|120.0488936915555 +30.8314312928747|-36.832 -69.946   |10.04    |G5              |    ~     ~    |    1|  177.974   pc  |  -2.2964     +2.2964  |paral   |2020yCat.1350....0G
18  |BD+85 252                                                                                                                                                                                                                                            |Star                               |15 00 05.0530605216 +84 40 11.533153548|119.6036197215208 +31.6009780172979| 13.303 -11.053   |10.25    |G5              |    ~     ~    |    1|  135.027   pc  |  -0.1933     +0.1933  |paral   |2020yCat.1350....0G
19  |BD+85 253                                                                                                                                                                                                                                            |Star                               |15 00 06.6352493184 +85 18 19.950620544|120.0158976636230 +31.0717530328509| -10.476 -3.726   |10.68    |F8              |    ~     ~    |    1|  324.160   pc  |  -1.9545     +1.9545  |paral   |2020yCat.1350....0G
20  |AG+85 242                                                                                                                                                                                                                                            |Long-Period Variable Candidate     |15 07 44.1377140464 +84 57 07.530285816|119.6254864558519 +31.2705153214746|   5.612 -7.403   |9.85     |M2              |    ~     ~    |    1|  906.783   pc  | -20.7208    +20.7208  |paral   |2020yCat.1350....0G
21  |BD+85 257                                                                                                                                                                                                                                            |Double or Multiple Star            |15 12 20.9062682520 +84 45 47.140353972|119.3969742665691 +31.3615577704018|-15.579 -11.853   |9.303    |F0              |    ~     ~    |    1|  225.963   pc  |  -9.8442     +9.8442  |paral   |2020yCat.1350....0G
22  |BD+85 258                                                                                                                                                                                                                                            |Double or Multiple Star            |15 14 17.309160 +84 52 02.49312        |119.429869525 +31.252004059        |       -3.5 1.2   |10.372   |F5              |    ~     ~    |    0|                |                       |        |                   
23  |BD+84 343                                                                                                                                                                                                                                            |Star                               |15 10 34.1812321152 +83 57 02.755380204|118.8651707114461 +32.0376202459634|  44.289 14.801   |9.67     |K0              |    ~     ~    |    1|   45.834   pc  |  -0.0250     +0.0250  |paral   |2020yCat.1350....0G
24  |BD+84 344                                                                                                                                                                                                                                            |Star                               |15 13 29.0125652784 +83 31 27.601083552|118.4854269492010 +32.3289215570543|  16.514 -5.001   |10.41    |F0              |    ~     ~    |    1|  286.730   pc  |  -1.3483     +1.3483  |paral   |2020yCat.1350....0G
25  |HD 135756                                                                                                                                                                                                                                            |Star                               |15 03 34.4950981632 +82 49 28.464665520|118.2714055859969 +33.0662542373128|  11.909 -6.554   |7.61     |K2              |    ~     ~    |    1|  378.415   pc  |  -2.3628     +2.3628  |paral   |2020yCat.1350....0G
26  |HD 135853                                                                                                                                                                                                                                            |High Proper Motion Star            |15 02 48.5967705024 +83 25 32.081812824|118.7055713829970 +32.5881035229435| -80.595 27.436   |9.17     |K0              |    ~     ~    |    1|   66.247   pc  |  -0.0531     +0.0531  |paral   |2020yCat.1350....0G
27  |BD+83 442                                                                                                                                                                                                                                            |Chemically Peculiar Star           |15 06 50.0120588760 +82 45 23.063333724|118.1248858159278 +33.0616947399356|  -2.841 -0.499   |9.97     |C2,0+_CH3       |    ~     ~    |    1| 1315.963   pc  | -18.3566    +18.3566  |paral   |2020yCat.1350....0G
