C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:27:08

dec >=0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3071

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+86 233                                                                                                |Horizontal Branch Star              |15 22 04.4914323768 +86 17 11.993020872|120.3120116656724 +30.0435063658300| -29.859 16.524   |9.88     |G8                |    ~     ~    |    1|  501.002   pc  |  -2.4849     +2.4849  |paral   |2020yCat.1350....0G
2   |BD+88 96                                                                                                 |Star                                |15 23 11.3890476864 +88 08 48.408360288|121.6345214942013 +28.5838642036022|   2.727 -7.898   |9.66     |F2                |    ~     ~    |    1|  546.837   pc  |  -3.3491     +3.3491  |paral   |2020yCat.1350....0G
3   |BD+87 149                                                                                                |High Proper Motion Star             |15 17 43.6217284560 +86 35 26.609750952|120.5906396163374 +29.8467489345255| -54.054 50.243   |9.53     |G8                |    ~     ~    |    1|  259.484   pc  |  -0.7811     +0.7811  |paral   |2020yCat.1350....0G
4   |HD 145367                                                                                                |Star                                |15 26 20.4320835864 +87 26 07.624568976|121.0957886110030 +29.1169982013155| -37.829 21.065   |9.08     |F8                |    ~     ~    |    1|  132.753   pc  |  -0.2591     +0.2591  |paral   |2020yCat.1350....0G
5   |BD+86 232                                                                                                |Star                                |15 18 12.2659702800 +86 21 52.953206544|120.4241369934069 +30.0208660935598|  -6.815 20.775   |10.37    |F8                |    ~     ~    |    1|  357.309   pc  |  -1.5703     +1.5703  |paral   |2020yCat.1350....0G
6   |BD+88 95                                                                                                 |Star                                |15 15 34.3515635736 +88 02 10.680862344|121.6149799615059 +28.7100781135505| -6.888 -11.412   |10.74    |G2                |    ~     ~    |    1|  251.484   pc  |  -1.2902     +1.2902  |paral   |2020yCat.1350....0G
7   |TYC 4642-657-1                                                                                           |Star                                |15 21 15.9995581968 +87 24 16.929694656|121.1244980766028 +29.1768032315088|  -2.706 -4.721   |10.82    |~                 |    ~     ~    |    1|  711.389   pc  |  -5.3138     +5.3138  |paral   |2020yCat.1350....0G
8   |BD+82 452                                                                                                |Star                                |15 17 14.5742476872 +82 10 40.278825480|117.3794347822154 +33.3101096583809|   -4.881 0.802   |10.26    |K2                |    ~     ~    |    1| 1081.081   pc  | -12.1549    +12.1549  |paral   |2020yCat.1350....0G
9   |BD+82 454                                                                                                |Star                                |15 18 31.7799669408 +81 59 13.839643932|117.1933597235229 +33.4291578452988| -40.702 -1.763   |8.72     |K0                |    ~     ~    |    1|  164.493   pc  |  -0.3355     +0.3355  |paral   |2020yCat.1350....0G
10  |BD+82 457                                                                                                |Star                                |15 24 04.3076520816 +82 30 02.634493572|117.4197639374384 +32.9165666987785|    2.415 1.261   |10.58    |F5                |    ~     ~    |    1|  553.465   pc  |  -4.3498     +4.3498  |paral   |2020yCat.1350....0G
