C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:29:15

dec >=0&rah >=15.5&rah< 15.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2751

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+86 234                                                             |Spectroscopic Binary              |15 33 45.9671740752 +85 59 30.749010864|119.9179300894355 +30.1399749361813|   -7.425 3.544  |9.55     |F2               |    ~     ~    |    1|  329.815   pc  |  -1.3053     +1.3053  |paral   |2020yCat.1350....0G
2   |BD+86 235                                                             |High Proper Motion Star           |15 32 19.2071949240 +86 14 02.047514964|120.1254037026200 +29.9758682345449| 41.733 -47.583  |10.65    |G5               |    ~     ~    |    1|  140.050   pc  |  -0.2118     +0.2118  |paral   |2020yCat.1350....0G
3   |BD+86 237                                                             |Star                              |15 40 53.5006745976 +86 21 25.936768944|120.1042482071836 +29.7914004014185|    9.860 1.272  |10.29    |G5               |    ~     ~    |    1|  471.476   pc  |  -2.2451     +2.2451  |paral   |2020yCat.1350....0G
4   |BD+86 236                                                             |Star                              |15 42 41.5560445704 +85 38 58.379712036|119.5095218344263 +30.2778844040606|   -4.297 0.825  |10.73    |F0               |    ~     ~    |    1|  381.257   pc  |  -1.8170     +1.8170  |paral   |2020yCat.1350....0G
5   |BD+85 268                                                             |Star                              |15 36 27.9256187808 +85 23 25.480677048|119.4038298671648 +30.5492126394557| -22.575 -4.868  |10.48    |G0               |    ~     ~    |    1|  255.056   pc  |  -0.8912     +0.8912  |paral   |2020yCat.1350....0G
6   |HD 143802                                                             |High Proper Motion Star           |15 38 59.4008876688 +85 17 09.376473696|119.2772519318045 +30.5900523198437| -63.225 33.538  |6.890    |A5               |    ~     ~    |    1|  127.201   pc  |  -0.3624     +0.3624  |paral   |2020yCat.1350....0G
7   |BD+85 270                                                             |Star                              |15 41 45.0188783304 +85 14 28.987865088|119.1936924178544 +30.5824956664440|  -16.194 4.560  |10.28    |K2               |    ~     ~    |    1|  946.432   pc  | -11.1071    +11.1071  |paral   |2020yCat.1350....0G
8   |2MASS J15425845+8604050                                               |Red Giant Branch star             |15 42 58.4220393288 +86 04 04.949846616|119.8439201184209 +29.9753797076833| -6.825 -14.449  |10.96    |~                |    ~     ~    |    1|  689.750   pc  |  -4.6148     +4.6148  |paral   |2020yCat.1350....0G
9   |BD+89 30                                                              |Star                              |15 32 41.4097673304 +88 57 29.545688664|122.1691516400476 +27.9205770027817| -12.966 37.355  |10.21    |F8               |    ~     ~    |    1|  247.991   pc  |  -0.9963     +0.9963  |paral   |2020yCat.1350....0G
10  |BD+88 97                                                              |Star                              |15 37 36.6030758184 +87 54 35.411596200|121.3520139630524 +28.6837825765025|  -8.220 11.821  |10.65    |F8               |    ~     ~    |    1|  471.520   pc  |  -2.5123     +2.5123  |paral   |2020yCat.1350....0G
