C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:33:29

dec >=0&rah >=16.0&rah< 16.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3147

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1   |V* W UMi                                                                                                                                    |Eclipsing Binary                    |16 08 27.2683602360 +86 11 59.550808020|119.6223661124032 +29.5696356861347| -11.839 15.943  |8.65     |A2V            |    ~     ~          |    1|  410.273   pc  |  -2.8447     +2.8447  |paral   |2020yCat.1350....0G
2   |BD+85 272                                                                                                                                   |Star                                |16 08 44.7963764808 +85 04 12.808059636|118.6037521929359 +30.2744502439954|-32.420 -36.688  |10.33    |G0             |    ~     ~          |    1|  235.805   pc  |  -0.7062     +0.7062  |paral   |2020yCat.1350....0G
3   |BD+85 273                                                                                                                                   |Star                                |16 14 53.8264056192 +85 23 31.773660648|118.8067805738459 +29.9759102413936|  7.521 -13.292  |10.34    |G8             |    ~     ~          |    1|  703.284   pc  |  -4.9461     +4.9461  |paral   |2020yCat.1350....0G
4   |BD+84 356                                                                                                                                   |Star                                |16 01 54.7891701384 +84 22 01.854302736|118.0878320842244 +30.8414735699819|  11.963 -2.665  |10.29    |F0             |    ~     ~          |    1|  459.834   pc  |  -2.6219     +2.6219  |paral   |2020yCat.1350....0G
5   |BD+84 358                                                                                                                                   |Star                                |16 09 28.4425530264 +84 17 35.851625556|117.8841154425447 +30.7429655444071|  -13.923 7.136  |9.43     |F8             |    ~     ~          |    1|  253.190   pc  |  -1.8270     +1.8270  |paral   |2020yCat.1350....0G
6   |HD 149501                                                                                                                                   |Star                                |16 13 34.5197868696 +84 33 06.999400080|118.0516951184622 +30.5062583042566|   7.336 15.785  |8.57     |A5             |    ~     ~          |    1|  219.385   pc  |  -0.9241     +0.9241  |paral   |2020yCat.1350....0G
7   |TYC 4651-1232-1                                                                                                                             |Horizontal Branch Star              |16 00 55.8394363608 +85 06 29.683117836|118.7612182900335 +30.3790815808320|  -1.224 -7.835  |10.69    |~              |    ~     ~          |    1|  887.469   pc  |  -8.5061     +8.5061  |paral   |2020yCat.1350....0G
8   |BD+88 100                                                                                                                                   |Spectroscopic Binary                |16 08 57.3209829384 +87 58 37.815780036|121.1859792274964 +28.4343843120431| -20.441 28.106  |9.06     |G0             |    ~     ~          |    1|   96.232   pc  |  -2.2587     +2.2587  |paral   |2020yCat.1350....0G
9   |BD+88 101                                                                                                                                   |Star                                |16 09 34.7778472944 +88 30 42.270901956|121.6485256915804 +28.0882530168378|    1.692 0.894  |9.24     |F5             |    ~     ~          |    1|  261.199   pc  |  -0.7641     +0.7641  |paral   |2020yCat.1350....0G
10  |BD+87 155                                                                                                                                   |Star                                |16 04 14.8664017800 +86 51 45.223753176|120.2529722449175 +29.1938326789243|   11.908 4.569  |9.94     |G5             |    ~     ~          |    1|  551.785   pc  |  -3.1360     +3.1360  |paral   |2020yCat.1350....0G
