C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 150075                                                                                                                                   |Star                                |16 19 52.2990503808 +83 41 50.163278352|117.1382639374619 +30.8795357575112| -18.403 20.524   |7.13     |A2             |    ~     ~    |    1|  118.833   pc  |  -0.3460     +0.3460  |paral   |2020yCat.1350....0G
2   |BD+84 364                                                                                                                                   |Star                                |16 26 25.6892864400 +83 45 59.109105960|117.0875492261444 +30.6926980294015|  -25.332 9.515   |10.69    |F8             |    ~     ~    |    1|  192.045   pc  |  -1.9252     +1.9252  |paral   |2020yCat.1350....0G
3   |BD+83 481                                                                                                                                   |Star                                |16 23 53.9396142168 +83 16 57.899547480|116.6644371380277 +31.0199341894643|   3.601 -1.576   |9.87     |A2             |    ~     ~    |    1|  545.941   pc  |  -5.7524     +5.7524  |paral   |2020yCat.1350....0G
4   |BD+83 482                                                                                                                                   |Star                                |16 24 14.9902292928 +83 36 04.897419084|116.9663222347522 +30.8340557517029|  -4.462 25.096   |9.97     |K0             |    ~     ~    |    1|  644.995   pc  |  -4.7842     +4.7842  |paral   |2020yCat.1350....0G
5   |BD+83 483                                                                                                                                   |Star                                |16 26 04.5123057624 +83 10 52.130466336|116.5242804462329 +31.0226062037901| -11.942 24.775   |10.56    |G5             |    ~     ~    |    1|  235.195   pc  |  -0.6085     +0.6085  |paral   |2020yCat.1350....0G
6   |TYC 4647-1402-1                                                                                                                             |Star                                |16 19 51.2917242840 +83 33 54.934760232|117.0126062697711 +30.9557257715231| 23.667 -15.436   |10.61    |~              |    ~     ~    |    1|  373.065   pc  |  -1.8511     +1.8511  |paral   |2020yCat.1350....0G
7   |BD+87 159                                                                                                                                   |High Proper Motion Star             |16 24 22.7222269536 +86 47 49.569554832|119.9980923839720 +29.0146847400609| -27.006 64.965   |10.70    |G5             |    ~     ~    |    1|  142.568   pc  |  -0.2602     +0.2602  |paral   |2020yCat.1350....0G
8   |BD+86 246                                                                                                                                   |Star                                |16 16 42.4918529544 +86 19 42.007085004|119.6429963131749 +29.3845724111351| -26.546 -6.748   |9.79     |G0             |    ~     ~    |    1|  134.664   pc  |  -0.2448     +0.2448  |paral   |2020yCat.1350....0G
9   |BD+86 247                                                                                                                                   |Star                                |16 21 08.6954394720 +86 00 00.465142932|119.2892949499194 +29.5200587501220|-13.190 -19.400   |10.31    |G0             |    ~     ~    |    1|  283.415   pc  |  -1.1406     +1.1406  |paral   |2020yCat.1350....0G
10  |BD+86 251                                                                                                                                   |Star                                |16 25 49.5401659392 +86 33 17.305007112|119.7575846721811 +29.1370093649832|    3.157 2.742   |10.37    |G5             |    ~     ~    |    1|  784.437   pc  |  -7.5072     +7.5072  |paral   |2020yCat.1350....0G
11  |BD+86 252                                                                                                                                   |Star                                |16 29 23.2972292208 +86 26 00.897636840|119.6078405339974 +29.1606137894897|  -1.869 -6.575   |9.99     |G9+III         |    ~     ~    |    1|  522.685   pc  | -19.4245    +19.4245  |paral   |2020yCat.1350....0G
12  |BD+85 274                                                                                                                                   |High Proper Motion Star             |16 21 01.9464465624 +84 51 39.657822552|118.2227877292053 +30.1848881399348| -44.633 45.903   |10.03    |G0             |    ~     ~    |    1|  104.434   pc  |  -0.1723     +0.1723  |paral   |2020yCat.1350....0G
13  |BD+85 275                                                                                                                                   |Star                                |16 25 47.7343210848 +85 18 30.067654968|118.5794830563067 +29.8456181336309|  -6.743 31.229   |9.78     |G0             |    ~     ~    |    1|  159.541   pc  |  -1.9548     +1.9548  |paral   |2020yCat.1350....0G
14  |BD+85 276                                                                                                                                   |Star                                |16 24 50.3374148496 +85 40 35.608487484|118.9410908992636 +29.6523220417308| -15.531 -3.611   |10.46    |G8             |    ~     ~    |    1|  331.400   pc  |  -1.2740     +1.2740  |paral   |2020yCat.1350....0G
