C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:38:06

dec >=0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4307

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |AG+82 488                                                                                                                                   |Long-Period Variable Candidate      |16 31 53.5691030616 +82 46 06.404535336|116.0062364891930 +31.0932840071549|  -0.066 -1.425    |10.08    |K0                 |    ~     ~    |    1| 1638.54    pc  | -29.8014    +29.8014  |paral   |2020yCat.1350....0G
2   |BD+83 486                                                                                                                                   |Star                                |16 32 19.5869817768 +83 22 32.616380676|116.6011512880201 +30.7638400084840|  10.426 15.986    |9.42     |G5                 |    ~     ~    |    1|  488.926   pc  |  -2.8447     +2.8447  |paral   |2020yCat.1350....0G
3   |BD+83 487                                                                                                                                   |Spectroscopic Binary                |16 31 54.9172909560 +83 37 28.615212408|116.8542331487916 +30.6424785807657| -10.700 12.153    |9.90     |G5                 |    ~     ~    |    1|   87.252   pc  |  -1.5607     +1.5607  |paral   |2020yCat.1350....0G
4   |BD+83 489                                                                                                                                   |Star                                |16 35 46.0080957720 +82 58 08.919594948|116.1344030810443 +30.8867399169247|-19.573 -12.764    |9.71     |G5                 |    ~     ~    |    1|  287.994   pc  |  -0.8543     +0.8543  |paral   |2020yCat.1350....0G
5   |BD+83 490                                                                                                                                   |Star                                |16 34 15.5608689624 +83 43 01.281048096|116.9062061966635 +30.5389861304901| -20.810 22.073    |10.03    |K0                 |    ~     ~    |    1|  608.421   pc  |  -3.9609     +3.9609  |paral   |2020yCat.1350....0G
6   |BD+83 491                                                                                                                                   |Star                                |16 39 49.2541686888 +83 38 16.542838932|116.7366586246258 +30.4475852345171| -1.539 -12.062    |10.52    |F5                 |    ~     ~    |    1|  427.679   pc  |  -2.4876     +2.4876  |paral   |2020yCat.1350....0G
7   |BD+83 492                                                                                                                                   |High Proper Motion Star             |16 42 28.1033571408 +83 40 25.750811064|116.7309772054482 +30.3662646860715|  2.045 -50.206    |9.72     |G0                 |    ~     ~    |    1|  186.905   pc  |  -0.4506     +0.4506  |paral   |2020yCat.1350....0G
8   |BD+82 495                                                                                                                                   |Star                                |16 39 06.1640494656 +82 28 51.432275640|115.5799786508287 +31.0398736190983|  -1.470 10.041    |10.48    |K0                 |    ~     ~    |    1|  610.426   pc  |  -4.5832     +4.5832  |paral   |2020yCat.1350....0G
9   |BD+82 496                                                                                                                                   |Star                                |16 40 57.3691338072 +82 21 53.154790848|115.4268172027892 +31.0433031018836| -17.909 12.252    |8.90     |K0                 |    ~     ~    |    1|  306.091   pc  |  -1.2648     +1.2648  |paral   |2020yCat.1350....0G
10  |HIP 81664                                                                                                                                   |Star                                |16 40 57.3183852792 +82 21 41.120573832|115.4234194572332 +31.0449465505732|  -0.455 14.204    |10.43    |~                  |    ~     ~    |    1|  298.383   pc  |  -1.2910     +1.2910  |paral   |2020yCat.1350....0G
