C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:40:16

dec >=0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3749

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+81 565                                                                                                |High Proper Motion Star             |16 50 23.3306435544 +80 54 06.780742596|113.7233347114220 +31.4107100101290|-10.001 119.384   |10.62    |K2                     |    ~     ~    |    1|  112.309   pc  |  -0.1917     +0.1917  |paral   |2020yCat.1350....0G
2   |BD+81 566                                                                                                |Star                                |16 53 31.0863049584 +80 59 55.763068704|113.7641430998928 +31.2579910314687|  13.741 12.883   |10.30    |A2                     |    ~     ~    |    1|  288.825   pc  |  -4.5130     +4.5130  |paral   |2020yCat.1350....0G
3   |BD+81 567                                                                                                |High Proper Motion Star             |16 54 11.1000587304 +80 56 55.469970168|113.6981212736299 +31.2553504794492| -47.263 50.451   |10.44    |G0                     |    ~     ~    |    1|  153.860   pc  |  -0.3646     +0.3646  |paral   |2020yCat.1350....0G
4   |HD 155153                                                                                                |Star                                |16 56 24.1452649560 +80 51 34.470321624|113.5607368022052 +31.2125610363175|    0.498 9.098   |6.620    |G5                     |    ~     ~    |    1|  235.933   pc  |  -1.0354     +1.0354  |paral   |2020yCat.1350....0G
5   |BD+80 535                                                                                                |Star                                |16 57 35.8817822616 +80 15 23.353641216|112.8919450306911 +31.4116636089756|  0.601 -18.169   |9.73     |F8                     |    ~     ~    |    1|  241.394   pc  |  -0.8915     +0.8915  |paral   |2020yCat.1350....0G
6   |TYC 4576-862-1                                                                                           |Star                                |16 59 34.2563149536 +80 32 56.870083104|113.1682197865503 +31.2201104956660|    0.021 5.198   |9.98     |~                      |    ~     ~    |    1|  674.036   pc  |  -4.7250     +4.7250  |paral   |2020yCat.1350....0G
7   |TYC 4576-887-1                                                                                           |Star                                |16 54 38.2513762896 +80 17 16.456523316|112.9850733660887 +31.5132312099263|   -5.357 5.566   |9.93     |~                      |    ~     ~    |    1|  641.519   pc  |  -4.1978     +4.1978  |paral   |2020yCat.1350....0G
8   |TYC 4576-1156-1                                                                                          |Star                                |16 55 03.8068532376 +80 30 36.246188916|113.2138259830545 +31.4055414674463| 13.738 -47.484   |10.23    |~                      |    ~     ~    |    1|  187.077   pc  |  -0.4235     +0.4235  |paral   |2020yCat.1350....0G
9   |TYC 4576-1311-1                                                                                          |Star                                |16 58 35.2132169208 +80 32 06.850695948|113.1720117361033 +31.2627336403926| -0.067 -16.518   |10.45    |~                      |    ~     ~    |    1|  886.525   pc  |  -8.9596     +8.9596  |paral   |2020yCat.1350....0G
10  |TYC 4580-760-1                                                                                           |Star                                |16 56 33.6921221208 +81 09 26.314607160|113.8749667879026 +31.0846436439848|   -3.398 9.012   |10.71    |~                      |    ~     ~    |    1| 1075.847   pc  | -13.3106    +13.3106  |paral   |2020yCat.1350....0G
11  |HD 154098                                                                                                |Star                                |16 45 21.1063783416 +83 11 06.196535196|116.1879402713494 +30.5291258526631|  -11.312 0.667   |8.53     |K0                     |    ~     ~    |    1|  355.353   pc  |  -1.9952     +1.9952  |paral   |2020yCat.1350....0G
12  |BD+83 494                                                                                                |Star                                |16 46 25.9891058424 +83 21 30.309203340|116.3479125969907 +30.4193564579239| -14.465 18.179   |10.41    |F0                     |    ~     ~    |    1|  369.973   pc  |  -2.2311     +2.2311  |paral   |2020yCat.1350....0G
13  |BD+83 495                                                                                                |Star                                |16 49 57.9110353272 +83 11 07.895364000|116.1146812854175 +30.4077089633162| -16.414 -6.402   |9.77     |K2                     |    ~     ~    |    1|  801.154   pc  |  -6.8678     +6.8678  |paral   |2020yCat.1350....0G
14  |BD+83 496                                                                                                |Spectroscopic Binary                |16 49 26.5753281216 +83 42 39.489341868|116.6634162789728 +30.1800652657444|  -5.556 26.368   |10.76    |F8                     |    ~     ~    |    1|  319.724   pc  |  -5.4383     +5.4383  |paral   |2020yCat.1350....0G
15  |BD+83 497                                                                                                |Star                                |16 53 33.3617394960 +83 10 56.748708444|116.0561434910518 +30.3138512527527| -22.297 15.944   |9.44     |K0                     |    ~     ~    |    1|  279.979   pc  |  -0.8779     +0.8779  |paral   |2020yCat.1350....0G
