C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
1   |BD+77 651                                                             |Star                           |17 09 18.6693102072 +77 40 42.009792420|109.8329446122687 +31.8258429514836|   0.981 -2.923    |9.35     |K2                   |    ~     ~    
2   |BD+77 653                                                             |High Proper Motion Star        |17 13 36.7869541560 +76 54 13.295667852|108.8798346835875 +31.8441893104260| -17.196 57.362    |8.76     |K0                   |    ~     ~    
3   |HD 157602                                                             |Spectroscopic Binary           |17 14 25.1601994776 +77 21 03.230409960|109.3654132628724 +31.6666203990682|  -1.191 -6.230    |7.84     |G5                   |    ~     ~    
4   |BD+76 639                                                             |Star                           |17 14 46.8351564528 +76 23 26.962851084|108.2793579366868 +31.9315182914874|  4.975 -31.605    |9.86     |~                    |    ~     ~    
5   |TYC 4572-146-1                                                        |Star                           |17 14 20.4410427144 +76 52 34.297977360|108.8344240441457 +31.8130480545923|  -22.333 1.674    |10.59    |~                    |    ~     ~    
6   |TYC 4572-268-1                                                        |Star                           |17 11 12.5795690664 +77 21 11.374167780|109.4317066878952 +31.8330430772048|  4.806 -31.455    |10.88    |~                    |    ~     ~    
7   |TYC 4572-323-1                                                        |Star                           |17 12 59.5631021688 +78 18 45.225728964|110.4658224665608 +31.4404724123565|  -13.535 3.310    |9.94     |~                    |    ~     ~    
8   |TYC 4572-649-1                                                        |Spectroscopic Binary           |17 08 09.8186931816 +77 48 51.361152552|110.0076197704808 +31.8385224825599| -4.758 -12.357    |10.85    |~                    |    ~     ~    
9   |TYC 4572-845-1                                                        |Star                           |17 07 34.5600164664 +78 16 03.249841476|110.5218663705581 +31.7148413570204|  -8.151 16.049    |9.98     |~                    |    ~     ~    
10  |TYC 4572-957-1                                                        |Spectroscopic Binary           |17 07 54.4362648216 +78 01 27.708408408|110.2459071794762 +31.7809440564839|    7.143 1.879    |10.30    |~                    |    ~     ~    
