C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:15:02

Vmag< 11&dec >=0&rah >=17.25&rah< 17.5
--------------------------------------

Number of objects : 4313

 #  |                                                                                                                     identifier                                                                                                                      |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------
1   |BD+70 933                                                                                                                                                                                                                                            |Double or Multiple Star        |17 29 37.5401 +69 52 37.610            |100.5001684 +32.3536134            |  -25.30 -29.60    |10.42    |G0              |    ~     ~    
2   |TYC 4421-356-1                                                                                                                                                                                                                                       |Star                           |17 29 45.9050429616 +69 48 42.848988516|100.4216950516353 +32.3521473090530|  14.572 19.386    |10.38    |~               |    ~     ~    
3   |HD 158997                                                                                                                                                                                                                                            |High Proper Motion Star        |17 25 09.6489293856 +72 51 40.205235672|104.0456698980024 +32.1509716981876|-18.188 105.526    |8.76     |F5              |    ~     ~    
4   |HD 159218                                                                                                                                                                                                                                            |Star                           |17 26 27.3231515808 +72 48 21.830384592|103.9586261142971 +32.0689654775294|  -1.753 23.287    |7.62     |K0              |    ~     ~    
5   |BD+72 796                                                                                                                                                                                                                                            |Star                           |17 28 39.5885792232 +72 17 06.991528812|103.3178824931692 +32.0095532586229|  -3.854 -8.585    |9.44     |G0              |    ~     ~    
6   |BD+71 844                                                                                                                                                                                                                                            |Double or Multiple Star        |17 27 54.1910 +71 12 18.127            |102.0772908 +32.2682522            |    -1.10 10.60    |9.62     |F5              |    ~     ~    
7   |HD 159711                                                                                                                                                                                                                                            |Star                           |17 29 41.4265464600 +71 16 13.180618164|102.1229779565243 +32.1152095510898|    1.981 5.898    |8.58     |A0              |    ~     ~    
8   |BD+70 931                                                                                                                                                                                                                                            |Star                           |17 28 28.2005297064 +70 19 51.335248440|101.0492796567236 +32.3757826909002|  1.750 -11.279    |9.87     |K0              |    ~     ~    
9   |BD+70 932                                                                                                                                                                                                                                            |Star                           |17 29 21.5490780360 +70 30 16.811812512|101.2370557157356 +32.2730273401087|   -9.062 4.835    |9.89     |G5              |    ~     ~    
10  |TYC 4424-31-1                                                                                                                                                                                                                                        |Star                           |17 27 18.2497390968 +72 07 09.933906540|103.1492184471759 +32.1430139563530|  1.721 -18.073    |10.87    |~               |    ~     ~    
11  |TYC 4424-335-1                                                                                                                                                                                                                                       |Star                           |17 28 56.5979724696 +71 58 08.911532928|102.9467883194486 +32.0474393384377|   5.380 -1.043    |10.96    |~               |    ~     ~    
12  |TYC 4424-507-1                                                                                                                                                                                                                                       |Star                           |17 26 42.9429615936 +72 19 03.293079348|103.3891115792231 +32.1482353033460| -3.714 -33.405    |10.00    |~               |    ~     ~    
