C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:25:48

dec >=0&rah >=1.75&rah< 2.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5595

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
1   |BD+43 359                                                                                                |Star                                |01 45 37.2025153224 +44 31 44.885775684|133.0027695427637 -17.2805177449876| 28.858 -27.417  |9.77     |A4III          |    ~     ~            |    1|  183.726   pc  |  -1.1612     +1.1612  |paral   |2020yCat.1350....0G
2   |HD 10953                                                                                                 |Star                                |01 48 38.8243790472 +44 25 39.490146804|133.5776502047094 -17.2583332223281| -16.604 -2.682  |9.18     |K0III          |    ~     ~            |    1|  536.078   pc  |  -4.8280     +4.8280  |paral   |2020yCat.1350....0G
3   |BD+43 361                                                                                                |Star                                |01 45 49.7800371360 +43 52 35.477970204|133.1912298343165 -17.9090429938263|  -6.962 -3.658  |10.88    |F2             |    ~     ~            |    1|  597.336   pc  |  -7.1719     +7.1719  |paral   |2020yCat.1350....0G
4   |BD+43 362                                                                                                |Star                                |01 46 06.0567093408 +43 56 37.606019496|133.2257293326773 -17.8326709735367|  -1.368 -4.018  |9.90     |G2III          |    ~     ~            |    1| 1223.242   pc  | -28.2804    +28.2804  |paral   |2020yCat.1350....0G
5   |BD+43 363                                                                                                |Star                                |01 46 07.7649300192 +43 50 12.055690500|133.2558561192184 -17.9359866009578|-13.070 -31.927  |10.51    |F8             |    ~     ~            |    1|  233.443   pc  |  -1.3351     +1.3351  |paral   |2020yCat.1350....0G
6   |BD+43 365                                                                                                |Star                                |01 46 32.0091999696 +43 50 40.773630876|133.3286640290497 -17.9120399913175|   3.588 -7.690  |9.64     |K5             |    ~     ~            |    1| 1406.668   pc  | -54.2168    +54.2168  |paral   |2020yCat.1350....0G
7   |BD+43 369                                                                                                |Double or Multiple Star             |01 47 59.3717990808 +43 53 26.233340964|133.5863903911181 -17.8080822199160|  -4.131 -2.702  |10.54    |F5V            |    ~     ~            |    1|  984.446   pc  | -23.2592    +23.2592  |paral   |2020yCat.1350....0G
8   |BD+43 370                                                                                                |Star                                |01 48 07.6345424856 +44 13 40.854189216|133.5308073951632 -17.4739541803919| 16.680 -28.665  |9.78     |G2III          |    ~     ~            |    1|  257.998   pc  |  -1.2647     +1.2647  |paral   |2020yCat.1350....0G
9   |HD 10673A                                                                                                |Star                                |01 45 02.5058787576 +43 42 22.791112704|133.0844217520877 -18.1061851372493|  1.322 -16.498  |8.52     |F0             |    ~     ~            |    1|  195.507   pc  |  -0.7530     +0.7530  |paral   |2020yCat.1350....0G
10  |HD 10673B                                                                                                |Star                                |01 45 02.8901869344 +43 42 19.683962064|133.0858076691257 -18.1067764416711|  0.898 -16.402  |8.75     |~              |    ~     ~            |    1|  195.718   pc  |  -0.8274     +0.8274  |paral   |2020yCat.1350....0G
11  |BD+42 363                                                                                                |Star                                |01 45 11.8274097792 +43 22 21.760090284|133.1897810791315 -18.4256921776195|    9.132 3.484  |9.95     |G5V            |    ~     ~            |    1|  617.703   pc  | -15.6820    +15.6820  |paral   |2020yCat.1350....0G
12  |HD 10695                                                                                                 |Star                                |01 45 22.7220919896 +43 26 06.751697892|133.2093171215239 -18.3575012909060|  -6.830 -0.017  |8.41     |K2             |    ~     ~            |    1|  791.264   pc  | -16.2786    +16.2786  |paral   |2020yCat.1350....0G
13  |HD 10704                                                                                                 |Star                                |01 45 34.0727618664 +43 43 20.736459624|133.1783341483829 -18.0697481942009| -10.542 -0.456  |9.55     |A              |    ~     ~            |    1|  336.327   pc  |  -2.2623     +2.2623  |paral   |2020yCat.1350....0G
14  |BD+42 367                                                                                                |Star                                |01 45 55.8010604304 +43 32 31.368958836|133.2873439150301 -18.2313054995638|   23.107 0.011  |9.78     |K0             |    ~     ~            |    1|  593.190   pc  |  -6.5801     +6.5801  |paral   |2020yCat.1350....0G
15  |HD 10773                                                                                                 |Star                                |01 46 19.1219905200 +43 42 20.469364920|133.3214096892237 -18.0561555129687|  -5.522 -6.693  |7.46     |A0             |    ~     ~            |    1|  652.699   pc  | -17.1684    +17.1684  |paral   |2020yCat.1350....0G
16  |BD+42 371                                                                                                |Double or Multiple Star             |01 46 32.0997 +43 34 57.300            |133.3903684 -18.1674644            | -15.052 38.009  |9.39     |F8III          |    ~     ~            |    0|                |                       |        |                   
17  |TYC 2827-321-1                                                                                           |Star                                |01 48 17.7640840872 +44 27 46.564237908|133.5053208524327 -17.2383561598599|   6.570 -7.755  |10.37    |~              |    ~     ~            |    1| 1219.512   pc  | -31.8263    +31.8263  |paral   |2020yCat.1350....0G
18  |TYC 2827-457-1                                                                                           |Star                                |01 47 46.4140293072 +43 54 50.336747028|133.5410161114642 -17.7942001427570| 11.631 -11.069  |9.83     |~              |    ~     ~            |    1|  302.948   pc  |  -2.3587     +2.3587  |paral   |2020yCat.1350....0G
19  |TYC 2827-669-1                                                                                           |Star                                |01 45 26.8074492216 +43 51 12.340659528|133.1257798167632 -17.9466998035115|  -3.760 -1.542  |10.42    |~              |    ~     ~            |    1| 1662.510   pc  | -47.8162    +47.8162  |paral   |2020yCat.1350....0G
20  |TYC 2827-704-1                                                                                           |Star                                |01 45 04.1181537960 +44 36 05.117430096|132.8859433114108 -17.2312870490133|  -5.312 -0.765  |10.33    |~              |    ~     ~            |    1| 1108.525   pc  | -24.5765    +24.5765  |paral   |2020yCat.1350....0G
21  |TYC 2827-754-1                                                                                           |Star                                |01 47 48.2972249520 +44 04 11.975532636|133.5095407259243 -17.6409934752581|   6.675 -6.167  |10.06    |~              |    ~     ~            |    1|  733.245   pc  | -13.2262    +13.2262  |paral   |2020yCat.1350....0G
22  |TYC 2827-1263-1                                                                                          |Star                                |01 46 22.7894401800 +43 48 21.551327856|133.3093038411133 -17.9559084413638|   1.202 -5.411  |10.44    |~              |    ~     ~            |    1|  844.951   pc  | -13.2079    +13.2079  |paral   |2020yCat.1350....0G
23  |TYC 2827-1288-1                                                                                          |Star                                |01 47 14.1982117344 +44 07 25.880207628|133.3924680048722 -17.6116124923179|  8.532 -15.435  |10.86    |~              |    ~     ~            |    1|  528.905   pc  |  -4.5038     +4.5038  |paral   |2020yCat.1350....0G
24  |TYC 2827-1376-1                                                                                          |Star                                |01 45 30.8229641184 +44 05 54.633750252|133.0818945941109 -17.7049055915966|  -1.345 -5.033  |10.05    |~              |    ~     ~            |    1| 1063.490   pc  | -22.0547    +22.0547  |paral   |2020yCat.1350....0G
25  |BD+43 360                                                                                                |Star                                |01 45 44.2057708776 +44 15 33.617050992|133.0859269729115 -17.5392241773193|   -2.411 1.135  |9.63     |A2V            |    ~     ~            |    1|  404.891   pc  |  -3.4427     +3.4427  |paral   |2020yCat.1350....0G
26  |TYC 2827-1817-1                                                                                          |Star                                |01 46 47.3978190168 +44 16 20.962401168|133.2756976539202 -17.4847044214010|    0.785 1.960  |10.15    |~              |    ~     ~            |    1|  730.887   pc  | -10.2031    +10.2031  |paral   |2020yCat.1350....0G
27  |TYC 2827-1967-1                                                                                          |Star                                |01 46 37.2460615104 +43 29 15.892672380|133.4286087705428 -18.2564357872091| 42.867 -11.401  |10.13    |~              |    ~     ~            |    1|  222.054   pc  |  -0.8974     +0.8974  |paral   |2020yCat.1350....0G
28  |BD+43 383                                                                                                |Star                                |01 51 40.2936840528 +44 03 59.879978712|134.2184806689982 -17.4811029309779|   8.243 -4.673  |9.18     |G8V            |    ~     ~            |    1|  458.610   pc  |  -4.1644     +4.1644  |paral   |2020yCat.1350....0G
