C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:51:32

dec >=0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5314

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 162403                                                                                                                                                                      |Star                              |17 48 26.8306258872 +47 46 07.966087176|074.6043210035182 +29.9984004802671|  4.011 -13.890    |8.28     |K0                |    ~     ~    |    1|  425.459   pc  |  -5.9916     +5.9916  |paral   |2020yCat.1350....0G
2   |BD+47 2544                                                                                                                                                                     |Star                              |17 49 13.2587373264 +47 36 28.978516656|074.4432685129360 +29.8456249336231|  11.910 -4.170    |9.16     |A5                |    ~     ~    |    1|  205.816   pc  |  -0.5803     +0.5803  |paral   |2020yCat.1350....0G
3   |HD 162666                                                                                                                                                                      |Star                              |17 49 51.1535742744 +47 15 44.269465104|074.0686312741683 +29.6869034885507|   2.418 12.361    |8.44     |A2                |    ~     ~    |    1|  285.290   pc  |  -1.2534     +1.2534  |paral   |2020yCat.1350....0G
4   |BD+47 2548                                                                                                                                                                     |Star                              |17 50 20.7414866736 +47 39 01.462786272|074.5248089375852 +29.6648196967141|  -5.688 42.286    |9.96     |G0                |    ~     ~    |    1|  108.447   pc  |  -0.1611     +0.1611  |paral   |2020yCat.1350....0G
5   |BD+47 2549                                                                                                                                                                     |Star                              |17 51 42.5026916352 +47 21 46.522339524|074.2401857362742 +29.3922912554869| -19.909 26.538    |9.97     |K0                |    ~     ~    |    1|  371.650   pc  |  -1.4089     +1.4089  |paral   |2020yCat.1350....0G
6   |BD+47 2551                                                                                                                                                                     |Star                              |17 52 02.8479953280 +47 45 16.935185160|074.6945773585004 +29.3982957945991|   1.930 -5.617    |9.05     |F0                |    ~     ~    |    1|  214.183   pc  |  -0.5000     +0.5000  |paral   |2020yCat.1350....0G
7   |BD+47 2555                                                                                                                                                                     |Double or Multiple Star           |17 54 07.3904120280 +47 02 13.675925400|073.9501969293165 +28.9337519829806|   15.217 4.284    |8.980    |kA4hA9mF0(III)    |0.0050  0.0    |    1|  210.071   pc  | -10.0351    +10.0351  |paral   |2020yCat.1350....0G
8   |BD+47 2556                                                                                                                                                                     |Star                              |17 54 21.3695356440 +47 18 15.597615888|074.2587632623355 +28.9401548665486|-12.876 -21.068    |9.28     |F8                |    ~     ~    |    1|  226.342   pc  |  -0.5379     +0.5379  |paral   |2020yCat.1350....0G
9   |BD+47 2559                                                                                                                                                                     |Star                              |17 56 13.0228011192 +47 45 13.067515116|074.8249952148912 +28.7068199420229| -28.148 11.610    |9.94     |K2                |    ~     ~    |    1|  394.058   pc  |  -1.8013     +1.8013  |paral   |2020yCat.1350....0G
10  |BD+47 2562                                                                                                                                                                     |Star                              |17 57 04.8220797936 +47 28 16.193619300|074.5367321983546 +28.5146863526215|  -13.749 8.447    |10.60    |F8                |    ~     ~    |    1|  221.779   pc  |  -0.4525     +0.4525  |paral   |2020yCat.1350....0G
