C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:54:59

dec >=0&rah >=18.0&rah< 18.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5965

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 167763                                                                                                |Spectroscopic Binary              |18 14 19.6455627288 +47 13 14.548103652|074.9209622562531 +25.6028571033030| -24.759 26.423   |8.38     |G0             |    ~     ~    |    1|  171.010   pc  |  -0.4621     +0.4621  |paral   |2020yCat.1350....0G
2   |BD+46 2442                                                                                               |High Proper Motion Star           |18 13 26.6553748992 +46 13 22.654663608|073.8059548070768 +25.5213444428508|-54.731 137.948   |9.16     |F8             |    ~     ~    |    1|  121.137   pc  |  -0.1585     +0.1585  |paral   |2020yCat.1350....0G
3   |BD+46 2443                                                                                               |Star                              |18 13 28.3204336320 +46 26 03.630910020|074.0351121264226 +25.5655722276416|  -14.189 6.928   |8.67     |K0             |    ~     ~    |    1|  420.982   pc  |  -2.8888     +2.8888  |paral   |2020yCat.1350....0G
4   |BD+46 2445                                                                                               |High Proper Motion Star           |18 13 41.8666260384 +46 28 59.122510608|074.0976266083874 +25.5389795528624|  71.088 65.253   |9.28     |G0             |    ~     ~    |    1|  115.153   pc  |  -0.1498     +0.1498  |paral   |2020yCat.1350....0G
5   |BD+46 2447                                                                                               |High Proper Motion Star           |18 14 20.1956895360 +47 01 27.787435680|074.7094030460892 +25.5566897522020|-16.504 -49.817   |9.74     |F5             |    ~     ~    |    1|  227.195   pc  |  -0.5368     +0.5368  |paral   |2020yCat.1350....0G
6   |HD 167536                                                                                                |Star                              |18 13 23.6144118432 +45 35 27.319710084|073.1232104618239 +25.3817077176174| -5.015 -19.416   |8.52     |F0             |    ~     ~    |    1|  138.897   pc  |  -0.2971     +0.2971  |paral   |2020yCat.1350....0G
7   |HD 167587                                                                                                |Star                              |18 13 35.1706421856 +45 39 59.321003256|073.2132813667241 +25.3668902281352|   18.112 4.431   |7.50     |K0             |    ~     ~    |    1|  245.749   pc  |  -1.2682     +1.2682  |paral   |2020yCat.1350....0G
8   |BD+45 2680                                                                                               |Star                              |18 13 43.1861333640 +45 29 59.401974192|073.0403318692827 +25.3045811337785|  -6.039 19.681   |10.27    |G5             |    ~     ~    |    1|  794.344   pc  |  -7.6980     +7.6980  |paral   |2020yCat.1350....0G
9   |HD 167260                                                                                                |Double or Multiple Star           |18 12 05.0930236344 +46 44 11.337858672|074.3015387561776 +25.8663589752816|-51.328 -54.883   |8.47     |G5             |0.0017  0.0    |    1|  109.690   pc  |  -1.2525     +1.2525  |paral   |2020yCat.1350....0G
10  |BD+45 2676                                                                                               |Star                              |18 13 00.9589651128 +45 55 41.621827836|073.4691637393714 +25.5250104679638|    4.190 8.919   |10.14    |F2             |    ~     ~    |    1|  280.544   pc  |  -0.9287     +0.9287  |paral   |2020yCat.1350....0G
11  |BD+44 2846                                                                                               |Star                              |18 12 21.6175020336 +44 58 25.211084160|072.4116769833830 +25.4113840805107|    4.303 2.366   |8.75     |K5             |    ~     ~    |    1|  958.497   pc  | -13.1376    +13.1376  |paral   |2020yCat.1350....0G
12  |TYC 3115-516-1                                                                                           |Star                              |18 11 18.5971939080 +44 58 18.266001816|072.3607043011390 +25.5913709382193|    6.244 1.689   |10.56    |~              |    ~     ~    |    1|  411.472   pc  |  -2.6412     +2.6412  |paral   |2020yCat.1350....0G
13  |TYC 3525-137-1                                                                                           |Star                              |18 13 25.2162974184 +45 10 57.679071600|072.6858249552903 +25.2797803226764|  -4.545 -8.678   |10.81    |~              |    ~     ~    |    1|  965.624   pc  | -10.0702    +10.0702  |paral   |2020yCat.1350....0G
14  |TYC 3525-251-1                                                                                           |Star                              |18 12 42.1261159368 +45 00 18.867164688|072.4616144422485 +25.3602593777673|   8.889 22.469   |10.27    |~              |    ~     ~    |    1|  201.686   pc  |  -0.6102     +0.6102  |paral   |2020yCat.1350....0G
15  |TYC 3525-379-1                                                                                           |Star                              |18 13 07.3670754696 +45 41 03.961249908|073.2114368446702 +25.4497867118662|   0.286 -1.318   |10.43    |~              |    ~     ~    |    1|  913.826   pc  |  -9.1024     +9.1024  |paral   |2020yCat.1350....0G
16  |TYC 3525-480-1                                                                                           |Star                              |18 14 03.7390905744 +45 39 21.633088248|073.2238912653914 +25.2835907657593| -0.397 -10.321   |10.31    |~              |    ~     ~    |    1|  886.918   pc  | -19.0363    +19.0363  |paral   |2020yCat.1350....0G
17  |TYC 3525-758-1                                                                                           |Star                              |18 11 29.9377202496 +45 35 18.901205196|073.0345981618723 +25.7033866601253| -7.023 -11.038   |10.82    |~              |    ~     ~    |    1|  643.956   pc  |  -4.1053     +4.1053  |paral   |2020yCat.1350....0G
18  |TYC 3525-1077-1                                                                                          |Star                              |18 13 59.3643365880 +45 44 20.762943972|073.3098139449263 +25.3157140257512|  -3.938 -7.703   |10.26    |~              |    ~     ~    |    1|  616.371   pc  |  -3.5712     +3.5712  |paral   |2020yCat.1350....0G
19  |TYC 3525-1301-1                                                                                          |Spectroscopic Binary              |18 14 10.3725852336 +45 57 03.366869400|073.5458771946788 +25.3348281434345|   4.177 15.805   |10.77    |~              |    ~     ~    |    1|  314.951   pc  |  -6.2195     +6.2195  |paral   |2020yCat.1350....0G
20  |TYC 3525-1655-1                                                                                          |Star                              |18 11 53.2841217552 +46 18 37.371238632|073.8318449529418 +25.8031801621022|  5.547 -27.681   |9.52     |~              |    ~     ~    |    1|  375.883   pc  |  -1.4411     +1.4411  |paral   |2020yCat.1350....0G
21  |TYC 3525-2083-1                                                                                          |Star                              |18 13 04.8248483232 +46 24 11.810242764|073.9843785719249 +25.6241048968119|   0.172 -1.024   |10.83    |~              |    ~     ~    |    1| 1054.741   pc  | -11.2360    +11.2360  |paral   |2020yCat.1350....0G
22  |TYC 3525-2167-1                                                                                          |High Proper Motion Star           |18 13 49.5006551520 +46 40 48.835977852|074.3158515385680 +25.5630696643515| -101.244 0.491   |10.02    |~              |    ~     ~    |    1|  116.634   pc  |  -0.2272     +0.2272  |paral   |2020yCat.1350....0G
23  |TYC 3525-2222-1                                                                                          |Star                              |18 13 03.2632336752 +46 32 09.166793280|074.1264120832360 +25.6588441819483|   -6.126 7.373   |10.24    |~              |    ~     ~    |    1|  944.733   pc  | -13.6556    +13.6556  |paral   |2020yCat.1350....0G
24  |TYC 3525-2329-1                                                                                          |Star                              |18 14 18.0400483152 +46 32 51.112936716|074.1936639635185 +25.4529760369974|    1.116 0.006   |10.75    |~              |    ~     ~    |    1|  348.481   pc  |  -1.6394     +1.6394  |paral   |2020yCat.1350....0G
25  |TYC 3529-119-1                                                                                           |Star                              |18 14 08.7972112128 +47 34 39.903874356|075.2992744763196 +25.7129894086084|   5.863 -2.153   |10.87    |~              |    ~     ~    |    1|  469.087   pc  |  -2.7505     +2.7505  |paral   |2020yCat.1350....0G
26  |TYC 3529-390-1                                                                                           |Star                              |18 14 42.4461140208 +47 30 48.478165560|075.2533270400439 +25.6063423743476|  1.396 -11.520   |10.09    |~              |    ~     ~    |    1|  741.620   pc  |  -5.8850     +5.8850  |paral   |2020yCat.1350....0G
27  |TYC 3529-636-1                                                                                           |Star                              |18 14 30.4476 +47 36 53.661            |075.3545566 +25.6620067            | -17.385 -0.615   |9.94     |~              |    ~     ~    |    0|                |                       |        |                   
28  |TYC 3529-1041-1                                                                                          |Star                              |18 13 40.7442502320 +47 43 04.117299348|075.4314978068281 +25.8208701720921|   4.481 -9.912   |10.99    |~              |    ~     ~    |    1| 1070.549   pc  | -11.9192    +11.9192  |paral   |2020yCat.1350....0G
29  |TYC 3529-2357-1                                                                                          |Star                              |18 14 55.4321658192 +47 08 45.837884364|074.8659914092835 +25.4871762781743|  6.635 -16.049   |9.97     |~              |    ~     ~    |    1|  381.913   pc  |  -1.5607     +1.5607  |paral   |2020yCat.1350....0G
30  |TYC 3529-2447-1                                                                                          |Star                              |18 14 46.7272409184 +47 01 49.826216820|074.7351128234763 +25.4847346287276| -0.894 -14.881   |10.38    |~              |    ~     ~    |    1|  727.749   pc  |  -5.1903     +5.1903  |paral   |2020yCat.1350....0G
31  |TYC 3529-2494-1                                                                                          |Eclipsing Binary                  |18 13 26.6117736816 +46 55 31.044499536|074.5639687096318 +25.6825085617509|  -3.882 -7.333   |10.68    |~              |    ~     ~    |    1| 1128.159   pc  | -30.2913    +30.2913  |paral   |2020yCat.1350....0G
32  |HD 167941                                                                                                |High Proper Motion Star           |18 14 56.2125303624 +49 09 29.938411692|077.0447006783696 +25.9295822037662|   2.602 75.465   |6.830    |K2             |    ~     ~    |    1|  200.566   pc  |  -0.6074     +0.6074  |paral   |2020yCat.1350....0G
33  |HD 167919                                                                                                |Star                              |18 14 42.3523428600 +50 14 37.320631332|078.2178333299462 +26.1919678634114|  11.444 -9.387   |8.11     |K0             |    ~     ~    |    1|  321.958   pc  |  -1.7000     +1.7000  |paral   |2020yCat.1350....0G
34  |AG+49 1397                                                                                               |Star                              |18 13 18.6315001248 +49 43 57.242761500|077.6089903558674 +26.3076479811529|  -1.917 19.786   |10.45    |G0             |    ~     ~    |    1|  227.630   pc  |  -0.5441     +0.5441  |paral   |2020yCat.1350....0G
35  |BD+48 2658                                                                                               |Star                              |18 13 19.7462660352 +48 33 38.812599648|076.3325125370385 +26.0607305962896|   -2.510 2.947   |9.49     |K0             |    ~     ~    |    1|  585.138   pc  |  -3.4581     +3.4581  |paral   |2020yCat.1350....0G
36  |TYC 3529-721-1                                                                                           |Star                              |18 14 22.7372522856 +47 47 31.793633448|075.5409512282804 +25.7226314895456|  19.201 -0.450   |10.54    |~              |    ~     ~    |    1|  226.111   pc  |  -0.6289     +0.6289  |paral   |2020yCat.1350....0G
37  |TYC 3529-903-1                                                                                           |Star                              |18 13 17.5048276728 +47 57 26.027908956|075.6752802405785 +25.9367931379862|-17.940 -37.740   |10.70    |~              |    ~     ~    |    1|  261.588   pc  |  -0.5953     +0.5953  |paral   |2020yCat.1350....0G
38  |TYC 3529-930-1                                                                                           |Star                              |18 14 05.8197754944 +47 57 08.533550304|075.7028207636780 +25.8041788277046|   -6.217 5.302   |10.33    |~              |    ~     ~    |    1|  305.409   pc  |  -1.3898     +1.3898  |paral   |2020yCat.1350....0G
39  |TYC 3529-1515-1                                                                                          |Eclipsing Binary                  |18 14 17.4393721152 +48 11 17.017357776|075.9661413097320 +25.8243430325393|   4.176 11.080   |10.67    |~              |    ~     ~    |    1|  586.270   pc  |  -4.3995     +4.3995  |paral   |2020yCat.1350....0G
40  |TYC 3529-1633-1                                                                                          |Star                              |18 14 12.8972641512 +48 07 39.199028232|075.8974837657920 +25.8234147784091|   8.356 -5.275   |10.13    |~              |    ~     ~    |    1|  315.358   pc  | -19.8205    +19.8205  |paral   |2020yCat.1350....0G
41  |TYC 3529-1674-1                                                                                          |Star                              |18 12 48.7832696256 +48 07 21.566057988|075.8356945531356 +26.0507170014082|   -9.225 5.947   |9.96     |~              |    ~     ~    |    1|  655.695   pc  |  -4.6003     +4.6003  |paral   |2020yCat.1350....0G
42  |TYC 3529-1726-1                                                                                          |Star                              |18 13 42.1342146528 +48 07 03.713341944|075.8660284980039 +25.9047617758953| -12.026 26.707   |10.31    |~              |    ~     ~    |    1|  162.514   pc  |  -0.3328     +0.3328  |paral   |2020yCat.1350....0G
43  |TYC 3529-1743-1                                                                                          |Star                              |18 13 38.1225965808 +48 25 25.868453772|076.1957522897954 +25.9818589887891|  -2.932 18.612   |9.97     |~              |    ~     ~    |    1|  640.000   pc  |  -4.2189     +4.2189  |paral   |2020yCat.1350....0G
44  |TYC 3529-1806-1                                                                                          |Star                              |18 14 48.5104349928 +48 26 08.012652396|076.2553210619749 +25.7944133847257| -1.708 -24.942   |10.88    |~              |    ~     ~    |    1|  376.790   pc  |  -1.4765     +1.4765  |paral   |2020yCat.1350....0G
45  |TYC 3529-1911-1                                                                                          |Star                              |18 13 26.1218635248 +48 29 59.117642088|076.2703315657370 +26.0305201941193|   1.741 -7.373   |10.20    |~              |    ~     ~    |    1|  704.225   pc  |  -5.0585     +5.0585  |paral   |2020yCat.1350....0G
46  |TYC 3529-2180-1                                                                                          |Star                              |18 13 05.1676121856 +48 44 33.351268668|076.5209058253280 +26.1384783321845|   1.579 -2.336   |10.90    |~              |    ~     ~    |    1| 1090.394   pc  | -11.8896    +11.8896  |paral   |2020yCat.1350....0G
47  |TYC 3533-547-1                                                                                           |Star                              |18 13 54.3448909680 +49 25 57.579091572|077.3038871374348 +26.1516107640322|    2.784 6.838   |10.84    |~              |    ~     ~    |    1| 1477.978   pc  | -24.6839    +24.6839  |paral   |2020yCat.1350....0G
48  |TYC 3533-905-1                                                                                           |Star                              |18 13 23.5319487576 +49 48 00.798172596|077.6858766684995 +26.3084802578255|   5.244 -3.695   |10.31    |~              |    ~     ~    |    1| 1498.352   pc  | -21.5526    +21.5526  |paral   |2020yCat.1350....0G
49  |TYC 3533-1207-1                                                                                          |Star                              |18 13 58.1553232176 +50 21 18.621047556|078.3131187290239 +26.3296696018651| -6.515 -14.604   |10.63    |~              |    ~     ~    |    1|  384.172   pc  |  -2.7156     +2.7156  |paral   |2020yCat.1350....0G
50  |TYC 3533-1402-1                                                                                          |Star                              |18 14 35.7848099592 +50 19 34.067891280|078.3038476445754 +26.2258059363342|-19.144 -22.643   |10.57    |~              |    ~     ~    |    1|  225.378   pc  |  -0.5943     +0.5943  |paral   |2020yCat.1350....0G
51  |TYC 3533-1713-1                                                                                          |Star                              |18 14 34.7091705072 +50 28 01.232209164|078.4570441665383 +26.2570166696461|  -6.832 13.061   |9.67     |~              |    ~     ~    |    1|  833.889   pc  |  -8.2749     +8.2749  |paral   |2020yCat.1350....0G
52  |GSC 03533-01925                                                                                          |Double or Multiple Star           |18 14 41.7634702920 +50 26 31.922604708|078.4341521893423 +26.2336906301852| -3.421 -17.287   |10.570   |~              |    ~     ~    |    1|  202.110   pc  |  -0.4943     +0.4943  |paral   |2020yCat.1350....0G
53  |TYC 3533-2227-1                                                                                          |Spectroscopic Binary              |18 14 58.7497174848 +48 57 41.649134472|076.8326744933771 +25.8807690697947|  -2.280 -2.756   |10.76    |~              |    ~     ~    |    1|  562.114   pc  |  -5.0871     +5.0871  |paral   |2020yCat.1350....0G
